# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Fri Aug 24 05:42:53 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535103774;2195017524;1857792;25755136;0.00;0.00;0.00;7257;100606;431452;402424;135;33;0;0;1893632;25878272;0.00;0.00;0.00;7397;101087;433936;404348;135;33;0;0;1853440;25930752;0.00;0.00;0.00;7240;101292;434128;405168;135;33;0;0;1862144;25904384;0.00;0.00;0.00;7274;101189;433852;404756;136;33;0;0;1987840;25931008;0.00;0.00;0.00;7765;101293;436232;405172;135;33;0;0;1856768;25829888;0.00;0.00;0.00;7253;100898;432604;403592;135;33;0;0;1925632;25833984;0.00;0.00;0.00;7522;100914;433744;403656;102;33;0;0;1883136;25788160;0.00;0.00;0.00;7356;100735;432364;402940;103;33;0;0;1841664;25762560;0.00;0.00;0.00;7194;100635;431316;402540;103;33;0;0;1898240;25784064;0.00;0.00;0.00;7415;100719;432536;402876;103;33;0;0;1876992;25774848;0.00;0.00;0.00;7332;100683;432060;402732;103;33;0;0;1856512;25774592;0.00;0.00;0.00;7252;100682;431736;402728;103;33;0;0;
1535103775;2195016514;1833216;25661184;0.00;0.00;0.00;7161;100239;429600;400956;134;33;0;0;1881856;25710336;0.00;0.00;0.00;7351;100431;431128;401724;135;33;0;0;1836800;25784576;0.00;0.00;0.00;7175;100721;431584;402884;134;33;0;0;1865216;25901056;0.00;0.00;0.00;7286;101176;433848;404704;134;33;0;0;1992448;26048512;0.00;0.00;0.00;7783;101752;438140;407008;135;33;0;0;1855232;26006016;0.00;0.00;0.00;7247;101586;435332;406344;135;33;0;0;1994240;26116864;0.00;0.00;0.00;7790;102019;439236;408076;103;33;0;0;1945344;26107904;0.00;0.00;0.00;7599;101984;438332;407936;103;33;0;0;1868032;26080000;0.00;0.00;0.00;7297;101875;436688;407500;103;33;0;0;1913088;26092288;0.00;0.00;0.00;7473;101923;437584;407692;103;33;0;0;1901056;26084096;0.00;0.00;0.00;7426;101891;437268;407564;103;33;0;0;1853440;26097920;0.00;0.00;0.00;7240;101945;436740;407780;102;33;0;0;
1535103776;2195073408;1833728;25657856;0.00;0.00;0.00;7163;100226;429556;400904;134;33;0;0;1861632;25688320;0.00;0.00;0.00;7272;100345;430468;401380;134;33;0;0;1848576;25597440;0.00;0.00;0.00;7221;99990;428844;399960;134;33;0;0;1838592;25530112;0.00;0.00;0.00;7182;99727;427636;398908;135;33;0;0;1850368;25466368;0.00;0.00;0.00;7228;99478;426824;397912;135;33;0;0;1798912;25398528;0.00;0.00;0.00;7027;99213;424960;396852;136;33;0;0;1941504;25462784;0.00;0.00;0.00;7584;99464;428192;397856;102;33;0;0;1848064;25398528;0.00;0.00;0.00;7219;99213;425728;396852;101;33;0;0;1841152;25582336;0.00;0.00;0.00;7192;99931;428492;399724;101;33;0;0;1897472;25715200;0.00;0.00;0.00;7412;100450;431448;401800;102;33;0;0;1872896;25781760;0.00;0.00;0.00;7316;100710;432104;402840;103;33;0;0;1844992;25776896;0.00;0.00;0.00;7207;100691;431592;402764;102;33;0;0;
1535103777;2195024560;1842176;25664512;0.00;0.00;0.00;7196;100252;429792;401008;134;33;0;0;1840640;25661440;0.00;0.00;0.00;7190;100240;429720;400960;134;33;0;0;1846016;25675008;0.00;0.00;0.00;7211;100293;430016;401172;135;33;0;0;1812736;25653248;0.00;0.00;0.00;7081;100208;429156;400832;134;33;0;0;1872640;25835776;0.00;0.00;0.00;7315;100921;432944;403684;134;33;0;0;1858560;25949440;0.00;0.00;0.00;7260;101365;434500;405460;134;33;0;0;1933568;26069248;0.00;0.00;0.00;7553;101833;437544;407332;102;33;0;0;1940480;26089216;0.00;0.00;0.00;7580;101911;437964;407644;102;33;0;0;1856256;25889024;0.00;0.00;0.00;7251;101129;433520;404516;102;33;0;0;1868288;25782784;0.00;0.00;0.00;7298;100714;432048;402856;103;33;0;0;1876224;25722112;0.00;0.00;0.00;7329;100477;431224;401908;102;33;0;0;1813248;25654016;0.00;0.00;0.00;7083;100211;429176;400844;102;33;0;0;
1535103778;2194998424;1832192;25587456;0.00;0.00;0.00;7157;99951;428432;399804;134;33;0;0;1848576;25572096;0.00;0.00;0.00;7221;99891;428448;399564;135;33;0;0;1848576;25593600;0.00;0.00;0.00;7221;99975;428784;399900;135;33;0;0;1838848;25589760;0.00;0.00;0.00;7183;99960;428572;399840;135;33;0;0;1840128;25433600;0.00;0.00;0.00;7188;99350;426152;397400;135;33;0;0;1800960;25291520;0.00;0.00;0.00;7035;98795;423320;395180;136;33;0;0;1918720;25288192;0.00;0.00;0.00;7495;98782;425108;395128;103;33;0;0;1875968;25215488;0.00;0.00;0.00;7328;98498;423304;393992;102;33;0;0;1826048;25161728;0.00;0.00;0.00;7133;98288;421684;393152;102;33;0;0;1850112;25138944;0.00;0.00;0.00;7227;98199;421704;392796;103;33;0;0;1820160;25122560;0.00;0.00;0.00;7110;98135;420980;392540;103;33;0;0;1802752;25120256;0.00;0.00;0.00;7042;98126;420672;392504;103;33;0;0;
1535103779;2195015798;1837312;25733632;0.00;0.00;0.00;7177;100522;430796;402088;135;33;0;0;1884672;25748224;0.00;0.00;0.00;7362;100579;431764;402316;134;33;0;0;1848576;25732864;0.00;0.00;0.00;7221;100519;430960;402076;135;33;0;0;1850368;25724416;0.00;0.00;0.00;7228;100486;430856;401944;135;33;0;0;1828864;25692160;0.00;0.00;0.00;7144;100360;430016;401440;135;33;0;0;1825536;25693184;0.00;0.00;0.00;7131;100364;429980;401456;135;33;0;0;1963264;25773312;0.00;0.00;0.00;7669;100677;433384;402708;103;33;0;0;1911808;25742848;0.00;0.00;0.00;7468;100558;432104;402232;103;33;0;0;1833728;25698816;0.00;0.00;0.00;7163;100386;430196;401544;103;33;0;0;1863168;25877760;0.00;0.00;0.00;7278;101085;433452;404340;102;33;0;0;1893632;26061568;0.00;0.00;0.00;7397;101803;436800;407212;102;33;0;0;1877504;26142208;0.00;0.00;0.00;7334;102118;437808;408472;102;33;0;0;
1535103780;2195067900;1824256;25645056;0.00;0.00;0.00;7126;100176;429208;400704;134;33;0;0;1858816;25663232;0.00;0.00;0.00;7261;100247;430032;400988;135;33;0;0;1829120;25648640;0.00;0.00;0.00;7145;100190;429340;400760;135;33;0;0;1846528;25668352;0.00;0.00;0.00;7213;100267;429920;401068;134;33;0;0;1832448;25786112;0.00;0.00;0.00;7158;100727;431540;402908;134;33;0;0;1841152;25914880;0.00;0.00;0.00;7192;101230;433688;404920;135;33;0;0;1977856;26087424;0.00;0.00;0.00;7726;101904;438520;407616;102;33;0;0;1907968;26074624;0.00;0.00;0.00;7453;101854;437228;407416;103;33;0;0;1878784;26102784;0.00;0.00;0.00;7339;101964;437212;407856;103;33;0;0;1892864;25938176;0.00;0.00;0.00;7394;101321;434860;405284;102;33;0;0;1878528;25773312;0.00;0.00;0.00;7338;100677;432060;402708;103;33;0;0;1827072;25673216;0.00;0.00;0.00;7137;100286;429692;401144;103;33;0;0;
1535103781;2195016304;1822464;25642752;0.00;0.00;0.00;7119;100167;429144;400668;134;33;0;0;1872640;25651200;0.00;0.00;0.00;7315;100200;430060;400800;135;33;0;0;1856512;25651968;0.00;0.00;0.00;7252;100203;429820;400812;135;33;0;0;1831680;25623296;0.00;0.00;0.00;7155;100091;428984;400364;135;33;0;0;1824256;25454848;0.00;0.00;0.00;7126;99433;426236;397732;135;33;0;0;1792512;25319168;0.00;0.00;0.00;7002;98903;423620;395612;136;33;0;0;1961472;25510912;0.00;0.00;0.00;7662;99652;429256;398608;102;33;0;0;1853440;25564160;0.00;0.00;0.00;7240;99860;428400;399440;101;33;0;0;1823232;25603840;0.00;0.00;0.55;7122;100015;428548;400060;101;33;0;0;1879296;25708032;0.00;0.00;0.00;7341;100422;431052;401688;102;33;0;0;1871360;25806592;0.00;0.00;0.00;7310;100807;432468;403228;103;33;0;0;1852672;25844480;0.00;0.00;0.00;7237;100955;432768;403820;103;33;0;0;
1535103782;2195013660;1839872;25667072;0.00;0.00;0.00;7187;100262;429796;401048;134;33;0;0;1867264;25657088;0.00;0.00;0.00;7294;100223;430068;400892;135;33;0;0;1845504;25666304;0.00;0.00;0.00;7209;100259;429872;401036;136;33;0;0;1808640;25639168;0.00;0.00;0.00;7065;100153;428872;400612;135;33;0;0;1793536;25614592;0.00;0.00;0.00;7006;100057;428252;400228;135;33;0;0;1828096;25651200;0.00;0.00;0.00;7141;100200;429364;400800;136;33;0;0;1988864;25598720;0.00;0.00;0.00;7769;99995;431056;399980;101;33;0;0;1852672;25342720;0.00;0.00;0.00;7237;98995;424928;395980;103;33;0;0;1820416;25260544;0.00;0.00;0.00;7111;98674;423140;394696;103;33;0;0;1810432;25138176;0.00;0.00;0.00;7072;98196;421072;392784;103;33;0;0;1836800;25070848;0.00;0.00;0.00;7175;97933;420432;391732;102;33;0;0;1790720;25005824;0.00;0.00;0.00;6995;97679;418696;390716;102;33;0;0;
1535103783;2195009924;1827072;25656320;0.00;0.00;0.00;7137;100220;429428;400880;134;33;0;0;1843968;25643520;0.00;0.00;0.00;7203;100170;429492;400680;135;33;0;0;1826048;25627392;0.00;0.00;0.00;7133;100107;428960;400428;135;33;0;0;1841920;25643264;0.00;0.00;0.00;7195;100169;429456;400676;135;33;0;0;1836032;25622272;0.00;0.00;0.00;7172;100087;429036;400348;135;33;0;0;1836544;25632256;0.00;0.00;0.00;7174;100126;429200;400504;136;33;0;0;1931520;25848832;0.00;0.00;0.00;7545;100972;434068;403888;101;33;0;0;1933056;25993984;0.00;0.00;0.00;7551;101539;436360;406156;102;33;0;0;1846784;26011648;0.00;0.00;0.00;7214;101608;435288;406432;102;33;0;0;1913856;26089984;0.00;0.00;0.00;7476;101914;437560;407656;103;33;0;0;1887744;26117120;0.00;0.00;0.00;7374;102020;437576;408080;103;33;0;0;1870336;26132736;0.00;0.00;0.00;7306;102081;437548;408324;103;33;0;0;
