# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Fri Aug 24 05:53:00 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535104381;2195013926;2013184;25705984;0.00;0.00;0.00;7864;100414;433112;401656;134;33;0;0;1856768;25827584;0.00;0.00;0.00;7253;100889;432568;403556;135;33;0;0;1831168;25907200;0.00;0.00;0.00;7153;101200;433412;404800;135;33;0;0;1890304;25988608;0.00;0.00;0.00;7384;101518;435608;406072;136;33;0;0;1851648;25991424;0.00;0.00;0.00;7233;101529;435048;406116;136;33;0;0;1885952;26057472;0.00;0.00;0.00;7367;101787;436616;407148;136;33;0;0;1899008;26044160;0.00;0.00;0.00;7418;101735;436612;406940;103;33;0;0;1920000;26071296;0.00;0.00;0.00;7500;101841;437364;407364;103;33;0;0;1865216;26042880;0.00;0.00;0.00;7286;101730;436064;406920;103;33;0;0;2012416;26139904;0.00;0.00;0.00;7861;102109;439880;408436;103;33;0;0;1895424;26053120;0.00;0.00;0.00;7404;101770;436696;407080;103;33;0;0;1854976;26030592;0.00;0.00;0.00;7246;101682;435712;406728;103;33;0;0;
1535104382;2195015240;1996288;25680384;0.00;0.00;0.00;7798;100314;432448;401256;134;33;0;0;1871872;25664768;0.00;0.00;0.00;7312;100253;430260;401012;135;33;0;0;1854720;25662720;0.00;0.00;0.00;7245;100245;429960;400980;135;33;0;0;1880576;25660672;0.00;0.00;0.00;7346;100237;430332;400948;135;33;0;0;1799936;25594368;0.00;0.00;0.00;7031;99978;428036;399912;135;33;0;0;1844992;25649152;0.00;0.00;0.00;7207;100192;429596;400768;136;33;0;0;1880832;25654528;0.00;0.00;0.00;7347;100213;430240;400852;103;33;0;0;1862144;25638656;0.00;0.00;0.00;7274;100151;429700;400604;103;33;0;0;1836544;25639680;0.00;0.00;0.00;7174;100155;429316;400620;103;33;0;0;1938944;25693952;0.00;0.00;0.00;7574;100367;431764;401468;103;33;0;0;1864192;25639680;0.00;0.00;0.00;7282;100155;429748;400620;103;33;0;0;1850112;25649408;0.00;0.00;0.00;7227;100193;429680;400772;103;33;0;0;
1535104383;2194994686;1995776;25627648;0.00;0.00;0.00;7796;100108;431616;400432;134;33;0;0;1860864;25597184;0.00;0.00;0.00;7269;99989;429032;399956;135;33;0;0;1848064;25599744;0.00;0.00;0.00;7219;99999;428872;399996;135;33;0;0;1950720;25685760;0.00;0.00;0.00;7620;100335;431820;401340;135;33;0;0;1816320;25548288;0.00;0.00;0.00;7095;99798;427572;399192;135;33;0;0;1825536;25574912;0.00;0.00;0.00;7131;99902;428132;399608;136;33;0;0;1880064;25599488;0.00;0.00;0.00;7344;99998;429368;399992;103;33;0;0;1889280;25610496;0.00;0.00;0.00;7380;100041;429684;400164;103;33;0;0;1820160;25564672;0.00;0.00;0.00;7110;99862;427888;399448;103;33;0;0;1953792;25650688;0.00;0.00;0.00;7632;100198;431320;400792;103;33;0;0;1863168;25588480;0.00;0.00;0.00;7278;99955;428932;399820;103;33;0;0;1829120;25577728;0.00;0.00;0.00;7145;99913;428232;399652;103;33;0;0;
1535104384;2195058030;1950976;25696000;0.00;0.00;0.00;7621;100375;431984;401500;135;33;0;0;1885696;25713664;0.00;0.00;0.00;7366;100444;431240;401776;135;33;0;0;1857024;25812992;0.00;0.00;0.00;7254;100832;432344;403328;135;33;0;0;1852928;25900288;0.00;0.00;0.00;7238;101173;433644;404692;134;33;0;0;1816320;25915904;0.00;0.00;0.00;7095;101234;433316;404936;134;33;0;0;1874688;25997312;0.00;0.00;0.00;7323;101552;435500;406208;136;33;0;0;1889536;26022400;0.00;0.00;0.00;7381;101650;436124;406600;103;33;0;0;1893632;26047744;0.00;0.00;0.00;7397;101749;436584;406996;103;33;0;0;1864704;26072064;0.00;0.00;0.00;7284;101844;436512;407376;102;33;0;0;1982208;26321664;0.00;0.00;0.00;7743;102819;442248;411276;102;33;0;0;1912832;26386688;0.00;0.00;0.00;7472;103073;442180;412292;102;33;0;0;1894912;26473728;0.00;0.00;0.00;7402;103413;443260;413652;103;33;0;0;
1535104385;2195022588;1955840;25652224;0.00;0.00;0.00;7640;100204;431376;400816;134;33;0;0;1868288;25665792;0.00;0.00;0.00;7298;100257;430220;401028;134;33;0;0;1836032;25555968;0.00;0.00;0.00;7172;99828;428000;399312;135;33;0;0;1880320;25487872;0.00;0.00;0.00;7345;99562;427628;398248;136;33;0;0;1768704;25328384;0.00;0.00;0.00;6909;98939;423392;395756;136;33;0;0;1803776;25351424;0.00;0.00;0.00;7046;99029;424300;396116;135;33;0;0;1857280;25345024;0.00;0.00;0.00;7255;99004;425036;396016;102;33;0;0;1862400;25338880;0.00;0.00;0.00;7275;98980;425020;395920;103;33;0;0;1806336;25275648;0.00;0.00;0.00;7056;98733;423156;394932;102;33;0;0;1904640;25155072;0.00;0.00;0.00;7440;98262;422808;393048;102;33;0;0;1809920;24982016;0.00;0.00;0.00;7070;97586;418624;390344;103;33;0;0;1769216;24880896;0.00;0.00;0.00;6911;97191;416408;388764;102;33;0;0;
1535104386;2194999522;2008320;25612800;0.00;0.00;0.00;7845;100050;431580;400200;134;33;0;0;1858048;25573120;0.00;0.00;0.00;7258;99895;428612;399580;135;33;0;0;1835776;25563392;0.00;0.00;0.00;7171;99857;428112;399428;134;33;0;0;1936896;25790208;0.00;0.00;0.00;7566;100743;433236;402972;134;33;0;0;1831936;25745664;0.00;0.00;0.00;7156;100569;430900;402276;135;33;0;0;1833984;25822208;0.00;0.00;0.00;7164;100868;432128;403472;136;33;0;0;1911552;26036992;0.00;0.00;0.00;7467;101707;436696;406828;102;33;0;0;1935360;26205952;0.00;0.00;0.00;7560;102367;439708;409468;102;33;0;0;1880320;26268416;0.00;0.00;0.00;7345;102611;439824;410444;102;33;0;0;2013184;26407936;0.00;0.00;0.00;7864;103156;444080;412624;103;33;0;0;1921024;26370048;0.00;0.00;0.00;7504;103008;442048;412032;103;33;0;0;1884672;26384896;0.00;0.00;0.00;7362;103066;441712;412264;103;33;0;0;
1535104387;2194997118;1978112;25669120;0.00;0.00;0.00;7727;100270;431988;401080;135;33;0;0;1862912;25667840;0.00;0.00;0.00;7277;100265;430168;401060;135;33;0;0;1836032;25649920;0.00;0.00;0.00;7172;100195;429468;400780;134;33;0;0;1855744;25503232;0.00;0.00;0.00;7249;99622;427484;398488;135;33;0;0;1781760;25367040;0.00;0.00;0.00;6960;99090;424200;396360;136;33;0;0;1815552;25363456;0.00;0.00;0.00;7092;99076;424672;396304;135;33;0;0;1884672;25222656;0.00;0.00;0.00;7362;98526;423552;394104;102;33;0;0;1860864;25059840;0.00;0.00;0.00;7269;97890;420636;391560;103;33;0;0;1787648;24927488;0.00;0.00;0.00;6983;97373;417424;389492;103;33;0;0;1878784;24918272;0.00;0.00;0.00;7339;97337;418704;389348;102;33;0;0;1794304;24833536;0.00;0.00;0.00;7009;97006;416060;388024;102;33;0;0;1783040;24811776;0.00;0.00;0.00;6965;96921;415544;387684;103;33;0;0;
1535104388;2195062126;1995008;25750016;0.00;0.00;0.00;7793;100586;433516;402344;135;33;0;0;1884928;25826048;0.00;0.00;0.00;7363;100883;432984;403532;135;33;0;0;1870080;25838080;0.00;0.00;0.00;7305;100930;432940;403720;135;33;0;0;1927936;25920512;0.00;0.00;0.00;7531;101252;435132;405008;135;33;0;0;1802496;25799680;0.00;0.00;0.00;7041;100780;431284;403120;135;33;0;0;1870080;25883136;0.00;0.00;0.00;7305;101106;433644;404424;136;33;0;0;1896960;25879552;0.00;0.00;0.00;7410;101092;434008;404368;103;33;0;0;1912320;25902336;0.00;0.00;0.00;7470;101181;434604;404724;103;33;0;0;1843712;25855488;0.00;0.00;0.00;7202;100998;432800;403992;103;33;0;0;1950720;25925376;0.00;0.00;0.00;7620;101271;435564;405084;103;33;0;0;1890048;25868288;0.00;0.00;0.00;7383;101048;433724;404192;103;33;0;0;1828352;25839104;0.00;0.00;0.00;7142;100934;432304;403736;103;33;0;0;
1535104389;2194997500;2008576;25632000;0.00;0.00;0.00;7846;100125;431884;400500;134;33;0;0;1863168;25634560;0.00;0.00;0.00;7278;100135;429652;400540;135;33;0;0;1836288;25652992;0.00;0.00;0.00;7173;100207;429520;400828;135;33;0;0;1939712;25751552;0.00;0.00;0.00;7577;100592;432676;402368;135;33;0;0;1804800;25626112;0.00;0.00;0.00;7050;100102;428608;400408;135;33;0;0;1832960;25674752;0.00;0.00;0.00;7160;100292;429808;401168;135;33;0;0;1900288;25706752;0.00;0.00;0.00;7423;100417;431360;401668;103;33;0;0;1878272;25694208;0.00;0.00;0.00;7337;100368;430820;401472;103;33;0;0;1845248;25686784;0.00;0.00;0.00;7208;100339;430188;401356;103;33;0;0;1958144;25756416;0.00;0.00;0.00;7649;100611;433040;402444;103;33;0;0;1856768;25684224;0.00;0.00;0.00;7253;100329;430328;401316;103;33;0;0;1835264;25677568;0.00;0.00;0.00;7169;100303;429888;401212;103;33;0;0;
1535104390;2195017700;2009600;25737472;0.00;0.00;0.00;7850;100537;433548;402148;134;33;0;0;1860096;25705216;0.00;0.00;0.00;7266;100411;430708;401644;134;33;0;0;1838848;25685248;0.00;0.00;0.00;7183;100333;430064;401332;135;33;0;0;1892608;25705984;0.00;0.00;0.00;7393;100414;431228;401656;135;33;0;0;1797376;25622784;0.00;0.00;0.00;7021;100089;428440;400356;135;33;0;0;1824512;25654016;0.00;0.00;0.00;7127;100211;429352;400844;136;33;0;0;1902336;25692928;0.00;0.00;0.00;7431;100363;431176;401452;103;33;0;0;1888256;25693440;0.00;0.00;0.00;7376;100365;430964;401460;103;33;0;0;1833728;25670656;0.00;0.00;0.00;7163;100276;429756;401104;103;33;0;0;1929984;25713152;0.00;0.00;0.00;7539;100442;431924;401768;103;33;0;0;1858816;25667072;0.00;0.00;0.00;7261;100262;430092;401048;103;33;0;0;1826560;25665024;0.00;0.00;0.00;7135;100254;429556;401016;103;33;0;0;
