# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Aug 23 19:00:02 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535065203;2195019686;1830400;25724160;0.00;0.00;0.00;7150;100485;430540;401940;134;33;0;0;1887488;25864448;0.00;0.00;0.00;7373;101033;433624;404132;135;33;0;0;1833216;25933824;0.00;0.00;0.00;7161;101304;433860;405216;136;33;0;0;1865728;25989632;0.00;0.00;0.00;7288;101522;435240;406088;136;33;0;0;1866496;25997568;0.00;0.00;0.00;7291;101553;435376;406212;136;33;0;0;1857536;26037760;0.00;0.00;0.00;7256;101710;435864;406840;136;33;0;0;1920768;26066688;0.00;0.00;0.00;7503;101823;437304;407292;103;33;0;0;1865984;26016256;0.00;0.00;0.00;7289;101626;435660;406504;103;33;0;0;1842432;26028800;0.00;0.00;0.00;7197;101675;435488;406700;103;33;0;0;1894656;26040832;0.00;0.00;0.00;7401;101722;436492;406888;103;33;0;0;1892864;26035968;0.00;0.00;0.00;7394;101703;436388;406812;103;33;0;0;1844992;26032640;0.00;0.00;0.00;7207;101690;435588;406760;103;33;0;0;
1535065204;2195103028;1838848;25669888;0.00;0.00;0.00;7183;100273;429824;401092;134;33;0;0;1840896;25652992;0.00;0.00;0.00;7191;100207;429592;400828;135;33;0;0;1836288;25691648;0.00;0.00;0.00;7173;100358;430124;401432;135;33;0;0;1838080;25689344;0.00;0.00;0.00;7180;100349;430116;401396;135;33;0;0;1816576;25666048;0.00;0.00;0.00;7096;100258;429416;401032;134;33;0;0;1842176;25883904;0.00;0.00;0.00;7196;101109;433220;404436;135;33;0;0;1891072;26031872;0.00;0.00;0.00;7387;101687;436296;406748;102;33;0;0;1884672;26108672;0.00;0.00;0.00;7362;101987;437396;407948;102;33;0;0;1856000;26166784;0.00;0.00;0.00;7250;102214;437856;408856;103;33;0;0;1905152;26353664;0.00;0.00;0.00;7442;102944;441544;411776;102;33;0;0;1935360;26518528;0.00;0.00;0.00;7560;103588;444592;414352;102;33;0;0;1888256;26587392;0.00;0.00;0.00;7376;103857;444932;415428;102;33;0;0;
1535065205;2195099082;1833472;25657088;0.00;0.00;0.00;7162;100223;429540;400892;138;33;0;0;1868544;25684224;0.00;0.00;0.00;7299;100329;430512;401316;135;33;0;0;1806336;25668096;0.00;0.00;0.00;7056;100266;429288;401064;134;33;0;0;1842176;25710336;0.00;0.00;0.00;7196;100431;430508;401724;134;33;0;0;1825536;25673472;0.00;0.00;0.00;7131;100287;429672;401148;134;33;0;0;1825280;25701888;0.00;0.00;0.00;7130;100398;430112;401592;134;33;0;0;1875456;25697280;0.00;0.00;0.00;7326;100380;430824;401520;102;33;0;0;1894144;25724416;0.00;0.00;0.00;7399;100486;431540;401944;102;33;0;0;1817344;25682944;0.00;0.00;0.00;7099;100324;429692;401296;102;33;0;0;1876480;25556480;0.00;0.00;0.00;7330;99830;428640;399320;102;33;0;0;1862144;25424128;0.00;0.00;0.00;7274;99313;426348;397252;103;33;0;0;1812736;25506816;0.00;0.00;0.00;7081;99636;426868;398544;102;33;0;0;
1535065206;2195025690;1840128;25660672;0.00;0.00;0.00;7188;100237;429700;400948;134;33;0;0;1854464;25643520;0.00;0.00;0.00;7244;100170;429656;400680;134;33;0;0;1814016;25634304;0.00;0.00;0.00;7086;100134;428880;400536;136;33;0;0;1825024;25620992;0.00;0.00;0.00;7129;100082;428844;400328;136;33;0;0;1825792;25597952;0.00;0.00;0.00;7132;99992;428496;399968;135;33;0;0;1801984;25446144;0.00;0.00;0.00;7039;99399;425752;397596;135;33;0;0;1875200;25473280;0.00;0.00;0.00;7325;99505;427320;398020;102;33;0;0;1848320;25508608;0.00;0.00;0.00;7220;99643;427452;398572;102;33;0;0;1831424;25562368;0.00;0.00;0.00;7154;99853;428028;399412;101;33;0;0;1870592;25567232;0.00;0.00;0.00;7307;99872;428716;399488;102;33;0;0;1847808;25559296;0.00;0.00;0.00;7218;99841;428236;399364;103;33;0;0;1803008;25418752;0.00;0.00;0.00;7043;99292;425340;397168;102;33;0;0;
1535065207;2195025762;1828096;25654272;0.00;0.00;0.00;7141;100212;429412;400848;143;35;0;0;1881088;25698048;0.00;0.00;0.00;7348;100383;430924;401532;135;33;0;0;1814272;25666560;0.00;0.00;0.00;7087;100260;429388;401040;134;33;0;0;1832960;25686016;0.00;0.00;0.00;7160;100336;429984;401344;134;33;0;0;1811968;25647616;0.00;0.00;0.00;7078;100186;429056;400744;136;33;0;0;1812992;25689600;0.00;0.00;0.00;7082;100350;429728;401400;135;33;0;0;1893632;25768448;0.00;0.00;0.00;7397;100658;432220;402632;101;33;0;0;1903872;25739264;0.00;0.00;0.00;7437;100544;431924;402176;102;33;0;0;1811200;25693184;0.00;0.00;0.00;7075;100364;429756;401456;103;33;0;0;1884160;25713152;0.00;0.00;0.00;7360;100442;431208;401768;101;33;0;0;1870336;25697792;0.00;0.00;0.00;7306;100382;430752;401528;102;33;0;0;1833984;25695744;0.00;0.00;0.00;7164;100374;430152;401496;103;33;0;0;
1535065208;2195107318;1837568;25663744;0.00;0.00;0.00;7178;100249;429708;400996;134;33;0;0;1861888;25681664;0.00;0.00;0.00;7273;100319;430368;401276;134;33;0;0;1820160;25673728;0.00;0.00;0.00;7110;100288;429592;401152;135;33;0;0;1849600;25688064;0.00;0.00;0.00;7225;100344;430276;401376;136;33;0;0;1824768;25656064;0.00;0.00;0.00;7128;100219;429388;400876;135;33;0;0;1817088;25673984;0.00;0.00;0.00;7098;100289;429548;401156;135;33;0;0;1882368;25562112;0.00;0.00;0.00;7353;99852;428820;399408;101;33;0;0;1869568;25622016;0.00;0.00;0.00;7303;100086;429556;400344;102;33;0;0;1825280;25662208;0.00;0.00;0.00;7130;100243;429492;400972;101;33;0;0;1861888;25697280;0.00;0.00;0.00;7273;100380;430612;401520;102;33;0;0;1870848;25708032;0.00;0.00;0.00;7308;100422;430920;401688;102;33;0;0;1806592;25705728;0.00;0.00;0.00;7057;100413;429880;401652;103;33;0;0;
1535065209;2195099104;1860864;25683968;0.00;0.00;0.00;7269;100328;430388;401312;136;35;0;0;1912320;25700096;0.00;0.00;0.00;7470;100391;431444;401564;134;33;0;0;1848320;25687808;0.00;0.00;0.00;7220;100343;430252;401372;135;33;0;0;1865728;25692416;0.00;0.00;0.00;7288;100361;430596;401444;135;33;0;0;1817088;25616128;0.00;0.00;0.00;7098;100063;428644;400252;135;33;0;0;1824256;25656832;0.00;0.00;0.00;7126;100222;429392;400888;135;33;0;0;1848832;25613824;0.00;0.00;0.00;7222;100054;429104;400216;102;33;0;0;1855232;25466624;0.00;0.00;0.00;7247;99479;426904;397916;101;33;0;0;1820672;25514496;0.00;0.00;0.00;7112;99666;427112;398664;102;33;0;0;1901568;25585152;0.00;0.00;0.00;7428;99942;429480;399768;102;33;0;0;1869568;25604864;0.00;0.00;0.42;7303;100019;429288;400076;101;33;0;0;1808384;25596160;0.00;0.00;0.00;7064;99985;428196;399940;102;33;0;0;
1535065210;2195102522;1850624;25679360;0.00;0.00;0.00;7229;100310;430156;401240;136;33;0;0;1883904;25692928;0.00;0.00;0.00;7359;100363;430888;401452;134;33;0;0;1799680;25649664;0.00;0.00;0.00;7030;100194;428896;400776;135;33;0;0;1860608;25688576;0.00;0.00;0.00;7268;100346;430456;401384;135;33;0;0;1877248;25695488;0.00;0.00;0.00;7333;100373;430824;401492;135;33;0;0;1810944;25657600;0.00;0.00;0.00;7074;100225;429196;400900;135;33;0;0;1876992;25839872;0.00;0.00;0.00;7332;100937;433076;403748;102;33;0;0;1922816;25997568;0.00;0.00;0.00;7511;101553;436256;406212;101;33;0;0;1832704;25854208;0.00;0.00;0.00;7159;100993;432608;403972;101;33;0;0;1898752;25825280;0.00;0.00;0.00;7417;100880;433188;403520;102;33;0;0;1897216;25758720;0.00;0.00;0.00;7411;100620;432124;402480;103;33;0;0;1826816;25725440;0.00;0.00;0.00;7136;100490;430504;401960;102;33;0;0;
1535065211;2195085074;1830400;25620224;0.00;0.00;0.00;7150;100079;428916;400316;143;33;0;0;1857536;25617408;0.00;0.00;0.00;7256;100068;429296;400272;135;33;0;0;1815808;25615616;0.00;0.00;0.00;7093;100061;428616;400244;135;33;0;0;1840640;25623808;0.00;0.00;0.00;7190;100093;429132;400372;135;33;0;0;1846016;25610240;0.00;0.00;0.00;7211;100040;429004;400160;135;33;0;0;1819392;25618432;0.00;0.00;0.00;7107;100072;428716;400288;136;33;0;0;1888256;25644032;0.00;0.00;0.00;7376;100172;430192;400688;101;33;0;0;1890560;25665024;0.00;0.00;0.00;7385;100254;430556;401016;101;33;0;0;1822208;25634816;0.00;0.00;0.00;7118;100136;429016;400544;102;33;0;0;1857536;25628672;0.00;0.00;0.00;7256;100112;429472;400448;102;33;0;0;1872128;25737216;0.00;0.00;0.00;7313;100536;431396;402144;101;33;0;0;1842176;25817088;0.00;0.00;0.00;7196;100848;432176;403392;101;33;0;0;
1535065212;2195064538;1837056;25693184;0.00;0.00;0.00;7176;100364;430160;401456;134;33;0;0;1872128;25680896;0.00;0.00;0.00;7313;100316;430516;401264;135;33;0;0;1827840;25682176;0.00;0.00;0.00;7140;100321;429844;401284;135;33;0;0;1847808;25687552;0.00;0.00;0.00;7218;100342;430240;401368;135;33;0;0;1845248;25658112;0.00;0.00;0.00;7208;100227;429740;400908;135;33;0;0;1822208;25670144;0.00;0.00;0.00;7118;100274;429568;401096;135;33;0;0;1898496;25704448;0.00;0.00;0.00;7416;100408;431296;401632;101;33;0;0;1871360;25663744;0.00;0.00;0.00;7310;100249;430236;400996;102;33;0;0;1835264;25664512;0.00;0.00;0.00;7169;100252;429684;401008;102;33;0;0;1885440;25668608;0.00;0.00;0.00;7365;100268;430532;401072;103;33;0;0;1886208;25576704;0.00;0.00;0.00;7368;99909;429108;399636;102;33;0;0;1819904;25596416;0.00;0.00;0.00;7109;99986;428380;399944;102;33;0;0;
