# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Fri Aug 24 00:06:07 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535083568;2195096264;1845760;25737472;0.00;0.00;0.00;7210;100537;430988;402148;135;33;0;0;1922816;25910784;0.00;0.00;0.00;7511;101214;434900;404856;135;33;0;0;3236864;25888000;0.00;0.00;0.00;12644;101125;455076;404500;135;33;0;0;1841152;26023168;0.00;0.00;0.00;7192;101653;435380;406612;136;33;0;0;1871360;26059776;0.00;0.00;0.00;7310;101796;436424;407184;136;33;0;0;1863424;26105088;0.00;0.00;0.00;7279;101973;437008;407892;136;33;0;0;1908736;26114048;0.00;0.00;0.00;7456;102008;437856;408032;103;33;0;0;1957376;26148608;0.00;0.00;0.00;7646;102143;439156;408572;103;33;0;0;1856256;26112512;0.00;0.00;0.00;7251;102002;437012;408008;103;33;0;0;1909504;26126592;0.00;0.00;0.00;7459;102057;438064;408228;103;33;0;0;1888768;26111488;0.00;0.00;0.00;7378;101998;437504;407992;103;33;0;0;1855744;26116096;0.00;0.00;0.00;7249;102016;437060;408064;103;33;0;0;
1535083569;2195020392;1856512;25679360;0.00;0.00;0.00;7252;100310;430248;401240;134;33;0;0;1882112;25667840;0.00;0.00;0.00;7352;100265;430468;401060;135;33;0;0;3209472;25668608;0.00;0.00;0.00;12537;100268;451220;401072;135;33;0;0;1838592;25852928;0.00;0.00;0.00;7182;100988;432680;403952;134;33;0;0;1840384;25874176;0.00;0.00;0.00;7189;101071;433040;404284;134;33;0;0;1864704;26073344;0.00;0.00;0.00;7284;101849;436532;407396;135;33;0;0;1899776;26170368;0.00;0.00;0.00;7421;102228;438596;408912;102;33;0;0;1936384;26293504;0.00;0.00;0.00;7564;102709;441092;410836;102;33;0;0;1882112;26409984;0.00;0.00;0.00;7352;103164;442064;412656;102;33;0;0;1932288;26507776;0.00;0.00;0.00;7548;103546;444376;414184;102;33;0;0;1946368;26687744;0.00;0.00;0.00;7603;104249;447408;416996;102;33;0;0;1886976;26792448;0.00;0.00;0.00;7371;104658;448116;418632;102;33;0;0;
1535083570;2195034174;1851392;25676288;0.00;0.00;0.00;7232;100298;430120;401192;134;33;0;0;1898496;25674752;0.00;0.00;0.00;7416;100292;430832;401168;134;33;0;0;3190272;25474560;0.00;0.00;0.00;12462;99510;447888;398040;134;33;0;0;1801472;25422080;0.00;0.00;0.00;7037;99305;425368;397220;136;33;0;0;1777408;25314304;0.00;0.00;0.00;6943;98884;423308;395536;135;33;0;0;1797376;25210368;0.00;0.00;0.00;7021;98478;421996;393912;135;33;0;0;1833984;25100544;0.00;0.00;0.00;7164;98049;420852;392196;103;33;0;0;1880576;25053440;0.00;0.00;0.00;7346;97865;420844;391460;103;33;0;0;1777152;24872192;0.00;0.00;0.00;6942;97157;416396;388628;102;33;0;0;1817088;24780544;0.00;0.00;0.00;7098;96799;415588;387196;102;33;0;0;1810944;24617216;0.00;0.00;0.00;7074;96161;412940;384644;102;33;0;0;1722624;24452352;0.00;0.00;0.00;6729;95517;408984;382068;103;33;0;0;
1535083571;2194996616;1872128;25633280;0.00;0.00;0.00;7313;100130;429772;400520;162;40;0;0;1879552;25595136;0.00;0.00;0.00;7342;99981;429292;399924;136;33;0;0;3176704;25445376;0.00;0.00;0.00;12409;99396;447220;397584;136;33;0;0;1796864;25529856;0.00;0.00;0.00;7019;99726;426980;398904;135;33;0;0;1786112;25465856;0.00;0.00;0.00;6977;99476;425812;397904;135;33;0;0;1816064;25521408;0.00;0.00;0.00;7094;99693;427148;398772;136;33;0;0;1895424;25559552;0.00;0.00;0.00;7404;99842;428984;399368;103;33;0;0;1880064;25549056;0.00;0.00;0.00;7344;99801;428580;399204;103;33;0;0;1823232;25537536;0.00;0.00;0.00;7122;99756;427512;399024;103;33;0;0;1896192;25565184;0.00;0.00;0.00;7407;99864;429084;399456;103;33;0;0;1832448;25518592;0.00;0.00;0.00;7158;99682;427360;398728;103;33;0;0;1802752;25520128;0.00;0.00;0.00;7042;99688;426920;398752;102;33;0;0;
1535083572;2195081322;1840640;25721344;0.00;0.00;0.00;7190;100474;430656;401896;147;34;0;0;1882880;25781248;0.00;0.00;0.00;7355;100708;432252;402832;134;33;0;0;3197184;25719040;0.00;0.00;0.00;12489;100465;451816;401860;135;33;0;0;1837824;25825792;0.00;0.00;0.00;7179;100882;432244;403528;135;33;0;0;1810944;25798144;0.00;0.00;0.00;7074;100774;431392;403096;136;33;0;0;1836800;25852160;0.00;0.00;0.00;7175;100985;432640;403940;136;33;0;0;1892352;25869824;0.00;0.00;0.00;7392;101054;433784;404216;103;33;0;0;1890816;25878784;0.00;0.00;0.00;7386;101089;433900;404356;103;33;0;0;1839360;25867264;0.00;0.00;0.00;7185;101044;432916;404176;103;33;0;0;1876736;25861120;0.00;0.00;0.00;7331;101020;433404;404080;103;33;0;0;1875200;25862912;0.00;0.00;0.00;7325;101027;433408;404108;103;33;0;0;1835264;25863936;0.00;0.00;0.00;7169;101031;432800;404124;103;33;0;0;
1535083573;2195018184;1848320;25670912;0.00;0.00;0.00;7220;100277;429988;401108;143;35;0;0;1865216;25664768;0.00;0.00;0.00;7286;100253;430156;401012;135;33;0;0;3194368;25573120;0.00;0.00;0.00;12478;99895;449492;399580;135;33;0;0;1831680;25664768;0.00;0.00;0.00;7155;100253;429632;401012;135;33;0;0;1830656;25629696;0.00;0.00;0.00;7151;100116;429068;400464;136;33;0;0;1826560;25655296;0.00;0.00;0.00;7135;100216;429404;400864;136;33;0;0;1852928;25646080;0.00;0.00;0.00;7238;100180;429672;400720;103;33;0;0;1868288;25659136;0.00;0.00;0.00;7298;100231;430116;400924;103;33;0;0;1805056;25631488;0.00;0.00;0.00;7051;100123;428696;400492;103;33;0;0;1868288;25816064;0.00;0.00;0.00;7298;100844;432568;403376;102;33;0;0;1897472;25978112;0.00;0.00;0.00;7412;101477;435556;405908;102;33;0;0;1844992;26038272;0.00;0.00;0.00;7207;101712;435676;406848;102;33;0;0;
1535083574;2195123210;1826304;25659392;0.00;0.00;0.00;7134;100232;429464;400928;136;33;0;0;1882112;25714944;0.00;0.00;0.00;7352;100449;431204;401796;135;33;0;0;3183360;25601792;0.00;0.00;0.79;12435;100007;449768;400028;134;33;0;0;1814528;25710848;0.00;0.00;0.00;7088;100433;430084;401732;135;33;0;0;1809664;25671168;0.00;0.00;0.00;7069;100278;429388;401112;136;33;0;0;1817344;25718528;0.00;0.00;0.00;7099;100463;430248;401852;136;33;0;0;1878272;25738496;0.00;0.00;0.00;7337;100541;431512;402164;103;33;0;0;1903872;25754624;0.00;0.00;0.00;7437;100604;432164;402416;103;33;0;0;1817856;25717248;0.00;0.00;0.00;7101;100458;430236;401832;103;33;0;0;1851136;25556224;0.00;0.00;0.00;7231;99829;428240;399316;102;33;0;0;1860352;25427712;0.00;0.00;0.00;7267;99327;426376;397308;103;33;0;0;1798656;25334272;0.00;0.00;0.00;7026;98962;423952;395848;103;33;0;0;
1535083575;2194990434;1826048;25560576;0.00;0.00;0.00;7133;99846;427916;399384;136;33;0;0;1831424;25457920;0.00;0.00;0.00;7154;99445;426396;397780;135;33;0;0;3156480;25348096;0.00;0.00;0.00;12330;99016;445384;396064;136;33;0;0;1822976;25420032;0.00;0.00;0.00;7121;99297;425672;397188;135;33;0;0;1797888;25357056;0.00;0.00;0.00;7023;99051;424296;396204;135;33;0;0;1812992;25391360;0.00;0.00;0.00;7082;99185;425068;396740;135;33;0;0;1851136;25381120;0.00;0.00;0.00;7231;99145;425504;396580;103;33;0;0;1869056;25408256;0.00;0.00;0.00;7301;99251;426208;397004;103;33;0;0;1810688;25385984;0.00;0.00;0.00;7073;99164;424948;396656;103;33;0;0;1856768;25382912;0.00;0.00;0.00;7253;99152;425620;396608;103;33;0;0;1832448;25374208;0.00;0.00;0.00;7158;99118;425104;396472;103;33;0;0;1805312;25380608;0.00;0.00;0.00;7052;99143;424780;396572;103;33;0;0;
1535083576;2195077512;1855488;25765888;0.00;0.00;0.00;7248;100648;431584;402592;139;33;0;0;1894912;25877760;0.00;0.00;0.00;7402;101085;433948;404340;134;33;0;0;3230208;25802752;0.00;0.00;0.00;12618;100792;453640;403168;134;33;0;0;1905920;25924096;0.00;0.00;0.00;7445;101266;434844;405064;135;33;0;0;1845760;25899264;0.00;0.00;0.00;7210;101169;433516;404676;135;33;0;0;1841152;25938688;0.00;0.00;0.00;7192;101323;434060;405292;135;33;0;0;1888768;25932544;0.00;0.00;0.00;7378;101299;434708;405196;103;33;0;0;1907968;25956096;0.00;0.00;0.00;7453;101391;435376;405564;103;33;0;0;1849856;25938432;0.00;0.00;0.00;7226;101322;434192;405288;103;33;0;0;1917440;25957120;0.00;0.00;0.00;7490;101395;435540;405580;103;33;0;0;1902592;25956352;0.00;0.00;0.00;7432;101392;435296;405568;103;33;0;0;1851904;25940736;0.00;0.00;0.00;7234;101331;434260;405324;103;33;0;0;
1535083577;2195023148;1829632;25655552;0.00;0.00;0.00;7147;100217;429456;400868;135;33;0;0;1874176;25661184;0.00;0.00;0.00;7321;100239;430240;400956;135;33;0;0;3195392;25544192;0.00;0.00;0.00;12482;99782;449056;399128;135;33;0;0;2164480;25929216;0.00;0.00;0.00;8455;101286;438964;405144;135;33;0;0;1825024;25600000;0.00;0.00;0.00;7129;100000;428516;400000;135;33;0;0;1808640;25610496;0.00;0.00;0.00;7065;100041;428424;400164;136;33;0;0;1885696;25640448;0.00;0.00;0.00;7366;100158;430096;400632;103;33;0;0;1873920;25633024;0.00;0.00;0.00;7320;100129;429796;400516;103;33;0;0;1810944;25608960;0.00;0.00;0.00;7074;100035;428436;400140;103;33;0;0;1876736;25635328;0.00;0.00;0.00;7331;100138;429876;400552;103;33;0;0;1860352;25619712;0.00;0.00;0.00;7267;100077;429376;400308;103;33;0;0;1825536;25619456;0.00;0.00;0.00;7131;100076;428828;400304;103;33;0;0;
