# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Aug 23 20:39:33 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535071174;2195103264;1858304;25759232;0.00;0.00;0.00;7259;100622;431524;402488;135;33;0;0;1872640;25902336;0.00;0.00;0.00;7315;101181;433984;404724;135;33;0;0;1874176;26005248;0.00;0.00;0.00;7321;101583;435616;406332;135;33;0;0;1883392;26077696;0.00;0.00;0.00;7357;101866;436892;407464;136;33;0;0;2278400;26052864;0.00;0.00;0.00;8900;101769;442676;407076;136;33;0;0;1871104;26125312;0.00;0.00;0.00;7309;102052;437444;408208;136;33;0;0;1914368;26132480;0.00;0.00;0.00;7478;102080;438232;408320;103;33;0;0;1923584;26149120;0.00;0.00;0.00;7514;102145;438636;408580;103;33;0;0;1874176;26125056;0.00;0.00;0.00;7321;102051;437488;408204;103;33;0;0;1962240;26159616;0.00;0.00;0.00;7665;102186;439404;408744;103;33;0;0;1899264;26133504;0.00;0.00;0.00;7419;102084;438012;408336;103;33;0;0;1865984;26128896;0.00;0.00;0.00;7289;102066;437420;408264;102;33;0;0;
1535071175;2195018422;1831680;25665536;0.00;0.00;0.00;7155;100256;429644;401024;134;33;0;0;1844480;25685760;0.00;0.00;0.00;7205;100335;430160;401340;134;33;0;0;1868544;25824512;0.00;0.00;0.00;7299;100877;432704;403508;135;33;0;0;1835264;25910272;0.00;0.00;0.00;7169;101212;433524;404848;134;33;0;0;2330112;26120704;0.00;0.00;0.00;9102;102034;444544;408136;134;33;0;0;1868800;26240000;0.00;0.00;0.00;7300;102500;439200;410000;134;33;0;0;1918464;26403584;0.00;0.00;0.00;7494;103139;442532;412556;102;33;0;0;1945856;26598400;0.00;0.00;0.00;7601;103900;446004;415600;102;33;0;0;1925120;26757120;0.00;0.00;0.00;7520;104520;448160;418080;102;33;0;0;1998592;26906112;0.00;0.00;0.00;7807;105102;451636;420408;102;33;0;0;1970176;26957312;0.00;0.00;0.00;7696;105302;451992;421208;103;33;0;0;1924352;26991360;0.00;0.00;0.00;7517;105435;451808;421740;102;33;0;0;
1535071176;2195142796;1842432;25657088;0.00;0.00;0.00;7197;100223;429680;400892;134;33;0;0;1870848;25653760;0.00;0.00;0.00;7308;100210;430072;400840;134;33;0;0;1825024;25536000;0.00;0.00;0.00;7129;99750;427516;399000;134;33;0;0;1832960;25425664;0.00;0.00;0.00;7160;99319;425916;397276;135;33;0;0;2195968;25256192;0.00;0.00;0.00;8578;98657;428940;394628;135;33;0;0;1819136;25127936;0.00;0.00;0.00;7106;98156;421048;392624;135;33;0;0;1813504;24943616;0.00;0.00;0.00;7084;97436;418080;389744;102;33;0;0;1837056;24799232;0.00;0.00;0.00;7176;96872;416192;387488;102;33;0;0;1768960;24625664;0.00;0.00;0.00;6910;96194;412416;384776;103;33;0;0;1833984;24542976;0.00;0.00;0.00;7164;95871;412140;383484;103;33;0;0;1777664;24441856;0.00;0.00;0.00;6944;95476;409680;381904;102;33;0;0;1757184;24394496;0.00;0.00;0.00;6864;95291;408620;381164;102;33;0;0;
1535071177;2195066268;1856000;25747456;0.00;0.00;0.00;7250;100576;431304;402304;137;33;0;0;1884928;25771264;0.00;0.00;0.00;7363;100669;432128;402676;135;33;0;0;1851648;25794304;0.00;0.00;0.00;7233;100759;431968;403036;135;33;0;0;1858816;25983744;0.00;0.00;0.00;7261;101499;435040;405996;134;33;0;0;2287872;26117120;0.00;0.00;0.00;8937;102020;443828;408080;134;33;0;0;1889280;26362368;0.00;0.00;0.00;7380;102978;441432;411912;135;33;0;0;1952512;26517248;0.00;0.00;0.00;7627;103583;444840;414332;102;33;0;0;1961728;26627328;0.00;0.00;0.00;7663;104013;446704;416052;103;33;0;0;1912064;26677760;0.00;0.00;0.00;7469;104210;446716;416840;103;33;0;0;2008064;26777600;0.00;0.00;0.00;7844;104600;449776;418400;103;33;0;0;1948160;26801664;0.00;0.00;0.00;7610;104694;449216;418776;103;33;0;0;1913600;26847488;0.00;0.00;0.00;7475;104873;449392;419492;102;33;0;0;
1535071178;2195095790;1831424;25661696;0.00;0.00;0.00;7154;100241;429580;400964;138;33;0;0;1876736;25740800;0.00;0.00;0.00;7331;100550;431524;402200;135;33;0;0;1848576;25767168;0.00;0.00;0.00;7221;100653;431496;402612;134;33;0;0;1812736;25608704;0.00;0.00;0.00;7081;100034;428460;400136;135;33;0;0;2255872;25549824;0.00;0.00;0.00;8812;99804;434464;399216;136;33;0;0;1830656;25355008;0.00;0.00;0.00;7151;99043;424776;396172;135;33;0;0;1863680;25263616;0.00;0.00;0.00;7280;98686;423864;394744;103;33;0;0;1872384;25218048;0.00;0.00;0.00;7314;98508;423288;394032;102;33;0;0;1802496;25160448;0.00;0.00;0.00;7041;98283;421296;393132;103;33;0;0;1879040;25202944;0.00;0.00;0.00;7340;98449;423156;393796;103;33;0;0;1832704;25170944;0.00;0.00;0.00;7159;98324;421932;393296;103;33;0;0;1796096;25142272;0.00;0.00;0.00;7016;98212;420912;392848;102;33;0;0;
1535071179;2195093464;1851392;25676544;0.00;0.00;0.00;7232;100299;430124;401196;136;33;0;0;1862400;25666560;0.00;0.00;0.00;7275;100260;430140;401040;134;33;0;0;1842432;25651456;0.00;0.00;0.00;7197;100201;429592;400804;135;33;0;0;1832704;25642752;0.00;0.00;0.00;7159;100167;429304;400668;135;33;0;0;2243840;25629184;0.00;0.00;0.00;8765;100114;435516;400456;136;33;0;0;1835520;25645824;0.00;0.00;0.00;7170;100179;429396;400716;136;33;0;0;1922048;25683968;0.00;0.00;0.00;7508;100328;431344;401312;103;33;0;0;1885696;25666560;0.00;0.00;0.00;7366;100260;430504;401040;103;33;0;0;1854208;25657344;0.00;0.00;0.00;7243;100224;429868;400896;103;33;0;0;1924864;25683456;0.00;0.00;0.00;7519;100326;431380;401304;102;33;0;0;1878016;25658368;0.00;0.00;0.00;7336;100228;430256;400912;103;33;0;0;1840128;25650688;0.00;0.00;0.00;7188;100198;429544;400792;103;33;0;0;
1535071180;2195152326;1843712;25663232;0.00;0.00;0.00;7202;100247;429796;400988;140;33;0;0;1862912;25591808;0.00;0.00;0.00;7277;99968;428980;399872;134;33;0;0;1842944;25553408;0.00;0.00;0.00;7199;99818;428068;399272;136;33;0;0;1834752;25545216;0.00;0.00;0.00;7167;99786;427812;399144;135;33;0;0;2224896;25494528;0.00;0.00;0.00;8691;99588;433116;398352;136;33;0;0;1824000;25517568;0.00;0.00;0.00;7125;99678;427212;398712;136;33;0;0;1873664;25532928;0.00;0.00;0.00;7319;99738;428228;398952;103;33;0;0;1883648;25541376;0.00;0.00;0.00;7358;99771;428516;399084;103;33;0;0;1836288;25516800;0.00;0.00;0.00;7173;99675;427392;398700;103;33;0;0;1949440;25583616;0.00;0.00;0.00;7615;99936;430204;399744;103;33;0;0;1855744;25523712;0.00;0.00;0.00;7249;99702;427804;398808;103;33;0;0;1813248;25500416;0.00;0.00;0.00;7083;99611;426776;398444;103;33;0;0;
1535071181;2195024160;1859584;25588736;0.00;0.00;0.00;7264;99956;428880;399824;134;33;0;0;1885696;25566720;0.00;0.00;0.00;7366;99870;428944;399480;135;33;0;0;1825280;25514240;0.00;0.00;0.00;7130;99665;427180;398660;135;33;0;0;1829376;25472512;0.00;0.00;0.00;7146;99502;426592;398008;136;33;0;0;2222592;25433344;0.00;0.00;0.00;8682;99349;432124;397396;136;33;0;0;1818880;25399040;0.00;0.00;0.00;7105;99215;425280;396860;136;33;0;0;1863680;25365760;0.00;0.00;0.00;7280;99085;425460;396340;103;33;0;0;1863168;25317888;0.00;0.00;0.00;7278;98898;424704;395592;103;33;0;0;1793280;25225472;0.00;0.00;0.00;7005;98537;422168;394148;103;33;0;0;1905920;25237760;0.00;0.00;0.00;7445;98585;424120;394340;103;33;0;0;1850368;25164544;0.00;0.00;0.00;7228;98299;422108;393196;103;33;0;0;1781504;25076992;0.00;0.00;0.00;6959;97957;419664;391828;103;33;0;0;
1535071182;2195128464;1858816;25770496;0.00;0.00;0.00;7261;100666;431708;402664;142;34;0;0;1849600;25748480;0.00;0.00;0.00;7225;100580;431220;402320;135;33;0;0;1829376;25768704;0.00;0.00;0.00;7146;100659;431220;402636;135;33;0;0;1846016;25831168;0.00;0.00;0.00;7211;100903;432456;403612;135;33;0;0;2237440;25860864;0.00;0.00;0.00;8740;101019;439036;404076;135;33;0;0;1865984;25962752;0.00;0.00;0.00;7289;101417;434824;405668;136;33;0;0;1911040;26020352;0.00;0.00;0.00;7465;101642;436428;406568;103;33;0;0;1905408;26071296;0.00;0.00;0.00;7443;101841;437136;407364;103;33;0;0;1881600;26119936;0.00;0.00;0.00;7350;102031;437524;408124;103;33;0;0;1928960;26176000;0.00;0.00;0.00;7535;102250;439140;409000;103;33;0;0;1891328;26205184;0.00;0.00;0.00;7388;102364;439008;409456;103;33;0;0;1870592;26250496;0.00;0.00;0.00;7307;102541;439392;410164;103;33;0;0;
1535071183;2195068622;1830400;25584896;0.00;0.00;0.00;7150;99941;428364;399764;140;33;0;0;1868544;25586944;0.00;0.00;0.00;7299;99949;428992;399796;136;33;0;0;1820416;25564672;0.00;0.00;0.00;7111;99862;427892;399448;135;33;0;0;1814528;25544960;0.00;0.00;0.00;7088;99785;427492;399140;136;33;0;0;2223872;25537792;0.00;0.00;0.00;8687;99757;433776;399028;136;33;0;0;1819136;25513472;0.00;0.00;0.00;7106;99662;427072;398648;136;33;0;0;1842688;25499136;0.00;0.00;0.00;7198;99606;427216;398424;103;33;0;0;1870080;25525760;0.00;0.00;0.00;7305;99710;428060;398840;103;33;0;0;1829120;25512704;0.00;0.00;0.00;7145;99659;427216;398636;103;33;0;0;1911552;25551616;0.00;0.00;0.00;7467;99811;429112;399244;103;33;0;0;1877248;25701888;0.00;0.00;0.00;7333;100398;430924;401592;102;33;0;0;1853440;25809664;0.00;0.00;0.00;7240;100819;432236;403276;103;33;0;0;
