# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sat Aug 25 14:11:05 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535220666;2195026334;1862400;25764352;0.00;0.00;0.00;7275;100642;431668;402568;135;33;0;0;1869568;25884160;0.00;0.00;0.00;7303;101110;433652;404440;135;33;0;0;1847040;25986048;0.00;0.00;0.00;7215;101508;434892;406032;135;33;0;0;1927168;26096384;0.00;0.00;0.00;7528;101939;437868;407756;135;33;0;0;1865216;26072320;0.00;0.00;0.00;7286;101845;436524;407380;136;33;0;0;1852672;26106368;0.00;0.00;0.00;7237;101978;436860;407912;136;33;0;0;1949952;26166528;0.00;0.00;0.00;7617;102213;439320;408852;103;33;0;0;1976320;26185472;0.00;0.00;0.00;7720;102287;440028;409148;103;33;0;0;1853696;26122496;0.00;0.00;0.00;7241;102041;437128;408164;103;33;0;0;1923328;26138112;0.00;0.00;0.00;7513;102102;438460;408408;103;33;0;0;1885696;26120960;0.00;0.00;0.00;7366;102035;437604;408140;103;33;0;0;1838592;26107648;0.00;0.00;0.00;7182;101983;436660;407932;103;33;0;0;
1535220667;2195025346;1855744;25680640;0.00;0.00;0.00;7249;100315;430256;401260;134;33;0;0;1867520;25684480;0.00;0.00;0.00;7295;100330;430500;401320;134;33;0;0;1798400;25654016;0.00;0.00;0.00;7025;100211;428944;400844;135;33;0;0;1932800;25744640;0.00;0.00;0.00;7550;100565;432460;402260;136;33;0;0;1849344;25699840;0.00;0.00;0.00;7224;100390;430456;401560;134;33;0;0;1836800;25882368;0.00;0.00;0.00;7175;101103;433112;404412;134;33;0;0;1904128;25993984;0.00;0.00;0.00;7438;101539;435908;406156;102;33;0;0;1925888;26088704;0.00;0.00;0.00;7523;101909;437728;407636;103;33;0;0;1840896;26090240;0.00;0.00;0.00;7191;101915;436424;407660;103;33;0;0;1918976;26147584;0.00;0.00;0.00;7496;102139;438540;408556;103;33;0;0;1907968;26151168;0.00;0.00;0.00;7453;102153;438424;408612;103;33;0;0;1864704;26158336;0.00;0.00;0.00;7284;102181;437860;408724;103;33;0;0;
1535220668;2195084840;1857792;25684992;0.00;0.00;0.00;7257;100332;430356;401328;134;33;0;0;1863680;25664256;0.00;0.00;0.00;7280;100251;430124;401004;135;33;0;0;1814016;25654528;0.00;0.00;0.00;7086;100213;429196;400852;135;33;0;0;1934080;25726464;0.00;0.00;0.00;7555;100494;432196;401976;135;33;0;0;1819904;25609984;0.00;0.00;0.00;7109;100039;428592;400156;135;33;0;0;1816832;25462016;0.00;0.00;0.00;7097;99461;426232;397844;135;33;0;0;1845248;25346304;0.00;0.00;0.00;7208;99009;424868;396036;103;33;0;0;1860096;25314816;0.00;0.00;0.00;7266;98886;424608;395544;101;33;0;0;1803264;25438976;0.00;0.00;0.00;7044;99371;425660;397484;101;33;0;0;1874432;25524992;0.00;0.00;0.00;7322;99707;428116;398828;101;33;0;0;1846528;25571840;0.00;0.00;0.00;7213;99890;428412;399560;103;33;0;0;1825280;25624320;0.00;0.00;0.00;7130;100095;428900;400380;103;33;0;0;
1535220669;2195029506;1847552;25680640;0.00;0.00;0.00;7217;100315;430128;401260;137;33;0;0;1877248;25715968;0.00;0.00;0.00;7333;100453;431144;401812;135;33;0;0;1841408;25762304;0.00;0.00;0.00;7193;100634;431308;402536;135;33;0;0;1931520;25846784;0.00;0.00;0.00;7545;100964;434036;403856;134;33;0;0;1846016;25787648;0.00;0.00;0.00;7211;100733;431776;402932;135;33;0;0;1848832;25829888;0.00;0.00;0.00;7222;100898;432480;403592;136;33;0;0;1906432;25847808;0.00;0.00;0.00;7447;100968;433660;403872;103;33;0;0;1939200;25855232;0.00;0.00;0.00;7575;100997;434288;403988;102;33;0;0;1823488;25784320;0.00;0.00;0.00;7123;100720;431372;402880;101;33;0;0;1936640;25872896;0.00;0.00;0.00;7565;101066;434524;404264;102;33;0;0;1890304;25852416;0.00;0.00;0.00;7384;100986;433480;403944;102;33;0;0;1828352;25830912;0.00;0.00;0.00;7142;100902;432176;403608;102;33;0;0;
1535220670;2195027338;1856512;25661696;0.00;0.00;0.00;7252;100241;429972;400964;136;33;0;0;1874944;25612288;0.00;0.00;0.00;7324;100048;429488;400192;134;33;0;0;1797376;25538560;0.00;0.00;0.00;7021;99760;427124;399040;135;33;0;0;1960192;25735680;0.00;0.00;0.00;7657;100530;432748;402120;135;33;0;0;1848064;25735680;0.00;0.00;0.00;7219;100530;430996;402120;134;33;0;0;1819904;25764608;0.00;0.00;0.00;7109;100643;431008;402572;135;33;0;0;1902848;25844480;0.00;0.00;0.00;7433;100955;433552;403820;103;33;0;0;1903104;25862400;0.00;0.00;0.00;7434;101025;433836;404100;103;33;0;0;1810688;25672192;0.00;0.00;0.00;7073;100282;429420;401128;102;33;0;0;1858304;25561344;0.00;0.00;0.00;7259;99849;428432;399396;103;33;0;0;1854720;25486848;0.00;0.00;0.00;7245;99558;427212;398232;102;33;0;0;1829120;25472256;0.00;0.00;0.00;7145;99501;426584;398004;101;33;0;0;
1535220671;2195023130;1832704;25659648;0.00;0.00;0.00;7159;100233;429568;400932;136;33;0;0;1876480;25663488;0.00;0.00;0.00;7330;100248;430312;400992;135;33;0;0;1818112;25649664;0.00;0.00;0.00;7102;100194;429184;400776;136;33;0;0;1897984;25564928;0.00;0.00;0.00;7414;99863;429108;399452;136;33;0;0;1838336;25420544;0.00;0.00;0.00;7181;99299;425920;397196;135;33;0;0;1785344;25334016;0.00;0.00;0.00;6974;98961;423740;395844;135;33;0;0;1854976;25309184;0.00;0.00;0.00;7246;98864;424440;395456;101;33;0;0;1874944;25332480;0.00;0.00;0.00;7324;98955;425116;395820;102;33;0;0;1806592;25468160;0.00;0.00;0.00;7057;99485;426168;397940;102;33;0;0;1907200;25590528;0.00;0.00;0.00;7450;99963;429652;399852;102;33;0;0;1852928;25618688;0.00;0.00;0.00;7238;100073;429244;400292;103;33;0;0;1818112;25642240;0.00;0.00;0.00;7102;100165;429068;400660;102;33;0;0;
1535220672;2195084482;1833728;25657344;0.00;0.00;0.00;7163;100224;429548;400896;137;33;0;0;1865472;25663744;0.00;0.00;0.00;7287;100249;430144;400996;135;33;0;0;1834496;25673728;0.00;0.00;0.00;7166;100288;429816;401152;134;33;0;0;1969408;25902080;0.00;0.00;0.00;7693;101180;435492;404720;134;33;0;0;1846528;25888512;0.00;0.00;0.00;7213;101127;433360;404508;134;33;0;0;1835264;25964800;0.00;0.00;0.00;7169;101425;434376;405700;135;33;0;0;1918720;26049792;0.00;0.00;0.00;7495;101757;437008;407028;102;33;0;0;1927680;26057984;0.00;0.00;0.00;7530;101789;437276;407156;102;33;0;0;1830912;25858304;0.00;0.00;0.00;7152;101009;432644;404036;102;33;0;0;1893888;25791744;0.00;0.00;0.00;7398;100749;432588;402996;103;33;0;0;1846016;25694464;0.00;0.00;0.00;7211;100369;430320;401476;102;33;0;0;1826816;25837568;0.00;0.00;0.00;7136;100928;432256;403712;101;33;0;0;
1535220673;2195025032;1811456;25634304;0.00;0.00;0.00;7076;100134;428840;400536;137;33;0;0;1874688;25686784;0.00;0.00;0.00;7323;100339;430648;401356;135;33;0;0;1835776;25774080;0.00;0.00;0.00;7171;100680;431404;402720;134;33;0;0;1907200;25741568;0.00;0.00;0.00;7450;100553;432012;402212;134;33;0;0;1821696;25628416;0.00;0.00;0.00;7116;100111;428908;400444;135;33;0;0;1806592;25592832;0.00;0.00;0.00;7057;99972;428116;399888;136;33;0;0;1905664;25606144;0.00;0.00;0.27;7444;100024;429872;400096;102;33;0;0;1935360;25630464;0.00;0.00;0.00;7560;100119;430716;400476;102;33;0;0;1788672;25511168;0.00;0.00;0.00;6987;99653;426560;398612;102;33;0;0;1885440;25554944;0.00;0.00;0.00;7365;99824;428756;399296;102;33;0;0;1862400;25723392;0.00;0.00;0.00;7275;100482;431028;401928;102;33;0;0;1819136;25640704;0.00;0.00;0.00;7106;100159;429060;400636;101;33;0;0;
1535220674;2195033696;1825792;25646080;0.00;0.00;0.00;7132;100180;429248;400720;137;33;0;0;1871616;25672704;0.00;0.00;0.00;7311;100284;430380;401136;135;33;0;0;1811200;25561600;0.00;0.00;0.00;7075;99850;427700;399400;135;33;0;0;1923072;25573632;0.00;0.00;0.00;7512;99897;429636;399588;136;33;0;0;1820160;25445632;0.00;0.00;0.00;7110;99397;426028;397588;135;33;0;0;1796608;25428992;0.00;0.00;0.00;7018;99332;425400;397328;135;33;0;0;1849856;25423360;0.00;0.00;0.00;7226;99310;426144;397240;102;33;0;0;1882624;25449984;0.00;0.00;0.00;7354;99414;427072;397656;103;33;0;0;1793792;25414656;0.00;0.00;0.00;7007;99276;425132;397104;102;33;0;0;1878272;25627648;0.00;0.00;0.00;7337;100108;429780;400432;101;33;0;0;1881088;25569024;0.00;0.00;0.00;7348;99879;428908;399516;101;33;0;0;1805824;25523712;0.00;0.00;0.00;7054;99702;427024;398808;103;33;0;0;
1535220675;2195030962;1840128;25666560;0.00;0.00;0.00;7188;100260;429792;401040;139;34;0;0;1861376;25672192;0.00;0.00;0.00;7271;100282;430212;401128;135;33;0;0;1810432;25667072;0.00;0.00;0.00;7072;100262;429336;401048;134;33;0;0;1933312;25759488;0.00;0.00;0.00;7552;100623;432700;402492;135;33;0;0;1839872;25677568;0.00;0.00;0.00;7187;100303;429960;401212;136;33;0;0;1811968;25682688;0.00;0.00;0.00;7078;100323;429604;401292;136;33;0;0;1892096;25719552;0.00;0.00;0.00;7391;100467;431432;401868;102;33;0;0;1921536;25916416;0.00;0.00;0.00;7506;101236;434968;404944;102;33;0;0;1837824;26011904;0.00;0.00;0.00;7179;101609;435152;406436;101;33;0;0;1910784;25939200;0.00;0.00;0.00;7464;101325;435156;405300;101;33;0;0;1891328;25903360;0.00;0.00;0.00;7388;101185;434292;404740;102;33;0;0;1823488;25841920;0.00;0.00;0.00;7123;100945;432272;403780;102;33;0;0;
