# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sat Aug 25 14:14:46 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535220887;2195045602;1841664;25742080;0.00;0.00;0.00;7194;100555;430996;402220;135;33;0;0;1881600;25916160;0.00;0.00;0.00;7350;101235;434340;404940;135;33;0;0;1854208;26095872;0.00;0.00;0.00;7243;101937;436720;407748;135;33;0;0;1962496;26290688;0.00;0.00;0.00;7666;102698;441456;410792;134;33;0;0;1887744;26202624;0.00;0.00;0.00;7374;102354;438912;409416;135;33;0;0;1864192;26181120;0.00;0.00;0.00;7282;102270;438208;409080;135;33;0;0;1917440;26290432;0.00;0.00;0.00;7490;102697;440748;410788;102;33;0;0;1964544;26439424;0.00;0.00;0.00;7674;103279;443812;413116;101;33;0;0;1873152;26494976;0.00;0.00;0.00;7317;103496;443252;413984;101;33;0;0;1967360;26599168;0.00;0.00;0.00;7685;103903;446352;415612;103;33;0;0;1947904;26693376;0.00;0.00;0.00;7609;104271;447520;417084;102;33;0;0;1891584;26763520;0.00;0.00;0.00;7389;104545;447736;418180;102;33;0;0;
1535220888;2195003922;1844224;25607680;0.00;0.00;0.09;7204;100030;428936;400120;135;33;0;0;1861632;25541888;0.00;0.00;0.00;7272;99773;428180;399092;135;33;0;0;1801216;25450240;0.00;0.00;0.00;7036;99415;425804;397660;134;33;0;0;1853952;25443328;0.00;0.00;0.00;7242;99388;426520;397552;136;33;0;0;1843456;25460480;0.00;0.00;0.00;7201;99455;426624;397820;136;33;0;0;1814016;25505792;0.00;0.00;0.00;7086;99632;426872;398528;135;33;0;0;1860864;25462528;0.00;0.00;0.00;7269;99463;426928;397852;102;33;0;0;1900800;25458176;0.00;0.00;0.00;7425;99446;427484;397784;102;33;0;0;1781760;25399808;0.00;0.00;0.00;6960;99218;424712;396872;103;33;0;0;1867008;25616384;0.00;0.00;0.00;7293;100064;429428;400256;134;33;0;0;1903104;25715712;0.00;0.00;0.00;7434;100452;431544;401808;135;33;0;0;1819648;25680384;0.00;0.00;0.00;7108;100314;429688;401256;135;33;0;0;
1535220889;2195045348;1846528;25761024;0.00;0.00;0.00;7213;100629;431368;402516;101;33;0;0;1860864;25809920;0.00;0.00;0.00;7269;100820;432356;403280;101;33;0;0;1841408;25817600;0.00;0.00;0.00;7193;100850;432172;403400;103;33;0;0;1893376;25782016;0.00;0.00;0.00;7396;100711;432428;402844;102;33;0;0;1842688;25675776;0.00;0.00;0.00;7198;100296;429976;401184;102;33;0;0;1804032;25578752;0.00;0.00;0.00;7047;99917;427856;399668;102;33;0;0;1889280;25513728;0.00;0.00;0.00;7380;99663;428172;398652;135;33;0;0;1903616;25425664;0.00;0.00;0.00;7436;99319;427020;397276;135;33;0;0;1783808;25259776;0.00;0.00;0.00;6968;98671;422556;394684;135;33;0;0;1806592;24999168;0.00;0.00;0.00;7057;97653;418840;390612;135;33;0;0;1792256;24838144;0.00;0.00;0.00;7001;97024;416100;388096;136;33;0;0;1749504;24741888;0.00;0.00;0.00;6834;96648;413928;386592;135;33;0;0;
1535220890;2195054580;1839616;25650176;0.00;0.00;0.00;7186;100196;429528;400784;101;33;0;0;1872128;25651456;0.00;0.00;0.00;7313;100201;430056;400804;102;33;0;0;1811712;25630720;0.00;0.00;0.00;7077;100120;428788;400480;102;33;0;0;1939200;25720832;0.00;0.00;0.00;7575;100472;432188;401888;102;33;0;0;1853440;25646592;0.00;0.00;0.00;7240;100182;429688;400728;102;33;0;0;1812224;25635584;0.00;0.00;0.00;7079;100139;428872;400556;103;33;0;0;1864192;25650944;0.00;0.00;0.00;7282;100199;429924;400796;136;33;0;0;1901312;25718784;0.00;0.00;0.00;7427;100464;431564;401856;135;33;0;0;1819392;25850112;0.00;0.00;0.00;7107;100977;432336;403908;135;33;0;0;1917184;25971968;0.00;0.00;0.00;7489;101453;435768;405812;135;33;0;0;1905152;26027520;0.00;0.00;0.00;7442;101670;436448;406680;136;33;0;0;1853184;26051584;0.00;0.00;0.00;7239;101764;436012;407056;136;33;0;0;
1535220891;2195095822;1849088;25689856;0.00;0.00;0.00;7223;100351;430296;401404;101;33;0;0;1861888;25671936;0.00;0.00;0.00;7273;100281;430216;401124;102;33;0;0;1808896;25664512;0.00;0.00;0.00;7066;100252;429272;401008;102;33;0;0;1892096;25731328;0.00;0.00;0.00;7391;100513;431616;402052;101;33;0;0;1856000;25856768;0.00;0.00;0.00;7250;101003;433012;404012;101;33;0;0;1860608;25980416;0.00;0.00;0.00;7268;101486;435016;405944;102;33;0;0;1894400;26044928;0.00;0.00;0.00;7400;101738;436552;406952;136;33;0;0;1932544;26081024;0.00;0.00;0.00;7549;101879;437712;407516;134;33;0;0;1836800;26024704;0.00;0.00;0.00;7175;101659;435336;406636;135;33;0;0;1927680;26098432;0.00;0.00;0.00;7530;101947;437908;407788;135;33;0;0;1918464;26130176;0.00;0.00;0.00;7494;102071;438260;408284;134;33;0;0;1851392;26188800;0.00;0.00;0.00;7232;102300;438128;409200;134;33;0;0;
1535220892;2195072980;1829632;25655808;0.00;0.00;0.00;7147;100218;429460;400872;101;33;0;0;1885440;25664000;0.00;0.00;0.00;7365;100250;430460;401000;102;33;0;0;1817344;25626368;0.00;0.00;0.00;7099;100103;428808;400412;102;33;0;0;1936384;25682432;0.00;0.00;0.00;7564;100322;431544;401288;102;33;0;0;1824256;25435904;0.00;0.00;0.00;7126;99359;425940;397436;102;33;0;0;1814528;25503488;0.00;0.00;0.00;7088;99623;426844;398492;102;33;0;0;1864192;25570048;0.00;0.00;0.00;7282;99883;428660;399532;134;33;0;0;1876224;25590272;0.00;0.00;0.00;7329;99962;429164;399848;135;33;0;0;1796096;25459200;0.00;0.00;0.00;7016;99450;425864;397800;135;33;0;0;1879040;25390848;0.00;0.00;0.00;7340;99183;426092;396732;136;33;0;0;1855744;25334784;0.00;0.00;0.00;7249;98964;424852;395856;135;33;0;0;1791744;25366016;0.00;0.00;0.00;6999;99086;424340;396344;135;33;0;0;
1535220893;2195047324;1824000;25651712;0.00;0.00;0.00;7125;100202;429308;400808;101;33;0;0;1859840;25656576;0.00;0.00;0.00;7265;100221;429944;400884;102;33;0;0;1815808;25645568;0.00;0.00;0.00;7093;100178;429084;400712;102;33;0;0;1908992;25713152;0.00;0.00;0.00;7457;100442;431596;401768;102;33;0;0;1848832;25650176;0.00;0.00;0.00;7222;100196;429672;400784;103;33;0;0;1807616;25517056;0.00;0.00;0.00;7061;99676;426948;398704;101;33;0;0;1894656;25594880;0.00;0.00;0.00;7401;99980;429524;399920;134;33;0;0;1911552;25665024;0.00;0.00;0.00;7467;100254;430884;401016;135;33;0;0;1813504;25640192;0.00;0.00;0.00;7084;100157;428964;400628;135;33;0;0;1904384;25696000;0.00;0.00;0.00;7439;100375;431256;401500;135;33;0;0;1859840;25656576;0.00;0.00;0.00;7265;100221;429944;400884;136;33;0;0;1809152;25479424;0.00;0.00;0.00;7067;99529;426384;398116;135;33;0;0;
1535220894;2195042864;1830912;25659392;0.00;0.00;0.00;7152;100232;429536;400928;101;33;0;0;1868032;25691904;0.00;0.00;0.00;7297;100359;430624;401436;102;33;0;0;1819136;25690624;0.00;0.00;0.00;7106;100354;429840;401416;102;33;0;0;1918976;25764864;0.00;0.00;0.00;7496;100644;432560;402576;102;33;0;0;1846272;25683968;0.00;0.00;0.00;7212;100328;430160;401312;103;33;0;0;1819136;25668352;0.00;0.00;0.00;7106;100267;429492;401068;102;33;0;0;1881344;25550336;0.00;0.00;0.00;7349;99806;428620;399224;134;33;0;0;1900288;25619456;0.00;0.00;0.00;7423;100076;429996;400304;135;33;0;0;1811456;25623552;0.00;0.00;0.00;7076;100092;428672;400368;134;33;0;0;1880064;25682432;0.00;0.00;0.00;7344;100322;430664;401288;134;33;0;0;1874176;25697792;0.00;0.00;0.00;7321;100382;430812;401528;136;33;0;0;1826560;25708288;0.00;0.00;0.00;7135;100423;430232;401692;136;33;0;0;
1535220895;2195106650;1858304;25688832;0.00;0.00;0.00;7259;100347;430424;401388;102;33;0;0;1878528;25713152;0.00;0.00;0.00;7338;100442;431120;401768;102;33;0;0;1822720;25725440;0.00;0.00;0.00;7120;100490;430440;401960;101;33;0;0;1920000;25778176;0.00;0.00;0.00;7500;100696;432784;402784;103;33;0;0;1872640;25768192;0.00;0.00;0.00;7315;100657;431888;402628;102;33;0;0;1829376;25911552;0.00;0.00;0.00;7146;101217;433452;404868;102;33;0;0;1921792;26002688;0.00;0.00;0.00;7507;101573;436320;406292;134;33;0;0;1912832;25903360;0.00;0.00;0.00;7472;101185;434628;404740;135;33;0;0;1847296;25793536;0.00;0.00;0.00;7216;100756;431888;403024;136;33;0;0;1912320;25828608;0.00;0.00;0.00;7470;100893;433452;403572;135;33;0;0;1880576;25870592;0.00;0.00;0.00;7346;101057;433612;404228;135;33;0;0;1809152;25868800;0.00;0.00;0.00;7067;101050;432468;404200;135;33;0;0;
1535220896;2195050726;1815552;25637888;0.00;0.00;0.00;7092;100148;428960;400592;101;33;0;0;1870336;25662976;0.00;0.00;0.00;7306;100246;430208;400984;102;33;0;0;1820672;25653248;0.00;0.00;0.00;7112;100208;429280;400832;102;33;0;0;1912576;25710336;0.00;0.00;0.00;7471;100431;431608;401724;102;33;0;0;1838080;25779200;0.00;0.00;0.00;7180;100700;431520;402800;101;33;0;0;1821440;25745408;0.00;0.00;0.00;7115;100568;430732;402272;101;33;0;0;1883648;25758976;0.00;0.00;0.00;7358;100621;431916;402484;135;33;0;0;1907712;25744640;0.00;0.00;0.00;7452;100565;432068;402260;135;33;0;0;1808384;25698816;0.00;0.00;0.00;7064;100386;429800;401544;134;33;0;0;1889792;25824256;0.00;0.00;0.00;7382;100876;433032;403504;135;33;0;0;1857536;25782016;0.00;0.00;0.00;7256;100711;431868;402844;134;33;0;0;1826816;25788416;0.00;0.00;0.00;7136;100736;431488;402944;135;33;0;0;
