# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sat Aug 25 15:56:57 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535227018;2195056160;1841408;25729280;0.00;0.00;0.00;7193;100505;430792;402020;135;33;0;0;1882368;25861376;0.00;0.00;0.00;7353;101021;433496;404084;135;33;0;0;1843200;25939200;0.00;0.00;0.00;7200;101325;434100;405300;136;33;0;0;1854464;25971456;0.00;0.00;0.00;7244;101451;434780;405804;136;33;0;0;1856256;25995776;0.00;0.00;0.00;7251;101546;435188;406184;136;33;0;0;1835264;26010880;0.00;0.00;0.00;7169;101605;435096;406420;136;33;0;0;1925632;26064128;0.00;0.00;0.00;7522;101813;437340;407252;103;33;0;0;1886976;26036224;0.00;0.00;0.00;7371;101704;436300;406816;103;33;0;0;1842944;26028032;0.00;0.00;0.00;7199;101672;435484;406688;103;33;0;0;1929216;26067200;0.00;0.00;0.00;7536;101825;437444;407300;103;33;0;0;1933056;26075392;0.00;0.00;0.00;7551;101857;437632;407428;103;33;0;0;1835008;26021888;0.00;0.00;0.00;7168;101648;435264;406592;103;33;0;0;
1535227019;2194905760;1852672;25597440;0.00;0.00;0.00;7237;99990;428908;399960;135;33;0;0;1864960;25538816;0.00;0.00;0.00;7285;99761;428184;399044;135;33;0;0;1796608;25481984;0.00;0.00;0.00;7018;99539;426228;398156;135;33;0;0;1825024;25519616;0.00;0.00;0.00;7129;99686;427260;398744;135;33;0;0;1810688;25521664;0.00;0.00;0.00;7073;99694;427068;398776;135;33;0;0;1810688;25586432;0.00;0.00;0.00;7073;99947;428080;399788;136;33;0;0;1884160;25675008;0.00;0.00;0.00;7360;100293;430612;401172;103;33;0;0;1869312;25707776;0.00;0.00;0.00;7302;100421;430892;401684;103;33;0;0;1829632;25759488;0.00;0.00;0.00;7147;100623;431080;402492;103;33;0;0;1898752;25831168;0.00;0.00;0.00;7417;100903;433280;403612;103;33;0;0;1902592;25902848;0.00;0.00;0.00;7432;101183;434460;404732;103;33;0;0;1831936;25929472;0.00;0.00;0.00;7156;101287;433772;405148;103;33;0;0;
1535227020;2195058062;1857792;25761536;0.00;0.00;0.00;7257;100631;431552;402524;134;33;0;0;1864448;25852928;0.00;0.00;0.00;7283;100988;433084;403952;135;33;0;0;1843200;25967360;0.00;0.00;0.00;7200;101435;434540;405740;134;33;0;0;1849600;26069760;0.00;0.00;0.00;7225;101835;436240;407340;135;33;0;0;1853952;26166784;0.00;0.00;0.00;7242;102214;437824;408856;134;33;0;0;1873664;26326528;0.00;0.00;0.00;7319;102838;440628;411352;134;33;0;0;1935616;26460928;0.00;0.00;0.00;7561;103363;443696;413452;101;33;0;0;1941504;26567168;0.00;0.00;0.00;7584;103778;445448;415112;101;33;0;0;1881088;26662912;0.00;0.00;0.00;7348;104152;446000;416608;101;33;0;0;1962496;26795264;0.00;0.00;0.00;7666;104669;449340;418676;102;33;0;0;1957888;26913280;0.00;0.00;0.00;7648;105130;451112;420520;101;33;0;0;1897216;27002624;0.00;0.00;0.00;7411;105479;451560;421916;101;33;0;0;
1535227021;2195005428;1836800;25667840;0.00;0.00;0.00;7175;100265;429760;401060;135;33;0;0;1873408;25672192;0.00;0.00;0.00;7318;100282;430400;401128;135;33;0;0;1834240;25689088;0.00;0.00;0.00;7165;100348;430052;401392;135;33;0;0;1836288;25682176;0.00;0.00;0.00;7173;100321;429976;401284;134;33;0;0;1803776;25648640;0.00;0.00;0.00;7046;100190;428944;400760;135;33;0;0;1811712;25673984;0.00;0.00;0.00;7077;100289;429464;401156;135;33;0;0;1862656;25682176;0.00;0.00;0.00;7276;100321;430388;401284;102;33;0;0;1880064;25707776;0.00;0.00;0.00;7344;100421;431060;401684;102;33;0;0;1809920;25672192;0.00;0.00;0.00;7070;100282;429408;401128;102;33;0;0;1885184;25760256;0.00;0.00;0.00;7364;100626;431960;402504;134;33;0;0;1876736;25718016;0.00;0.00;0.00;7331;100461;431168;401844;135;33;0;0;1812224;25595392;0.00;0.00;0.00;7079;99982;428244;399928;136;33;0;0;
1535227022;2195054376;1855744;25692672;0.00;0.00;0.00;7249;100362;430444;401448;102;33;0;0;1891840;25705728;0.00;0.00;0.00;7390;100413;431212;401652;102;33;0;0;1840128;25622272;0.00;0.00;0.00;7188;100087;429100;400348;102;33;0;0;1818368;25478912;0.00;0.00;0.00;7103;99527;426520;398108;102;33;0;0;1780992;25445632;0.00;0.00;0.00;6957;99397;425416;397588;102;33;0;0;1806592;25474048;0.00;0.00;0.00;7057;99508;426260;398032;102;33;0;0;1875456;25419264;0.00;0.00;0.00;7326;99294;426480;397176;136;33;0;0;1858048;25291264;0.00;0.00;0.00;7258;98794;424208;395176;135;33;0;0;1781760;25272064;0.00;0.00;0.00;6960;98719;422716;394876;135;33;0;0;1860608;25234176;0.00;0.00;0.00;7268;98571;423356;394284;134;33;0;0;1823488;25174784;0.00;0.00;0.00;7123;98339;421848;393356;135;33;0;0;1789440;25267200;0.00;0.00;0.00;6990;98700;422760;394800;134;33;0;0;
1535227023;2195059330;1829376;25648896;0.00;0.00;0.00;7146;100191;429348;400764;101;33;0;0;1898496;25672960;0.00;0.00;0.00;7416;100285;430804;401140;102;33;0;0;1820416;25647872;0.00;0.00;0.00;7111;100187;429192;400748;102;33;0;0;1837312;25669120;0.00;0.00;0.00;7177;100270;429788;401080;101;33;0;0;1808896;25629440;0.00;0.00;0.00;7066;100115;428724;400460;101;33;0;0;1817600;25655552;0.00;0.00;0.00;7100;100217;429268;400868;102;33;0;0;1898496;25691392;0.00;0.00;0.00;7416;100357;431092;401428;134;33;0;0;1895680;25679360;0.00;0.00;0.00;7405;100310;430860;401240;135;33;0;0;1826304;25643008;0.00;0.00;0.00;7134;100168;429208;400672;134;33;0;0;1906688;25666560;0.00;0.00;0.00;7448;100260;430832;401040;135;33;0;0;1875456;25641984;0.00;0.00;0.00;7326;100164;429960;400656;135;33;0;0;1807872;25503232;0.00;0.00;0.00;7062;99622;426736;398488;135;33;0;0;
1535227024;2195090082;1833216;25667840;0.00;0.00;0.00;7161;100265;429704;401060;101;33;0;0;1870336;25656320;0.00;0.00;0.00;7306;100220;430104;400880;102;33;0;0;1816320;25646592;0.00;0.00;0.00;7095;100182;429108;400728;102;33;0;0;1822464;25634560;0.00;0.00;0.00;7119;100135;429016;400540;101;33;0;0;1810688;25610496;0.00;0.00;0.00;7073;100041;428456;400164;101;33;0;0;1838080;25658368;0.00;0.00;0.00;7180;100228;429632;400912;102;33;0;0;1859328;25639680;0.00;0.00;0.00;7263;100155;429672;400620;135;33;0;0;1880576;25670144;0.00;0.00;0.00;7346;100274;430480;401096;135;33;0;0;1816064;25640704;0.00;0.00;0.00;7094;100159;429012;400636;134;33;0;0;1904128;25676032;0.00;0.00;0.00;7438;100297;430940;401188;135;33;0;0;1868544;25656320;0.00;0.00;0.00;7299;100220;430076;400880;135;33;0;0;1820416;25735424;0.00;0.00;0.00;7111;100529;430560;402116;134;33;0;0;
1535227025;2195091448;1839616;25668352;0.00;0.00;0.00;7186;100267;429812;401068;101;33;0;0;1872896;25664256;0.00;0.00;0.00;7316;100251;430268;401004;102;33;0;0;1815808;25647616;0.00;0.00;0.00;7093;100186;429116;400744;103;33;0;0;1847552;25654528;0.00;0.00;0.00;7217;100213;429720;400852;101;33;0;0;1822976;25618944;0.00;0.00;0.00;7121;100074;428780;400296;101;33;0;0;1814528;25633024;0.00;0.00;0.00;7088;100129;428868;400516;102;33;0;0;1906688;25663488;0.00;0.00;0.00;7448;100248;430784;400992;136;33;0;0;1890048;25777408;0.00;0.00;0.00;7383;100693;432304;402772;134;33;0;0;1827328;25718272;0.00;0.00;0.00;7138;100462;430400;401848;134;33;0;0;1884928;25679360;0.00;0.00;0.00;7363;100310;430692;401240;135;33;0;0;1874944;25718016;0.00;0.00;0.00;7324;100461;431140;401844;135;33;0;0;1828864;25692416;0.00;0.00;0.00;7144;100361;430020;401444;134;33;0;0;
1535227026;2195059584;1864960;25691648;0.00;0.00;0.00;7285;100358;430572;401432;102;34;0;0;1860096;25660160;0.00;0.00;0.00;7266;100235;430004;400940;102;33;0;0;1812224;25638144;0.00;0.00;0.00;7079;100149;428912;400596;102;33;0;0;1843200;25633536;0.00;0.00;0.00;7200;100131;429324;400524;102;33;0;0;1785344;25556736;0.00;0.00;0.00;6974;99831;427220;399324;101;33;0;0;1808384;25615104;0.00;0.00;0.00;7064;100059;428492;400236;102;33;0;0;1876736;25646848;0.00;0.00;0.00;7331;100183;430056;400732;134;33;0;0;1888768;25553408;0.00;0.00;0.00;7378;99818;428784;399272;134;33;0;0;1803264;25527808;0.00;0.00;0.00;7044;99718;427048;398872;135;33;0;0;1896704;25603840;0.00;0.00;0.55;7409;100015;429696;400060;135;33;0;0;1869568;25540864;0.00;0.00;0.00;7303;99769;428288;399076;135;33;0;0;1793024;25453312;0.00;0.00;0.00;7004;99427;425724;397708;135;33;0;0;
1535227027;2195063566;1843968;25660416;0.00;0.00;0.00;7203;100236;429756;400944;101;33;0;0;1902080;25682176;0.00;0.00;0.00;7430;100321;431004;401284;102;33;0;0;1810688;25641472;0.00;0.00;0.00;7073;100162;428940;400648;102;33;0;0;1844224;25674240;0.00;0.00;0.00;7204;100290;429976;401160;101;33;0;0;1777664;25592832;0.00;0.00;0.00;6944;99972;427664;399888;101;33;0;0;1812992;25644032;0.00;0.00;0.00;7082;100172;429016;400688;102;33;0;0;1890304;25678848;0.00;0.00;0.00;7384;100308;430768;401232;135;33;0;0;1892352;25665024;0.00;0.00;0.00;7392;100254;430584;401016;135;33;0;0;1815040;25622528;0.00;0.00;0.00;7090;100088;428712;400352;134;33;0;0;1887744;25669376;0.00;0.00;0.00;7374;100271;430580;401084;135;33;0;0;1877504;25672960;0.00;0.00;0.00;7334;100285;430476;401140;135;33;0;0;1822208;25675008;0.00;0.00;0.00;7118;100293;429644;401172;134;33;0;0;
