# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sat Aug 25 16:37:42 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535229463;2195083824;1891840;25772800;0.00;0.00;0.00;7390;100675;432260;402700;135;33;0;0;1908992;25937664;0.00;0.00;0.00;7457;101319;435104;405276;135;33;0;0;1849600;26006016;0.00;0.00;0.00;7225;101586;435244;406344;135;33;0;0;1913856;26076672;0.00;0.00;0.00;7476;101862;437352;407448;136;33;0;0;1843968;26055936;0.00;0.00;0.00;7203;101781;435936;407124;136;33;0;0;1864704;26131456;0.00;0.00;0.00;7284;102076;437440;408304;136;33;0;0;1899776;26124800;0.00;0.00;0.00;7421;102050;437884;408200;103;33;0;0;1929728;26153728;0.00;0.00;0.00;7538;102163;438804;408652;103;33;0;0;1862656;26298368;0.00;0.00;0.00;7276;102728;440016;410912;102;33;0;0;1941504;26445056;0.00;0.00;0.00;7584;103301;443540;413204;102;33;0;0;1963008;26540032;0.00;0.00;0.00;7668;103672;445360;414688;103;33;0;0;1878784;26543360;0.00;0.00;0.00;7339;103685;444096;414740;103;33;0;0;
1535229464;2195052626;1870592;25686784;0.00;0.00;0.00;7307;100339;430584;401356;134;33;0;0;1862144;25661440;0.00;0.00;0.00;7274;100240;430056;400960;135;33;0;0;1835264;25776384;0.00;0.00;0.00;7169;100689;431432;402756;135;33;0;0;1945088;25935872;0.00;0.00;0.00;7598;101312;435640;405248;134;33;0;0;1835008;25999872;0.00;0.00;0.00;7168;101562;434920;406248;134;33;0;0;1846528;26164736;0.00;0.00;0.00;7213;102206;437676;408824;135;33;0;0;1912320;26365952;0.00;0.00;0.00;7470;102992;441848;411968;102;33;0;0;1949184;26561792;0.00;0.00;0.00;7614;103757;445484;415028;102;33;0;0;1887232;26556416;0.00;0.00;0.00;7372;103736;444432;414944;101;33;0;0;1945600;26617344;0.00;0.00;0.00;7600;103974;446296;415896;102;33;0;0;1928960;26701312;0.00;0.00;0.00;7535;104302;447348;417208;101;33;0;0;1902848;26813952;0.00;0.00;0.00;7433;104742;448700;418968;101;33;0;0;
1535229465;2195035156;1952256;25765632;0.00;0.00;0.00;7626;100647;433092;402588;141;33;0;0;1845760;25630208;0.00;0.00;0.00;7210;100118;429312;400472;134;33;0;0;1820416;25638912;0.00;0.00;0.00;7111;100152;429052;400608;134;33;0;0;1880320;25673984;0.00;0.00;0.00;7345;100289;430536;401156;135;33;0;0;1820416;25600768;0.00;0.00;0.91;7111;100003;428456;400012;134;33;0;0;1809920;25539584;0.00;0.00;0.00;7070;99764;427336;399056;134;33;0;0;1875712;25551872;0.00;0.00;0.00;7327;99812;428556;399248;101;33;0;0;1910016;25521408;0.00;0.00;0.00;7461;99693;428616;398772;101;33;0;0;1810944;25362432;0.00;0.00;0.00;7074;99072;424584;396288;102;33;0;0;1843968;25246464;0.00;0.00;0.00;7203;98619;423288;394476;102;33;0;0;1823744;25076736;0.00;0.00;0.00;7124;97956;420320;391824;102;33;0;0;1768704;24937472;0.00;0.00;0.00;6909;97412;417284;389648;103;33;0;0;
1535229466;2195026842;1944832;25754624;0.00;0.00;0.00;7597;100604;432804;402416;134;33;0;0;1870592;25670144;0.00;0.00;0.00;7307;100274;430324;401096;134;33;0;0;1820672;25660416;0.00;0.00;0.00;7112;100236;429392;400944;134;33;0;0;1916160;25667584;0.00;0.00;0.00;7485;100264;430996;401056;134;33;0;0;1811968;25542912;0.00;0.00;0.00;7078;99777;427420;399108;136;33;0;0;1829888;25666048;0.00;0.00;0.00;7148;100258;429624;401032;134;33;0;0;1888768;25648640;0.00;0.00;0.00;7378;100190;430272;400760;101;33;0;0;1889792;25637376;0.00;0.00;0.00;7382;100146;430112;400584;102;33;0;0;1824256;25635584;0.00;0.00;0.00;7126;100139;429060;400556;101;33;0;0;1884160;25678592;0.00;0.00;0.00;7360;100307;430668;401228;101;33;0;0;1873920;25815808;0.00;0.00;0.00;7320;100843;432652;403372;102;33;0;0;1840640;25920768;0.00;0.00;0.00;7190;101253;433772;405012;102;33;0;0;
1535229467;2195107750;1880832;25693440;0.00;0.00;0.00;7347;100365;430848;401460;151;33;0;0;1854976;25638912;0.00;0.00;0.00;7246;100152;429592;400608;134;33;0;0;1812736;25537536;0.00;0.00;0.00;7081;99756;427348;399024;134;33;0;0;1940736;25646336;0.00;0.00;0.00;7581;100181;431048;400724;135;33;0;0;1782528;25604096;0.00;0.00;0.52;6963;100016;427916;400064;134;33;0;0;1807104;25619456;0.00;0.00;0.00;7059;100076;428540;400304;134;33;0;0;1862400;25596928;0.00;0.00;0.00;7275;99988;429052;399952;101;33;0;0;1882112;25630208;0.00;0.00;0.00;7352;100118;429880;400472;102;33;0;0;1830656;25693696;0.00;0.00;0.00;7151;100366;430068;401464;101;33;0;0;1888000;25742848;0.00;0.00;0.00;7375;100558;431732;402232;101;33;0;0;1855232;25655808;0.00;0.00;0.00;7247;100218;429860;400872;102;33;0;0;1833728;25739264;0.00;0.00;0.00;7163;100544;430828;402176;102;33;0;0;
1535229468;2195083096;1914112;25718528;0.00;0.00;0.00;7477;100463;431760;401852;141;33;0;0;1857536;25686016;0.00;0.00;0.00;7256;100336;430368;401344;135;33;0;0;1804288;25679104;0.00;0.00;0.00;7048;100309;429428;401236;134;33;0;0;1888256;25613568;0.00;0.00;0.00;7376;100053;429716;400212;134;33;0;0;1781248;25529344;0.00;0.00;0.00;6958;99724;426728;398896;134;33;0;0;1832192;25606656;0.00;0.00;0.21;7157;100026;428732;400104;135;33;0;0;1883904;25571584;0.00;0.00;0.00;7359;99889;428992;399556;102;33;0;0;1883648;25607936;0.00;0.00;0.06;7358;100031;429556;400124;101;33;0;0;1801216;25539584;0.00;0.00;0.00;7036;99764;427200;399056;102;33;0;0;1862912;25603328;0.00;0.00;0.61;7277;100013;429160;400052;102;33;0;0;1876480;25596672;0.00;0.00;0.00;7330;99987;429268;399948;101;33;0;0;1816576;25490432;0.00;0.00;0.00;7096;99572;426672;398288;102;33;0;0;
1535229469;2195033172;1919488;25722112;0.00;0.00;0.00;7498;100477;431900;401908;135;33;0;0;1874944;25697024;0.00;0.00;0.00;7324;100379;430812;401516;134;33;0;0;1827072;25721344;0.00;0.00;0.00;7137;100474;430444;401896;135;33;0;0;1890816;25739520;0.00;0.00;0.00;7386;100545;431724;402180;134;33;0;0;1796096;25664000;0.00;0.00;0.00;7016;100250;429064;401000;135;33;0;0;1825792;25717504;0.00;0.00;0.00;7132;100459;430364;401836;134;33;0;0;1883648;25746688;0.00;0.00;0.00;7358;100573;431724;402292;102;33;0;0;1877760;25695232;0.00;0.00;0.00;7335;100372;430828;401488;101;33;0;0;1833216;25734656;0.00;0.00;0.00;7161;100526;430748;402104;101;33;0;0;1875200;25742336;0.00;0.00;0.00;7325;100556;431524;402224;102;33;0;0;1877504;25806336;0.00;0.00;0.00;7334;100806;432560;403224;102;33;0;0;1846784;25920000;0.00;0.00;0.00;7214;101250;433856;405000;101;33;0;0;
1535229470;2195044732;1918208;25716736;0.00;0.00;0.00;7493;100456;431796;401824;141;33;0;0;1880832;25663488;0.00;0.00;0.00;7347;100248;430380;400992;135;33;0;0;1826048;25634560;0.00;0.00;0.00;7133;100135;429072;400540;135;33;0;0;1879040;25634304;0.00;0.00;0.00;7340;100134;429896;400536;134;33;0;0;1785856;25557248;0.00;0.00;0.00;6976;99833;427236;399332;134;33;0;0;1798912;25602304;0.00;0.00;0.73;7027;100009;428144;400036;135;33;0;0;1883904;25731584;0.00;0.00;0.00;7359;100514;431492;402056;102;33;0;0;1893120;25818880;0.00;0.00;0.00;7395;100855;433000;403420;101;33;0;0;1841920;25806592;0.00;0.00;0.00;7195;100807;432008;403228;101;33;0;0;1903872;25827328;0.00;0.00;0.00;7437;100888;433300;403552;101;33;0;0;1845504;25778432;0.00;0.00;0.00;7209;100697;431624;402788;101;33;0;0;1836288;25779712;0.00;0.00;0.00;7173;100702;431500;402808;101;33;0;0;
1535229471;2195106386;1899520;25707264;0.00;0.00;0.00;7420;100419;431356;401676;135;33;0;0;1881344;25668864;0.00;0.00;0.00;7349;100269;430472;401076;134;33;0;0;1809408;25644032;0.00;0.00;0.00;7068;100172;428960;400688;135;33;0;0;1908480;25714688;0.00;0.00;0.00;7455;100448;431612;401792;134;33;0;0;1769216;25601280;0.00;0.00;0.85;6911;100005;427664;400020;134;33;0;0;1830400;25728768;0.00;0.00;0.00;7150;100503;430612;402012;135;33;0;0;1879296;25682944;0.00;0.00;0.00;7341;100324;430660;401296;101;33;0;0;1871360;25621248;0.00;0.00;0.00;7310;100083;429572;400332;103;33;0;0;1807616;25460480;0.00;0.00;0.00;7061;99455;426064;397820;102;33;0;0;1868032;25502464;0.00;0.00;0.00;7297;99619;427664;398476;102;33;0;0;1844480;25439232;0.00;0.00;0.00;7205;99372;426308;397488;101;33;0;0;1778688;25347328;0.00;0.00;0.00;6948;99013;423844;396052;102;33;0;0;
1535229472;2195048724;1892864;25697792;0.00;0.00;0.00;7394;100382;431104;401528;136;33;0;0;1872128;25670912;0.00;0.00;0.00;7313;100277;430360;401108;135;33;0;0;1829120;25671936;0.00;0.00;0.00;7145;100281;429704;401124;135;33;0;0;1901312;25693696;0.00;0.00;0.00;7427;100366;431172;401464;134;33;0;0;1803520;25608960;0.00;0.00;0.00;7045;100035;428320;400140;134;33;0;0;1805824;25641728;0.00;0.00;0.00;7054;100163;428868;400652;134;33;0;0;1899264;25682432;0.00;0.00;0.00;7419;100322;430964;401288;102;33;0;0;1888000;25682176;0.00;0.00;0.00;7375;100321;430784;401284;101;33;0;0;1830400;25799424;0.00;0.00;0.00;7150;100779;431716;403116;101;33;0;0;1926400;25800448;0.00;0.00;0.00;7525;100783;433232;403132;101;33;0;0;1868032;25707008;0.00;0.00;0.00;7297;100418;430860;401672;102;33;0;0;1830400;25797376;0.00;0.00;0.00;7150;100771;431684;403084;102;33;0;0;
