# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sat Aug 25 16:34:08 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535229249;2195034270;1869056;25530368;0.00;0.00;0.00;7301;99728;428116;398912;135;33;0;0;1882880;25617920;0.00;0.00;0.00;7355;100070;429700;400280;134;33;0;0;1829888;25666048;0.00;0.00;0.00;7148;100258;429624;401032;134;33;0;0;1826816;25669120;0.00;0.00;0.00;7136;100270;429624;401080;136;33;0;0;1803776;25660160;0.00;0.00;0.00;7046;100235;429124;400940;136;33;0;0;1827584;25734656;0.00;0.00;0.00;7139;100526;430660;402104;136;33;0;0;1905664;25771776;0.00;0.00;0.00;7444;100671;432460;402684;103;33;0;0;1897472;25764608;0.00;0.00;0.00;7412;100643;432220;402572;103;33;0;0;1840640;25754880;0.00;0.00;0.00;7190;100605;431180;402420;103;33;0;0;1902336;25766144;0.00;0.00;0.00;7431;100649;432320;402596;103;33;0;0;1860352;25737984;0.00;0.00;0.00;7267;100539;431224;402156;103;33;0;0;1822464;25735680;0.00;0.00;0.00;7119;100530;430596;402120;103;33;0;0;
1535229250;2194939194;1896960;25647616;0.00;0.00;0.00;7410;100186;430384;400744;135;33;0;0;1893888;25610496;0.00;0.00;0.00;7398;100041;429756;400164;136;33;0;0;1820928;25592320;0.00;0.00;0.00;7113;99970;428332;399880;136;33;0;0;1842944;25651968;0.00;0.00;0.00;7199;100203;429608;400812;135;33;0;0;1789696;25638144;0.00;0.00;0.00;6991;100149;428560;400596;135;33;0;0;1815296;25766400;0.00;0.00;0.00;7091;100650;430964;402600;136;33;0;0;1908224;25896704;0.00;0.00;0.00;7454;101159;434452;404636;103;33;0;0;1905664;25982720;0.00;0.00;0.00;7444;101495;435756;405980;103;33;0;0;1842432;26030336;0.00;0.00;0.00;7197;101681;435512;406724;103;33;0;0;1900288;26119936;0.00;0.00;0.00;7423;102031;437816;408124;103;33;0;0;1894400;26196992;0.00;0.00;0.00;7400;102332;438928;409328;103;33;0;0;1868288;26285824;0.00;0.00;0.00;7298;102679;439908;410716;103;33;0;0;
1535229251;2194906844;1930496;25699072;0.00;0.00;0.00;7541;100387;431712;401548;135;33;0;0;1870592;25576960;0.00;0.00;0.00;7307;99910;428868;399640;135;33;0;0;1808384;25516544;0.00;0.00;0.00;7064;99674;426952;398696;135;33;0;0;1830912;25487104;0.00;0.00;0.00;7152;99559;426844;398236;135;33;0;0;1760256;25377024;0.00;0.00;0.00;6876;99129;424020;396516;135;33;0;0;1798656;25404160;0.00;0.00;0.00;7026;99235;425044;396940;135;33;0;0;1877504;25414144;0.00;0.00;0.00;7334;99274;426432;397096;101;33;0;0;1861888;25378816;0.00;0.00;0.00;7273;99136;425636;396544;102;33;0;0;1810688;25343232;0.00;0.00;0.00;7073;98997;424280;395988;102;33;0;0;1832960;25307904;0.00;0.00;0.00;7160;98859;424076;395436;102;33;0;0;1857792;25307904;0.00;0.00;0.00;7257;98859;424464;395436;101;33;0;0;1779712;25249024;0.00;0.00;0.00;6952;98629;422324;394516;102;33;0;0;
1535229252;2194960006;1921280;25848064;0.00;0.00;0.00;7505;100969;433896;403876;134;33;0;0;1881600;25937408;0.00;0.00;0.00;7350;101318;434672;405272;134;33;0;0;1845504;26069760;0.00;0.00;0.00;7209;101835;436176;407340;134;33;0;0;1876224;26211840;0.00;0.00;0.00;7329;102390;438876;409560;134;33;0;0;1826048;26277632;0.00;0.00;0.00;7133;102647;439120;410588;134;33;0;0;1881856;26493184;0.00;0.00;0.00;7351;103489;443360;413956;134;33;0;0;1962240;26648576;0.00;0.00;0.00;7665;104096;447044;416384;102;33;0;0;1952256;26781696;0.00;0.00;0.00;7626;104616;448968;418464;101;33;0;0;1928448;26918656;0.00;0.00;0.00;7533;105151;450736;420604;101;33;0;0;1961216;27040768;0.00;0.00;0.00;7661;105628;453156;422512;102;33;0;0;1985792;27187968;0.00;0.00;0.00;7757;106203;455840;424812;102;33;0;0;1932800;27314944;0.00;0.00;0.00;7550;106699;456996;426796;101;33;0;0;
1535229253;2195000092;1907968;25722112;0.00;0.00;0.00;7453;100477;431720;401908;135;33;0;0;1896704;25697536;0.00;0.00;0.00;7409;100381;431160;401524;135;33;0;0;1821184;25668096;0.00;0.00;0.00;7114;100266;429520;401064;135;33;0;0;1850880;25689088;0.00;0.00;0.00;7230;100348;430312;401392;135;33;0;0;1829376;25653760;0.00;0.00;0.00;7146;100210;429424;400840;135;33;0;0;1821184;25659392;0.00;0.00;0.00;7114;100232;429384;400928;135;33;0;0;1890816;25686016;0.00;0.00;0.00;7386;100336;430888;401344;102;33;0;0;1891584;25698048;0.00;0.00;0.00;7389;100383;431088;401532;102;33;0;0;1813504;25661696;0.00;0.00;0.00;7084;100241;429300;400964;101;33;0;0;1902592;25700608;0.00;0.00;0.00;7432;100393;431300;401572;102;33;0;0;1902592;25694976;0.00;0.00;0.00;7432;100371;431212;401484;103;33;0;0;1821440;25667584;0.00;0.00;0.00;7115;100264;429516;401056;102;33;0;0;
1535229254;2194993260;1931776;25742080;0.00;0.00;0.00;7546;100555;432404;402220;135;33;0;0;1893632;25678592;0.00;0.00;0.00;7397;100307;430816;401228;135;33;0;0;1819392;25656832;0.00;0.00;0.00;7107;100222;429316;400888;135;33;0;0;1839360;25656832;0.00;0.00;0.00;7185;100222;429628;400888;135;33;0;0;1836800;25656576;0.00;0.00;0.00;7175;100221;429584;400884;135;33;0;0;1840640;25677312;0.00;0.00;0.00;7190;100302;429968;401208;135;33;0;0;1879296;25670400;0.00;0.00;0.00;7341;100275;430464;401100;102;33;0;0;1863680;25658880;0.00;0.00;0.00;7280;100230;430040;400920;102;33;0;0;1830144;25668096;0.00;0.00;0.00;7149;100266;429660;401064;102;33;0;0;1873152;25667840;0.00;0.00;0.00;7317;100265;430328;401060;102;33;0;0;1876480;25661440;0.00;0.00;0.00;7330;100240;430280;400960;102;33;0;0;1813248;25650432;0.00;0.00;0.00;7083;100197;429120;400788;102;33;0;0;
1535229255;2195064064;1891840;25698304;0.00;0.00;0.00;7390;100384;431096;401536;135;33;0;0;1871872;25679104;0.00;0.00;0.00;7312;100309;430484;401236;135;33;0;0;1833728;25685248;0.00;0.00;0.00;7163;100333;429984;401332;135;33;0;0;1835520;25677056;0.00;0.00;0.00;7170;100301;429884;401204;135;33;0;0;1829376;25653504;0.00;0.00;0.00;7146;100209;429420;400836;135;33;0;0;1831168;25684736;0.00;0.00;0.00;7153;100331;429936;401324;135;33;0;0;1876736;25679872;0.00;0.00;0.00;7331;100312;430572;401248;102;33;0;0;1904896;25719552;0.00;0.00;0.00;7441;100467;431632;401868;103;33;0;0;1811200;25726720;0.00;0.00;0.00;7075;100495;430280;401980;135;33;0;0;1894144;25737472;0.00;0.00;0.00;7399;100537;431744;402148;135;33;0;0;1863424;25719040;0.00;0.00;0.00;7279;100465;430976;401860;134;33;0;0;1810944;25634048;0.00;0.00;0.00;7074;100133;428828;400532;135;33;0;0;
1535229256;2195075852;1895424;25698816;0.00;0.00;0.00;7404;100386;431160;401544;102;33;0;0;1871616;25647872;0.00;0.00;0.00;7311;100187;429992;400748;102;33;0;0;1814784;25540608;0.00;0.00;0.00;7089;99768;427428;399072;102;33;0;0;1808128;25388544;0.00;0.00;0.00;7063;99174;424948;396696;103;33;0;0;1774336;25202176;0.00;0.00;0.00;6931;98446;421508;393784;103;33;0;0;1765888;25058048;0.00;0.00;0.00;6898;97883;419124;391532;103;33;0;0;1811968;24907520;0.00;0.00;0.00;7078;97295;417492;389180;135;33;0;0;1823232;24907008;0.00;0.00;0.00;7122;97293;417660;389172;134;33;0;0;1760512;24755712;0.00;0.00;0.00;6877;96702;414316;386808;134;33;0;0;1808896;24688384;0.00;0.00;0.00;7066;96439;414020;385756;136;33;0;0;1785856;24518912;0.00;0.00;0.00;6976;95777;411012;383108;135;33;0;0;1719296;24411904;0.00;0.00;0.00;6716;95359;408300;381436;136;33;0;0;
1535229257;2195045676;1901312;25701888;0.00;0.00;0.00;7427;100398;431300;401592;101;33;0;0;1911808;25699584;0.00;0.00;0.00;7468;100389;431428;401556;102;33;0;0;1824512;25655040;0.00;0.00;0.00;7127;100215;429368;400860;102;33;0;0;1835264;25644544;0.00;0.00;0.00;7169;100174;429372;400696;102;33;0;0;1784576;25610240;0.00;0.00;0.00;6971;100040;428044;400160;101;33;0;0;1841408;25852416;0.00;0.00;0.00;7193;100986;432716;403944;102;33;0;0;1913344;25949440;0.00;0.00;0.00;7474;101365;435356;405460;135;33;0;0;1882624;25788672;0.00;0.00;0.00;7354;100737;432364;402948;134;33;0;0;1825280;25725696;0.00;0.00;0.00;7130;100491;430484;401964;135;33;0;0;1861888;25686016;0.00;0.00;0.00;7273;100336;430436;401344;135;33;0;0;1849600;25666048;0.00;0.00;0.00;7225;100258;429932;401032;135;33;0;0;1815808;25652736;0.00;0.00;0.00;7093;100206;429196;400824;135;33;0;0;
1535229258;2195144534;1882112;25693696;0.00;0.00;0.00;7352;100366;430872;401464;101;33;0;0;1904640;25698304;0.00;0.00;0.00;7440;100384;431296;401536;102;33;0;0;1810688;25652992;0.00;0.00;0.00;7073;100207;429120;400828;102;33;0;0;1847040;25671680;0.00;0.00;0.00;7215;100280;429980;401120;102;33;0;0;1775360;25575424;0.00;0.00;0.00;6935;99904;427356;399616;101;33;0;0;1829120;25654016;0.00;0.00;0.00;7145;100211;429424;400844;102;33;0;0;1890304;25669120;0.00;0.00;0.00;7384;100270;430616;401080;134;33;0;0;1885696;25710336;0.00;0.00;0.00;7366;100431;431188;401724;135;33;0;0;1829120;25798144;0.00;0.00;0.00;7145;100774;431676;403096;135;33;0;0;1932032;25950464;0.00;0.00;0.00;7547;101369;435664;405476;134;33;0;0;1884672;25984768;0.00;0.00;0.00;7362;101503;435460;406012;134;33;0;0;1847808;26118400;0.00;0.00;0.00;7218;102025;436972;408100;136;33;0;0;
