# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 09:51:52 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535291513;2195033790;1834496;25731328;0.00;0.00;0.00;7166;100513;430716;402052;135;33;0;0;1886464;25924864;0.00;0.00;0.00;7369;101269;434552;405076;135;33;0;0;1839360;26003456;0.00;0.00;0.00;7185;101576;435044;406304;135;33;0;0;1875200;26086144;0.00;0.00;0.00;7325;101899;436896;407596;136;33;0;0;1833472;26056448;0.00;0.00;0.00;7162;101783;435780;407132;136;33;0;0;1854720;26137344;0.00;0.00;0.00;7245;102099;437376;408396;136;33;0;0;1933312;26167040;0.00;0.00;0.00;7552;102215;439068;408860;103;33;0;0;1904896;26150656;0.00;0.00;0.00;7441;102151;438368;408604;102;33;0;0;1853440;26140928;0.00;0.00;0.00;7240;102113;437412;408452;103;33;0;0;1865984;26146560;0.00;0.00;0.00;7289;102135;437696;408540;103;33;0;0;1920512;26162944;0.00;0.00;0.00;7502;102199;438804;408796;103;33;0;0;1855232;26144000;0.00;0.00;0.00;7247;102125;437488;408500;103;33;0;0;
1535291514;2195023160;1842688;25671168;0.00;0.00;0.00;7198;100278;429904;401112;134;33;0;0;1855744;25639680;0.00;0.00;0.00;7249;100155;429616;400620;135;33;0;0;1832192;25651712;0.00;0.00;0.00;7157;100202;429436;400808;135;33;0;0;1832704;25625856;0.00;0.00;0.00;7159;100101;429040;400404;135;33;0;0;1776640;25562880;0.00;0.00;0.00;6940;99855;427180;399420;135;33;0;0;1802240;25602816;0.00;0.00;0.67;7040;100011;428204;400044;136;33;0;0;1916416;25664000;0.00;0.00;0.00;7486;100250;430944;401000;103;33;0;0;1879296;25642752;0.00;0.00;0.00;7341;100167;430032;400668;103;33;0;0;1821184;25628160;0.00;0.00;0.00;7114;100110;428896;400440;103;33;0;0;1846528;25649152;0.00;0.00;0.00;7213;100192;429620;400768;103;33;0;0;1879552;25639168;0.00;0.00;0.00;7342;100153;429980;400612;103;33;0;0;1822720;25635328;0.00;0.00;0.00;7120;100138;429032;400552;103;33;0;0;
1535291515;2195028992;1839872;25665024;0.00;0.00;0.00;7187;100254;429764;401016;145;33;0;0;1867264;25650944;0.00;0.00;0.00;7294;100199;429972;400796;135;33;0;0;1823232;25643008;0.00;0.00;0.00;7122;100168;429160;400672;136;33;0;0;1832704;25633280;0.00;0.00;0.00;7159;100130;429156;400520;135;33;0;0;1795584;25574400;0.00;0.00;0.00;7014;99900;427656;399600;135;33;0;0;1808896;25616384;0.00;0.00;0.00;7066;100064;428520;400256;136;33;0;0;1897984;25652992;0.00;0.00;0.00;7414;100207;430484;400828;103;33;0;0;1858816;25643264;0.00;0.00;0.00;7261;100169;429720;400676;102;33;0;0;1843712;25832704;0.00;0.00;0.00;7202;100909;432444;403636;102;33;0;0;1845248;25922816;0.00;0.00;0.00;7208;101261;433876;405044;102;33;0;0;1909504;26018816;0.00;0.00;0.00;7459;101636;436380;406544;103;33;0;0;1844992;26028800;0.00;0.00;0.00;7207;101675;435528;406700;103;33;0;0;
1535291516;2195085872;1845504;25669376;0.00;0.00;0.00;7209;100271;429920;401084;169;40;0;0;1865472;25693440;0.00;0.00;0.00;7287;100365;430608;401460;135;33;0;0;1826560;25691904;0.00;0.00;0.00;7135;100359;429976;401436;135;33;0;0;1820672;25692928;0.00;0.00;0.00;7112;100363;429900;401452;135;33;0;0;1828608;25691904;0.00;0.00;0.00;7143;100359;430008;401436;135;33;0;0;1824512;25717248;0.00;0.00;0.00;7127;100458;430340;401832;136;33;0;0;1928704;25776384;0.00;0.00;0.00;7534;100689;432892;402756;103;33;0;0;1878016;25745920;0.00;0.00;0.00;7336;100570;431624;402280;102;33;0;0;1827584;25552384;0.00;0.00;0.00;7139;99814;427812;399256;102;33;0;0;1793792;25426944;0.00;0.00;0.00;7007;99324;425324;397296;103;33;0;0;1869568;25389568;0.00;0.00;0.00;7303;99178;425924;396712;102;33;0;0;1807104;25341440;0.00;0.00;0.00;7059;98990;424196;395960;102;33;0;0;
1535291517;2195094338;1844224;25666048;0.00;0.00;0.00;7204;100258;429848;401032;160;33;0;0;1874432;25637632;0.00;0.00;0.00;7322;100147;429876;400588;135;33;0;0;1815552;25603840;0.00;0.00;0.55;7092;100015;428428;400060;135;33;0;0;1829120;25590272;0.00;0.00;0.00;7145;99962;428428;399848;135;33;0;0;1797888;25542400;0.00;0.00;0.00;7023;99775;427192;399100;136;33;0;0;1810944;25569024;0.00;0.00;0.00;7074;99879;427812;399516;136;33;0;0;1895424;25601280;0.00;0.00;0.85;7404;100005;429636;400020;102;33;0;0;1903104;25781760;0.00;0.00;0.00;7434;100710;432576;402840;102;33;0;0;1835776;25870848;0.00;0.00;0.00;7171;101058;432916;404232;102;33;0;0;1867520;25969664;0.00;0.00;0.00;7295;101444;434956;405776;103;33;0;0;1905408;26012672;0.00;0.00;0.00;7443;101612;436220;406448;102;33;0;0;1859328;26078720;0.00;0.00;0.00;7263;101870;436532;407480;102;33;0;0;
1535291518;2195030060;1857024;25670656;0.00;0.00;0.00;7254;100276;430120;401104;134;33;0;0;1894912;25739008;0.00;0.00;0.00;7402;100543;431780;402172;135;33;0;0;1836032;25727744;0.00;0.00;0.00;7172;100499;430684;401996;134;33;0;0;1846528;25746688;0.00;0.00;0.00;7213;100573;431144;402292;135;33;0;0;1797120;25680384;0.00;0.00;0.00;7020;100314;429336;401256;136;33;0;0;1828096;25762560;0.00;0.00;0.00;7141;100635;431104;402540;135;33;0;0;1892096;25775872;0.00;0.00;0.00;7391;100687;432312;402748;102;33;0;0;1835008;25560576;0.00;0.00;0.00;7168;99846;428056;399384;102;33;0;0;1799424;25441280;0.00;0.00;0.00;7029;99380;425636;397520;103;33;0;0;1805056;25369344;0.00;0.00;0.00;7051;99099;424600;396396;102;33;0;0;1851648;25335552;0.00;0.00;0.00;7233;98967;424800;395868;103;33;0;0;1795072;25258496;0.00;0.00;0.00;7012;98666;422712;394664;102;33;0;0;
1535291519;2195063582;1818112;25646848;0.00;0.00;0.00;7102;100183;429140;400732;134;33;0;0;1868288;25679616;0.00;0.00;0.00;7298;100311;430436;401244;134;33;0;0;1820672;25676032;0.00;0.00;0.00;7112;100297;429636;401188;135;33;0;0;1826560;25662720;0.00;0.00;0.00;7135;100245;429520;400980;135;33;0;0;1784064;25617664;0.00;0.00;0.00;6969;100069;428152;400276;135;33;0;0;1806848;25660928;0.00;0.00;0.00;7058;100238;429184;400952;135;33;0;0;1880064;25687040;0.00;0.00;0.00;7344;100340;430736;401360;103;33;0;0;1869568;25689088;0.00;0.00;0.00;7303;100348;430604;401392;103;33;0;0;1821440;25672704;0.00;0.00;0.00;7115;100284;429596;401136;103;33;0;0;1848832;25699072;0.00;0.00;0.00;7222;100387;430436;401548;103;33;0;0;1856000;25668608;0.00;0.00;0.00;7250;100268;430072;401072;103;33;0;0;1838080;25686784;0.00;0.00;0.00;7180;100339;430076;401356;102;33;0;0;
1535291520;2195075072;1858048;25684480;0.00;0.00;0.00;7258;100330;430352;401320;137;33;0;0;1880832;25684480;0.00;0.00;0.00;7347;100330;430708;401320;135;33;0;0;1827328;25666048;0.00;0.00;0.00;7138;100258;429584;401032;135;33;0;0;1831424;25651968;0.00;0.00;0.00;7154;100203;429428;400812;135;33;0;0;1820416;25625344;0.00;0.00;0.00;7111;100099;428840;400396;135;33;0;0;1805568;25640192;0.00;0.00;0.00;7053;100157;428840;400628;136;33;0;0;1872384;25652224;0.00;0.00;0.00;7314;100204;430072;400816;103;33;0;0;1889024;25687040;0.00;0.00;0.00;7379;100340;430876;401360;103;33;0;0;1825536;25661952;0.00;0.00;0.00;7131;100242;429492;400968;103;33;0;0;1819648;25653248;0.00;0.00;0.00;7108;100208;429264;400832;103;33;0;0;1862400;25658880;0.00;0.00;0.00;7275;100230;430020;400920;103;33;0;0;1835264;25668096;0.00;0.00;0.00;7169;100266;429740;401064;103;33;0;0;
1535291521;2195027450;1825280;25655296;0.00;0.00;0.00;7130;100216;429384;400864;136;33;0;0;1871616;25673984;0.00;0.00;0.00;7311;100289;430400;401156;135;33;0;0;1825024;25663744;0.00;0.00;0.00;7129;100249;429512;400996;135;33;0;0;1856512;25681920;0.00;0.00;0.00;7252;100320;430288;401280;135;33;0;0;1789440;25602816;0.00;0.00;0.67;6990;100011;428004;400044;135;33;0;0;1838080;25677312;0.00;0.00;0.00;7180;100302;429928;401208;136;33;0;0;1881856;25677056;0.00;0.00;0.00;7351;100301;430608;401204;103;33;0;0;1885184;25690624;0.00;0.00;0.00;7364;100354;430872;401416;103;33;0;0;1803264;25642752;0.00;0.00;0.00;7044;100167;428844;400668;103;33;0;0;1826048;25665024;0.00;0.00;0.00;7133;100254;429548;401016;103;33;0;0;1862144;25662720;0.00;0.00;0.00;7274;100245;430076;400980;103;33;0;0;1820416;25660672;0.00;0.00;0.00;7111;100237;429392;400948;103;33;0;0;
1535291522;2195016402;1828864;25650176;0.00;0.00;0.00;7144;100196;429360;400784;134;33;0;0;1856512;25634048;0.00;0.00;0.00;7252;100133;429540;400532;135;33;0;0;1821440;25635584;0.00;0.00;0.00;7115;100139;429016;400556;135;33;0;0;1851648;25632256;0.00;0.00;0.00;7233;100126;429436;400504;135;33;0;0;1832704;25732352;0.00;0.00;0.00;7159;100517;430704;402068;134;33;0;0;1838080;25885184;0.00;0.00;0.00;7180;101114;433176;404456;135;33;0;0;1929728;26006528;0.00;0.00;0.00;7538;101588;436504;406352;102;33;0;0;1919744;26043904;0.00;0.00;0.00;7499;101734;436932;406936;103;33;0;0;1865216;26071552;0.00;0.00;0.00;7286;101842;436512;407368;102;33;0;0;1866240;26243328;0.00;0.00;0.00;7290;102513;439212;410052;102;33;0;0;1909504;26343168;0.00;0.00;0.00;7459;102903;441448;411612;102;33;0;0;1882112;26424064;0.00;0.00;0.00;7352;103219;442284;412876;103;33;0;0;
