# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 09:48:17 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535291298;2195065000;1844736;25734400;0.00;0.00;0.00;7206;100525;430924;402100;135;33;0;0;1878528;25881344;0.00;0.00;0.00;7338;101099;433748;404396;135;33;0;0;1838080;25955584;0.00;0.00;0.00;7180;101389;434276;405556;135;33;0;0;1874432;26042880;0.00;0.00;0.00;7322;101730;436208;406920;135;33;0;0;1815296;25998848;0.00;0.00;0.00;7091;101558;434596;406232;136;33;0;0;1865472;26095360;0.00;0.00;0.00;7287;101935;436888;407740;136;33;0;0;1848064;26097408;0.00;0.00;0.00;7219;101943;436648;407772;103;33;0;0;1919744;26130432;0.00;0.00;0.00;7499;102072;438284;408288;103;33;0;0;1837312;26090240;0.00;0.00;0.00;7177;101915;436368;407660;103;33;0;0;1890304;26101504;0.00;0.00;0.00;7384;101959;437372;407836;103;33;0;0;1899008;26117376;0.00;0.00;0.00;7418;102021;437756;408084;103;33;0;0;1844480;26098176;0.00;0.00;0.00;7205;101946;436604;407784;103;33;0;0;
1535291299;2194918200;1839360;25599744;0.00;0.00;0.00;7185;99999;428736;399996;134;33;0;0;1878272;25584896;0.00;0.00;0.00;7337;99941;429112;399764;134;33;0;0;1821696;25583360;0.00;0.00;0.00;7116;99935;428204;399740;135;33;0;0;1824512;25605376;0.00;0.00;0.36;7127;100021;428592;400084;135;33;0;0;1776384;25615872;0.00;0.00;0.00;6939;100062;428004;400248;134;33;0;0;1832704;25776896;0.00;0.00;0.00;7159;100691;431400;402764;134;33;0;0;1861632;25883392;0.00;0.00;0.00;7272;101107;433516;404428;102;33;0;0;1892352;25973248;0.00;0.00;0.00;7392;101458;435400;405832;102;33;0;0;1838336;26055424;0.00;0.00;0.00;7181;101779;435840;407116;103;33;0;0;1947136;26212608;0.00;0.00;0.00;7606;102393;439996;409572;102;33;0;0;1920000;26295296;0.00;0.00;0.00;7500;102716;440864;410864;102;33;0;0;1856000;26366208;0.00;0.00;0.00;7250;102993;440972;411972;102;33;0;0;
1535291300;2194906210;1858560;25639680;0.00;0.00;0.00;7260;100155;429660;400620;136;33;0;0;1874176;25588992;0.00;0.00;0.00;7321;99957;429112;399828;136;33;0;0;1801472;25512704;0.00;0.00;0.00;7037;99659;426784;398636;136;33;0;0;1812480;25470208;0.00;0.00;0.00;7080;99493;426292;397972;136;33;0;0;1769472;25367808;0.00;0.00;0.00;6912;99093;424020;396372;136;33;0;0;1798656;25380608;0.00;0.00;0.00;7026;99143;424676;396572;136;33;0;0;1791488;25326592;0.00;0.00;0.00;6998;98932;423720;395728;103;33;0;0;1845504;25303552;0.00;0.00;0.00;7209;98842;424204;395368;103;33;0;0;1801472;25252352;0.00;0.00;0.00;7037;98642;422716;394568;102;33;0;0;1837568;25215744;0.00;0.00;0.00;7178;98499;422708;393996;103;33;0;0;1829888;25158400;0.00;0.00;0.00;7148;98275;421692;393100;103;33;0;0;1772800;25098496;0.00;0.00;0.00;6925;98041;419864;392164;103;33;0;0;
1535291301;2194953682;1840384;25707776;0.00;0.00;0.00;7189;100421;430440;401684;134;33;0;0;1904384;25797888;0.00;0.00;0.00;7439;100773;432848;403092;134;33;0;0;1827840;25817088;0.00;0.00;0.00;7140;100848;431952;403392;134;33;0;0;1867008;25893376;0.00;0.00;0.00;7293;101146;433756;404584;134;33;0;0;1799936;25862400;0.00;0.00;0.00;7031;101025;432224;404100;134;33;0;0;1843456;25985024;0.00;0.00;0.00;7201;101504;434820;406016;134;33;0;0;1851904;26044160;0.00;0.00;0.00;7234;101735;435876;406940;102;33;0;0;1902336;26116864;0.00;0.00;0.00;7431;102019;437800;408076;101;33;0;0;1850624;26150912;0.00;0.00;0.00;7229;102152;437524;408608;101;33;0;0;1898752;26206464;0.00;0.00;0.00;7417;102369;439144;409476;101;33;0;0;1924352;26283264;0.00;0.00;0.00;7517;102669;440744;410676;102;33;0;0;1877760;26333440;0.00;0.00;0.00;7335;102865;440800;411460;101;33;0;0;
1535291302;2194904250;1842944;25669376;0.00;0.00;0.00;7199;100271;429880;401084;135;33;0;0;1869568;25674496;0.00;0.00;0.00;7303;100291;430376;401164;135;33;0;0;1803776;25641728;0.00;0.00;0.00;7046;100163;428836;400652;136;33;0;0;1845760;25665792;0.00;0.00;0.00;7210;100257;429868;401028;135;33;0;0;1786880;25596928;0.00;0.00;0.00;6980;99988;427872;399952;135;33;0;0;1821952;25662464;0.00;0.00;0.00;7117;100244;429444;400976;135;33;0;0;1835008;25671424;0.00;0.00;0.00;7168;100279;429788;401116;101;33;0;0;1870080;25672960;0.00;0.00;0.00;7305;100285;430360;401140;102;33;0;0;1828096;25666048;0.00;0.00;0.00;7141;100258;429596;401032;102;33;0;0;1863424;25665280;0.00;0.00;0.00;7279;100255;430136;401020;102;33;0;0;1878528;25680384;0.00;0.00;0.00;7338;100314;430608;401256;102;33;0;0;1825280;25663744;0.00;0.00;0.00;7130;100249;429516;400996;102;33;0;0;
1535291303;2194983894;1847296;25666048;0.00;0.00;0.00;7216;100258;429896;401032;135;33;0;0;1839104;25648128;0.00;0.00;0.00;7184;100188;429488;400752;135;33;0;0;1819136;25659904;0.00;0.00;0.00;7106;100234;429360;400936;134;33;0;0;1818112;25648896;0.00;0.00;0.00;7102;100191;429172;400764;135;33;0;0;1795584;25606144;0.00;0.00;0.27;7014;100024;428152;400096;135;33;0;0;1829120;25667840;0.00;0.00;0.00;7145;100265;429640;401060;135;33;0;0;1825024;25663488;0.00;0.00;0.00;7129;100248;429508;400992;102;33;0;0;1888512;25686784;0.00;0.00;0.00;7377;100339;430864;401356;102;33;0;0;1829120;25669888;0.00;0.00;0.00;7145;100273;429672;401092;102;33;0;0;1891584;25685760;0.00;0.00;0.00;7389;100335;430896;401340;102;33;0;0;1878784;25675776;0.00;0.00;0.00;7339;100296;430540;401184;102;33;0;0;1830912;25668352;0.00;0.00;0.00;7152;100267;429676;401068;103;33;0;0;
1535291304;2194950122;1831168;25660416;0.00;0.00;0.00;7153;100236;429556;400944;135;33;0;0;1887232;25682176;0.00;0.00;0.00;7372;100321;430772;401284;135;33;0;0;1833728;25668608;0.00;0.00;0.00;7163;100268;429724;401072;135;33;0;0;1847552;25671424;0.00;0.00;0.00;7217;100279;429984;401116;135;33;0;0;1800448;25603328;0.00;0.00;0.61;7033;100013;428184;400052;135;33;0;0;1831168;25664256;0.00;0.00;0.00;7153;100251;429616;401004;135;33;0;0;1840896;25672960;0.00;0.00;0.00;7191;100285;429904;401140;102;33;0;0;1880320;25670656;0.00;0.00;0.00;7345;100276;430484;401104;102;33;0;0;1829888;25662208;0.00;0.00;0.00;7148;100243;429564;400972;102;33;0;0;1859840;25650176;0.00;0.00;0.00;7265;100196;429844;400784;102;33;0;0;2018560;25790208;0.00;0.00;0.00;7885;100743;434512;402972;102;33;0;0;1794304;25627136;0.00;0.00;0.00;7009;100106;428460;400424;103;33;0;0;
1535291305;2194906568;1843968;25670400;0.00;0.00;0.00;7203;100275;429912;401100;135;33;0;0;1887744;25687040;0.00;0.00;0.00;7374;100340;430856;401360;135;33;0;0;1834240;25672192;0.00;0.00;0.00;7165;100282;429788;401128;135;33;0;0;1822208;25650176;0.00;0.00;0.00;7118;100196;429256;400784;135;33;0;0;1809920;25617664;0.00;0.00;0.00;7070;100069;428556;400276;135;33;0;0;1811456;25651712;0.00;0.00;0.00;7076;100202;429112;400808;135;33;0;0;1826304;25665536;0.00;0.00;0.00;7134;100256;429560;401024;102;33;0;0;1881600;25685760;0.00;0.00;0.00;7350;100335;430740;401340;102;33;0;0;1818880;25660416;0.00;0.00;0.00;7105;100236;429364;400944;103;33;0;0;1873920;25667328;0.00;0.00;0.00;7320;100263;430332;401052;102;33;0;0;1865216;25663488;0.00;0.00;0.00;7286;100248;430136;400992;102;33;0;0;1827072;25666560;0.00;0.00;0.00;7137;100260;429588;401040;102;33;0;0;
1535291306;2194959724;1831680;25656320;0.00;0.00;0.00;7155;100220;429500;400880;135;33;0;0;1869312;25677056;0.00;0.00;0.00;7302;100301;430412;401204;135;33;0;0;1803520;25643008;0.00;0.00;0.00;7045;100168;428852;400672;135;33;0;0;1854464;25682944;0.00;0.00;0.00;7244;100324;430272;401296;135;33;0;0;1789696;25605888;0.00;0.00;0.30;6991;100023;428056;400092;135;33;0;0;1799424;25642496;0.00;0.00;0.00;7029;100166;428780;400664;135;33;0;0;1841920;25680896;0.00;0.00;0.00;7195;100316;430044;401264;102;33;0;0;1881088;25683200;0.00;0.00;0.00;7348;100325;430692;401300;102;33;0;0;1832704;25675776;0.00;0.00;0.00;7159;100296;429820;401184;102;33;0;0;1867520;25672192;0.00;0.00;0.00;7295;100282;430308;401128;102;33;0;0;1850368;25675008;0.00;0.00;0.00;7228;100293;430084;401172;103;33;0;0;1822464;25761536;0.00;0.00;0.00;7119;100631;431000;402524;135;33;0;0;
1535291307;2194995160;1836032;25760000;0.00;0.00;0.00;7172;100625;431188;402500;102;33;0;0;1890048;25850112;0.00;0.00;0.00;7383;100977;433440;403908;102;33;0;0;1822720;25799424;0.00;0.00;0.00;7120;100779;431596;403116;103;33;0;0;1864960;25763328;0.00;0.00;0.00;7285;100638;431692;402552;103;33;0;0;1786112;25603328;0.00;0.00;0.61;6977;100013;427960;400052;103;33;0;0;1808384;25558784;0.00;0.00;0.00;7064;99839;427612;399356;103;33;0;0;1798912;25450752;0.00;0.00;0.00;7027;99417;425776;397668;136;33;0;0;1854976;25384960;0.00;0.00;0.00;7246;99160;425624;396640;136;33;0;0;1783552;25252608;0.00;0.00;0.00;6967;98643;422440;394572;135;33;0;0;1868288;25358336;0.00;0.00;0.00;7298;99056;425416;396224;135;33;0;0;1840640;25389824;0.00;0.00;0.00;7190;99179;425476;396716;134;33;0;0;1780480;25269504;0.00;0.00;0.00;6955;98709;422656;394836;134;33;0;0;
