# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 09:14:58 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535289299;2195016832;1843712;25665792;0.00;0.00;0.00;7202;100257;429836;401028;134;33;0;0;1859328;25749248;0.00;0.00;0.00;7263;100583;431384;402332;135;33;0;0;1844224;25849856;0.00;0.00;0.00;7204;100976;432720;403904;136;33;0;0;1856000;25895424;0.00;0.00;0.00;7250;101154;433616;404616;136;33;0;0;1804032;25872640;0.00;0.00;0.00;7047;101065;432448;404260;136;33;0;0;1822976;25931008;0.00;0.00;0.00;7121;101293;433656;405172;136;33;0;0;1895168;25959168;0.00;0.00;0.00;7403;101403;435224;405612;103;33;0;0;1922560;26011648;0.00;0.00;0.00;7510;101608;436472;406432;103;33;0;0;1846784;25973760;0.00;0.00;0.00;7214;101460;434696;405840;103;33;0;0;1893888;25970176;0.00;0.00;0.00;7398;101446;435376;405784;103;33;0;0;1875968;25963520;0.00;0.00;0.00;7328;101420;434992;405680;103;33;0;0;1847040;25973248;0.00;0.00;0.00;7215;101458;434692;405832;103;33;0;0;
1535289300;2195094954;1865984;25689600;0.00;0.00;0.00;7289;100350;430556;401400;134;33;0;0;1884160;25721856;0.00;0.00;0.00;7360;100476;431344;401904;135;33;0;0;1832960;25720320;0.00;0.00;0.00;7160;100470;430520;401880;134;33;0;0;1882112;25772800;0.00;0.00;0.00;7352;100675;432108;402700;135;33;0;0;1794560;25659904;0.00;0.00;0.00;7010;100234;428976;400936;135;33;0;0;1823232;25733376;0.00;0.00;0.00;7122;100521;430572;402084;136;33;0;0;1871104;25751552;0.00;0.00;0.00;7309;100592;431604;402368;103;33;0;0;1908224;25778432;0.00;0.00;0.00;7454;100697;432604;402788;103;33;0;0;1830656;25745920;0.00;0.00;0.00;7151;100570;430884;402280;103;33;0;0;1854464;25729280;0.00;0.00;0.00;7244;100505;430996;402020;103;33;0;0;1853952;25742592;0.00;0.00;0.00;7242;100557;431196;402228;103;33;0;0;1833216;25754368;0.00;0.00;0.00;7161;100603;431056;402412;103;33;0;0;
1535289301;2195097938;1863680;25697536;0.00;0.00;0.00;7280;100381;430644;401524;134;33;0;0;1883904;25712640;0.00;0.00;0.00;7359;100440;431196;401760;134;33;0;0;1816320;25782016;0.00;0.00;0.00;7095;100711;431224;402844;135;33;0;0;1865984;25918976;0.00;0.00;0.00;7289;101246;434140;404984;134;33;0;0;1824000;26027008;0.00;0.00;0.00;7125;101668;435172;406672;134;33;0;0;1871872;26244608;0.00;0.00;0.00;7312;102518;439320;410072;134;33;0;0;1915392;26360064;0.00;0.00;0.00;7482;102969;441804;411876;102;33;0;0;1934336;26554368;0.00;0.00;0.00;7556;103728;445136;414912;102;33;0;0;1902592;26688512;0.00;0.00;0.00;7432;104252;446736;417008;102;33;0;0;1947136;26773248;0.00;0.00;0.00;7606;104583;448756;418332;102;33;0;0;1952512;26965248;0.00;0.00;0.00;7627;105333;451840;421332;102;33;0;0;1907200;27088384;0.00;0.00;0.00;7450;105814;453056;423256;102;33;0;0;
1535289302;2195098488;1833728;25662208;0.00;0.00;0.00;7163;100243;429624;400972;138;34;0;0;1900800;25672960;0.00;0.00;0.00;7425;100285;430840;401140;134;33;0;0;1816064;25640448;0.00;0.00;0.00;7094;100158;429008;400632;134;33;0;0;1827840;25614848;0.00;0.00;0.00;7140;100058;428792;400232;134;33;0;0;1760256;25490432;0.00;0.00;0.00;6876;99572;425792;398288;134;33;0;0;1826816;25582592;0.00;0.00;0.00;7136;99932;428272;399728;135;33;0;0;1868544;25557760;0.00;0.00;0.00;7299;99835;428536;399340;101;33;0;0;1916928;25611520;0.00;0.00;0.00;7488;100045;430132;400180;102;33;0;0;1810688;25546752;0.00;0.00;0.00;7073;99792;427460;399168;102;33;0;0;1856256;25564416;0.00;0.00;0.00;7251;99861;428448;399444;101;33;0;0;1855232;25569792;0.00;0.00;0.00;7247;99882;428516;399528;101;33;0;0;1803008;25516288;0.00;0.00;0.00;7043;99673;426864;398692;101;33;0;0;
1535289303;2195090908;1841664;25669376;0.00;0.00;0.00;7194;100271;429860;401084;140;34;0;0;1877248;25658368;0.00;0.00;0.00;7333;100228;430244;400912;134;33;0;0;1805568;25544448;0.00;0.00;0.00;7053;99783;427344;399132;134;33;0;0;1843712;25598464;0.00;0.00;0.00;7202;99994;428784;399976;134;33;0;0;1800960;25511424;0.00;0.00;0.00;7035;99654;426756;398616;135;33;0;0;1798400;25452544;0.00;0.00;0.00;7025;99424;425796;397696;134;33;0;0;1880064;25444608;0.00;0.00;0.00;7344;99393;426948;397572;102;33;0;0;1867008;25359872;0.00;0.00;0.00;7293;99062;425420;396248;101;33;0;0;1812992;25416448;0.00;0.00;0.00;7082;99283;425460;397132;102;33;0;0;1858816;25458688;0.00;0.00;0.00;7261;99448;426836;397792;101;33;0;0;1863936;25412096;0.00;0.00;0.00;7281;99266;426188;397064;101;33;0;0;1814272;25479424;0.00;0.00;0.00;7087;99529;426464;398116;102;33;0;0;
1535289304;2195085450;1841152;25667072;0.00;0.00;0.00;7192;100262;429816;401048;149;34;0;0;1854976;25688320;0.00;0.00;0.00;7246;100345;430364;401380;135;33;0;0;1822976;25787392;0.00;0.00;0.00;7121;100732;431412;402928;135;33;0;0;1845504;25757440;0.00;0.00;0.00;7209;100615;431296;402460;134;33;0;0;1782016;25658624;0.00;0.00;0.00;6961;100229;428760;400916;135;33;0;0;1830656;25817600;0.00;0.00;0.00;7151;100850;432004;403400;135;33;0;0;1899520;25866752;0.00;0.00;0.00;7420;101042;433848;404168;102;33;0;0;1900288;25873664;0.00;0.00;0.00;7423;101069;433968;404276;101;33;0;0;1824512;25728256;0.00;0.00;0.00;7127;100501;430512;402004;102;33;0;0;1870848;25765376;0.00;0.00;0.00;7308;100646;431816;402584;101;33;0;0;1906944;25786624;0.00;0.00;0.00;7449;100729;432712;402916;102;33;0;0;1812480;25614080;0.00;0.00;0.00;7080;100055;428540;400220;101;33;0;0;
1535289305;2195044402;1861632;25677056;0.00;0.00;0.00;7272;100301;430292;401204;154;34;0;0;1885440;25668352;0.00;0.00;0.00;7365;100267;430528;401068;134;33;0;0;1833984;25674496;0.00;0.00;0.00;7164;100291;429820;401164;134;33;0;0;1816832;25648128;0.00;0.00;0.00;7097;100188;429140;400752;135;33;0;0;1800704;25702400;0.00;0.00;0.00;7034;100400;429736;401600;135;33;0;0;1824000;25726976;0.00;0.00;0.00;7125;100496;430484;401984;134;33;0;0;1900032;25790208;0.00;0.00;0.00;7422;100743;432660;402972;102;33;0;0;1906176;25891072;0.00;0.00;0.00;7446;101137;434332;404548;102;33;0;0;1854976;25988096;0.00;0.00;0.00;7246;101516;435048;406064;102;33;0;0;1909248;25962240;0.00;0.00;0.00;7458;101415;435492;405660;101;33;0;0;1905152;26051840;0.00;0.00;0.00;7442;101765;436828;407060;101;33;0;0;1868288;26125824;0.00;0.00;0.00;7298;102054;437408;408216;102;33;0;0;
1535289306;2195038222;1839104;25656064;0.00;0.00;0.00;7184;100219;429612;400876;161;33;0;0;1941760;25698816;0.00;0.00;0.00;7585;100386;431884;401544;134;33;0;0;1808896;25545216;0.00;0.00;0.00;7066;99786;427408;399144;134;33;0;0;1815552;25583104;0.00;0.00;0.00;7092;99934;428104;399736;134;33;0;0;1790720;25464064;0.00;0.00;0.00;6995;99469;425856;397876;134;33;0;0;1814784;25537792;0.00;0.00;0.00;7089;99757;427384;399028;135;33;0;0;1868800;25481728;0.00;0.00;0.00;7300;99538;427352;398152;101;33;0;0;1871616;25469184;0.00;0.00;0.00;7311;99489;427200;397956;101;33;0;0;1812224;25425408;0.00;0.00;0.00;7079;99318;425588;397272;101;33;0;0;1870080;25452288;0.00;0.00;0.00;7305;99423;426912;397692;101;33;0;0;1832192;25420032;0.00;0.00;0.00;7157;99297;425816;397188;101;33;0;0;1807104;25465088;0.00;0.00;0.00;7059;99473;426128;397892;102;33;0;0;
1535289307;2195028646;1849088;25666304;0.00;0.00;0.00;7223;100259;429928;401036;154;33;0;0;1943296;25710336;0.00;0.00;0.00;7591;100431;432088;401724;135;33;0;0;1826560;25711104;0.00;0.00;0.00;7135;100434;430276;401736;134;33;0;0;1855744;25690368;0.00;0.00;0.00;7249;100353;430408;401412;135;33;0;0;1785088;25696256;0.00;0.00;0.00;6973;100376;429396;401504;135;33;0;0;1844736;25758720;0.00;0.00;0.00;7206;100620;431304;402480;134;33;0;0;1855488;25797888;0.00;0.00;0.00;7248;100773;432084;403092;102;33;0;0;1923072;25878272;0.00;0.00;0.00;7512;101087;434396;404348;101;33;0;0;1830400;25859584;0.00;0.00;0.00;7150;101014;432656;404056;101;33;0;0;1895424;25843200;0.00;0.00;0.00;7404;100950;433416;403800;101;33;0;0;1883392;25869568;0.00;0.00;0.00;7357;101053;433640;404212;101;33;0;0;1829632;25844736;0.00;0.00;0.00;7147;100956;432412;403824;101;33;0;0;
1535289308;2195093516;1851392;25672192;0.00;0.00;0.00;7232;100282;430056;401128;151;33;0;0;1962496;25800960;0.00;0.00;0.00;7666;100785;433804;403140;135;33;0;0;1839360;25668864;0.00;0.00;0.00;7185;100269;429816;401076;134;33;0;0;1820672;25576960;0.00;0.00;0.00;7112;99910;428088;399640;134;33;0;0;1804800;25537024;0.00;0.00;0.00;7050;99754;427216;399016;134;33;0;0;1805824;25498880;0.00;0.00;0.00;7054;99605;426636;398420;135;33;0;0;1847296;25472000;0.00;0.00;0.00;7216;99500;426864;398000;101;33;0;0;1864960;25452544;0.00;0.00;0.00;7285;99424;426836;397696;101;33;0;0;1818368;25399552;0.00;0.00;0.00;7103;99217;425280;396868;101;33;0;0;1825792;25310976;0.00;0.00;0.00;7132;98871;424012;395484;101;33;0;0;1831168;25333504;0.00;0.00;0.00;7153;98959;424448;395836;102;33;0;0;1788672;25271296;0.00;0.00;0.00;6987;98716;422812;394864;101;33;0;0;
