# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 10:13:53 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535292834;2195038108;1840640;25744128;0.00;0.00;0.00;7190;100563;431012;402252;135;33;0;0;1884672;25918976;0.00;0.00;0.00;7362;101246;434432;404984;135;33;0;0;1842176;25992192;0.00;0.00;0.00;7196;101532;434912;406128;135;33;0;0;1855232;26036992;0.00;0.00;0.00;7247;101707;435816;406828;136;33;0;0;1824256;26031616;0.00;0.00;0.00;7126;101686;435248;406744;136;33;0;0;1846784;26097152;0.00;0.00;0.00;7214;101942;436624;407768;136;33;0;0;1898496;26109696;0.00;0.00;0.00;7416;101991;437628;407964;103;33;0;0;1927424;26129664;0.00;0.00;0.00;7529;102069;438392;408276;103;33;0;0;1829120;26084352;0.00;0.00;0.00;7145;101892;436148;407568;103;33;0;0;1903104;26124544;0.00;0.00;0.00;7434;102049;437932;408196;103;33;0;0;1904128;26107392;0.00;0.00;0.00;7438;101982;437680;407928;103;33;0;0;1878784;26129920;0.00;0.00;0.00;7339;102070;437636;408280;103;33;0;0;
1535292835;2195023006;1837568;25663488;0.00;0.00;0.00;7178;100248;429704;400992;134;33;0;0;1865216;25662976;0.00;0.00;0.00;7286;100246;430128;400984;135;33;0;0;1822976;25654272;0.00;0.00;0.00;7121;100212;429332;400848;135;33;0;0;1848064;25659904;0.00;0.00;0.00;7219;100234;429812;400936;135;33;0;0;1802496;25604096;0.00;0.00;0.52;7041;100016;428228;400064;135;33;0;0;1823744;25655808;0.00;0.00;0.00;7124;100218;429368;400872;136;33;0;0;1908992;25690624;0.00;0.00;0.00;7457;100354;431244;401416;103;33;0;0;1879296;25683968;0.00;0.00;0.00;7341;100328;430676;401312;103;33;0;0;1833984;25842688;0.00;0.00;0.00;7164;100948;432448;403792;102;33;0;0;1893376;25970688;0.00;0.00;0.00;7396;101448;435376;405792;102;33;0;0;1910528;26044672;0.00;0.00;0.00;7463;101737;436800;406948;103;33;0;0;1843456;26070016;0.00;0.00;0.00;7201;101836;436148;407344;103;33;0;0;
1535292836;2195113998;1858048;25681664;0.00;0.00;0.00;7258;100319;430308;401276;134;33;0;0;1891584;25676288;0.00;0.00;0.00;7389;100298;430748;401192;135;33;0;0;1820416;25649152;0.00;0.00;0.00;7111;100192;429212;400768;136;33;0;0;1839616;25679872;0.00;0.00;0.00;7186;100312;429992;401248;134;33;0;0;1794816;25634816;0.00;0.00;0.00;7011;100136;428588;400544;134;33;0;0;1844992;25874688;0.00;0.00;0.00;7207;101073;433120;404292;136;33;0;0;1924608;26043648;0.00;0.00;0.00;7518;101733;437004;406932;102;33;0;0;1934080;26152192;0.00;0.00;0.00;7555;102157;438848;408628;102;33;0;0;1850880;26040064;0.00;0.00;0.00;7230;101719;435796;406876;101;33;0;0;1932032;26129408;0.00;0.00;0.00;7547;102068;438460;408272;102;33;0;0;1928192;26194688;0.00;0.00;0.00;7532;102323;439420;409292;101;33;0;0;1865984;26329856;0.00;0.00;0.00;7289;102851;440560;411404;101;33;0;0;
1535292837;2195039498;1847552;25668096;0.00;0.00;0.00;7217;100266;429932;401064;135;34;0;0;1862656;25654784;0.00;0.00;0.00;7276;100214;429960;400856;135;33;0;0;1804800;25624832;0.00;0.00;0.00;7050;100097;428588;400388;135;33;0;0;1839872;25616384;0.00;0.00;0.00;7187;100064;429004;400256;135;33;0;0;1809408;25567744;0.00;0.00;0.00;7068;99874;427768;399496;134;33;0;0;1810176;25589248;0.00;0.00;0.00;7071;99958;428116;399832;134;33;0;0;1893120;25603328;0.00;0.00;0.61;7395;100013;429632;400052;102;33;0;0;1903104;25589760;0.00;0.00;0.00;7434;99960;429576;399840;103;33;0;0;1799424;25486592;0.00;0.00;0.00;7029;99557;426344;398228;103;33;0;0;1851392;25354496;0.00;0.00;0.00;7232;99041;425092;396164;102;33;0;0;1833984;25211392;0.00;0.00;0.00;7164;98482;422584;393928;102;33;0;0;1790720;25157888;0.00;0.00;0.00;6995;98273;421072;393092;101;33;0;0;
1535292838;2195102272;1856512;25681152;0.00;0.00;0.00;7252;100317;430276;401268;146;33;0;0;1846528;25655296;0.00;0.00;0.00;7213;100216;429716;400864;135;33;0;0;1831936;25671424;0.00;0.00;0.00;7156;100279;429740;401116;134;33;0;0;1830400;25665536;0.00;0.00;0.00;7150;100256;429624;401024;135;33;0;0;1825024;25644544;0.00;0.00;0.00;7129;100174;429212;400696;134;33;0;0;1816576;25659392;0.00;0.00;0.00;7096;100232;429312;400928;135;33;0;0;1887232;25709568;0.00;0.00;0.00;7372;100428;431200;401712;102;33;0;0;1882112;25713664;0.00;0.00;0.00;7352;100444;431184;401776;101;33;0;0;1812736;25680384;0.00;0.00;0.00;7081;100314;429580;401256;102;33;0;0;1875456;25712896;0.00;0.00;0.00;7326;100441;431068;401764;103;33;0;0;1886720;25745408;0.00;0.00;0.00;7370;100568;431752;402272;102;33;0;0;1815040;25717504;0.00;0.00;0.00;7090;100459;430196;401836;101;33;0;0;
1535292839;2195040804;1842944;25664512;0.00;0.00;0.00;7199;100252;429804;401008;154;33;0;0;1844992;25686016;0.00;0.00;0.00;7207;100336;430172;401344;135;33;0;0;1836800;25808384;0.00;0.00;0.00;7175;100814;431956;403256;135;33;0;0;1840640;25856512;0.00;0.00;0.00;7190;101002;432768;404008;134;33;0;0;1866240;25902848;0.00;0.00;0.00;7290;101183;433892;404732;135;33;0;0;1830912;25753600;0.00;0.00;0.00;7152;100600;431008;402400;135;33;0;0;1907968;25669376;0.00;0.00;0.00;7453;100271;430896;401084;103;33;0;0;1889792;25745408;0.00;0.00;0.00;7382;100568;431800;402272;102;33;0;0;1831936;25816576;0.00;0.00;0.00;7156;100846;432008;403384;101;33;0;0;1863936;25848576;0.00;0.00;0.00;7281;100971;433008;403884;102;33;0;0;1867008;25854464;0.00;0.00;0.00;7293;100994;433148;403976;103;33;0;0;1824256;25745408;0.00;0.00;0.00;7126;100568;430776;402272;103;33;0;0;
1535292840;2195108138;1833472;25661184;0.00;0.00;0.00;7162;100239;429604;400956;138;33;0;0;1870336;25687296;0.00;0.00;0.00;7306;100341;430588;401364;134;33;0;0;1817600;25567488;0.00;0.00;0.00;7100;99873;427892;399492;134;33;0;0;1825536;25528064;0.00;0.00;0.00;7131;99719;427400;398876;136;33;0;0;1783296;25430272;0.00;0.00;0.00;6966;99337;425212;397348;135;33;0;0;1803520;25475840;0.00;0.00;0.00;7045;99515;426240;398060;134;33;0;0;1875456;25642496;0.00;0.00;0.00;7326;100166;429968;400664;102;33;0;0;1857792;25590016;0.00;0.00;0.00;7257;99961;428872;399844;101;33;0;0;1822720;25527040;0.00;0.00;0.00;7120;99715;427340;398860;101;33;0;0;1875968;25533184;0.00;0.00;0.00;7328;99739;428268;398956;101;33;0;0;1863168;25540864;0.00;0.00;0.00;7278;99769;428188;399076;102;33;0;0;1829120;25583616;0.00;0.00;0.00;7145;99936;428324;399744;102;33;0;0;
1535292841;2195044134;1847552;25675264;0.00;0.00;0.00;7217;100294;430044;401176;134;33;0;0;1876480;25697280;0.00;0.00;0.00;7330;100380;430840;401520;135;33;0;0;1835776;25791744;0.00;0.00;0.00;7171;100749;431680;402996;135;33;0;0;1845504;25865472;0.00;0.00;0.00;7209;101037;432984;404148;134;33;0;0;1811968;25867776;0.00;0.00;0.00;7078;101046;432496;404184;134;33;0;0;1861376;25966848;0.00;0.00;0.00;7271;101433;434816;405732;135;33;0;0;1887744;25810176;0.00;0.00;0.00;7374;100821;432780;403284;102;33;0;0;1878272;25704192;0.00;0.00;0.00;7337;100407;430976;401628;103;33;0;0;1812224;25618688;0.00;0.00;0.00;7079;100073;428608;400292;102;33;0;0;1900032;25768960;0.00;0.00;0.00;7422;100660;432328;402640;102;33;0;0;1896192;25829120;0.00;0.00;0.00;7407;100895;433208;403580;101;33;0;0;1835008;25842688;0.00;0.00;0.00;7168;100948;432464;403792;102;33;0;0;
1535292842;2195025030;1842944;25665792;0.00;0.00;0.00;7199;100257;429824;401028;136;33;0;0;1872128;25653760;0.00;0.00;0.00;7313;100210;430092;400840;134;33;0;0;1803776;25533440;0.00;0.00;0.00;7046;99740;427144;398960;134;33;0;0;1825536;25441280;0.00;0.00;0.00;7131;99380;426044;397520;136;33;0;0;1791744;25354496;0.00;0.00;0.00;6999;99041;424160;396164;136;33;0;0;1815808;25371392;0.00;0.00;0.00;7093;99107;424800;396428;134;33;0;0;1860352;25524992;0.00;0.00;0.00;7267;99707;427896;398828;101;33;0;0;1863424;25661696;0.00;0.00;0.00;7279;100241;430080;400964;102;33;0;0;1818368;25730048;0.00;0.00;0.00;7103;100508;430444;402032;101;33;0;0;1879296;25611008;0.00;0.00;0.00;7341;100043;429536;400172;102;33;0;0;1849088;25494528;0.00;0.00;0.00;7223;99588;427244;398352;103;33;0;0;1786112;25420800;0.00;0.00;0.00;6977;99300;425108;397200;101;33;0;0;
1535292843;2195031762;1824256;25649152;0.00;0.00;0.00;7126;100192;429272;400768;141;33;0;0;1889536;25682944;0.00;0.00;0.00;7381;100324;430820;401296;135;33;0;0;1821696;25651200;0.00;0.00;0.00;7116;100200;429264;400800;135;33;0;0;1839360;25653760;0.00;0.00;0.00;7185;100210;429580;400840;135;33;0;0;1790720;25592064;0.00;0.00;0.00;6995;99969;427856;399876;135;33;0;0;1824768;25804800;0.00;0.00;0.00;7128;100800;431712;403200;134;33;0;0;1868544;25731840;0.00;0.00;0.00;7299;100515;431256;402060;101;33;0;0;1889792;25678336;0.00;0.00;0.00;7382;100306;430752;401224;103;33;0;0;1804032;25657344;0.00;0.00;0.00;7047;100224;429084;400896;103;33;0;0;1859840;25642496;0.00;0.00;0.00;7265;100166;429724;400664;101;33;0;0;1868288;25776128;0.00;0.00;0.00;7298;100688;431944;402752;101;33;0;0;1826304;25771520;0.00;0.00;0.00;7134;100670;431216;402680;103;33;0;0;
