# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 10:17:31 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535293052;2195074096;1837056;25728256;0.00;0.00;0.00;7176;100501;430708;402004;135;33;0;0;1836032;25724160;0.00;0.00;0.00;7172;100485;430628;401940;134;33;0;0;1828096;25712640;0.00;0.00;0.00;7141;100440;430324;401760;135;33;0;0;1831168;25696768;0.00;0.00;0.00;7153;100378;430124;401512;136;33;0;0;1804288;25637120;0.00;0.00;0.00;7048;100145;428772;400580;135;33;0;0;1828608;25689856;0.00;0.00;0.00;7143;100351;429976;401404;135;33;0;0;1886976;25725696;0.00;0.00;0.00;7371;100491;431448;401964;102;33;0;0;1887744;25899776;0.00;0.00;0.00;7374;101171;434180;404684;102;33;0;0;1836032;25917184;0.00;0.00;0.00;7172;101239;433644;404956;103;33;0;0;1899264;25964800;0.00;0.00;0.00;7419;101425;435376;405700;103;33;0;0;1898496;25996544;0.00;0.00;0.00;7416;101549;435860;406196;103;33;0;0;1854720;26028800;0.00;0.00;0.00;7245;101675;435680;406700;103;33;0;0;
1535293053;2194900296;1802752;25536256;0.00;0.00;0.00;7042;99751;427172;399004;135;33;0;0;1834240;25441792;0.00;0.00;0.00;7165;99382;426188;397528;135;33;0;0;1812224;25426944;0.00;0.00;0.00;7079;99324;425612;397296;136;33;0;0;1806592;25396992;0.00;0.00;0.00;7057;99207;425056;396828;135;33;0;0;1775616;25379840;0.00;0.00;0.00;6936;99140;424304;396560;135;33;0;0;1805312;25462784;0.00;0.00;0.00;7052;99464;426064;397856;135;33;0;0;1873152;25502464;0.00;0.00;0.00;7317;99619;427744;398476;101;33;0;0;1875712;25401600;0.00;0.00;0.00;7327;99225;426208;396900;102;33;0;0;1802752;25384704;0.00;0.00;0.00;7042;99159;424804;396636;102;33;0;0;1887488;25453824;0.00;0.00;0.00;7373;99429;427208;397716;102;33;0;0;1872896;25462784;0.00;0.00;0.00;7316;99464;427120;397856;102;33;0;0;1794304;25446912;0.00;0.00;0.00;7009;99402;425644;397608;102;33;0;0;
1535293054;2194987364;1822720;25660928;0.00;0.00;0.00;7120;100238;429432;400952;135;33;0;0;1872128;25684480;0.00;0.00;0.00;7313;100330;430572;401320;136;33;0;0;1817856;25671424;0.00;0.00;0.00;7101;100279;429520;401116;135;33;0;0;1831168;25665792;0.00;0.00;0.00;7153;100257;429640;401028;135;33;0;0;1788160;25612544;0.00;0.00;0.00;6985;100049;428136;400196;135;33;0;0;1846272;25688832;0.00;0.00;0.00;7212;100347;430236;401388;135;33;0;0;1867008;25669888;0.00;0.00;0.00;7293;100273;430264;401092;103;33;0;0;1882624;25682944;0.00;0.00;0.00;7354;100324;430712;401296;102;33;0;0;1814016;25644800;0.00;0.00;0.00;7086;100175;429044;400700;102;33;0;0;1874176;25661440;0.00;0.00;0.00;7321;100240;430244;400960;102;33;0;0;1889536;25668352;0.00;0.00;0.00;7381;100267;430592;401068;102;33;0;0;1831936;25646592;0.00;0.00;0.00;7156;100182;429352;400728;102;33;0;0;
1535293055;2194940866;1843712;25739520;0.00;0.00;0.00;7202;100545;430988;402180;135;33;0;0;1864448;25830912;0.00;0.00;0.00;7283;100902;432740;403608;134;33;0;0;1831680;25908736;0.00;0.00;0.00;7155;101206;433444;404824;134;33;0;0;1883648;26018816;0.00;0.00;0.00;7358;101636;435976;406544;134;33;0;0;1818112;26023680;0.00;0.00;0.00;7102;101655;435028;406620;134;33;0;0;1860864;26171392;0.00;0.00;0.00;7269;102232;438004;408928;134;33;0;0;1928704;26274048;0.00;0.00;0.00;7534;102633;440668;410532;101;33;0;0;1930496;26354176;0.00;0.00;0.00;7541;102946;441948;411784;101;33;0;0;1864192;26403072;0.00;0.00;0.00;7282;103137;441676;412548;101;33;0;0;1957120;26524160;0.00;0.00;0.00;7645;103610;445020;414440;101;33;0;0;1944576;26595328;0.00;0.00;0.00;7596;103888;445936;415552;101;33;0;0;1907200;26680576;0.00;0.00;0.00;7450;104221;446684;416884;101;33;0;0;
1535293056;2194972424;1848832;25646848;0.00;0.00;0.00;7222;100183;429620;400732;135;33;0;0;1851136;25614848;0.00;0.00;0.00;7231;100058;429156;400232;135;33;0;0;1801984;25595392;0.00;0.00;0.00;7039;99982;428084;399928;135;33;0;0;1860608;25626880;0.00;0.00;0.00;7268;100105;429492;400420;135;33;0;0;1792256;25548288;0.00;0.00;0.00;7001;99798;427196;399192;135;33;0;0;1836032;25613568;0.00;0.00;0.00;7172;100053;428900;400212;135;33;0;0;1861120;25600000;0.00;0.00;0.00;7270;100000;429080;400000;102;33;0;0;1882112;25613056;0.00;0.00;0.00;7352;100051;429612;400204;102;33;0;0;1799168;25578240;0.00;0.00;0.00;7028;99915;427772;399660;102;33;0;0;1876736;25611264;0.00;0.00;0.00;7331;100044;429500;400176;103;33;0;0;1875456;25616896;0.00;0.00;0.00;7326;100066;429568;400264;102;33;0;0;1813760;25590784;0.00;0.00;0.00;7085;99964;428196;399856;104;33;0;0;
1535293057;2194910860;1851648;25670144;0.00;0.00;0.00;7233;100274;430028;401096;135;33;0;0;1855744;25657856;0.00;0.00;0.00;7249;100226;429900;400904;135;33;0;0;1827840;25661440;0.00;0.00;0.00;7140;100240;429520;400960;135;33;0;0;1831680;25653504;0.00;0.00;0.00;7155;100209;429456;400836;135;33;0;0;1803520;25614848;0.00;0.00;0.00;7045;100058;428412;400232;135;33;0;0;1813504;25649664;0.00;0.00;0.00;7084;100194;429112;400776;135;33;0;0;1865216;25660672;0.00;0.00;0.00;7286;100237;430092;400948;103;33;0;0;1900800;25693440;0.00;0.00;0.00;7425;100365;431160;401460;101;33;0;0;1818112;25655040;0.00;0.00;0.00;7102;100215;429268;400860;102;33;0;0;1899776;25680384;0.00;0.00;0.00;7421;100314;430940;401256;101;33;0;0;1871616;25668096;0.00;0.00;0.00;7311;100266;430308;401064;102;33;0;0;1827328;25660160;0.00;0.00;0.00;7138;100235;429492;400940;102;33;0;0;
1535293058;2194904036;1840384;25664512;0.00;0.00;0.00;7189;100252;429764;401008;135;33;0;0;1877760;25677056;0.00;0.00;0.00;7335;100301;430544;401204;135;33;0;0;1822208;25661952;0.00;0.00;0.00;7118;100242;429440;400968;135;33;0;0;1852672;25670400;0.00;0.00;0.00;7237;100275;430048;401100;135;33;0;0;1782528;25602048;0.00;0.00;0.76;6963;100008;427884;400032;135;33;0;0;1838848;25679872;0.00;0.00;0.00;7183;100312;429980;401248;135;33;0;0;1908480;25696000;0.00;0.00;0.00;7455;100375;431320;401500;102;33;0;0;1880576;25675520;0.00;0.00;0.00;7346;100295;430564;401180;102;33;0;0;1812992;25652992;0.00;0.00;0.00;7082;100207;429156;400828;103;33;0;0;1882880;25679360;0.00;0.00;0.00;7355;100310;430660;401240;102;33;0;0;1888000;25688320;0.00;0.00;0.00;7375;100345;430880;401380;102;33;0;0;1821952;25664256;0.00;0.00;0.00;7117;100251;429472;401004;102;33;0;0;
1535293059;2194985386;1842176;25668352;0.00;0.00;0.00;7196;100267;429852;401068;135;33;0;0;1891072;25687552;0.00;0.00;0.00;7387;100342;430916;401368;135;33;0;0;1811456;25649920;0.00;0.00;0.00;7076;100195;429084;400780;135;33;0;0;1847040;25667072;0.00;0.00;0.00;7215;100262;429908;401048;135;33;0;0;1778944;25583360;0.00;0.00;0.00;6949;99935;427536;399740;135;33;0;0;1807872;25642496;0.00;0.00;0.00;7062;100166;428912;400664;135;33;0;0;1872896;25669632;0.00;0.00;0.00;7316;100272;430352;401088;101;33;0;0;1915648;25702400;0.00;0.00;0.00;7483;100400;431532;401600;102;33;0;0;1810176;25646848;0.00;0.00;0.00;7071;100183;429016;400732;101;33;0;0;1881088;25679616;0.00;0.00;0.00;7348;100311;430636;401244;103;33;0;0;1883904;25681920;0.00;0.00;0.00;7359;100320;430716;401280;102;33;0;0;1822720;25656832;0.00;0.00;0.00;7120;100222;429368;400888;102;33;0;0;
1535293060;2194960138;1839104;25663232;0.00;0.00;0.00;7184;100247;429724;400988;135;33;0;0;1880576;25679616;0.00;0.00;0.00;7346;100311;430628;401244;134;33;0;0;1836800;25676032;0.00;0.00;0.00;7175;100297;429888;401188;135;33;0;0;1822720;25651712;0.00;0.00;0.00;7120;100202;429288;400808;135;33;0;0;1776384;25587968;0.00;0.00;0.00;6939;99953;427568;399812;135;33;0;0;1804800;25646336;0.00;0.00;0.00;7050;100181;428924;400724;134;33;0;0;1883136;25682432;0.00;0.00;0.00;7356;100322;430712;401288;102;33;0;0;1882880;25683712;0.00;0.00;0.00;7355;100327;430728;401308;102;33;0;0;1816832;25658880;0.00;0.00;0.00;7097;100230;429308;400920;102;33;0;0;1903616;25687040;0.00;0.00;0.00;7436;100340;431104;401360;101;33;0;0;1876736;25673728;0.00;0.00;0.00;7331;100288;430476;401152;102;33;0;0;1813504;25657088;0.00;0.00;0.00;7084;100223;429228;400892;102;33;0;0;
1535293061;2194971210;1853184;25674752;0.00;0.00;0.00;7239;100292;430124;401168;134;33;0;0;1857792;25659904;0.00;0.00;0.00;7257;100234;429964;400936;135;33;0;0;1819648;25658880;0.00;0.00;0.00;7108;100230;429352;400920;135;33;0;0;1846528;25671424;0.00;0.00;0.00;7213;100279;429968;401116;135;33;0;0;1809152;25611776;0.00;0.00;0.00;7067;100046;428452;400184;135;33;0;0;1802752;25640960;0.00;0.00;0.00;7042;100160;428808;400640;135;33;0;0;1881088;25676544;0.00;0.00;0.00;7348;100299;430588;401196;102;33;0;0;1875456;25675264;0.00;0.00;0.00;7326;100294;430480;401176;102;33;0;0;1838592;25673216;0.00;0.00;0.00;7182;100286;429872;401144;102;33;0;0;1859328;25662208;0.00;0.00;0.00;7263;100243;430024;400972;102;33;0;0;1885184;25682944;0.00;0.00;0.00;7364;100324;430752;401296;103;33;0;0;1820416;25657344;0.00;0.00;0.00;7111;100224;429340;400896;102;33;0;0;
