# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 11:42:32 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535298153;2195011916;1856512;25756416;0.00;0.00;0.00;7252;100611;431452;402444;135;33;0;0;1897216;25893376;0.00;0.00;0.00;7411;101146;434228;404584;135;33;0;0;1885440;25989376;0.00;0.00;0.00;7365;101521;435544;406084;136;33;0;0;1852928;25991680;0.00;0.00;0.00;7238;101530;435072;406120;136;33;0;0;1977088;26110208;0.00;0.00;0.00;7723;101993;438864;407972;136;33;0;0;1856512;26043136;0.00;0.00;0.00;7252;101731;435932;406924;136;33;0;0;2013440;26146048;0.00;0.00;0.00;7865;102133;439992;408532;103;33;0;0;1906688;26076160;0.00;0.00;0.00;7448;101860;437232;407440;103;33;0;0;1850112;26037504;0.00;0.00;0.00;7227;101709;435744;406836;103;33;0;0;1907200;26066688;0.00;0.00;0.00;7450;101823;437092;407292;103;33;0;0;1902336;26075136;0.00;0.00;0.00;7431;101856;437148;407424;103;33;0;0;1858816;26054144;0.00;0.00;0.00;7261;101774;436140;407096;103;33;0;0;
1535298154;2195036034;1839104;25662464;0.00;0.00;0.00;7184;100244;429712;400976;134;33;0;0;1847808;25641216;0.00;0.00;0.00;7218;100161;429516;400644;135;33;0;0;1839360;25634560;0.00;0.00;0.00;7185;100135;429280;400540;135;33;0;0;1835264;25635840;0.00;0.00;0.00;7169;100140;429236;400560;135;33;0;0;1953280;25710592;0.00;0.00;0.00;7630;100432;432248;401728;135;33;0;0;1835264;25636352;0.00;0.00;0.00;7169;100142;429244;400568;136;33;0;0;2009344;25752576;0.00;0.00;0.00;7849;100596;433780;402384;103;33;0;0;1901568;25677056;0.00;0.00;0.00;7428;100301;430916;401204;102;33;0;0;1851136;25828352;0.00;0.00;0.00;7231;100892;432492;403568;102;33;0;0;1898240;25990656;0.00;0.00;0.00;7415;101526;435764;406104;102;33;0;0;1902080;26097920;0.00;0.00;0.00;7430;101945;437500;407780;102;33;0;0;1880576;26164224;0.00;0.00;0.00;7346;102204;438200;408816;103;33;0;0;
1535298155;2195029822;1828864;25655808;0.00;0.00;0.00;7144;100218;429448;400872;140;33;0;0;1882112;25719040;0.00;0.00;0.00;7352;100465;431268;401860;135;33;0;0;1862912;25719808;0.00;0.00;0.00;7277;100468;430980;401872;134;33;0;0;1830912;25727488;0.00;0.00;0.00;7152;100498;430600;401992;135;33;0;0;1961216;25794560;0.00;0.00;0.00;7661;100760;433684;403040;136;33;0;0;1834752;25740544;0.00;0.00;0.00;7167;100549;430864;402196;136;33;0;0;2074624;25935872;0.00;0.00;0.00;8104;101312;437664;405248;103;33;0;0;1943040;25807872;0.00;0.00;0.00;7590;100812;433608;403248;102;33;0;0;1838080;25590528;0.00;0.00;0.00;7180;99963;428572;399852;102;33;0;0;1879296;25626624;0.00;0.00;0.00;7341;100104;429780;400416;101;33;0;0;1843456;25612800;0.00;0.00;0.00;7201;100050;429004;400200;102;33;0;0;1809152;25610240;0.00;0.00;0.00;7067;100040;428428;400160;102;33;0;0;
1535298156;2195077174;1847552;25662976;0.00;0.00;0.00;7217;100246;429852;400984;152;33;0;0;1863424;25705216;0.00;0.00;0.00;7279;100411;430760;401644;134;33;0;0;1843200;25700352;0.00;0.00;0.00;7200;100392;430368;401568;135;33;0;0;1851136;25701888;0.00;0.00;0.00;7231;100398;430516;401592;135;33;0;0;1984256;25807872;0.00;0.00;0.00;7751;100812;434252;403248;135;33;0;0;1821952;25695232;0.00;0.00;0.00;7117;100372;429956;401488;135;33;0;0;1923072;25743616;0.00;0.00;0.00;7512;100561;432292;402244;103;33;0;0;1905408;25730816;0.00;0.00;0.00;7443;100511;431816;402044;103;33;0;0;1843712;25698816;0.00;0.00;0.00;7202;100386;430352;401544;102;33;0;0;1879296;25536256;0.00;0.00;0.00;7341;99751;428368;399004;102;33;0;0;1849600;25414912;0.00;0.00;0.00;7225;99277;426008;397108;103;33;0;0;1810432;25321216;0.00;0.00;0.00;7072;98911;423932;395644;102;33;0;0;
1535298157;2195112938;1873664;25696000;0.00;0.00;0.00;7319;100375;430776;401500;143;35;0;0;1857792;25654784;0.00;0.00;0.00;7257;100214;429884;400856;135;33;0;0;1843200;25733632;0.00;0.00;0.00;7200;100522;430888;402088;135;33;0;0;1853952;25854464;0.00;0.00;0.00;7242;100994;432944;403976;134;33;0;0;2009344;26005760;0.00;0.00;0.00;7849;101585;437736;406340;134;33;0;0;1848064;25919488;0.00;0.00;0.00;7219;101248;433868;404992;136;33;0;0;2017280;26073344;0.00;0.00;0.00;7880;101849;438916;407396;103;33;0;0;1908992;25998336;0.00;0.00;0.00;7457;101556;436052;406224;103;33;0;0;1869056;25979648;0.00;0.00;0.00;7301;101483;435136;405932;103;33;0;0;1894656;25986816;0.00;0.00;0.00;7401;101511;435648;406044;103;33;0;0;1883136;26018816;0.00;0.00;0.00;7356;101636;435968;406544;102;33;0;0;1886976;26201088;0.00;0.00;0.00;7371;102348;438876;409392;102;33;0;0;
1535298158;2195067282;1846528;25671424;0.00;0.00;0.00;7213;100279;429968;401116;144;35;0;0;1865984;25654016;0.00;0.00;0.00;7289;100211;430000;400844;135;33;0;0;1823232;25547008;0.00;0.00;0.00;7122;99793;427660;399172;134;33;0;0;1808896;25419008;0.00;0.00;0.00;7066;99293;425436;397172;136;33;0;0;1983744;25500416;0.00;0.00;0.00;7749;99611;429440;398444;136;33;0;0;1810944;25338880;0.00;0.00;0.00;7074;98980;424216;395920;135;33;0;0;1998336;25466112;0.00;0.00;0.00;7806;99477;429132;397908;101;33;0;0;1861632;25517312;0.00;0.00;0.00;7272;99677;427796;398708;102;33;0;0;1827840;25615360;0.00;0.00;0.00;7140;100060;428800;400240;102;33;0;0;1882624;25722112;0.00;0.00;0.00;7354;100477;431324;401908;102;33;0;0;1893888;25792512;0.00;0.00;0.00;7398;100752;432600;403008;101;33;0;0;1848576;25665024;0.00;0.00;0.00;7221;100254;429900;401016;103;33;0;0;
1535298159;2195026972;1834496;25661184;0.00;0.00;0.00;7166;100239;429620;400956;140;35;0;0;1843968;25640704;0.00;0.00;0.00;7203;100159;429448;400636;134;33;0;0;1838336;25646848;0.00;0.00;0.00;7181;100183;429456;400732;135;33;0;0;1849344;25687040;0.00;0.00;0.00;7224;100340;430256;401360;134;33;0;0;1974272;25913856;0.00;0.00;0.00;7712;101226;435752;404904;134;33;0;0;1843200;25924864;0.00;0.00;0.00;7200;101269;433876;405076;135;33;0;0;2034944;26109440;0.00;0.00;0.00;7949;101990;439756;407960;102;33;0;0;1883648;25854208;0.00;0.00;0.00;7358;100993;433404;403972;102;33;0;0;1850112;25756928;0.00;0.00;0.00;7227;100613;431360;402452;103;33;0;0;1898240;25711104;0.00;0.00;0.00;7415;100434;431396;401736;102;33;0;0;1868288;25762304;0.00;0.00;0.00;7298;100634;431728;402536;103;33;0;0;1840128;25711616;0.00;0.00;0.00;7188;100436;430496;401744;102;33;0;0;
1535298160;2195083594;1825024;25650688;0.00;0.00;0.00;7129;100198;429308;400792;138;35;0;0;1876224;25674752;0.00;0.00;0.00;7329;100292;430484;401168;135;33;0;0;1822720;25643008;0.00;0.00;0.00;7120;100168;429152;400672;135;33;0;0;1825024;25618944;0.00;0.00;0.00;7129;100074;428812;400296;135;33;0;0;1958400;25562624;0.00;0.00;0.00;7650;99854;430016;399416;135;33;0;0;1821184;25360384;0.00;0.00;0.00;7114;99064;424712;396256;136;33;0;0;1957376;25370368;0.00;0.00;0.00;7646;99103;426996;396412;102;33;0;0;1842688;25237248;0.00;0.00;0.00;7198;98583;423124;394332;102;33;0;0;1803264;25202944;0.00;0.00;0.00;7044;98449;421972;393796;102;33;0;0;1900544;25245696;0.00;0.00;0.00;7424;98616;424160;394464;102;33;0;0;1828864;25034752;0.00;0.00;0.00;7144;97792;419744;391168;102;33;0;0;1777920;24996096;0.00;0.00;0.00;6945;97641;418344;390564;102;33;0;0;
1535298161;2195022320;1830400;25654784;0.00;0.00;0.00;7150;100214;429456;400856;134;33;0;0;1868032;25655040;0.00;0.00;0.00;7297;100215;430048;400860;135;33;0;0;1821952;25624320;0.00;0.00;0.00;7117;100095;428848;400380;136;33;0;0;1815296;25614592;0.00;0.00;0.00;7091;100057;428592;400228;135;33;0;0;1936640;25697536;0.00;0.00;0.00;7565;100381;431784;401524;135;33;0;0;1829632;25625088;0.00;0.00;0.00;7147;100098;428980;400392;136;33;0;0;1996032;25750016;0.00;0.00;0.00;7797;100586;433532;402344;103;33;0;0;1905152;25665024;0.00;0.00;0.00;7442;100254;430784;401016;103;33;0;0;1839616;25663744;0.00;0.00;0.00;7186;100249;429740;400996;102;33;0;0;1896192;25853184;0.00;0.00;0.00;7407;100989;433584;403956;102;33;0;0;1875712;25975552;0.00;0.00;0.00;7327;101467;435176;405868;101;33;0;0;1860352;26049536;0.00;0.00;0.00;7267;101756;436092;407024;102;33;0;0;
1535298162;2195071990;1836032;25658624;0.00;0.00;0.00;7172;100229;429604;400916;146;33;0;0;1854464;25656832;0.00;0.00;0.00;7244;100222;429864;400888;135;33;0;0;1842432;25661184;0.00;0.00;0.00;7197;100239;429744;400956;135;33;0;0;1838336;25669888;0.00;0.00;0.00;7181;100273;429816;401092;135;33;0;0;1982208;25772032;0.00;0.00;0.00;7743;100672;433660;402688;134;33;0;0;1832448;25828352;0.00;0.00;0.00;7158;100892;432200;403568;135;33;0;0;1959680;25940224;0.00;0.00;0.00;7655;101329;435936;405316;103;33;0;0;1926656;25932800;0.00;0.00;0.00;7526;101300;435304;405200;103;33;0;0;1855232;25888512;0.00;0.00;0.00;7247;101127;433496;404508;102;33;0;0;1863168;25719552;0.00;0.00;0.00;7278;100467;430980;401868;102;33;0;0;1875456;25618688;0.00;0.00;0.00;7326;100073;429596;400292;103;33;0;0;1819136;25518848;0.00;0.00;0.00;7106;99683;427156;398732;103;33;0;0;
