# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 12:41:30 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535301691;2195019222;1831936;25737984;0.00;0.00;0.00;7156;100539;430780;402156;135;33;0;0;1892608;25891328;0.00;0.00;0.00;7393;101138;434124;404552;135;33;0;0;1842432;25954048;0.00;0.00;0.00;7197;101383;434320;405532;137;33;0;0;1854208;25986304;0.00;0.00;0.00;7243;101509;435008;406036;136;33;0;0;1825024;25979136;0.00;0.00;0.00;7129;101481;434440;405924;136;33;0;0;1844736;26031616;0.00;0.00;0.00;7206;101686;435568;406744;136;33;0;0;2008320;26123776;0.00;0.00;0.00;7845;102046;439564;408184;103;33;0;0;1881088;26033920;0.00;0.00;0.00;7348;101695;436172;406780;103;33;0;0;1860096;26052608;0.00;0.00;0.00;7266;101768;436136;407072;103;33;0;0;2037760;26161920;0.00;0.00;0.00;7960;102195;440620;408780;103;33;0;0;1892096;26053120;0.00;0.00;0.00;7391;101770;436644;407080;103;33;0;0;1849600;26044160;0.00;0.00;0.00;7225;101735;435840;406940;103;33;0;0;
1535301692;2195100212;1847808;25670400;0.00;0.00;0.00;7218;100275;429972;401100;134;33;0;0;1892096;25688576;0.00;0.00;0.00;7391;100346;430948;401384;135;33;0;0;1806592;25646592;0.00;0.00;0.00;7057;100182;428956;400728;135;33;0;0;1846016;25681152;0.00;0.00;0.00;7211;100317;430112;401268;135;33;0;0;1773312;25595904;0.00;0.00;0.00;6927;99984;427644;399936;135;33;0;0;1805312;25654272;0.00;0.00;0.00;7052;100212;429056;400848;136;33;0;0;1903360;25711104;0.00;0.00;0.00;7435;100434;431476;401736;103;33;0;0;1863680;25693184;0.00;0.00;0.00;7280;100364;430576;401456;103;33;0;0;1817344;25680640;0.00;0.00;0.00;7099;100315;429656;401260;103;33;0;0;1983232;25773568;0.00;0.00;0.00;7747;100678;433700;402712;103;33;0;0;1862400;25694464;0.00;0.00;0.00;7275;100369;430576;401476;103;33;0;0;1827840;25696768;0.00;0.00;0.00;7140;100378;430072;401512;103;33;0;0;
1535301693;2195026680;1844992;25668352;0.00;0.00;0.00;7207;100267;429896;401068;140;33;0;0;1855744;25675776;0.00;0.00;0.00;7249;100296;430180;401184;135;33;0;0;1821184;25684480;0.00;0.00;0.00;7114;100330;429776;401320;134;33;0;0;1863680;25840384;0.00;0.00;0.00;7280;100939;432876;403756;134;33;0;0;1785856;25808640;0.00;0.00;0.00;6976;100815;431164;403260;135;33;0;0;1840896;25971712;0.00;0.00;0.00;7191;101452;434572;405808;135;33;0;0;1932800;26071552;0.00;0.00;0.00;7550;101842;437568;407368;102;33;0;0;1932288;26246400;0.00;0.00;0.00;7548;102525;440292;410100;102;33;0;0;1875968;26388480;0.00;0.00;0.00;7328;103080;441632;412320;102;33;0;0;2029312;26564864;0.00;0.00;0.00;7927;103769;446784;415076;102;33;0;0;1932544;26550272;0.00;0.00;0.00;7549;103712;445044;414848;102;33;0;0;1901568;26730752;0.00;0.00;0.00;7428;104417;447380;417668;102;33;0;0;
1535301694;2195092958;1837056;25659136;0.00;0.00;0.00;7176;100231;429628;400924;140;33;0;0;1863936;25676544;0.00;0.00;0.00;7281;100299;430320;401196;135;33;0;0;1834496;25679360;0.00;0.00;0.00;7166;100310;429904;401240;134;33;0;0;1830656;25672448;0.00;0.00;0.00;7151;100283;429736;401132;135;33;0;0;1770752;25645056;0.00;0.00;0.00;6917;100176;428372;400704;135;33;0;0;1826048;25719040;0.00;0.00;0.00;7133;100465;430392;401860;136;33;0;0;1934080;25758208;0.00;0.00;0.00;7555;100618;432692;402472;101;33;0;0;1920512;25751040;0.00;0.00;0.00;7502;100590;432368;402360;101;33;0;0;1829376;25679104;0.00;0.00;0.00;7146;100309;429820;401236;102;33;0;0;1984768;25793280;0.00;0.00;0.00;7753;100755;434032;403020;102;33;0;0;1873664;25793536;0.00;0.00;0.00;7319;100756;432300;403024;101;33;0;0;1807616;25670656;0.00;0.00;0.00;7061;100276;429348;401104;101;33;0;0;
1535301695;2195094810;1839360;25664512;0.00;0.00;0.00;7185;100252;429748;401008;144;33;0;0;1842688;25675264;0.00;0.00;0.00;7198;100294;429968;401176;134;33;0;0;1843200;25799936;0.00;0.00;0.00;7200;100781;431924;403124;135;33;0;0;1863680;25780992;0.00;0.00;0.00;7280;100707;431948;402828;134;33;0;0;1799424;25658624;0.00;0.00;0.00;7029;100229;429032;400916;135;33;0;0;1818368;25799424;0.00;0.00;0.00;7103;100779;431528;403116;134;33;0;0;1978880;25953792;0.00;0.00;0.00;7730;101382;436448;405528;101;33;0;0;1900288;25817600;0.00;0.00;0.00;7423;100850;433092;403400;101;33;0;0;1847552;25854464;0.00;0.00;0.00;7217;100994;432844;403976;102;33;0;0;2024448;25984000;0.00;0.00;0.00;7908;101500;437632;406000;101;33;0;0;1870080;25799168;0.00;0.00;0.00;7305;100778;432332;403112;102;33;0;0;1830656;25763840;0.00;0.00;0.00;7151;100640;431164;402560;103;33;0;0;
1535301696;2195104890;1831168;25659136;0.00;0.00;0.00;7153;100231;429536;400924;138;33;0;0;1862656;25670400;0.00;0.00;0.00;7276;100275;430204;401100;135;33;0;0;1811968;25564416;0.00;0.00;0.00;7078;99861;427756;399444;134;33;0;0;1806080;25450496;0.00;0.00;0.00;7055;99416;425884;397664;135;33;0;0;1787648;25513472;0.00;0.00;0.00;6983;99662;426580;398648;134;33;0;0;1814528;25518848;0.00;0.00;0.00;7088;99683;427084;398732;134;33;0;0;1896448;25577984;0.00;0.00;0.00;7408;99914;429288;399656;102;33;0;0;1899776;25624064;0.00;0.00;0.00;7421;100094;430060;400376;101;33;0;0;1787392;25466112;0.00;0.00;0.00;6982;99477;425836;397908;101;33;0;0;1964800;25533184;0.00;0.00;0.00;7675;99739;429656;398956;102;33;0;0;1844736;25545984;0.00;0.00;0.00;7206;99789;427980;399156;102;33;0;0;1821440;25629184;0.00;0.00;0.00;7115;100114;428916;400456;101;33;0;0;
1535301697;2195098404;1839104;25661440;0.00;0.00;0.00;7184;100240;429696;400960;144;34;0;0;1841920;25634816;0.00;0.00;0.00;7195;100136;429324;400544;135;33;0;0;1823488;25646848;0.00;0.00;0.00;7123;100183;429224;400732;135;33;0;0;1841408;25641216;0.00;0.00;0.00;7193;100161;429416;400644;134;33;0;0;1825280;25618944;0.00;0.00;0.00;7130;100074;428816;400296;134;33;0;0;1836288;25649408;0.00;0.00;0.00;7173;100193;429464;400772;135;33;0;0;1928448;25647104;0.00;0.00;0.00;7533;100184;430868;400736;101;33;0;0;1882112;25635072;0.00;0.00;0.00;7352;100137;429956;400548;102;33;0;0;1828096;25638144;0.00;0.00;0.00;7141;100149;429160;400596;102;33;0;0;1978112;25705984;0.00;0.00;0.00;7727;100414;432564;401656;101;33;0;0;1848064;25574400;0.00;0.00;0.00;7219;99900;428476;399600;101;33;0;0;1815808;25582848;0.00;0.00;0.00;7093;99933;428104;399732;102;33;0;0;
1535301698;2195027810;1839360;25658880;0.00;0.00;0.00;7185;100230;429660;400920;145;33;0;0;1888768;25734144;0.00;0.00;0.00;7378;100524;431608;402096;135;33;0;0;1826816;25755392;0.00;0.00;0.00;7136;100607;430972;402428;135;33;0;0;1873920;25824256;0.00;0.00;0.00;7320;100876;432784;403504;135;33;0;0;1822720;25757184;0.00;0.00;0.00;7120;100614;430936;402456;134;33;0;0;1838848;25784576;0.00;0.00;0.00;7183;100721;431616;402884;135;33;0;0;2001152;25864192;0.00;0.00;0.00;7817;101032;435396;404128;101;33;0;0;1891840;25764352;0.00;0.00;0.00;7390;100642;432128;402568;101;33;0;0;1828352;25721600;0.00;0.00;0.00;7142;100475;430468;401900;102;33;0;0;1956352;25802240;0.00;0.00;0.00;7642;100790;433728;403160;101;33;0;0;1857024;25660416;0.00;0.00;0.00;7254;100236;429960;400944;101;33;0;0;1803776;25680384;0.00;0.00;0.00;7046;100314;429440;401256;102;33;0;0;
1535301699;2195082182;1830400;25649920;0.00;0.00;0.00;7150;100195;429380;400780;140;33;0;0;1876736;25633792;0.00;0.00;0.00;7331;100132;429852;400528;134;33;0;0;1806080;25548800;0.00;0.00;0.00;7055;99800;427420;399200;135;33;0;0;1833216;25540096;0.00;0.00;0.00;7161;99766;427708;399064;134;33;0;0;1798656;25494784;0.00;0.00;0.00;7026;99589;426460;398356;134;33;0;0;1821184;25550592;0.00;0.00;0.00;7114;99807;427684;399228;135;33;0;0;2021888;25780992;0.00;0.00;0.00;7898;100707;434420;402828;102;33;0;0;1883392;25660672;0.00;0.00;0.00;7357;100237;430376;400948;102;33;0;0;1807616;25634560;0.00;0.00;0.00;7061;100135;428784;400540;102;33;0;0;1962240;25690368;0.00;0.00;0.00;7665;100353;432072;401412;102;33;0;0;1883136;25741824;0.00;0.00;0.00;7356;100554;431640;402216;101;33;0;0;1809408;25668608;0.00;0.00;0.00;7068;100268;429344;401072;101;33;0;0;
1535301700;2195086344;1849600;25667840;0.00;0.00;0.00;7225;100265;429960;401060;147;33;0;0;1854464;25651968;0.00;0.00;0.00;7244;100203;429788;400812;135;33;0;0;1836288;25760512;0.00;0.00;0.00;7173;100627;431200;402508;135;33;0;0;1848064;25834496;0.00;0.00;0.00;7219;100916;432540;403664;134;33;0;0;1789696;25666048;0.00;0.00;0.00;6991;100258;428996;401032;135;33;0;0;1821696;25779712;0.00;0.00;0.00;7116;100702;431272;402808;134;33;0;0;1990912;25852672;0.00;0.00;0.00;7777;100987;435056;403948;101;33;0;0;1903104;25729024;0.00;0.00;0.00;7434;100504;431752;402016;102;33;0;0;1827584;25680128;0.00;0.00;0.00;7139;100313;429808;401252;102;33;0;0;1992448;25906432;0.00;0.00;0.00;7783;101197;435920;404788;101;33;0;0;1853440;25743616;0.00;0.00;0.00;7240;100561;431204;402244;101;33;0;0;1847040;25722880;0.00;0.00;0.00;7215;100480;430780;401920;102;33;0;0;
