# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 12:04:56 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535299497;2195019534;1846272;25740544;0.00;0.00;0.00;7212;100549;431044;402196;134;33;0;0;1855488;25882368;0.00;0.00;0.00;7248;101103;433404;404412;135;33;0;0;1857792;25993216;0.00;0.00;0.00;7257;101536;435172;406144;135;33;0;0;1844480;26044672;0.00;0.00;0.00;7205;101737;435768;406948;136;33;0;0;1826816;26012928;0.00;0.00;0.00;7136;101613;434996;406452;135;33;0;0;1848832;25918464;0.00;0.00;0.00;7222;101244;433864;404976;135;33;0;0;1884416;25810688;0.00;0.00;0.00;7361;100823;432736;403292;103;33;0;0;1918976;25778432;0.00;0.00;0.00;7496;100697;432772;402788;103;33;0;0;1818368;25683456;0.00;0.00;0.00;7103;100326;429716;401304;102;33;0;0;1870336;25663232;0.00;0.00;0.00;7306;100247;430212;400988;102;33;0;0;1857792;25641984;0.00;0.00;0.00;7257;100164;429684;400656;103;33;0;0;1812992;25472768;0.00;0.00;0.00;7082;99503;426340;398012;102;33;0;0;
1535299498;2195025582;1836288;25659136;0.00;0.00;0.00;7173;100231;429616;400924;134;33;0;0;1878016;25681408;0.00;0.00;0.00;7336;100318;430616;401272;134;33;0;0;1826048;25680896;0.00;0.00;0.00;7133;100316;429796;401264;135;33;0;0;1824256;25665280;0.00;0.00;0.00;7126;100255;429524;401020;135;33;0;0;1767424;25599232;0.00;0.00;0.00;6904;99997;427604;399988;135;33;0;0;1824256;25676288;0.00;0.00;0.00;7126;100298;429696;401192;135;33;0;0;1870592;25677568;0.00;0.00;0.00;7307;100303;430440;401212;103;33;0;0;1901312;25714944;0.00;0.00;0.00;7427;100449;431504;401796;103;33;0;0;1837056;25693952;0.00;0.00;0.00;7176;100367;430172;401468;103;33;0;0;1886720;25685760;0.00;0.00;0.00;7370;100335;430820;401340;103;33;0;0;1869056;25692672;0.00;0.00;0.00;7301;100362;430652;401448;103;33;0;0;1816576;25678080;0.00;0.00;0.00;7096;100305;429604;401220;103;33;0;0;
1535299499;2195107792;1832704;25663232;0.00;0.00;0.00;7159;100247;429624;400988;135;33;0;0;1882880;25718784;0.00;0.00;0.00;7355;100464;431276;401856;135;33;0;0;1842688;25819904;0.00;0.00;0.00;7198;100859;432228;403436;135;33;0;0;1862400;25961984;0.00;0.00;0.00;7275;101414;434756;405656;134;33;0;0;1805312;26000384;0.00;0.00;0.00;7052;101564;434464;406256;134;33;0;0;1855488;26181376;0.00;0.00;0.00;7248;102271;438076;409084;135;33;0;0;1893120;26343936;0.00;0.00;0.00;7395;102906;441204;411624;102;33;0;0;1948928;26553600;0.00;0.00;0.00;7613;103725;445352;414900;102;33;0;0;1898240;26711808;0.00;0.00;0.00;7415;104343;447032;417372;102;33;0;0;1975552;26877696;0.00;0.00;0.00;7717;104991;450832;419964;102;33;0;0;1967360;26969088;0.00;0.00;0.00;7685;105348;452132;421392;102;33;0;0;1920768;27142656;0.00;0.00;0.00;7503;106026;454116;424104;102;33;0;0;
1535299500;2195076490;1831936;25650688;0.00;0.00;0.00;7156;100198;429416;400792;152;33;0;0;1856768;25608960;0.00;0.00;0.00;7253;100035;429152;400140;134;33;0;0;1813504;25517824;0.00;0.00;0.00;7084;99679;427052;398716;134;33;0;0;1808896;25501696;0.00;0.00;0.00;7066;99616;426728;398464;134;33;0;0;1796864;25492992;0.00;0.00;0.00;7019;99582;426404;398328;134;33;0;0;1805824;25577472;0.00;0.00;0.00;7054;99912;427864;399648;134;33;0;0;1856000;25593088;0.00;0.00;0.00;7250;99973;428892;399892;102;33;0;0;1868288;25578240;0.00;0.00;0.00;7298;99915;428852;399660;101;33;0;0;1820928;25529344;0.00;0.00;0.00;7113;99724;427348;398896;101;33;0;0;1883392;25490432;0.00;0.00;0.00;7357;99572;427716;398288;101;33;0;0;1864704;25562880;0.00;0.00;0.00;7284;99855;428556;399420;101;33;0;0;1818112;25513984;0.00;0.00;0.00;7102;99664;427064;398656;101;33;0;0;
1535299501;2195030728;1858304;25676544;0.00;0.00;0.00;7259;100299;430232;401196;150;33;0;0;1864704;25649408;0.00;0.00;0.00;7284;100193;429908;400772;134;33;0;0;1819392;25654016;0.00;0.00;0.00;7107;100211;429272;400844;134;33;0;0;1810176;25640448;0.00;0.00;0.00;7071;100158;428916;400632;134;33;0;0;1792256;25540352;0.00;0.00;0.00;7001;99767;427072;399068;134;33;0;0;1806336;25523712;0.00;0.00;0.00;7056;99702;427032;398808;134;33;0;0;1832192;25433856;0.00;0.00;0.00;7157;99351;426032;397404;101;33;0;0;1885440;25459456;0.00;0.00;0.00;7365;99451;427264;397804;102;33;0;0;1819904;25453568;0.00;0.00;0.00;7109;99428;426148;397712;102;33;0;0;1865728;25441536;0.00;0.00;0.00;7288;99381;426676;397524;101;33;0;0;1832192;25310976;0.00;0.00;0.00;7157;98871;424112;395484;101;33;0;0;1809408;25369600;0.00;0.00;0.00;7068;99100;424672;396400;102;33;0;0;
1535299502;2195017400;1852672;25681152;0.00;0.00;0.00;7237;100317;430216;401268;144;33;0;0;1870848;25733632;0.00;0.00;0.00;7308;100522;431320;402088;135;33;0;0;1823232;25795584;0.00;0.00;0.00;7122;100764;431544;403056;134;33;0;0;1832192;25805312;0.00;0.00;0.00;7157;100802;431836;403208;135;33;0;0;1814272;25740032;0.00;0.00;0.00;7087;100547;430536;402188;135;33;0;0;1829376;25760768;0.00;0.00;0.00;7146;100628;431096;402512;135;33;0;0;1877504;25839872;0.00;0.00;0.00;7334;100937;433084;403748;102;33;0;0;1932288;25898240;0.00;0.00;0.00;7548;101165;434852;404660;101;33;0;0;1840640;25890560;0.00;0.00;0.00;7190;101135;433300;404540;102;33;0;0;1902080;25964288;0.00;0.00;0.00;7430;101423;435412;405692;102;33;0;0;1882368;25973504;0.00;0.00;0.00;7353;101459;435248;405836;101;33;0;0;1862912;25977856;0.00;0.00;0.00;7277;101476;435012;405904;101;33;0;0;
1535299503;2195109000;1827584;25648896;0.00;0.00;0.00;7139;100191;429320;400764;145;33;0;0;1880832;25683968;0.00;0.00;0.00;7347;100328;430700;401312;134;33;0;0;1823744;25613312;0.00;0.00;0.00;7124;100052;428704;400208;135;33;0;0;1820416;25535488;0.00;0.00;0.00;7111;99748;427436;398992;134;33;0;0;1817344;25590272;0.00;0.00;0.00;7099;99962;428244;399848;135;33;0;0;1833728;25665792;0.00;0.00;0.00;7163;100257;429680;401028;134;33;0;0;1894400;25687808;0.00;0.00;0.00;7400;100343;430972;401372;101;33;0;0;1882368;25694976;0.00;0.00;0.00;7353;100371;430896;401484;102;33;0;0;1819392;25689856;0.00;0.00;0.00;7107;100351;429832;401404;101;33;0;0;1873408;25699840;0.00;0.00;0.00;7318;100390;430832;401560;101;33;0;0;1895424;25817856;0.00;0.00;0.00;7404;100851;433020;403404;101;33;0;0;1830656;25793792;0.00;0.00;0.00;7151;100757;431632;403028;102;33;0;0;
1535299504;2195075664;1840640;25664000;0.00;0.00;0.00;7190;100250;429760;401000;136;33;0;0;1885440;25673472;0.00;0.00;0.00;7365;100287;430608;401148;134;33;0;0;1816576;25667072;0.00;0.00;0.00;7096;100262;429432;401048;135;33;0;0;1819648;25648640;0.00;0.00;0.00;7108;100190;429192;400760;134;33;0;0;1817344;25621504;0.00;0.00;0.00;7099;100084;428732;400336;134;33;0;0;1834496;25649408;0.00;0.00;0.00;7166;100193;429436;400772;135;33;0;0;1863680;25550848;0.00;0.00;0.00;7280;99808;428352;399232;101;33;0;0;1888768;25606912;0.00;0.00;0.18;7378;100027;429620;400108;101;33;0;0;1809664;25470976;0.00;0.00;0.00;7069;99496;426260;397984;101;33;0;0;1875968;25422592;0.00;0.00;0.00;7328;99307;426540;397228;102;33;0;0;1844224;25402368;0.00;0.00;0.00;7204;99228;425728;396912;101;33;0;0;1797888;25410048;0.00;0.00;0.00;7023;99258;425124;397032;101;33;0;0;
1535299505;2195035268;1845760;25667328;0.00;0.00;0.00;7210;100263;429892;401052;143;33;0;0;1853440;25629440;0.00;0.00;0.00;7240;100115;429420;400460;134;33;0;0;1821952;25586944;0.00;0.00;0.00;7117;99949;428264;399796;134;33;0;0;1828864;25694464;0.00;0.00;0.00;7144;100369;430052;401476;135;33;0;0;1822464;25618432;0.00;0.00;0.00;7119;100072;428764;400288;134;33;0;0;1818624;25692928;0.00;0.00;0.00;7104;100363;429868;401452;135;33;0;0;1883136;25745920;0.00;0.00;0.00;7356;100570;431704;402280;101;33;0;0;1881088;25655808;0.00;0.00;0.00;7348;100218;430264;400872;103;33;0;0;1828608;25721856;0.00;0.00;0.00;7143;100476;430476;401904;103;33;0;0;1917440;25771264;0.00;0.00;0.00;7490;100669;432636;402676;101;33;0;0;1882112;25699584;0.00;0.00;0.00;7352;100389;430964;401556;101;33;0;0;1814016;25634304;0.00;0.00;0.00;7086;100134;428880;400536;101;33;0;0;
1535299506;2195023600;1874944;25697792;0.00;0.00;0.00;7324;100382;430824;401528;138;33;0;0;1921024;25734656;0.00;0.00;0.00;7504;100526;432120;402104;135;33;0;0;1823232;25757440;0.00;0.00;0.00;7122;100615;430948;402460;134;33;0;0;1836032;25765632;0.00;0.00;0.00;7172;100647;431276;402588;134;33;0;0;1800960;25730304;0.00;0.00;0.00;7035;100509;430176;402036;134;33;0;0;1842944;25700864;0.00;0.00;0.00;7199;100394;430372;401576;134;33;0;0;1892608;25736704;0.00;0.00;0.00;7393;100534;431708;402136;103;33;0;0;1926656;25829888;0.00;0.00;0.00;7526;100898;433696;403592;101;33;0;0;1809920;25698304;0.00;0.00;0.00;7070;100384;429816;401536;102;33;0;0;1903616;25723648;0.00;0.00;0.00;7436;100483;431676;401932;102;33;0;0;1872640;25640448;0.00;0.00;0.00;7315;100158;429892;400632;101;33;0;0;1821184;25641984;0.00;0.00;0.00;7114;100164;429112;400656;101;33;0;0;
