# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 11:13:01 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535296382;2195019156;1841408;25737216;0.00;0.00;0.00;7193;100536;430916;402144;135;33;0;0;1885952;25908992;0.00;0.00;0.00;7367;101207;434296;404828;135;33;0;0;1840128;25985792;0.00;0.00;0.00;7188;101507;434780;406028;135;33;0;0;1941248;26103296;0.00;0.00;0.00;7583;101966;438196;407864;136;33;0;0;1856768;26065152;0.00;0.00;0.00;7253;101817;436280;407268;135;33;0;0;1836544;26100224;0.00;0.00;0.00;7174;101954;436512;407816;136;33;0;0;1908992;26129664;0.00;0.00;0.00;7457;102069;438104;408276;103;33;0;0;1931776;26153472;0.00;0.00;0.00;7546;102162;438832;408648;103;33;0;0;1856000;26125568;0.00;0.00;0.00;7250;102053;437212;408212;103;33;0;0;1923840;26149888;0.00;0.00;0.00;7515;102148;438652;408592;103;33;0;0;1913600;26134528;0.00;0.00;0.00;7475;102088;438252;408352;102;33;0;0;1858816;26151424;0.00;0.00;0.00;7261;102154;437660;408616;103;33;0;0;
1535296383;2195029914;1844992;25677056;0.00;0.00;0.00;7207;100301;430032;401204;134;33;0;0;1868800;25650432;0.00;0.00;0.00;7300;100197;429988;400788;135;33;0;0;1817088;25648896;0.00;0.00;0.00;7098;100191;429156;400764;135;33;0;0;1881856;25666816;0.00;0.00;0.00;7351;100261;430448;401044;135;33;0;0;1816320;25619712;0.00;0.00;0.00;7095;100077;428688;400308;136;33;0;0;1819392;25632768;0.00;0.00;0.00;7107;100128;428940;400512;136;33;0;0;1874688;25644800;0.00;0.00;0.00;7323;100175;429992;400700;103;33;0;0;1900800;25672448;0.00;0.00;0.00;7425;100283;430832;401132;103;33;0;0;1801728;25623296;0.00;0.00;0.00;7038;100091;428516;400364;103;33;0;0;1881600;25652480;0.00;0.00;0.00;7350;100205;430220;400820;103;33;0;0;1866240;25645824;0.00;0.00;0.00;7290;100179;429876;400716;102;33;0;0;1806336;25612800;0.00;0.00;0.00;7056;100050;428424;400200;103;33;0;0;
1535296384;2195083704;1846528;25667072;0.00;0.00;0.00;7213;100262;429900;401048;134;33;0;0;1844224;25629184;0.00;0.00;0.00;7204;100114;429272;400456;135;33;0;0;1830656;25654784;0.00;0.00;0.00;7151;100214;429460;400856;136;33;0;0;1870080;25660416;0.00;0.00;0.00;7305;100236;430164;400944;135;33;0;0;1828608;25621504;0.00;0.00;0.00;7143;100084;428908;400336;135;33;0;0;1814016;25626112;0.00;0.00;0.00;7086;100102;428752;400408;136;33;0;0;1883648;25647360;0.00;0.00;0.00;7358;100185;430172;400740;103;33;0;0;1883648;25652224;0.00;0.00;0.00;7358;100204;430248;400816;103;33;0;0;1829632;25641984;0.00;0.00;0.00;7147;100164;429244;400656;103;33;0;0;1876480;25641472;0.00;0.00;0.00;7330;100162;429968;400648;103;33;0;0;1861632;25634304;0.00;0.00;0.00;7272;100134;429624;400536;103;33;0;0;1814784;25631488;0.00;0.00;0.00;7089;100123;428848;400492;103;33;0;0;
1535296385;2195018228;1831680;25656576;0.00;0.00;0.00;7155;100221;429504;400884;140;35;0;0;1876736;25661184;0.00;0.00;0.00;7331;100239;430280;400956;135;33;0;0;1811200;25633792;0.00;0.00;0.00;7075;100132;428828;400528;135;33;0;0;1910016;25697024;0.00;0.00;0.00;7461;100379;431360;401516;135;33;0;0;1837824;25635328;0.00;0.00;0.00;7179;100138;429268;400552;135;33;0;0;1827584;25648896;0.00;0.00;0.00;7139;100191;429320;400764;136;33;0;0;1916160;25679872;0.00;0.00;0.00;7485;100312;431188;401248;103;33;0;0;1928960;25705984;0.00;0.00;0.00;7535;100414;431796;401656;102;33;0;0;1831168;25831424;0.00;0.00;0.00;7153;100904;432228;403616;102;33;0;0;1915392;25960960;0.00;0.00;0.00;7482;101410;435568;405640;102;33;0;0;1897472;26009088;0.00;0.00;0.00;7412;101598;436040;406392;103;33;0;0;1843200;26036736;0.00;0.00;0.00;7200;101706;435624;406824;103;33;0;0;
1535296386;2195020686;1835264;25664512;0.00;0.00;0.00;7169;100252;429684;401008;151;40;0;0;1864448;25694208;0.00;0.00;0.00;7283;100368;430604;401472;135;33;0;0;1826048;25699072;0.00;0.00;0.00;7133;100387;430080;401548;135;33;0;0;1940992;25804032;0.00;0.00;0.00;7582;100797;433516;403188;135;33;0;0;1850112;25722368;0.00;0.00;0.00;7227;100478;430820;401912;135;33;0;0;1803776;25700608;0.00;0.00;0.00;7046;100393;429756;401572;136;33;0;0;1871360;25738240;0.00;0.00;0.00;7310;100540;431400;402160;103;33;0;0;1888768;25744640;0.00;0.00;0.00;7378;100565;431772;402260;102;33;0;0;1805056;25537024;0.00;0.00;0.00;7051;99754;427220;399016;102;33;0;0;1864448;25454592;0.00;0.00;0.00;7283;99432;426860;397728;103;33;0;0;1832704;25374208;0.00;0.00;0.00;7159;99118;425108;396472;102;33;0;0;1796352;25334528;0.00;0.00;0.00;7017;98963;423920;395852;102;33;0;0;
1535296387;2195024348;1844224;25665792;0.00;0.00;0.00;7204;100257;429844;401028;136;33;0;0;1844224;25646848;0.00;0.00;0.00;7204;100183;429548;400732;134;33;0;0;1809920;25647360;0.00;0.00;0.00;7070;100185;429020;400740;134;33;0;0;1869568;25681920;0.00;0.00;0.00;7303;100320;430492;401280;134;33;0;0;1856000;25670912;0.00;0.00;0.00;7250;100277;430108;401108;135;33;0;0;1837824;25687040;0.00;0.00;0.00;7179;100340;430076;401360;135;33;0;0;1904896;25703680;0.00;0.00;0.00;7441;100405;431384;401620;102;33;0;0;1907456;25703168;0.00;0.00;0.00;7451;100403;431416;401612;103;33;0;0;1813504;25661952;0.00;0.00;0.00;7084;100242;429304;400968;102;33;0;0;1902080;25702912;0.00;0.00;0.00;7430;100402;431328;401608;103;33;0;0;1863424;25675520;0.00;0.00;0.00;7279;100295;430296;401180;103;33;0;0;1828352;25675776;0.00;0.00;0.00;7142;100296;429752;401184;103;33;0;0;
1535296388;2195091368;1821696;25653504;0.00;0.00;0.00;7116;100209;429300;400836;135;33;0;0;1876992;25711360;0.00;0.00;0.00;7332;100435;431068;401740;134;33;0;0;1840640;25714432;0.00;0.00;0.00;7190;100447;430548;401788;135;33;0;0;1862656;25695488;0.00;0.00;0.00;7276;100373;430596;401492;136;33;0;0;1849856;25694976;0.00;0.00;0.00;7226;100371;430388;401484;135;33;0;0;1822976;25732096;0.00;0.00;0.00;7121;100516;430548;402064;134;33;0;0;1897728;25904896;0.00;0.00;0.00;7413;101191;434416;404764;102;33;0;0;1979904;26094080;0.00;0.00;0.00;7734;101930;438656;407720;102;33;0;0;1863424;26090240;0.00;0.00;0.00;7279;101915;436776;407660;103;33;0;0;1929728;26156032;0.00;0.00;0.00;7538;102172;438840;408688;103;33;0;0;1900032;26151168;0.00;0.00;0.00;7422;102153;438300;408612;103;33;0;0;1852416;26161664;0.00;0.00;0.00;7236;102194;437720;408776;103;33;0;0;
1535296389;2195027082;1855744;25676544;0.00;0.00;0.00;7249;100299;430192;401196;137;33;0;0;1854976;25651200;0.00;0.00;0.00;7246;100200;429784;400800;135;33;0;0;1827328;25663744;0.00;0.00;0.00;7138;100249;429548;400996;135;33;0;0;1886720;25679360;0.00;0.00;0.00;7370;100310;430720;401240;135;33;0;0;1826816;25635072;0.00;0.00;0.00;7136;100137;429092;400548;135;33;0;0;1804032;25606400;0.00;0.00;0.24;7047;100025;428288;400100;135;33;0;0;1874688;25467904;0.00;0.00;0.00;7323;99484;427228;397936;103;33;0;0;1869312;25369856;0.00;0.00;0.00;7302;99101;425612;396404;103;33;0;0;1802240;25278720;0.00;0.00;0.00;7040;98745;423140;394980;102;33;0;0;1834496;25208320;0.00;0.00;0.00;7166;98470;422544;393880;102;33;0;0;1847808;25208320;0.00;0.00;0.00;7218;98470;422752;393880;103;33;0;0;1782784;25174528;0.00;0.00;0.00;6964;98338;421208;393352;103;33;0;0;
1535296390;2195027824;1834496;25656576;0.00;0.00;0.00;7166;100221;429548;400884;134;33;0;0;1863680;25657344;0.00;0.00;0.00;7280;100224;430016;400896;135;33;0;0;1808896;25644800;0.00;0.00;0.00;7066;100175;428964;400700;135;33;0;0;1873920;25679616;0.00;0.00;0.00;7320;100311;430524;401244;135;33;0;0;1813760;25621760;0.00;0.00;0.00;7085;100085;428680;400340;135;33;0;0;1793792;25616896;0.00;0.00;0.00;7007;100066;428292;400264;136;33;0;0;1911552;25841664;0.00;0.00;0.00;7467;100944;433644;403776;102;33;0;0;1943040;25898496;0.00;0.00;0.00;7590;101166;435024;404664;103;33;0;0;1839360;25874432;0.00;0.00;0.00;7185;101072;433028;404288;103;33;0;0;1885184;25886464;0.00;0.00;0.00;7364;101119;433932;404476;103;33;0;0;1907200;25948672;0.00;0.00;0.00;7450;101362;435248;405448;102;33;0;0;1850368;26100736;0.00;0.00;0.00;7228;101956;436736;407824;102;33;0;0;
1535296391;2195026930;1822976;25651456;0.00;0.00;0.00;7121;100201;429288;400804;134;33;0;0;1872128;25678848;0.00;0.00;0.00;7313;100308;430484;401232;135;33;0;0;1835264;25678336;0.00;0.00;0.00;7169;100306;429900;401224;135;33;0;0;1870848;25681152;0.00;0.00;0.00;7308;100317;430500;401268;135;33;0;0;1839104;25661952;0.00;0.00;0.00;7184;100242;429704;400968;135;33;0;0;1814528;25671168;0.00;0.00;0.00;7088;100278;429464;401112;135;33;0;0;1900544;25710592;0.00;0.00;0.00;7424;100432;431424;401728;101;33;0;0;1914880;25822208;0.00;0.00;0.00;7480;100868;433392;403472;101;33;0;0;1826560;25829376;0.00;0.00;0.00;7135;100896;432124;403584;101;33;0;0;1912064;25907968;0.00;0.00;0.00;7469;101203;434688;404812;103;33;0;0;1886720;25878016;0.00;0.00;0.00;7370;101086;433824;404344;102;33;0;0;1823232;25712640;0.00;0.00;0.00;7122;100440;430248;401760;102;33;0;0;
