# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 10:39:58 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535294399;2195064018;1942528;25813504;0.00;0.00;0.00;7588;100834;433688;403336;135;33;0;0;1943808;25936896;0.00;0.00;0.00;7593;101316;435636;405264;135;33;0;0;1858816;25978112;0.00;0.00;0.00;7261;101477;434952;405908;135;33;0;0;1926144;26048256;0.00;0.00;0.00;7524;101751;437100;407004;136;33;0;0;1863168;26040064;0.00;0.00;0.00;7278;101719;435988;406876;135;33;0;0;1847296;26077696;0.00;0.00;0.00;7216;101866;436328;407464;136;33;0;0;1901056;26092800;0.00;0.00;0.00;7426;101925;437404;407700;103;33;0;0;1923840;26135040;0.00;0.00;0.00;7515;102090;438420;408360;103;33;0;0;1846016;26098944;0.00;0.00;0.00;7211;101949;436640;407796;103;33;0;0;1913088;26121216;0.00;0.00;0.00;7473;102036;438036;408144;103;33;0;0;1946880;26162176;0.00;0.00;0.00;7605;102196;439204;408784;103;33;0;0;1856256;26110976;0.00;0.00;0.00;7251;101996;436988;407984;103;33;0;0;
1535294400;2195006928;1895168;25644800;0.00;0.00;0.00;7403;100175;430312;400700;134;33;0;0;1901568;25614592;0.00;0.00;0.00;7428;100057;429940;400228;135;33;0;0;1800960;25583104;0.00;0.00;0.00;7035;99934;427876;399736;135;33;0;0;1901312;25702912;0.00;0.00;0.00;7427;100402;431316;401608;134;33;0;0;1793280;25666560;0.00;0.00;0.00;7005;100260;429060;401040;135;33;0;0;1815808;25789440;0.00;0.00;0.00;7093;100740;431332;402960;136;33;0;0;1944832;25943808;0.00;0.00;0.00;7597;101343;435760;405372;102;33;0;0;1936128;26053888;0.00;0.00;0.00;7563;101773;437344;407092;102;33;0;0;1840896;26088960;0.00;0.00;0.00;7191;101910;436404;407640;102;33;0;0;1910016;26210304;0.00;0.00;0.00;7461;102384;439380;409536;103;33;0;0;1932544;26324992;0.00;0.00;0.00;7549;102832;441524;411328;102;33;0;0;1853696;26396672;0.00;0.00;0.00;7241;103112;441412;412448;102;33;0;0;
1535294401;2194938068;1910016;25668864;0.00;0.00;0.00;7461;100269;430920;401076;136;33;0;0;1913856;25624320;0.00;0.00;0.00;7476;100095;430284;400380;136;33;0;0;1816320;25521920;0.00;0.00;0.00;7095;99695;427160;398780;136;33;0;0;1874432;25504512;0.00;0.00;0.00;7322;99627;427796;398508;136;33;0;0;1794560;25382400;0.00;0.00;0.00;7010;99150;424640;396600;135;33;0;0;1793792;25362432;0.00;0.00;0.00;7007;99072;424316;396288;135;33;0;0;1870336;25351936;0.00;0.00;0.00;7306;99031;425348;396124;103;33;0;0;1872640;25315840;0.00;0.00;0.00;7315;98890;424820;395560;103;33;0;0;1787648;25223168;0.00;0.00;0.00;6983;98528;422044;394112;103;33;0;0;1832960;25187584;0.00;0.00;0.00;7160;98389;422196;393556;102;33;0;0;1849600;25159424;0.00;0.00;0.00;7225;98279;422016;393116;103;33;0;0;1780992;25086976;0.00;0.00;0.00;6957;97996;419812;391984;103;33;0;0;
1535294402;2195097792;1966592;26347264;0.00;0.00;0.00;7682;102919;442404;411676;134;33;0;0;1955584;27020032;0.00;0.00;0.00;7639;105547;452744;422188;134;33;0;0;1965824;27746048;0.00;0.00;0.00;7679;108383;464248;433532;134;33;0;0;2090752;28517376;0.00;0.00;0.00;8167;111396;478252;445584;134;33;0;0;2029056;29137152;0.00;0.00;0.00;7926;113817;486972;455268;134;33;0;0;2150144;29981184;0.00;0.00;0.00;8399;117114;502052;468456;134;33;0;0;2283776;30745344;0.00;0.00;0.00;8921;120099;516080;480396;101;33;0;0;2294784;31461376;0.00;0.00;0.00;8964;122896;527440;491584;101;33;0;0;2268416;32147200;0.00;0.00;0.00;8861;125575;537744;502300;101;33;0;0;2418688;32918784;0.00;0.00;0.00;9448;128589;552148;514356;101;33;0;0;2429184;33623552;0.00;0.00;0.00;9489;131342;563324;525368;101;33;0;0;2441728;34345216;0.00;0.00;0.00;9538;134161;574796;536644;101;33;0;0;
1535294403;2195233242;1933568;25723904;0.00;0.00;0.00;7553;100484;432148;401936;134;33;0;0;1879296;25671680;0.00;0.00;0.00;7341;100280;430484;401120;134;33;0;0;1811456;25655296;0.00;0.00;0.00;7076;100216;429168;400864;134;33;0;0;1891328;25675008;0.00;0.00;0.00;7388;100293;430724;401172;134;33;0;0;1771776;25558016;0.00;0.00;0.00;6921;99836;427028;399344;134;33;0;0;1809408;25606400;0.00;0.00;0.24;7068;100025;428372;400100;134;33;0;0;1915904;25628928;0.00;0.00;0.00;7484;100113;430388;400452;101;33;0;0;1883392;25621248;0.00;0.00;0.00;7357;100083;429760;400332;101;33;0;0;1824768;25594368;0.00;0.00;0.00;7128;99978;428424;399912;101;33;0;0;1912832;25629440;0.00;0.00;0.00;7472;100115;430348;400460;101;33;0;0;1872640;25610496;0.00;0.00;0.00;7315;100041;429424;400164;101;33;0;0;1812480;25594368;0.00;0.00;0.00;7080;99978;428232;399912;101;33;0;0;
1535294404;2195010010;1880320;25269760;0.00;0.00;0.00;7345;98710;424220;394840;101;33;0;0;1761792;24547840;0.00;0.00;0.00;6882;95890;411088;383560;101;33;0;0;1697024;23943936;0.00;0.00;0.00;6629;93531;400640;374124;102;33;0;0;1733632;23348736;0.00;0.00;0.00;6772;91206;391912;364824;101;33;0;0;1588736;22601216;0.00;0.00;0.00;6206;88286;377968;353144;101;33;0;0;1570560;22036736;0.00;0.00;0.00;6135;86081;368864;344324;101;33;0;0;1572608;21413376;0.00;0.00;0.00;6143;83646;359156;334584;134;33;0;0;1531392;20816640;0.00;0.00;0.00;5982;81315;349188;325260;135;33;0;0;1441280;20179200;0.00;0.00;0.00;5630;78825;337820;315300;134;33;0;0;1411840;19480064;0.00;0.00;0.00;5515;76094;326436;304376;134;33;0;0;1401088;18797056;0.00;0.00;0.00;5473;73426;315596;293704;135;33;0;0;1283072;18050560;0.00;0.00;0.00;5012;70510;302088;282040;134;33;0;0;
1535294405;2195098848;1886208;25666816;0.00;0.00;0.00;7368;100261;430516;401044;101;33;0;0;1859840;25627392;0.00;0.00;0.00;7265;100107;429488;400428;102;33;0;0;1809664;25545984;0.00;0.00;0.00;7069;99789;427432;399156;101;33;0;0;1906176;25539584;0.00;0.00;0.00;7446;99764;428840;399056;102;33;0;0;1782016;25489664;0.00;0.00;0.00;6961;99569;426120;398276;102;33;0;0;1808640;25510656;0.00;0.00;0.00;7065;99651;426864;398604;101;33;0;0;1891584;25492992;0.00;0.00;0.00;7389;99582;427884;398328;135;33;0;0;1848832;25425408;0.00;0.00;0.00;7222;99318;426160;397272;134;33;0;0;1789184;25396480;0.00;0.00;0.00;6989;99205;424776;396820;134;33;0;0;1847040;25398272;0.00;0.00;0.00;7215;99212;425708;396848;135;33;0;0;1872640;25520384;0.00;0.00;0.00;7315;99689;428016;398756;134;33;0;0;1812992;25566464;0.00;0.00;0.00;7082;99869;427804;399476;134;33;0;0;
1535294406;2195090194;1885952;25692672;0.00;0.00;0.00;7367;100362;430916;401448;101;33;0;0;1868544;25688832;0.00;0.00;0.00;7299;100347;430584;401388;102;33;0;0;1811968;25744640;0.00;0.00;0.00;7078;100565;430572;402260;101;33;0;0;1939200;25886208;0.00;0.00;0.00;7575;101118;434772;404472;101;33;0;0;1807104;25690880;0.00;0.00;0.00;7059;100355;429656;401420;101;33;0;0;1842432;25804032;0.00;0.00;0.00;7197;100797;431976;403188;102;33;0;0;1893632;25854976;0.00;0.00;0.00;7397;100996;433572;403984;135;33;0;0;1887232;25814784;0.00;0.00;0.00;7372;100839;432844;403356;134;33;0;0;1835520;25828608;0.00;0.00;0.00;7170;100893;432252;403572;134;33;0;0;1900544;25892864;0.00;0.00;0.00;7424;101144;434272;404576;134;33;0;0;1920768;25821440;0.00;0.00;0.00;7503;100865;433472;403460;134;33;0;0;1823488;25716736;0.00;0.00;0.00;7123;100456;430316;401824;135;33;0;0;
1535294407;2195126758;1921280;25729280;0.00;0.00;0.00;7505;100505;432040;402020;101;33;0;0;1881856;25715456;0.00;0.00;0.00;7351;100451;431208;401804;102;33;0;0;1802240;25609728;0.00;0.00;0.00;7040;100038;428312;400152;101;33;0;0;1908992;25738752;0.00;0.00;0.00;7457;100542;431996;402168;102;33;0;0;1795840;25639936;0.00;0.00;0.00;7015;100156;428684;400624;101;33;0;0;1813248;25696512;0.00;0.00;0.00;7083;100377;429840;401508;101;33;0;0;1885184;25700096;0.00;0.00;0.00;7364;100391;431020;401564;135;33;0;0;1874176;25752320;0.00;0.00;0.00;7321;100595;431664;402380;135;33;0;0;1829888;25713408;0.00;0.00;0.00;7148;100443;430364;401772;134;33;0;0;1888256;25786624;0.00;0.00;0.00;7376;100729;432420;402916;135;33;0;0;1875712;25849600;0.00;0.00;0.00;7327;100975;433208;403900;135;33;0;0;1837568;25948160;0.00;0.00;0.00;7178;101360;434152;405440;134;33;0;0;
1535294408;2195097142;1896448;25704704;0.00;0.00;0.00;7408;100409;431268;401636;101;33;0;0;1875712;25699328;0.00;0.00;0.00;7327;100388;430860;401552;101;33;0;0;1818624;25727744;0.00;0.00;0.00;7104;100499;430412;401996;101;33;0;0;1903360;25779712;0.00;0.00;0.00;7435;100702;432548;402808;101;33;0;0;1797376;25724928;0.00;0.00;0.00;7021;100488;430036;401952;102;33;0;0;1825024;25783040;0.00;0.00;0.00;7129;100715;431376;402860;101;33;0;0;1888512;25793280;0.00;0.00;0.00;7377;100755;432528;403020;135;33;0;0;1898240;25761536;0.00;0.00;0.00;7415;100631;432184;402524;135;33;0;0;1837056;25777664;0.00;0.00;0.00;7176;100694;431480;402776;134;33;0;0;1887488;25681920;0.00;0.00;0.00;7373;100320;430772;401280;134;33;0;0;1886464;25694208;0.00;0.00;0.00;7369;100368;430948;401472;135;33;0;0;1807872;25610752;0.00;0.00;0.00;7062;100042;428416;400168;134;33;0;0;
