# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 11:38:51 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535297932;2195008356;1848320;25691648;0.00;0.00;0.00;7220;100358;430312;401432;135;33;0;0;1869568;25785344;0.00;0.00;0.00;7303;100724;432108;402896;136;33;0;0;1849600;25892608;0.00;0.00;0.00;7225;101143;433472;404572;135;33;0;0;1839104;25986304;0.00;0.00;0.00;7184;101509;434772;406036;135;33;0;0;1854976;26109440;0.00;0.00;0.00;7246;101990;436944;407960;136;33;0;0;1873920;26216704;0.00;0.00;0.00;7320;102409;438916;409636;135;33;0;0;1944320;26351104;0.00;0.00;0.00;7595;102934;442116;411736;102;33;0;0;1952000;26456576;0.00;0.00;0.00;7625;103346;443884;413384;102;33;0;0;1902336;26541824;0.00;0.00;0.00;7431;103679;444440;414716;102;33;0;0;2125312;26817024;0.00;0.00;0.00;8302;104754;452224;419016;102;33;0;0;1935360;26747136;0.00;0.00;0.00;7560;104481;448164;417924;102;33;0;0;1902336;26848768;0.00;0.00;0.00;7431;104878;449236;419512;102;33;0;0;
1535297933;2194946634;1848576;25630208;0.00;0.00;0.00;7221;100118;429356;400472;136;33;0;0;1847552;25561088;0.00;0.00;0.00;7217;99848;428260;399392;135;33;0;0;1803776;25502976;0.00;0.00;0.00;7046;99621;426668;398484;136;33;0;0;1829376;25476864;0.00;0.00;0.00;7146;99519;426660;398076;136;33;0;0;1768448;25387264;0.00;0.00;0.00;6908;99169;424308;396676;135;33;0;0;1815296;25381120;0.00;0.00;0.00;7091;99145;424944;396580;136;33;0;0;1871360;25357824;0.00;0.00;0.00;7310;99054;425456;396216;103;33;0;0;1852416;25299456;0.00;0.00;0.00;7236;98826;424248;395304;103;33;0;0;1808128;25233408;0.00;0.00;0.00;7063;98568;422524;394272;103;33;0;0;2072832;25403648;0.00;0.00;0.00;8097;99233;429320;396932;103;33;0;0;1838080;25154816;0.00;0.00;0.00;7180;98261;421764;393044;103;33;0;0;1782528;25084672;0.00;0.00;0.00;6963;97987;419800;391948;103;33;0;0;
1535297934;2194928864;1858048;25790720;0.00;0.00;0.00;7258;100745;432012;402980;134;33;0;0;1876480;25916672;0.00;0.00;0.00;7330;101237;434268;404948;134;33;0;0;1859328;26038016;0.00;0.00;0.00;7263;101711;435896;406844;134;33;0;0;1899520;26190848;0.00;0.00;0.00;7420;102308;438912;409232;134;33;0;0;1851136;26251520;0.00;0.00;0.00;7231;102545;439104;410180;134;33;0;0;1880064;26372352;0.00;0.00;0.00;7344;103017;441444;412068;134;33;0;0;1930752;26484992;0.00;0.00;0.00;7542;103457;443996;413828;101;33;0;0;1940480;26586624;0.00;0.00;0.00;7580;103854;445736;415416;101;33;0;0;1893888;26660608;0.00;0.00;0.00;7398;104143;446164;416572;101;33;0;0;2169344;26971904;0.00;0.00;0.00;8474;105359;455332;421436;101;33;0;0;1973760;26897408;0.00;0.00;0.00;7710;105068;451112;420272;101;33;0;0;1933824;26985984;0.00;0.00;0.00;7554;105414;451872;421656;101;33;0;0;
1535297935;2194970956;1844736;25638656;0.00;0.00;0.00;7206;100151;429428;400604;135;33;0;0;1868544;25618432;0.00;0.00;0.00;7299;100072;429484;400288;135;33;0;0;1833984;25573632;0.00;0.00;0.00;7164;99897;428244;399588;135;33;0;0;1814784;25544704;0.00;0.00;0.00;7089;99784;427492;399136;135;33;0;0;1972224;25590528;0.00;0.00;0.00;7704;99963;430668;399852;135;33;0;0;1805568;25528064;0.00;0.00;0.00;7053;99719;427088;398876;135;33;0;0;1896448;25568768;0.00;0.00;0.00;7408;99878;429144;399512;102;33;0;0;1906944;25603840;0.00;0.00;0.55;7449;100015;429856;400060;135;33;0;0;1836800;25629184;0.00;0.00;0.00;7175;100114;429156;400456;134;33;0;0;2048256;25767680;0.00;0.00;0.00;8001;100655;434624;402620;135;33;0;0;1863936;25533440;0.00;0.00;0.00;7281;99740;428084;398960;136;33;0;0;1811456;25399808;0.00;0.00;0.00;7076;99218;425176;396872;136;33;0;0;
1535297936;2194969198;1850624;25717248;0.00;0.00;0.00;7229;100458;430748;401832;102;33;0;0;1873920;25755136;0.00;0.00;0.00;7320;100606;431704;402424;102;33;0;0;1876992;25771008;0.00;0.00;0.00;7332;100668;432000;402672;102;33;0;0;1829632;25678592;0.00;0.00;0.00;7147;100307;429816;401228;102;33;0;0;2288384;25751040;0.00;0.00;0.00;8939;100590;438116;402360;102;33;0;0;1833216;25695744;0.00;0.00;0.00;7161;100374;430140;401496;102;33;0;0;1871104;25636352;0.00;0.00;0.00;7309;100142;429804;400568;135;33;0;0;1872896;25520128;0.00;0.00;0.00;7316;99688;428016;398752;135;33;0;0;1816576;25456128;0.00;0.00;0.00;7096;99438;426136;397752;134;33;0;0;2043136;25639936;0.00;0.00;0.00;7981;100156;432548;400624;135;33;0;0;1831936;25468416;0.00;0.00;0.00;7156;99486;426568;397944;134;33;0;0;1828352;25513984;0.00;0.00;0.00;7142;99664;427224;398656;135;33;0;0;
1535297937;2195084290;1825536;25642240;0.00;0.00;0.00;7131;100165;429184;400660;101;33;0;0;1868032;25622528;0.00;0.00;0.00;7297;100088;429540;400352;101;33;0;0;1840896;25561600;0.00;0.00;0.00;7191;99850;428164;399400;103;33;0;0;1820672;25495040;0.00;0.00;0.00;7112;99590;426808;398360;101;33;0;0;2213376;25368832;0.00;0.00;0.00;8646;99097;430972;396388;103;33;0;0;1814016;25238016;0.00;0.00;0.00;7086;98586;422688;394344;103;33;0;0;1855232;25168128;0.00;0.00;0.00;7247;98313;422240;393252;136;33;0;0;1843200;25101568;0.00;0.00;0.00;7200;98053;421012;392212;135;33;0;0;1792000;24952320;0.00;0.00;0.00;7000;97470;417880;389880;134;33;0;0;1967360;25127424;0.00;0.00;0.00;7685;98154;423356;392616;134;33;0;0;1841408;25080576;0.00;0.00;0.00;7193;97971;420656;391884;135;33;0;0;1790720;25090304;0.00;0.00;0.00;6995;98009;420016;392036;135;33;0;0;
1535297938;2195035740;1838080;25660928;0.00;0.00;0.00;7180;100238;429672;400952;101;33;0;0;1886208;25726208;0.00;0.00;0.00;7368;100493;431444;401972;102;33;0;0;1846528;25743872;0.00;0.00;0.00;7213;100562;431100;402248;101;33;0;0;1858816;25804288;0.00;0.00;0.00;7261;100798;432236;403192;103;33;0;0;2282496;25818112;0.00;0.00;0.00;8916;100852;439072;403408;102;33;0;0;1840128;25817856;0.00;0.00;0.00;7188;100851;432156;403404;103;33;0;0;1909248;26014464;0.00;0.00;0.00;7458;101619;436308;406476;135;33;0;0;1920768;26134272;0.00;0.00;0.00;7503;102087;438360;408348;135;33;0;0;1871872;26153984;0.00;0.00;0.00;7312;102164;437904;408656;135;33;0;0;2103552;26207488;0.00;0.00;0.00;8217;102373;442360;409492;135;33;0;0;1909248;25938176;0.00;0.00;0.00;7458;101321;435116;405284;136;33;0;0;1831168;25820928;0.00;0.00;0.00;7153;100863;432064;403452;135;33;0;0;
1535297939;2195111678;1839104;25664256;0.00;0.00;0.00;7184;100251;429740;401004;102;33;0;0;1890816;25623808;0.00;0.00;0.00;7386;100093;429916;400372;101;33;0;0;1827584;25543168;0.00;0.00;0.00;7139;99778;427668;399112;103;33;0;0;1816832;25495296;0.00;0.00;0.00;7097;99591;426752;398364;102;33;0;0;2259456;25518080;0.00;0.00;0.00;8826;99680;434024;398720;102;33;0;0;1801984;25450752;0.00;0.00;0.00;7039;99417;425824;397668;103;33;0;0;1862400;25475584;0.00;0.00;0.00;7275;99514;427156;398056;135;33;0;0;1874688;25495296;0.00;0.00;0.00;7323;99591;427656;398364;134;33;0;0;1829632;25497856;0.00;0.00;0.00;7147;99601;426992;398404;134;33;0;0;1989376;25591296;0.00;0.00;0.00;7771;99966;430948;399864;136;33;0;0;1847552;25501952;0.00;0.00;0.00;7217;99617;427336;398468;135;33;0;0;1816832;25621504;0.00;0.00;0.00;7097;100084;428724;400336;135;33;0;0;
1535297940;2195036624;1837568;25660416;0.00;0.00;0.00;7178;100236;429656;400944;101;33;0;0;1859840;25654784;0.00;0.00;0.00;7265;100214;429916;400856;102;33;0;0;1842176;25649920;0.00;0.00;0.00;7196;100195;429564;400780;102;33;0;0;1845504;25661184;0.00;0.00;0.00;7209;100239;429792;400956;102;33;0;0;2267648;25673984;0.00;0.00;0.00;8858;100289;436588;401156;103;33;0;0;1831680;25644288;0.00;0.00;0.00;7155;100173;429312;400692;103;33;0;0;1862400;25476096;0.00;0.00;0.00;7275;99516;427164;398064;135;33;0;0;1863680;25350400;0.00;0.00;0.00;7280;99025;425220;396100;135;33;0;0;1807104;25249280;0.00;0.00;0.00;7059;98630;422756;394520;136;33;0;0;1970688;25319936;0.00;0.00;0.00;7698;98906;426416;395624;135;33;0;0;1831424;25180416;0.00;0.00;0.00;7154;98361;422060;393444;136;33;0;0;1795840;25030912;0.00;0.00;0.00;7015;97777;419168;391108;135;33;0;0;
1535297941;2195075098;1844480;25664000;0.00;0.00;0.00;7205;100250;429820;401000;101;33;0;0;1861888;25670912;0.00;0.00;0.00;7273;100277;430200;401108;102;33;0;0;1828352;25766144;0.00;0.00;0.00;7142;100649;431164;402596;101;33;0;0;1845248;25863936;0.00;0.00;0.00;7208;101031;432956;404124;101;33;0;0;2298624;25961216;0.00;0.00;0.00;8979;101411;441560;405644;103;33;0;0;1885184;25969152;0.00;0.00;0.00;7364;101442;435224;405768;103;33;0;0;1955840;26029568;0.00;0.00;0.00;7640;101678;437272;406712;136;33;0;0;1918464;26007552;0.00;0.00;0.00;7494;101592;436344;406368;136;33;0;0;1862912;25979136;0.00;0.00;0.00;7277;101481;435032;405924;136;33;0;0;2066688;26117120;0.00;0.00;0.00;8073;102020;440372;408080;136;33;0;0;1900032;25981440;0.00;0.00;0.00;7422;101490;435648;405960;136;33;0;0;1848320;25970176;0.00;0.00;0.00;7220;101446;434664;405784;135;33;0;0;
