# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 15:16:46 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535311007;2195063892;1821440;25719552;0.00;0.00;0.00;7115;100467;430328;401868;135;33;0;0;1924096;25885952;0.00;0.00;0.00;7516;101117;434532;404468;135;33;0;0;1848064;25961728;0.00;0.00;0.00;7219;101413;434528;405652;135;33;0;0;1877248;26146816;0.00;0.00;0.00;7333;102136;437876;408544;135;33;0;0;1830912;26206464;0.00;0.00;0.00;7152;102369;438084;409476;135;33;0;0;1875456;26385920;0.00;0.00;0.00;7326;103070;441584;412280;135;33;0;0;1907456;26483968;0.00;0.00;0.00;7451;103453;443616;413812;102;33;0;0;1964032;26654464;0.00;0.00;0.00;7672;104119;447164;416476;102;33;0;0;1924352;26763776;0.00;0.00;0.00;7517;104546;448252;418184;102;33;0;0;1945600;26820864;0.00;0.00;0.00;7600;104769;449476;419076;102;33;0;0;1961984;26994176;0.00;0.00;0.00;7664;105446;452440;421784;102;33;0;0;1924352;27122176;0.00;0.00;0.00;7517;105946;453852;423784;102;33;0;0;
1535311008;2195050398;1828096;25655296;0.00;0.00;0.00;7141;100216;429428;400864;134;33;0;0;1871616;25683200;0.00;0.00;0.00;7311;100325;430544;401300;135;33;0;0;1810944;25664768;0.00;0.00;0.00;7074;100253;429308;401012;135;33;0;0;1825280;25547264;0.00;0.00;0.00;7130;99794;427696;399176;136;33;0;0;1801216;25431296;0.00;0.00;0.00;7036;99341;425508;397364;136;33;0;0;1808384;25374208;0.00;0.00;0.00;7064;99118;424728;396472;136;33;0;0;1823744;25250560;0.00;0.00;0.00;7124;98635;423036;394540;103;33;0;0;1888768;25205248;0.00;0.00;0.00;7378;98458;423344;393832;103;33;0;0;1780224;25045760;0.00;0.00;0.00;6954;97835;419156;391340;103;33;0;0;1835264;24976384;0.00;0.00;0.00;7169;97564;418932;390256;102;33;0;0;1817344;24816896;0.00;0.00;0.00;7099;96941;416160;387764;102;33;0;0;1742848;24656640;0.00;0.00;0.00;6808;96315;412492;385260;102;33;0;0;
1535311009;2195023436;1837568;25659392;0.00;0.00;0.00;7178;100232;429640;400928;144;33;0;0;1902848;25707776;0.00;0.00;0.00;7433;100421;431416;401684;135;33;0;0;1826048;25679104;0.00;0.00;0.00;7133;100309;429768;401236;134;33;0;0;1819648;25677568;0.00;0.00;0.00;7108;100303;429644;401212;134;33;0;0;1803008;25627392;0.00;0.00;0.00;7043;100107;428600;400428;136;33;0;0;1829888;25702144;0.00;0.00;0.00;7148;100399;430188;401596;136;33;0;0;1857792;25706496;0.00;0.00;0.00;7257;100416;430692;401664;102;33;0;0;1914368;25902080;0.00;0.00;0.00;7478;101180;434632;404720;102;33;0;0;1840128;26004992;0.00;0.00;0.00;7188;101582;435080;406328;102;33;0;0;1885440;26080256;0.00;0.00;0.00;7365;101876;436964;407504;102;33;0;0;1917696;26184192;0.00;0.00;0.00;7491;102282;439092;409128;102;33;0;0;1855488;26191360;0.00;0.00;0.00;7248;102310;438232;409240;103;33;0;0;
1535311010;2195063544;1842688;25668352;0.00;0.00;0.00;7198;100267;429860;401068;140;33;0;0;1890304;25701632;0.00;0.00;0.00;7384;100397;431124;401588;134;33;0;0;1819136;25676800;0.00;0.00;0.00;7106;100300;429624;401200;135;33;0;0;1850112;25691392;0.00;0.00;0.00;7227;100357;430336;401428;136;33;0;0;1782784;25617152;0.00;0.00;0.00;6964;100067;428124;400268;135;33;0;0;1820416;25687296;0.00;0.00;0.00;7111;100341;429808;401364;135;33;0;0;1847808;25652224;0.00;0.00;0.00;7218;100204;429688;400816;102;33;0;0;1873408;25506816;0.00;0.00;0.00;7318;99636;427816;398544;102;33;0;0;1792768;25352960;0.00;0.00;0.00;7003;99035;424152;396140;102;33;0;0;1854208;25288448;0.00;0.00;0.00;7243;98783;424104;395132;103;33;0;0;1867520;25249024;0.00;0.00;0.00;7295;98629;423696;394516;103;33;0;0;1789184;25182464;0.00;0.00;0.00;6989;98369;421432;393476;102;33;0;0;
1535311011;2195015720;1837568;25661696;0.00;0.00;0.00;7178;100241;429676;400964;136;35;0;0;1875456;25662464;0.00;0.00;0.00;7326;100244;430280;400976;134;33;0;0;1810944;25644544;0.00;0.00;0.00;7074;100174;428992;400696;135;33;0;0;1845504;25662464;0.00;0.00;0.00;7209;100244;429812;400976;135;33;0;0;1784320;25589248;0.00;0.00;0.00;6970;99958;427712;399832;135;33;0;0;1822208;25652736;0.00;0.00;0.00;7118;100206;429296;400824;135;33;0;0;1888768;25672448;0.00;0.00;0.00;7378;100283;430644;401132;103;33;0;0;1878016;25665536;0.00;0.00;0.00;7336;100256;430368;401024;103;33;0;0;1816320;25647104;0.00;0.00;0.00;7095;100184;429116;400736;103;33;0;0;1889280;25661440;0.00;0.00;0.00;7380;100240;430480;400960;103;33;0;0;1889280;25681664;0.00;0.00;0.00;7380;100319;430796;401276;103;33;0;0;1819648;25651712;0.00;0.00;0.00;7108;100202;429240;400808;103;33;0;0;
1535311012;2195031476;1828864;25652992;0.00;0.00;0.00;7144;100207;429404;400828;136;33;0;0;1888000;25659392;0.00;0.00;0.00;7375;100232;430428;400928;135;33;0;0;1812992;25635072;0.00;0.00;0.00;7082;100137;428876;400548;135;33;0;0;1827840;25624320;0.00;0.00;0.00;7140;100095;428940;400380;135;33;0;0;1800704;25587200;0.00;0.00;0.00;7034;99950;427936;399800;135;33;0;0;1799680;25604096;0.00;0.00;0.52;7030;100016;428184;400064;136;33;0;0;1875200;25628928;0.00;0.00;0.00;7325;100113;429752;400452;103;33;0;0;1902080;25655552;0.00;0.00;0.00;7430;100217;430588;400868;103;33;0;0;1816320;25618176;0.00;0.00;0.00;7095;100071;428664;400284;103;33;0;0;1855744;25617408;0.00;0.00;0.00;7249;100068;429268;400272;103;33;0;0;1857024;25619200;0.00;0.00;0.00;7254;100075;429316;400300;103;33;0;0;1815808;25617152;0.00;0.00;0.00;7093;100067;428640;400268;103;33;0;0;
1535311013;2195078612;1835520;25657856;0.00;0.00;0.00;7170;100226;429584;400904;136;33;0;0;1881600;25691648;0.00;0.00;0.00;7350;100358;430832;401432;135;33;0;0;1833216;25762560;0.00;0.00;0.00;7161;100635;431184;402540;135;33;0;0;1844736;25840640;0.00;0.00;0.00;7206;100940;432584;403760;134;33;0;0;1800192;25807616;0.00;0.00;0.00;7032;100811;431372;403244;134;33;0;0;1827840;25893120;0.00;0.00;0.00;7140;101145;433140;404580;136;33;0;0;1889024;25926144;0.00;0.00;0.00;7379;101274;434612;405096;103;33;0;0;1920000;25988864;0.00;0.00;0.00;7500;101519;436076;406076;103;33;0;0;1852416;25971456;0.00;0.00;0.00;7236;101451;434748;405804;103;33;0;0;1889024;25950720;0.00;0.00;0.00;7379;101370;434996;405480;103;33;0;0;1924864;26003456;0.00;0.00;0.00;7519;101576;436380;406304;103;33;0;0;1833472;25950976;0.00;0.00;0.00;7162;101371;434132;405484;103;33;0;0;
1535311014;2195029980;1851136;25672192;0.00;0.00;0.00;7231;100282;430052;401128;143;33;0;0;1900800;25645824;0.00;0.00;0.00;7425;100179;430416;400716;134;33;0;0;1810176;25537280;0.00;0.00;0.00;7071;99755;427304;399020;134;33;0;0;1817088;25446144;0.00;0.00;0.00;7098;99399;425988;397596;136;33;0;0;1776896;25360384;0.00;0.00;0.00;6941;99064;424020;396256;136;33;0;0;1799680;25372928;0.00;0.00;0.00;7030;99113;424572;396452;135;33;0;0;1850368;25347584;0.00;0.00;0.00;7228;99014;424968;396056;102;33;0;0;1870336;25346304;0.00;0.00;0.00;7306;99009;425260;396036;102;33;0;0;1775616;25297152;0.00;0.00;0.00;6936;98817;423012;395268;103;33;0;0;1823232;25298944;0.00;0.00;0.00;7122;98824;423784;395296;103;33;0;0;1866752;25347328;0.00;0.00;0.00;7292;99013;425220;396052;103;33;0;0;1794048;25317120;0.00;0.00;0.00;7008;98895;423612;395580;105;33;0;0;
1535311015;2195019978;1855232;25684992;0.00;0.00;0.00;7247;100332;430316;401328;145;33;0;0;1904896;25744896;0.00;0.00;0.00;7441;100566;432028;402264;135;33;0;0;1831168;25743360;0.00;0.00;0.00;7153;100560;430852;402240;135;33;0;0;1860096;25795328;0.00;0.00;0.00;7266;100763;432116;403052;135;33;0;0;1794304;25713152;0.00;0.00;0.00;7009;100442;429804;401768;135;33;0;0;1843200;25811968;0.00;0.00;0.00;7200;100828;432112;403312;136;33;0;0;1853952;25793280;0.00;0.00;0.00;7242;100755;431988;403020;103;33;0;0;1881344;25820928;0.00;0.00;0.00;7349;100863;432848;403452;103;33;0;0;1838592;25816064;0.00;0.00;0.00;7182;100844;432104;403376;103;33;0;0;1888512;25825536;0.00;0.00;0.00;7377;100881;433032;403524;103;33;0;0;1912320;25847808;0.00;0.00;0.00;7470;100968;433752;403872;103;33;0;0;1808640;25786368;0.00;0.00;0.00;7065;100728;431172;402912;103;33;0;0;
1535311016;2195036264;1843200;25661440;0.00;0.00;0.00;7200;100240;429760;400960;136;33;0;0;1861632;25595648;0.00;0.00;0.00;7272;99983;429020;399932;134;33;0;0;1814528;25570048;0.00;0.00;0.00;7088;99883;427884;399532;135;33;0;0;1819392;25649152;0.00;0.00;0.00;7107;100192;429196;400768;134;33;0;0;1794304;25697024;0.00;0.00;0.00;7009;100379;429552;401516;134;33;0;0;1842944;25822976;0.00;0.00;0.00;7199;100871;432280;403484;134;33;0;0;1871616;25856512;0.00;0.00;0.00;7311;101002;433252;404008;102;33;0;0;1902592;25908480;0.00;0.00;0.00;7432;101205;434548;404820;103;33;0;0;1856000;25932288;0.00;0.00;0.00;7250;101298;434192;405192;103;33;0;0;1880064;25930240;0.00;0.00;0.00;7344;101290;434536;405160;103;33;0;0;1923328;25969664;0.00;0.00;0.00;7513;101444;435828;405776;103;33;0;0;1835776;25927680;0.00;0.00;0.00;7171;101280;433804;405120;103;33;0;0;
