# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 14:24:53 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535307894;2195014494;1850880;25749504;0.00;0.00;0.00;7230;100584;431256;402336;135;33;0;0;1884160;25893888;0.00;0.00;0.00;7360;101148;434032;404592;135;33;0;0;1857024;26075648;0.00;0.00;0.00;7254;101858;436448;407432;134;33;0;0;1890048;26067712;0.00;0.00;0.00;7383;101827;436840;407308;134;33;0;0;1882112;26098944;0.00;0.00;0.00;7352;101949;437204;407796;135;33;0;0;1851904;26167040;0.00;0.00;0.00;7234;102215;437796;408860;135;33;0;0;2034688;26424576;0.00;0.00;0.00;7948;103221;444676;412884;101;33;0;0;1946880;26437376;0.00;0.00;0.00;7605;103271;443504;413084;101;33;0;0;1891072;26569984;0.00;0.00;0.00;7387;103789;444704;415156;102;33;0;0;2116352;26829568;0.00;0.00;0.00;8267;104803;452280;419212;102;33;0;0;1933568;26771200;0.00;0.00;0.00;7553;104575;448512;418300;102;33;0;0;1913088;26960384;0.00;0.00;0.00;7473;105314;451148;421256;102;33;0;0;
1535307895;2195084840;1823488;25650944;0.00;0.00;0.00;7123;100199;429288;400796;134;33;0;0;1894144;25659904;0.00;0.00;0.00;7399;100234;430532;400936;135;33;0;0;1814272;25542400;0.00;0.00;0.00;7087;99775;427448;399100;134;33;0;0;1828864;25431296;0.00;0.00;0.00;7144;99341;425940;397364;136;33;0;0;1820672;25273856;0.00;0.00;0.00;7112;98726;423352;394904;135;33;0;0;1785856;25131776;0.00;0.00;0.00;6976;98171;420588;392684;136;33;0;0;1829632;24959488;0.00;0.00;0.00;7147;97498;418580;389992;103;33;0;0;1840640;24851968;0.00;0.00;0.00;7190;97078;417072;388312;103;33;0;0;1754368;24649984;0.00;0.00;0.00;6853;96289;412568;385156;102;33;0;0;1933056;24652800;0.00;0.00;0.00;7551;96300;415404;385200;103;33;0;0;1797632;24455424;0.00;0.00;0.00;7022;95529;410204;382116;102;33;0;0;1732864;24259584;0.00;0.00;0.00;6769;94764;406132;379056;102;33;0;0;
1535307896;2195028184;1834496;25659648;0.00;0.00;0.00;7166;100233;429596;400932;143;33;0;0;1890048;25671168;0.00;0.00;0.00;7383;100278;430644;401112;135;33;0;0;1812992;25640704;0.00;0.00;0.00;7082;100159;428964;400636;136;33;0;0;1824512;25643776;0.00;0.00;0.00;7127;100171;429192;400684;135;33;0;0;1842688;25650432;0.00;0.00;0.00;7198;100197;429580;400788;135;33;0;0;1838336;25662976;0.00;0.00;0.00;7181;100246;429708;400984;136;33;0;0;1902336;25670144;0.00;0.00;0.00;7431;100274;430820;401096;103;33;0;0;1872896;25662720;0.00;0.00;0.00;7316;100245;430244;400980;103;33;0;0;1800960;25631232;0.00;0.00;0.00;7035;100122;428628;400488;103;33;0;0;1993984;25760000;0.00;0.00;0.00;7789;100625;433656;402500;103;33;0;0;1869824;25664256;0.00;0.00;0.00;7304;100251;430220;401004;103;33;0;0;1835264;25667584;0.00;0.00;0.00;7169;100264;429732;401056;103;33;0;0;
1535307897;2195070338;1823488;25649920;0.00;0.00;0.00;7123;100195;429272;400780;150;35;0;0;1862656;25672192;0.00;0.00;0.00;7276;100282;430232;401128;135;33;0;0;1813760;25680128;0.00;0.00;0.00;7085;100313;429592;401252;135;33;0;0;1836544;25705472;0.00;0.00;0.00;7174;100412;430344;401648;135;33;0;0;1836288;25697792;0.00;0.00;0.00;7173;100382;430220;401528;135;33;0;0;1830144;25718272;0.00;0.00;0.00;7149;100462;430444;401848;136;33;0;0;1876480;25734400;0.00;0.00;0.00;7330;100525;431420;402100;103;33;0;0;1913600;25777664;0.00;0.00;0.00;7475;100694;432676;402776;103;33;0;0;1803776;25716736;0.00;0.00;0.00;7046;100456;430008;401824;103;33;0;0;2059776;25890560;0.00;0.00;0.00;8046;101135;436724;404540;103;33;0;0;1889536;25756416;0.00;0.00;0.00;7381;100611;431968;402444;103;33;0;0;1823488;25893376;0.00;0.00;0.00;7123;101146;433076;404584;102;33;0;0;
1535307898;2195075386;1824256;25652224;0.00;0.00;0.00;7126;100204;429320;400816;143;33;0;0;1885696;25707008;0.00;0.00;0.00;7366;100418;431136;401672;135;33;0;0;1806336;25663744;0.00;0.00;0.00;7056;100249;429220;400996;134;33;0;0;1830912;25696512;0.00;0.00;0.00;7152;100377;430116;401508;135;33;0;0;1843712;25674240;0.00;0.00;0.00;7202;100290;429968;401160;136;33;0;0;1829120;25695232;0.00;0.00;0.00;7145;100372;430068;401488;136;33;0;0;1887232;25703424;0.00;0.00;0.00;7372;100404;431104;401616;102;33;0;0;1882624;25700608;0.00;0.00;0.00;7354;100393;430988;401572;103;33;0;0;1809664;25663744;0.00;0.00;0.00;7069;100249;429272;400996;103;33;0;0;1924352;25724928;0.00;0.00;0.00;7517;100488;432020;401952;103;33;0;0;1851648;25671936;0.00;0.00;0.00;7233;100281;430056;401124;103;33;0;0;1811200;25509888;0.00;0.00;0.00;7075;99648;426892;398592;102;33;0;0;
1535307899;2195024538;1827840;25651200;0.00;0.00;0.00;7140;100200;429360;400800;145;33;0;0;1883136;25671424;0.00;0.00;0.00;7356;100279;430540;401116;134;33;0;0;1835008;25666304;0.00;0.00;0.00;7168;100259;429708;401036;135;33;0;0;1820416;25630464;0.00;0.00;0.00;7111;100119;428920;400476;135;33;0;0;1842944;25647104;0.00;0.00;0.00;7199;100184;429532;400736;135;33;0;0;1827072;25651200;0.00;0.00;0.00;7137;100200;429348;400800;135;33;0;0;1880832;25660672;0.00;0.00;0.00;7347;100237;430336;400948;103;33;0;0;1895936;25675776;0.00;0.00;0.00;7406;100296;430808;401184;103;33;0;0;1820672;25649408;0.00;0.00;0.00;7112;100193;429220;400772;103;33;0;0;2042624;25801216;0.00;0.00;0.00;7979;100786;435060;403144;103;33;0;0;1871872;25660672;0.00;0.00;0.00;7312;100237;430196;400948;103;33;0;0;1829376;25656832;0.00;0.00;0.00;7146;100222;429472;400888;103;33;0;0;
1535307900;2195085516;1842176;25669632;0.00;0.00;0.00;7196;100272;429872;401088;139;33;0;0;1868544;25685760;0.00;0.00;0.00;7299;100335;430536;401340;134;33;0;0;1810176;25757952;0.00;0.00;0.00;7071;100617;430752;402468;135;33;0;0;1837312;25807872;0.00;0.00;0.00;7177;100812;431956;403248;134;33;0;0;1832448;25933312;0.00;0.00;0.00;7158;101302;433840;405208;134;33;0;0;1830912;26031616;0.00;0.00;0.00;7152;101686;435352;406744;134;33;0;0;1910272;26159104;0.00;0.00;0.00;7462;102184;438584;408736;102;33;0;0;1942016;26342656;0.00;0.00;0.00;7586;102901;441948;411604;102;33;0;0;1864960;26404352;0.00;0.00;0.00;7285;103142;441708;412568;102;33;0;0;2104320;26641408;0.00;0.00;0.00;8220;104068;449152;416272;103;33;0;0;1936384;26529024;0.00;0.00;0.00;7564;103629;444772;414516;103;33;0;0;1886208;26551808;0.00;0.00;0.00;7368;103718;444344;414872;103;33;0;0;
1535307901;2195079252;1836288;25667840;0.00;0.00;0.00;7173;100265;429752;401060;135;33;0;0;1862656;25639168;0.00;0.00;0.00;7276;100153;429716;400612;134;33;0;0;1804288;25539584;0.00;0.00;0.00;7048;99764;427248;399056;135;33;0;0;1829376;25505280;0.00;0.00;0.00;7146;99630;427104;398520;135;33;0;0;1815296;25339904;0.00;0.00;0.00;7091;98984;424300;395936;135;33;0;0;1797120;25268480;0.00;0.00;0.00;7020;98705;422900;394820;136;33;0;0;1902848;25393152;0.00;0.00;0.00;7433;99192;426500;396768;101;33;0;0;1853696;25324288;0.00;0.00;0.00;7241;98923;424656;395692;102;33;0;0;1796096;25306880;0.00;0.00;0.00;7016;98855;423484;395420;102;33;0;0;2014464;25458944;0.00;0.00;0.00;7869;99449;429272;397796;102;33;0;0;1845248;25307392;0.00;0.00;0.00;7208;98857;424260;395428;102;33;0;0;1798144;25299968;0.00;0.00;0.00;7024;98828;423408;395312;102;33;0;0;
1535307902;2195021994;1834240;25660416;0.00;0.00;0.00;7165;100236;429604;400944;139;35;0;0;1888000;25686016;0.00;0.00;0.00;7375;100336;430844;401344;135;33;0;0;1836288;25679360;0.00;0.00;0.00;7173;100310;429932;401240;135;33;0;0;1852928;25675520;0.00;0.00;0.00;7238;100295;430132;401180;135;33;0;0;1845504;25669632;0.00;0.00;0.00;7209;100272;429924;401088;135;33;0;0;1832448;25663488;0.00;0.00;0.00;7158;100248;429624;400992;136;33;0;0;1876224;25513728;0.00;0.00;0.00;7329;99663;427968;398652;102;33;0;0;1856768;25367552;0.00;0.00;0.00;7253;99092;425380;396368;102;33;0;0;1773568;25238784;0.00;0.00;0.00;6928;98589;422068;394356;103;33;0;0;1942784;25282304;0.00;0.00;0.00;7589;98759;425392;395036;102;33;0;0;1861120;25194496;0.00;0.00;0.00;7270;98416;422744;393664;102;33;0;0;1791232;25147904;0.00;0.00;0.00;6997;98234;420924;392936;103;33;0;0;
1535307903;2195108344;1833216;25660928;0.00;0.00;0.00;7161;100238;429596;400952;134;33;0;0;1873664;25660928;0.00;0.00;0.00;7319;100238;430228;400952;135;33;0;0;1834496;25667840;0.00;0.00;0.00;7166;100265;429724;401060;135;33;0;0;1846016;25661440;0.00;0.00;0.00;7211;100240;429804;400960;135;33;0;0;1838080;25644032;0.00;0.00;0.00;7180;100172;429408;400688;135;33;0;0;1828096;25780480;0.00;0.00;0.00;7141;100705;431384;402820;136;33;0;0;1891072;25808384;0.00;0.00;0.00;7387;100814;432804;403256;103;33;0;0;1929216;25879552;0.00;0.00;0.00;7536;101092;434512;404368;103;33;0;0;1859840;25899264;0.00;0.00;0.00;7265;101169;433736;404676;103;33;0;0;1944576;25943808;0.00;0.00;0.00;7596;101343;435756;405372;103;33;0;0;1888000;25905920;0.00;0.00;0.00;7375;101195;434280;404780;103;33;0;0;1829632;25889792;0.00;0.00;0.00;7147;101132;433116;404528;103;33;0;0;
