# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 14:28:36 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535308117;2195088166;1838592;25735424;0.00;0.00;0.00;7182;100529;430844;402116;135;33;0;0;1884928;25895424;0.00;0.00;0.00;7363;101154;434068;404616;135;33;0;0;1827072;25955584;0.00;0.00;0.00;7137;101389;434104;405556;135;33;0;0;1867008;26017792;0.00;0.00;0.00;7293;101632;435700;406528;136;33;0;0;1864448;25914624;0.00;0.00;0.00;7283;101229;434048;404916;135;33;0;0;1854464;25820416;0.00;0.00;0.00;7244;100861;432420;403444;135;33;0;0;2040064;25932032;0.00;0.00;0.00;7969;101297;437064;405188;102;33;0;0;1878784;25774848;0.00;0.00;0.00;7339;100683;432088;402732;102;33;0;0;1832960;25655296;0.00;0.00;0.00;7160;100216;429504;400864;102;33;0;0;1989376;25660416;0.00;0.00;0.00;7771;100236;432028;400944;103;33;0;0;1852928;25476096;0.00;0.00;0.00;7238;99516;427016;398064;103;33;0;0;1807616;25430784;0.00;0.00;0.00;7061;99339;425600;397356;102;33;0;0;
1535308118;2194921152;1838080;25568512;0.00;0.00;0.00;7180;99877;428228;399508;134;33;0;0;1869056;25475072;0.00;0.00;0.00;7301;99512;427252;398048;136;33;0;0;1801984;25426688;0.00;0.00;0.00;7039;99323;425448;397292;136;33;0;0;1828864;25446912;0.00;0.00;0.00;7144;99402;426184;397608;135;33;0;0;1824512;25453824;0.00;0.00;0.00;7127;99429;426224;397716;135;33;0;0;1822208;25494016;0.00;0.00;0.00;7118;99586;426816;398344;136;33;0;0;2024448;25689344;0.00;0.00;0.00;7908;100349;433028;401396;103;33;0;0;1874176;25626112;0.00;0.00;0.00;7321;100102;429692;400408;103;33;0;0;1820672;25663744;0.00;0.00;0.00;7112;100249;429444;400996;103;33;0;0;2018560;25855488;0.00;0.00;0.00;7885;100998;435532;403992;103;33;0;0;1877248;25799680;0.00;0.00;0.00;7333;100780;432452;403120;103;33;0;0;1844480;25846016;0.00;0.00;0.00;7205;100961;432664;403844;103;33;0;0;
1535308119;2194889126;1839872;25652736;0.00;0.00;0.00;7187;100206;429572;400824;136;33;0;0;1882880;25654016;0.00;0.00;0.00;7355;100211;430264;400844;135;33;0;0;1823232;25623552;0.00;0.00;0.00;7122;100092;428856;400368;135;33;0;0;1825792;25602304;0.00;0.00;0.73;7132;100009;428564;400036;135;33;0;0;1819392;25570304;0.00;0.00;0.00;7107;99884;427964;399536;135;33;0;0;1829888;25579776;0.00;0.00;0.00;7148;99921;428276;399684;135;33;0;0;2042624;25723648;0.00;0.00;0.00;7979;100483;433848;401932;102;33;0;0;1881600;25566464;0.00;0.00;0.00;7350;99869;428876;399476;102;33;0;0;1815552;25529600;0.00;0.00;0.00;7092;99725;427268;398900;102;33;0;0;2020864;25665536;0.00;0.00;0.00;7894;100256;432600;401024;102;33;0;0;1854976;25506816;0.00;0.00;0.00;7246;99636;427528;398544;102;33;0;0;1814784;25472768;0.00;0.00;0.00;7089;99503;426368;398012;102;33;0;0;
1535308120;2194942766;1818112;25644032;0.00;0.00;0.00;7102;100172;429096;400688;135;33;0;0;1889024;25686016;0.00;0.00;0.00;7379;100336;430860;401344;135;33;0;0;1818112;25650944;0.00;0.00;0.00;7102;100199;429204;400796;135;33;0;0;1834496;25657856;0.00;0.00;0.00;7166;100226;429568;400904;135;33;0;0;1829632;25639424;0.00;0.00;0.00;7147;100154;429204;400616;135;33;0;0;1834496;25657600;0.00;0.00;0.00;7166;100225;429564;400900;135;33;0;0;1982464;25753344;0.00;0.00;0.00;7744;100599;433372;402396;102;33;0;0;1908480;25697792;0.00;0.00;0.00;7455;100382;431348;401528;102;33;0;0;1810688;25642752;0.00;0.00;0.00;7073;100167;428960;400668;102;33;0;0;2072064;25834752;0.00;0.00;0.00;8094;100917;436044;403668;102;33;0;0;1847808;25651968;0.00;0.00;0.00;7218;100203;429684;400812;102;33;0;0;1830656;25654528;0.00;0.00;0.00;7151;100213;429456;400852;101;33;0;0;
1535308121;2194888918;1856000;25674752;0.00;0.00;0.00;7250;100292;430168;401168;135;33;0;0;1899776;25692672;0.00;0.00;0.00;7421;100362;431132;401448;135;33;0;0;1833984;25668096;0.00;0.00;0.00;7164;100266;429720;401064;135;33;0;0;1833984;25660928;0.00;0.00;0.00;7164;100238;429608;400952;135;33;0;0;1852672;25661440;0.00;0.00;0.00;7237;100240;429908;400960;135;33;0;0;1827072;25654784;0.00;0.00;0.00;7137;100214;429404;400856;135;33;0;0;2022912;25795328;0.00;0.00;0.00;7902;100763;434660;403052;102;33;0;0;1893376;25687040;0.00;0.00;0.00;7396;100340;430944;401360;102;33;0;0;1838848;25673472;0.00;0.00;0.00;7183;100287;429880;401148;102;33;0;0;1943040;25723136;0.00;0.00;0.00;7590;100481;432284;401924;101;33;0;0;1887232;25687296;0.00;0.00;0.00;7372;100341;430852;401364;102;33;0;0;1827072;25655296;0.00;0.00;0.00;7137;100216;429412;400864;102;33;0;0;
1535308122;2194885862;1833216;25659392;0.00;0.00;0.00;7161;100232;429572;400928;136;33;0;0;1864704;25670656;0.00;0.00;0.00;7284;100276;430240;401104;135;33;0;0;1810432;25642240;0.00;0.00;0.00;7072;100165;428948;400660;135;33;0;0;1831680;25655296;0.00;0.00;0.00;7155;100216;429484;400864;135;33;0;0;1843712;25644800;0.00;0.00;0.00;7202;100175;429508;400700;135;33;0;0;1848320;25659392;0.00;0.00;0.00;7220;100232;429808;400928;135;33;0;0;2022912;25789184;0.00;0.00;0.00;7902;100739;434564;402956;102;33;0;0;1908224;25699584;0.00;0.00;0.00;7454;100389;431372;401556;102;33;0;0;1825280;25652224;0.00;0.00;0.00;7130;100204;429336;400816;102;33;0;0;1989632;25757696;0.00;0.00;0.00;7772;100616;433552;402464;103;33;0;0;1874432;25666560;0.00;0.00;0.00;7322;100260;430328;401040;102;33;0;0;1820160;25640704;0.00;0.00;0.00;7110;100159;429076;400636;102;33;0;0;
1535308123;2194886578;1831680;25657856;0.00;0.00;0.00;7155;100226;429524;400904;135;33;0;0;1878784;25684224;0.00;0.00;0.00;7339;100329;430672;401316;135;33;0;0;1815040;25650944;0.00;0.00;0.00;7090;100199;429156;400796;135;33;0;0;1818368;25647616;0.00;0.00;0.00;7103;100186;429156;400744;135;33;0;0;1859584;25668864;0.00;0.00;0.00;7264;100269;430132;401076;135;33;0;0;1843968;25669632;0.00;0.00;0.00;7203;100272;429900;401088;135;33;0;0;2078976;25842944;0.00;0.00;0.00;8121;100949;436280;403796;103;33;0;0;1873920;25672960;0.00;0.00;0.00;7320;100285;430420;401140;102;33;0;0;1810944;25649152;0.00;0.00;0.00;7074;100192;429064;400768;102;33;0;0;2031872;25790464;0.00;0.00;0.00;7937;100744;434724;402976;102;33;0;0;1850112;25644288;0.00;0.00;0.00;7227;100173;429600;400692;102;33;0;0;1835520;25664512;0.00;0.00;0.00;7170;100252;429688;401008;102;33;0;0;
1535308124;2194945626;1833216;25660928;0.00;0.00;0.00;7161;100238;429596;400952;135;33;0;0;1856000;25650944;0.00;0.00;0.00;7250;100199;429796;400796;135;33;0;0;1836032;25666560;0.00;0.00;0.00;7172;100260;429728;401040;135;33;0;0;1827328;25650432;0.00;0.00;0.00;7138;100197;429340;400788;135;33;0;0;1816576;25631232;0.00;0.00;0.00;7096;100122;428872;400488;135;33;0;0;1826304;25648384;0.00;0.00;0.00;7134;100189;429292;400756;135;33;0;0;2092800;25851392;0.00;0.00;0.00;8175;100982;436628;403928;102;33;0;0;1906176;25697536;0.00;0.00;0.00;7446;100381;431308;401524;102;33;0;0;1829632;25664000;0.00;0.00;0.00;7147;100250;429588;401000;102;33;0;0;2057728;25821952;0.00;0.00;0.00;8038;100867;435620;403468;102;33;0;0;1850368;25652480;0.00;0.00;0.00;7228;100205;429732;400820;102;33;0;0;1841664;25668096;0.00;0.00;0.00;7194;100266;429840;401064;102;33;0;0;
1535308125;2194885906;1843968;25662720;0.00;0.00;0.00;7203;100245;429792;400980;135;33;0;0;1842944;25643520;0.00;0.00;0.00;7199;100170;429476;400680;135;33;0;0;1815040;25647104;0.00;0.00;0.00;7090;100184;429096;400736;135;33;0;0;1838080;25663232;0.00;0.00;0.00;7180;100247;429708;400988;135;33;0;0;1824000;25634560;0.00;0.00;0.00;7125;100135;429040;400540;135;33;0;0;1807872;25633536;0.00;0.00;0.00;7062;100131;428772;400524;135;33;0;0;2070528;25840128;0.00;0.00;0.00;8088;100938;436104;403752;102;33;0;0;1889024;25679872;0.00;0.00;0.00;7379;100312;430764;401248;102;33;0;0;1822464;25654272;0.00;0.00;0.00;7119;100212;429324;400848;102;33;0;0;2048512;25818880;0.00;0.00;0.00;8002;100855;435428;403420;102;33;0;0;1866496;25664256;0.00;0.00;0.00;7291;100251;430168;401004;102;33;0;0;1848576;25673472;0.00;0.00;0.00;7221;100287;430032;401148;102;33;0;0;
1535308126;2194882802;1839104;25662976;0.00;0.00;0.00;7184;100246;429720;400984;135;33;0;0;1876480;25676544;0.00;0.00;0.00;7330;100299;430516;401196;135;33;0;0;1810688;25645824;0.00;0.00;0.00;7073;100179;429008;400716;135;33;0;0;1852672;25673728;0.00;0.00;0.00;7237;100288;430100;401152;135;33;0;0;1839616;25653504;0.00;0.00;0.00;7186;100209;429580;400836;135;33;0;0;1842176;25664512;0.00;0.00;0.00;7196;100252;429792;401008;135;33;0;0;2085120;25843200;0.00;0.00;0.00;8145;100950;436380;403800;102;33;0;0;1879040;25667840;0.00;0.00;0.00;7340;100265;430420;401060;102;33;0;0;1819136;25655296;0.00;0.00;0.00;7106;100216;429288;400864;102;33;0;0;2075392;25840896;0.00;0.00;0.00;8107;100941;436192;403764;101;33;0;0;1882368;25682176;0.00;0.00;0.00;7353;100321;430696;401284;102;33;0;0;1843456;25666048;0.00;0.00;0.00;7201;100258;429836;401032;102;33;0;0;
