# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 15:23:58 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535311439;2195010654;1869312;25720832;0.00;0.00;0.00;7302;100472;431096;401888;101;33;0;0;1911808;25851648;0.00;0.00;0.00;7468;100983;433804;403932;101;33;0;0;1840128;25898752;0.00;0.00;0.00;7188;101167;433420;404668;103;33;0;0;1879040;25992960;0.00;0.00;0.00;7340;101535;435500;406140;103;33;0;0;1820160;26014464;0.00;0.00;0.00;7110;101619;434916;406476;102;33;0;0;1848064;26147328;0.00;0.00;0.00;7219;102138;437428;408552;103;33;0;0;1916672;26210816;0.00;0.00;0.00;7487;102386;439492;409544;136;33;0;0;1931520;26262016;0.00;0.00;0.00;7545;102586;440524;410344;135;33;0;0;1846784;26099200;0.00;0.00;0.00;7214;101950;436656;407800;135;33;0;0;1878272;26036224;0.00;0.00;0.00;7337;101704;436164;406816;135;33;0;0;1891072;26022656;0.00;0.00;0.00;7387;101651;436152;406604;135;33;0;0;1853440;26050560;0.00;0.00;0.00;7240;101760;436000;407040;135;33;0;0;
1535311440;2195110712;1849856;25695488;0.00;0.00;0.00;7226;100373;430396;401492;101;33;0;0;1938688;25759488;0.00;0.00;0.00;7573;100623;432784;402492;102;33;0;0;1820928;25684480;0.00;0.00;0.00;7113;100330;429772;401320;102;33;0;0;1831680;25666816;0.00;0.00;0.00;7155;100261;429664;401044;102;33;0;0;1784064;25546496;0.00;0.00;0.00;6969;99791;427040;399164;103;33;0;0;1801984;25533184;0.00;0.00;0.00;7039;99739;427112;398956;102;33;0;0;1852416;25510656;0.00;0.00;0.00;7236;99651;427548;398604;135;33;0;0;1886464;25495808;0.00;0.00;0.00;7369;99593;427848;398372;135;33;0;0;1790464;25431808;0.00;0.00;0.00;6994;99343;425348;397372;135;33;0;0;1830912;25412608;0.00;0.00;0.00;7152;99268;425680;397072;136;33;0;0;1876480;25428736;0.00;0.00;0.00;7330;99331;426644;397324;135;33;0;0;1777664;25338624;0.00;0.00;0.00;6944;98979;423692;395916;135;33;0;0;
1535311441;2194978094;1827840;25590784;0.00;0.00;0.00;7140;99964;428416;399856;105;33;0;0;1894912;25594368;0.00;0.00;0.00;7402;99978;429520;399912;103;33;0;0;1812224;25568256;0.00;0.00;0.00;7079;99876;427820;399504;102;33;0;0;1832192;25604096;0.00;0.00;0.52;7157;100016;428692;400064;102;33;0;0;1806336;25700864;0.00;0.00;0.00;7056;100394;429800;401576;101;33;0;0;1839104;25933056;0.00;0.00;0.00;7184;101301;433940;405204;101;33;0;0;1918720;26136832;0.00;0.00;0.00;7495;102097;438368;408388;134;33;0;0;1933056;26337024;0.00;0.00;0.00;7551;102879;441720;411516;134;33;0;0;1883904;26500096;0.00;0.00;0.00;7359;103516;443500;414064;134;33;0;0;1911040;26667008;0.00;0.00;0.00;7465;104168;446532;416672;134;33;0;0;1957632;26888448;0.00;0.00;0.00;7647;105033;450720;420132;134;33;0;0;1922560;27081984;0.00;0.00;0.00;7510;105789;453196;423156;134;33;0;0;
1535311442;2195048362;1839872;25747968;0.00;0.00;0.00;7187;100578;431060;402312;103;33;0;0;1916672;25915648;0.00;0.00;0.00;7487;101233;434880;404932;101;33;0;0;1853184;26024448;0.00;0.00;0.00;7239;101658;435588;406632;101;33;0;0;1885696;26159104;0.00;0.00;0.00;7366;102184;438200;408736;101;33;0;0;1826816;26118912;0.00;0.00;0.00;7136;102027;436652;408108;102;33;0;0;1860352;26203136;0.00;0.00;0.00;7267;102356;438492;409424;101;33;0;0;1924096;26220544;0.00;0.00;0.00;7516;102424;439760;409696;134;33;0;0;1941248;26261504;0.00;0.00;0.00;7583;102584;440668;410336;135;33;0;0;1869312;26242816;0.00;0.00;0.00;7302;102511;439252;410044;134;33;0;0;1923840;26254080;0.00;0.00;0.00;7515;102555;440280;410220;135;33;0;0;1903872;26255104;0.00;0.00;0.00;7437;102559;439984;410236;134;33;0;0;1876480;26261248;0.00;0.00;0.00;7330;102583;439652;410332;135;33;0;0;
1535311443;2195022716;1821952;25656832;0.00;0.00;0.00;7117;100222;429356;400888;104;33;0;0;1911296;25720832;0.00;0.00;0.00;7466;100472;431752;401888;102;33;0;0;1814784;25652736;0.00;0.00;0.00;7089;100206;429180;400824;102;33;0;0;1826560;25659392;0.00;0.00;0.00;7135;100232;429468;400928;102;33;0;0;1845760;25647872;0.00;0.00;0.00;7210;100187;429588;400748;102;33;0;0;1818112;25658112;0.00;0.00;0.00;7102;100227;429316;400908;101;33;0;0;1884928;25692160;0.00;0.00;0.00;7363;100360;430892;401440;135;33;0;0;1915392;25718528;0.00;0.00;0.00;7482;100463;431780;401852;134;33;0;0;1796608;25651200;0.00;0.00;0.00;7018;100200;428872;400800;135;33;0;0;1847552;25661952;0.00;0.00;0.00;7217;100242;429836;400968;134;33;0;0;1853184;25677312;0.00;0.00;0.00;7239;100302;430164;401208;134;33;0;0;1824512;25666304;0.00;0.00;0.00;7127;100259;429544;401036;135;33;0;0;
1535311444;2195075330;1858816;25672448;0.00;0.00;0.00;7261;100283;430176;401132;112;33;0;0;1887488;25694464;0.00;0.00;0.00;7373;100369;430968;401476;101;33;0;0;1810432;25645568;0.00;0.00;0.00;7072;100178;429000;400712;102;33;0;0;1852160;25662720;0.00;0.00;0.00;7235;100245;429920;400980;101;33;0;0;1820416;25639424;0.00;0.00;0.00;7111;100154;429060;400616;102;33;0;0;1826560;25648896;0.00;0.00;0.00;7135;100191;429304;400764;101;33;0;0;1898496;25668864;0.00;0.00;0.00;7416;100269;430740;401076;134;33;0;0;1911296;25674496;0.00;0.00;0.00;7466;100291;431028;401164;134;33;0;0;1816576;25633024;0.00;0.00;0.00;7096;100129;428900;400516;134;33;0;0;1858816;25638912;0.00;0.00;0.00;7261;100152;429652;400608;134;33;0;0;1839360;25642752;0.00;0.00;0.00;7185;100167;429408;400668;134;33;0;0;1815296;25656576;0.00;0.00;0.00;7091;100221;429248;400884;134;33;0;0;
1535311445;2195029462;1847296;25664768;0.00;0.00;0.00;7216;100253;429876;401012;112;34;0;0;1919232;25705216;0.00;0.00;0.00;7497;100411;431632;401644;101;33;0;0;1818624;25655808;0.00;0.00;0.00;7104;100218;429288;400872;101;33;0;0;1837568;25657600;0.00;0.00;0.00;7178;100225;429612;400900;102;33;0;0;1801472;25612032;0.00;0.00;0.00;7037;100047;428336;400188;101;33;0;0;1817600;25638656;0.00;0.00;0.00;7100;100151;429004;400604;102;33;0;0;1870080;25633024;0.00;0.00;0.00;7305;100129;429736;400516;134;33;0;0;1853696;25628416;0.00;0.00;0.00;7241;100111;429408;400444;134;33;0;0;1814016;25620480;0.00;0.00;0.00;7086;100080;428664;400320;134;33;0;0;1844224;25597952;0.00;0.00;0.00;7204;99992;428784;399968;135;33;0;0;1828096;25588736;0.00;0.00;0.00;7141;99956;428388;399824;135;33;0;0;1814528;25599488;0.00;0.00;0.00;7088;99998;428344;399992;134;33;0;0;
1535311446;2195033078;1849856;25682176;0.00;0.00;0.00;7226;100321;430188;401284;113;33;0;0;2107904;25881088;0.00;0.00;0.00;8234;101098;437328;404392;101;33;0;0;1808384;25640448;0.00;0.00;0.00;7064;100158;428888;400632;101;33;0;0;1850112;25657856;0.00;0.00;0.00;7227;100226;429812;400904;101;33;0;0;1802752;25595648;0.00;0.00;0.00;7042;99983;428100;399932;101;33;0;0;1808640;25648128;0.00;0.00;0.00;7065;100188;429012;400752;102;33;0;0;1896960;25690624;0.00;0.00;0.00;7410;100354;431056;401416;135;33;0;0;1865984;25674240;0.00;0.00;0.00;7289;100290;430316;401160;135;33;0;0;1829632;25678592;0.00;0.00;0.00;7147;100307;429816;401228;134;33;0;0;1878016;25689088;0.00;0.00;0.00;7336;100348;430736;401392;134;33;0;0;1863680;25687296;0.00;0.00;0.00;7280;100341;430484;401364;134;33;0;0;1796608;25658368;0.00;0.00;0.00;7018;100228;428984;400912;135;33;0;0;
1535311447;2195033686;1848832;25670400;0.00;0.00;0.00;7222;100275;429988;401100;119;34;0;0;2084608;25873152;0.00;0.00;0.00;8143;101067;436840;404268;101;33;0;0;1822464;25665792;0.00;0.00;0.00;7119;100257;429504;401028;101;33;0;0;1835264;25664000;0.00;0.00;0.00;7169;100250;429676;401000;102;33;0;0;1796352;25623808;0.00;0.00;0.00;7017;100093;428440;400372;102;33;0;0;1813504;25665280;0.00;0.00;0.00;7084;100255;429356;401020;101;33;0;0;1890816;25701120;0.00;0.00;0.00;7386;100395;431124;401580;135;33;0;0;1900032;25712384;0.00;0.00;0.00;7422;100439;431444;401756;134;33;0;0;1820672;25694208;0.00;0.00;0.00;7112;100368;429920;401472;135;33;0;0;1885184;25711360;0.00;0.00;0.00;7364;100435;431196;401740;134;33;0;0;1856768;25705728;0.00;0.00;0.00;7253;100413;430664;401652;135;33;0;0;1831424;25712640;0.00;0.00;0.00;7154;100440;430376;401760;134;33;0;0;
1535311448;2194989502;1841664;25667584;0.00;0.00;0.00;7194;100264;429832;401056;112;33;0;0;2081280;25856000;0.00;0.00;0.00;8130;101000;436520;404000;102;33;0;0;1822976;25673472;0.00;0.00;0.00;7121;100287;429632;401148;101;33;0;0;1871616;25704704;0.00;0.00;0.00;7311;100409;430880;401636;101;33;0;0;1794816;25622016;0.00;0.00;0.00;7011;100086;428388;400344;101;33;0;0;1828096;25678080;0.00;0.00;0.00;7141;100305;429784;401220;101;33;0;0;1874688;25672704;0.00;0.00;0.00;7323;100284;430428;401136;134;33;0;0;1882880;25685248;0.00;0.00;0.00;7355;100333;430752;401332;135;33;0;0;1808640;25629696;0.00;0.00;0.00;7065;100116;428724;400464;134;33;0;0;1900032;25646080;0.00;0.00;0.00;7422;100180;430408;400720;134;33;0;0;1888768;25644800;0.00;0.00;0.00;7378;100175;430212;400700;134;33;0;0;1793280;25579520;0.00;0.00;0.00;7005;99920;427700;399680;134;33;0;0;
