# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 14:39:38 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535308779;2195107148;1845760;25738496;0.00;0.00;0.00;7210;100541;431004;402164;135;33;0;0;1871616;25889792;0.00;0.00;0.00;7311;101132;433772;404528;135;33;0;0;1879808;25996800;0.00;0.00;0.00;7343;101550;435572;406200;135;33;0;0;1863936;26042624;0.00;0.00;0.00;7281;101729;436040;406916;135;33;0;0;2308608;26093312;0.00;0.00;0.00;9018;101927;443780;407708;136;33;0;0;1851648;26093056;0.00;0.00;0.00;7233;101926;436636;407704;136;33;0;0;1938688;26140672;0.00;0.00;0.00;7573;102112;438740;408448;103;33;0;0;1906688;26118912;0.00;0.00;0.00;7448;102027;437900;408108;103;33;0;0;1866496;26103552;0.00;0.00;0.00;7291;101967;437032;407868;103;33;0;0;2068992;26262272;0.00;0.00;0.00;8082;102587;442676;410348;103;33;0;0;1898240;26110976;0.00;0.00;0.00;7415;101996;437644;407984;103;33;0;0;1861632;26105088;0.00;0.00;0.00;7272;101973;436980;407892;103;33;0;0;
1535308780;2195066254;1855488;25684736;0.00;0.00;0.00;7248;100331;430316;401324;134;33;0;0;1858560;25672192;0.00;0.00;0.00;7260;100282;430168;401128;135;33;0;0;1837312;25677056;0.00;0.00;0.00;7177;100301;429912;401204;135;33;0;0;1862912;25839616;0.00;0.00;0.00;7277;100936;432852;403744;135;33;0;0;2307072;26006784;0.00;0.00;0.00;9012;101589;442404;406356;134;33;0;0;1871616;26098688;0.00;0.00;0.00;7311;101948;437036;407792;135;33;0;0;1918976;26174208;0.00;0.00;0.00;7496;102243;438956;408972;103;33;0;0;1939456;26381056;0.00;0.00;0.00;7576;103051;442508;412204;102;33;0;0;1874176;26470656;0.00;0.00;0.00;7321;103401;442888;413604;102;33;0;0;2068224;26700288;0.00;0.00;0.00;8079;104298;449508;417192;103;33;0;0;1962240;26797568;0.00;0.00;0.00;7665;104678;449372;418712;102;33;0;0;1914624;26908416;0.00;0.00;0.00;7479;105111;450360;420444;102;33;0;0;
1535308781;2195070186;1842176;25665536;0.00;0.00;0.00;7196;100256;429808;401024;134;33;0;0;1883648;25653504;0.00;0.00;0.00;7358;100209;430268;400836;135;33;0;0;1814528;25605888;0.00;0.00;0.30;7088;100023;428444;400092;135;33;0;0;1833472;25479424;0.00;0.00;0.00;7162;99529;426764;398116;135;33;0;0;2236672;25316096;0.00;0.00;0.00;8737;98891;430512;395564;136;33;0;0;1799680;25200896;0.00;0.00;0.00;7030;98441;421884;393764;136;33;0;0;1874688;25164032;0.00;0.00;0.00;7323;98297;422480;393188;102;33;0;0;1855232;24974848;0.00;0.00;0.00;7247;97558;419220;390232;102;33;0;0;1780224;24794624;0.00;0.00;0.00;6954;96854;415232;387416;103;33;0;0;1947648;24824320;0.00;0.00;0.00;7608;96970;418312;387880;102;33;0;0;1804544;24540928;0.00;0.00;0.00;7049;95863;411648;383452;103;33;0;0;1748992;24385280;0.00;0.00;0.00;6832;95255;408348;381020;103;33;0;0;
1535308782;2195019796;1843968;25664512;0.00;0.00;0.00;7203;100252;429820;401008;147;36;0;0;1861120;25647616;0.00;0.00;0.00;7270;100186;429824;400744;135;33;0;0;1842944;25650688;0.00;0.00;0.00;7199;100198;429588;400792;134;33;0;0;1842176;25800192;0.00;0.00;0.00;7196;100782;431912;403128;134;33;0;0;2277376;25932288;0.00;0.00;0.00;8896;101298;440776;405192;134;33;0;0;1851136;26081792;0.00;0.00;0.00;7231;101882;436452;407528;135;33;0;0;1917184;26260736;0.00;0.00;0.00;7489;102581;440280;410324;102;33;0;0;1946624;26470656;0.00;0.00;0.00;7604;103401;444020;413604;102;33;0;0;1889536;26569216;0.00;0.00;0.00;7381;103786;444668;415144;102;33;0;0;2107904;26821120;0.00;0.00;0.00;8234;104770;452016;419080;102;33;0;0;1959424;26886656;0.00;0.00;0.00;7654;105026;450720;420104;102;33;0;0;1922816;27011584;0.00;0.00;0.00;7511;105514;452100;422056;102;33;0;0;
1535308783;2195110090;1834496;25660928;0.00;0.00;0.00;7166;100238;429616;400952;151;34;0;0;1884672;25774080;0.00;0.00;0.00;7362;100680;432168;402720;135;33;0;0;1859328;25864192;0.00;0.00;0.00;7263;101032;433180;404128;134;33;0;0;1869312;25880576;0.00;0.00;0.00;7302;101096;433592;404384;134;33;0;0;2259456;25900800;0.00;0.00;0.00;8826;101175;440004;404700;134;33;0;0;1828352;25853696;0.00;0.00;0.00;7142;100991;432532;403964;134;33;0;0;1931776;25937664;0.00;0.00;0.00;7546;101319;435460;405276;101;33;0;0;1918208;25857280;0.00;0.00;0.00;7493;101005;433992;404020;102;33;0;0;1874432;25893632;0.00;0.00;0.00;7322;101147;433876;404588;101;33;0;0;2061056;26042112;0.00;0.00;0.00;8051;101727;439112;406908;101;33;0;0;1883648;25891840;0.00;0.00;0.00;7358;101140;433992;404560;101;33;0;0;1858048;25895936;0.00;0.00;0.00;7258;101156;433656;404624;102;33;0;0;
1535308784;2195027278;1863936;25668096;0.00;0.00;0.00;7281;100266;430188;401064;154;34;0;0;1867264;25600256;0.00;0.00;0.97;7294;100001;429180;400004;134;33;0;0;1818368;25483008;0.00;0.00;0.00;7103;99543;426584;398172;134;33;0;0;1811968;25401344;0.00;0.00;0.00;7078;99224;425208;396896;135;33;0;0;2242048;25401344;0.00;0.00;0.00;8758;99224;431928;396896;134;33;0;0;1800704;25415168;0.00;0.00;0.00;7034;99278;425248;397112;134;33;0;0;1866752;25416960;0.00;0.00;0.00;7292;99285;426308;397140;102;33;0;0;1859328;25444608;0.00;0.00;0.00;7263;99393;426624;397572;101;33;0;0;1832192;25444608;0.00;0.00;0.00;7157;99393;426200;397572;101;33;0;0;2018304;25588736;0.00;0.00;0.00;7884;99956;431360;399824;102;33;0;0;1843712;25411584;0.00;0.00;0.00;7202;99264;425864;397056;101;33;0;0;1806080;25375232;0.00;0.00;0.00;7055;99122;424708;396488;101;33;0;0;
1535308785;2195052032;1859584;25678336;0.00;0.00;0.00;7264;100306;430280;401224;160;33;0;0;1867520;25735424;0.00;0.00;0.00;7295;100529;431296;402116;135;33;0;0;1858816;25828352;0.00;0.00;0.00;7261;100892;432612;403568;134;33;0;0;1855744;25912064;0.00;0.00;0.00;7249;101219;433872;404876;134;33;0;0;2257152;25891584;0.00;0.00;0.00;8817;101139;439824;404556;134;33;0;0;1848320;25879040;0.00;0.00;0.00;7220;101090;433240;404360;134;33;0;0;1900800;25924864;0.00;0.00;0.00;7425;101269;434776;405076;101;33;0;0;1942016;26008832;0.00;0.00;0.00;7586;101597;436732;406388;101;33;0;0;1870336;25930752;0.00;0.00;0.00;7306;101292;434392;405168;102;33;0;0;2064640;26127360;0.00;0.00;0.00;8065;102060;440500;408240;102;33;0;0;1901824;25981696;0.00;0.00;0.00;7429;101491;435680;405964;101;33;0;0;1859584;26035200;0.00;0.00;0.00;7264;101700;435856;406800;102;33;0;0;
1535308786;2195053104;1845760;25667072;0.00;0.00;0.00;7210;100262;429888;401048;147;33;0;0;1885440;25664768;0.00;0.00;0.00;7365;100253;430472;401012;134;33;0;0;1841664;25567488;0.00;0.00;0.00;7194;99873;428268;399492;134;33;0;0;1828864;25561088;0.00;0.00;0.00;7144;99848;427968;399392;135;33;0;0;2261248;25587712;0.00;0.00;0.00;8833;99952;435140;399808;134;33;0;0;1799424;25531648;0.00;0.00;0.00;7029;99733;427048;398932;134;33;0;0;1865728;25499904;0.00;0.00;0.00;7288;99609;427588;398436;101;33;0;0;1927168;25548032;0.00;0.00;0.00;7528;99797;429300;399188;101;33;0;0;1828864;25502464;0.00;0.00;0.00;7144;99619;427052;398476;101;33;0;0;2005248;25620480;0.00;0.00;0.00;7833;100080;431652;400320;102;33;0;0;1870080;25517056;0.00;0.00;0.00;7305;99676;427924;398704;102;33;0;0;1825280;25504000;0.00;0.00;0.00;7130;99625;427020;398500;101;33;0;0;
1535308787;2195051054;1859328;25683456;0.00;0.00;0.00;7263;100326;430356;401304;152;33;0;0;1873920;25704704;0.00;0.00;0.00;7320;100409;430916;401636;135;33;0;0;1836800;25769728;0.00;0.00;0.00;7175;100663;431352;402652;135;33;0;0;1861632;25785600;0.00;0.00;0.00;7272;100725;431988;402900;134;33;0;0;2282496;25842688;0.00;0.00;0.00;8916;100948;439456;403792;134;33;0;0;1841152;25826816;0.00;0.00;0.00;7192;100886;432312;403544;134;33;0;0;1904896;25916928;0.00;0.00;0.00;7441;101238;434716;404952;101;33;0;0;1914880;25898496;0.00;0.00;0.00;7480;101166;434584;404664;101;33;0;0;1859840;25895424;0.00;0.00;0.00;7265;101154;433676;404616;101;33;0;0;2045696;26013440;0.00;0.00;0.00;7991;101615;438424;406460;101;33;0;0;1911040;25935360;0.00;0.00;0.00;7465;101310;435100;405240;102;33;0;0;1845248;25902336;0.00;0.00;0.00;7208;101181;433556;404724;102;33;0;0;
1535308788;2194976754;1848832;25662720;0.00;0.00;0.00;7222;100245;429868;400980;156;33;0;0;1868544;25665792;0.00;0.00;0.00;7299;100257;430224;401028;134;33;0;0;1838848;25633280;0.00;0.00;0.00;7183;100130;429252;400520;134;33;0;0;1832704;25629696;0.00;0.00;0.00;7159;100116;429100;400464;134;33;0;0;2246656;25611776;0.00;0.00;0.00;8776;100046;435288;400184;134;33;0;0;1824768;25500928;0.00;0.00;0.00;7128;99613;426964;398452;134;33;0;0;1883648;25521920;0.00;0.00;0.00;7358;99695;428212;398780;101;33;0;0;1876224;25479680;0.00;0.00;0.00;7329;99530;427436;398120;101;33;0;0;1816064;25359360;0.00;0.00;0.00;7094;99060;424616;396240;101;33;0;0;1983488;25402880;0.00;0.00;0.00;7748;99230;427912;396920;101;33;0;0;1832192;25313024;0.00;0.00;0.00;7157;98879;424144;395516;101;33;0;0;1808896;25250816;0.00;0.00;0.00;7066;98636;422808;394544;101;33;0;0;
