# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 15:42:20 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535312541;2195028520;1846528;25679616;0.00;0.00;0.00;7213;100311;430096;401244;134;33;0;0;1874176;25810688;0.00;0.00;0.00;7321;100823;432576;403292;135;33;0;0;1837312;25892352;0.00;0.00;0.00;7177;101142;433276;404568;135;33;0;0;1869568;25975552;0.00;0.00;0.00;7303;101467;435080;405868;135;33;0;0;1849856;25972224;0.00;0.00;0.00;7226;101454;434720;405816;136;33;0;0;1864448;26039552;0.00;0.00;0.00;7283;101717;436000;406868;136;33;0;0;1926912;26064640;0.00;0.00;0.00;7527;101815;437368;407260;103;33;0;0;1921280;26064384;0.00;0.00;0.00;7505;101814;437276;407256;103;33;0;0;1838848;26019328;0.00;0.00;0.00;7183;101638;435284;406552;103;33;0;0;2051328;26156544;0.00;0.00;0.00;8013;102174;440748;408696;103;33;0;0;1905152;26045952;0.00;0.00;0.00;7442;101742;436736;406968;102;33;0;0;1828864;25930240;0.00;0.00;0.00;7144;101290;433736;405160;103;33;0;0;
1535312542;2195059928;1818368;25588736;0.00;0.00;0.00;7103;99956;428236;399824;134;33;0;0;1843968;25541376;0.00;0.00;0.00;7203;99771;427896;399084;134;33;0;0;1814016;25569024;0.00;0.00;0.00;7086;99879;427860;399516;135;33;0;0;1841920;25613568;0.00;0.00;0.00;7195;100053;428992;400212;134;33;0;0;1814784;25652224;0.00;0.00;0.00;7089;100204;429172;400816;134;33;0;0;1830912;25760256;0.00;0.00;0.00;7152;100626;431112;402504;134;33;0;0;1893120;25885184;0.00;0.00;0.00;7395;101114;434036;404456;102;33;0;0;1938176;26022400;0.00;0.00;0.00;7571;101650;436884;406600;103;33;0;0;1853440;26061312;0.00;0.00;0.00;7240;101802;436168;407208;103;33;0;0;2043136;26195456;0.00;0.00;0.00;7981;102326;441228;409304;103;33;0;0;1895424;26104064;0.00;0.00;0.00;7404;101969;437492;407876;103;33;0;0;1866496;26133504;0.00;0.00;0.00;7291;102084;437500;408336;103;33;0;0;
1535312543;2194896966;1841152;25623040;0.00;0.00;0.00;7192;100090;429128;400360;135;33;0;0;1876224;25583872;0.00;0.00;0.00;7329;99937;429064;399748;136;33;0;0;1807104;25507584;0.00;0.00;0.00;7059;99639;426792;398556;136;33;0;0;1827328;25467136;0.00;0.00;0.00;7138;99481;426476;397924;136;33;0;0;1801728;25380864;0.00;0.00;0.00;7038;99144;424728;396576;136;33;0;0;1818368;25382144;0.00;0.00;0.00;7103;99149;425008;396596;136;33;0;0;1829888;25317888;0.00;0.00;0.00;7148;98898;424184;395592;103;33;0;0;1878272;25303040;0.00;0.00;0.00;7337;98840;424708;395360;102;33;0;0;1790720;25238784;0.00;0.00;0.00;6995;98589;422336;394356;102;33;0;0;1952000;25373184;0.00;0.00;0.00;7625;99114;426956;396456;102;33;0;0;1837312;25314816;0.00;0.00;0.00;7177;98886;424252;395544;102;33;0;0;1790976;25343744;0.00;0.00;0.00;6996;98999;423980;395996;102;33;0;0;
1535312544;2194991882;1843968;25807616;0.00;0.00;0.00;7203;100811;432056;403244;135;33;0;0;1875712;25944832;0.00;0.00;0.00;7327;101347;434696;405388;134;33;0;0;1834496;26041344;0.00;0.00;0.00;7166;101724;435560;406896;134;33;0;0;1893888;26178304;0.00;0.00;0.00;7398;102259;438628;409036;134;33;0;0;1832960;26196224;0.00;0.00;0.00;7160;102329;437956;409316;134;33;0;0;1865984;26349824;0.00;0.00;0.00;7289;102929;440872;411716;134;33;0;0;1936384;26472960;0.00;0.00;0.00;7564;103410;443896;413640;101;33;0;0;1962752;26586624;0.00;0.00;0.00;7667;103854;446084;415416;101;33;0;0;1922304;26683136;0.00;0.00;0.00;7509;104231;446960;416924;101;33;0;0;2082304;26863104;0.00;0.00;0.00;8134;104934;452272;419736;101;33;0;0;1933568;26844416;0.00;0.00;0.00;7553;104861;449656;419444;101;33;0;0;1892864;26932992;0.00;0.00;0.00;7394;105207;450404;420828;101;33;0;0;
1535312545;2194928298;1824000;25592064;0.00;0.00;0.00;7125;99969;428376;399876;135;33;0;0;1865216;25565184;0.00;0.00;0.00;7286;99864;428600;399456;135;33;0;0;1822976;25558016;0.00;0.00;0.00;7121;99836;427828;399344;135;33;0;0;1828608;25544704;0.00;0.00;0.00;7143;99784;427708;399136;135;33;0;0;1780224;25483520;0.00;0.00;0.00;6954;99545;425996;398180;135;33;0;0;1824768;25547008;0.00;0.00;0.00;7128;99793;427684;399172;135;33;0;0;1837312;25512192;0.00;0.00;0.00;7177;99657;427336;398628;102;33;0;0;1878272;25549312;0.00;0.00;0.00;7337;99802;428556;399208;103;33;0;0;1804288;25515520;0.00;0.00;0.00;7048;99670;426872;398680;103;33;0;0;1955328;25601280;0.00;0.00;0.85;7638;100005;430572;400020;102;33;0;0;1828608;25504768;0.00;0.00;0.00;7143;99628;427084;398512;102;33;0;0;1803776;25507072;0.00;0.00;0.00;7046;99637;426732;398548;103;33;0;0;
1535312546;2194913954;1839616;25660928;0.00;0.00;0.00;7186;100238;429696;400952;135;33;0;0;1867008;25666560;0.00;0.00;0.00;7293;100260;430212;401040;135;33;0;0;1809408;25641984;0.00;0.00;0.00;7068;100164;428928;400656;135;33;0;0;1835776;25650176;0.00;0.00;0.00;7171;100196;429468;400784;135;33;0;0;1804032;25606656;0.00;0.00;0.21;7047;100026;428292;400104;135;33;0;0;1817856;25645824;0.00;0.00;0.00;7101;100179;429120;400716;135;33;0;0;1896704;25683712;0.00;0.00;0.00;7409;100327;430944;401308;101;33;0;0;1885696;25667072;0.00;0.00;0.00;7366;100262;430512;401048;102;33;0;0;1795328;25633792;0.00;0.00;0.00;7013;100132;428580;400528;102;33;0;0;1990912;25758976;0.00;0.00;0.00;7777;100621;433592;402484;102;33;0;0;1887744;25681152;0.00;0.00;0.00;7374;100317;430764;401268;102;33;0;0;1813504;25648128;0.00;0.00;0.00;7084;100188;429088;400752;102;33;0;0;
1535312547;2194920074;1833472;25659392;0.00;0.00;0.00;7162;100232;429576;400928;135;33;0;0;1884672;25682176;0.00;0.00;0.00;7362;100321;430732;401284;134;33;0;0;1827328;25664256;0.00;0.00;0.00;7138;100251;429556;401004;135;33;0;0;1831424;25651712;0.00;0.00;0.00;7154;100202;429424;400808;135;33;0;0;1798912;25607680;0.00;0.00;0.09;7027;100030;428228;400120;135;33;0;0;1809920;25644544;0.00;0.00;0.00;7070;100174;428976;400696;135;33;0;0;1880320;25697792;0.00;0.00;0.00;7345;100382;430908;401528;135;33;0;0;1867264;25736960;0.00;0.00;0.00;7294;100535;431316;402140;135;33;0;0;1830656;25700608;0.00;0.00;0.00;7151;100393;430176;401572;135;33;0;0;1967360;25685760;0.00;0.00;0.00;7685;100335;432080;401340;136;33;0;0;1873920;25510912;0.00;0.00;0.00;7320;99652;427888;398608;136;33;0;0;1819392;25389056;0.00;0.00;0.00;7107;99176;425132;396704;136;33;0;0;
1535312548;2194962186;1847040;25704448;0.00;0.00;0.00;7215;100408;430492;401632;102;33;0;0;1870336;25688576;0.00;0.00;0.00;7306;100346;430608;401384;102;33;0;0;1832448;25629952;0.00;0.00;0.00;7158;100117;429100;400468;103;33;0;0;1828352;25516288;0.00;0.00;0.00;7142;99673;427260;398692;103;33;0;0;1750784;25321216;0.00;0.00;0.00;6839;98911;423000;395644;103;33;0;0;1771008;25234432;0.00;0.00;0.00;6918;98572;421960;394288;103;33;0;0;1840128;25127168;0.00;0.00;0.00;7188;98153;421364;392612;134;33;0;0;1872896;25129728;0.00;0.00;0.00;7316;98163;421916;392652;135;33;0;0;1769472;25072640;0.00;0.00;0.00;6912;97940;419408;391760;135;33;0;0;1951744;25198848;0.00;0.00;0.00;7624;98433;424228;393732;135;33;0;0;1819392;25096448;0.00;0.00;0.00;7107;98033;420560;392132;135;33;0;0;1795840;25127168;0.00;0.00;0.00;7015;98153;420672;392612;135;33;0;0;
1535312549;2194929044;1839104;25660672;0.00;0.00;0.00;7184;100237;429684;400948;101;33;0;0;1880832;25742080;0.00;0.00;0.00;7347;100555;431608;402220;102;33;0;0;1828352;25760000;0.00;0.00;0.00;7142;100625;431068;402500;101;33;0;0;1852160;25808128;0.00;0.00;0.00;7235;100813;432192;403252;102;33;0;0;1803008;25750784;0.00;0.00;0.00;7043;100589;430528;402356;101;33;0;0;1837824;25983488;0.00;0.00;0.00;7179;101498;434708;405992;102;33;0;0;1905408;26103296;0.00;0.00;0.00;7443;101966;437636;407864;134;33;0;0;1894400;26001664;0.00;0.00;0.00;7400;101569;435876;406276;135;33;0;0;1850880;25923328;0.00;0.00;0.00;7230;101263;433972;405052;136;33;0;0;2012416;25995520;0.00;0.00;0.00;7861;101545;437624;406180;134;33;0;0;1906176;26054656;0.00;0.00;0.00;7446;101776;436888;407104;134;33;0;0;1860096;26099712;0.00;0.00;0.00;7266;101952;436872;407808;135;33;0;0;
1535312550;2195040220;1863424;25686016;0.00;0.00;0.00;7279;100336;430460;401344;101;33;0;0;1870848;25592320;0.00;0.00;0.00;7308;99970;429112;399880;101;33;0;0;1808384;25536256;0.00;0.00;0.00;7064;99751;427260;399004;103;33;0;0;1836544;25513728;0.00;0.00;0.00;7174;99663;427348;398652;102;33;0;0;1763072;25420544;0.00;0.00;0.00;6887;99299;424744;397196;102;33;0;0;1797376;25304064;0.00;0.00;0.00;7021;98844;423460;395376;102;33;0;0;1852416;25378816;0.00;0.00;0.00;7236;99136;425488;396544;135;33;0;0;1896192;25471232;0.00;0.00;0.00;7407;99497;427616;397988;134;33;0;0;1823488;25496064;0.00;0.00;0.00;7123;99594;426868;398376;134;33;0;0;1928448;25518336;0.00;0.00;0.00;7533;99681;428856;398724;135;33;0;0;1896704;25367296;0.00;0.00;0.00;7409;99091;426000;396364;136;33;0;0;1790208;25244928;0.00;0.00;0.00;6993;98613;422424;394452;135;33;0;0;
