# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 15:05:48 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535310349;2194985986;1842432;25794816;0.00;0.00;0.00;7197;100761;431832;403044;135;33;0;0;1907968;26014976;0.00;0.00;0.00;7453;101621;436296;406484;135;33;0;0;3228672;26038016;0.00;0.00;0.00;12612;101711;457292;406844;135;33;0;0;1868544;26268672;0.00;0.00;0.00;7299;102612;439644;410448;135;33;0;0;1841408;26317312;0.00;0.00;0.00;7193;102802;439980;411208;135;33;0;0;1880064;26482688;0.00;0.00;0.00;7344;103448;443168;413792;135;33;0;0;1948928;26604544;0.00;0.00;0.00;7613;103924;446148;415696;102;33;0;0;1928704;26693120;0.00;0.00;0.00;7534;104270;447216;417080;102;33;0;0;1901568;26803200;0.00;0.00;0.00;7428;104700;448512;418800;103;33;0;0;1940736;26903808;0.00;0.00;0.00;7581;105093;450696;420372;102;33;0;0;1984768;27046144;0.00;0.00;0.00;7753;105649;453608;422596;102;33;0;0;1911040;27116800;0.00;0.00;0.00;7465;105925;453560;423700;103;33;0;0;
1535310350;2194903512;1822976;25494016;0.00;0.00;0.00;7121;99586;426828;398344;135;33;0;0;1846016;25367296;0.00;0.00;0.00;7211;99091;425208;396364;136;33;0;0;3122944;25168128;0.00;0.00;0.00;12199;98313;442048;393252;135;33;0;0;1799168;25219840;0.00;0.00;0.00;7028;98515;422172;394060;136;33;0;0;1762560;25108224;0.00;0.00;0.00;6885;98079;419856;392316;136;33;0;0;1780224;25108736;0.00;0.00;0.00;6954;98081;420140;392324;136;33;0;0;1827072;25068288;0.00;0.00;0.00;7137;97923;420240;391692;103;33;0;0;1817088;25013760;0.00;0.00;0.00;7098;97710;419232;390840;103;33;0;0;1774336;24971008;0.00;0.00;0.00;6931;97543;417896;390172;102;33;0;0;1820416;24918016;0.00;0.00;0.00;7111;97336;417788;389344;103;33;0;0;1806336;24879616;0.00;0.00;0.00;7056;97186;416968;388744;103;33;0;0;1747200;24809472;0.00;0.00;0.00;6825;96912;414948;387648;102;33;0;0;
1535310351;2194957138;1839872;25659392;0.00;0.00;0.00;7187;100232;429676;400928;135;33;0;0;1858816;25654016;0.00;0.00;0.00;7261;100211;429888;400844;135;33;0;0;3177216;25532672;0.00;0.00;0.00;12411;99737;448592;398948;136;33;0;0;1838080;25656064;0.00;0.00;0.00;7180;100219;429596;400876;135;33;0;0;1765888;25555456;0.00;0.00;0.00;6898;99826;426896;399304;135;33;0;0;1809920;25617920;0.00;0.00;0.00;7070;100070;428560;400280;135;33;0;0;1903616;25656576;0.00;0.00;0.00;7436;100221;430628;400884;102;33;0;0;1901312;25653504;0.00;0.00;0.00;7427;100209;430544;400836;102;33;0;0;1810688;25605632;0.00;0.00;0.33;7073;100022;428380;400088;102;33;0;0;1888000;25624064;0.00;0.00;0.00;7375;100094;429876;400376;102;33;0;0;1871360;25618944;0.00;0.00;0.00;7310;100074;429536;400296;102;33;0;0;1805824;25585920;0.00;0.00;0.00;7054;99945;427996;399780;102;33;0;0;
1535310352;2194964366;1843200;25723648;0.00;0.00;0.00;7200;100483;430732;401932;136;33;0;0;1905664;25819904;0.00;0.00;0.00;7444;100859;433212;403436;134;33;0;0;3198720;25744384;0.00;0.00;0.00;12495;100564;452236;402256;134;33;0;0;1835008;25905920;0.00;0.00;0.00;7168;101195;433452;404780;134;33;0;0;1822720;25925888;0.00;0.00;0.00;7120;101273;433572;405092;134;33;0;0;1837568;26025472;0.00;0.00;0.00;7178;101662;435360;406648;134;33;0;0;1914624;26109184;0.00;0.00;0.00;7479;101989;437872;407956;102;33;0;0;1919232;26183936;0.00;0.00;0.00;7497;102281;439112;409124;101;33;0;0;1860352;26228736;0.00;0.00;0.00;7267;102456;438892;409824;102;33;0;0;1925376;26310144;0.00;0.00;0.00;7521;102774;441180;411096;101;33;0;0;1928704;26373120;0.00;0.00;0.00;7534;103020;442216;412080;101;33;0;0;1880064;26431744;0.00;0.00;0.00;7344;103249;442372;412996;101;33;0;0;
1535310353;2194903774;1840384;25662464;0.00;0.00;0.00;7189;100244;429732;400976;136;33;0;0;1873920;25673984;0.00;0.00;0.00;7320;100289;430436;401156;135;33;0;0;3170048;25552384;0.00;0.00;0.00;12383;99814;448788;399256;135;33;0;0;1823232;25659392;0.00;0.00;0.00;7122;100232;429416;400928;135;33;0;0;1804032;25606400;0.00;0.00;0.24;7047;100025;428288;400100;135;33;0;0;1807104;25639168;0.00;0.00;0.00;7059;100153;428848;400612;135;33;0;0;1879808;25666560;0.00;0.00;0.00;7343;100260;430412;401040;102;33;0;0;1870592;25664512;0.00;0.00;0.00;7307;100252;430236;401008;102;33;0;0;1828352;25659392;0.00;0.00;0.00;7142;100232;429496;400928;102;33;0;0;1880064;25659904;0.00;0.00;0.00;7344;100234;430312;400936;102;33;0;0;1861888;25659904;0.00;0.00;0.00;7273;100234;430028;400936;102;33;0;0;1829376;25660928;0.00;0.00;0.00;7146;100238;429536;400952;102;33;0;0;
1535310354;2194903866;1838848;25663744;0.00;0.00;0.00;7183;100249;429728;400996;135;33;0;0;1890304;25684224;0.00;0.00;0.00;7384;100329;430852;401316;135;33;0;0;3168512;25558272;0.00;0.00;0.00;12377;99837;448856;399348;135;33;0;0;1824512;25667072;0.00;0.00;0.00;7127;100262;429556;401048;136;33;0;0;1787904;25598208;0.00;0.00;0.00;6984;99993;427908;399972;135;33;0;0;1824768;25669120;0.00;0.00;0.00;7128;100270;429592;401080;135;33;0;0;1854208;25661696;0.00;0.00;0.00;7243;100241;429936;400964;102;33;0;0;1899264;25699328;0.00;0.00;0.00;7419;100388;431228;401552;102;33;0;0;1823488;25666816;0.00;0.00;0.00;7123;100261;429536;401044;102;33;0;0;1896960;25690368;0.00;0.00;0.00;7410;100353;431052;401412;102;33;0;0;1864704;25671680;0.00;0.00;0.00;7284;100280;430256;401120;102;33;0;0;1825280;25669888;0.00;0.00;0.00;7130;100273;429612;401092;102;33;0;0;
1535310355;2194959366;1833728;25656064;0.00;0.00;0.00;7163;100219;429528;400876;136;33;0;0;1892352;25679872;0.00;0.00;0.00;7392;100312;430816;401248;135;33;0;0;3162624;25551104;0.00;0.00;0.00;12354;99809;448652;399236;135;33;0;0;1818880;25655808;0.00;0.00;0.00;7105;100218;429292;400872;134;33;0;0;1814272;25627136;0.00;0.00;0.00;7087;100106;428772;400424;135;33;0;0;1820928;25654528;0.00;0.00;0.00;7113;100213;429304;400852;135;33;0;0;1858560;25647360;0.00;0.00;0.00;7260;100185;429780;400740;102;33;0;0;1881088;25674496;0.00;0.00;0.00;7348;100291;430556;401164;103;33;0;0;1823232;25656320;0.00;0.00;0.00;7122;100220;429368;400880;103;33;0;0;1876224;25664256;0.00;0.00;0.00;7329;100251;430320;401004;103;33;0;0;1868800;25666816;0.00;0.00;0.00;7300;100261;430244;401044;103;33;0;0;1841408;25671936;0.00;0.00;0.00;7193;100281;429896;401124;102;33;0;0;
1535310356;2194931802;1819392;25647104;0.00;0.00;0.00;7107;100184;429164;400736;136;33;0;0;1892608;25680896;0.00;0.00;0.00;7393;100316;430836;401264;135;33;0;0;3170816;25561856;0.00;0.00;0.00;12386;99851;448948;399404;135;33;0;0;1806592;25651456;0.00;0.00;0.00;7057;100201;429032;400804;135;33;0;0;1789440;25605376;0.00;0.00;0.36;6990;100021;428044;400084;135;33;0;0;1808640;25654272;0.00;0.00;0.00;7065;100212;429108;400848;135;33;0;0;1865472;25664256;0.00;0.00;0.00;7287;100251;430152;401004;102;33;0;0;1885696;25691904;0.00;0.00;0.00;7366;100359;430900;401436;102;33;0;0;1824768;25667584;0.00;0.00;0.00;7128;100264;429568;401056;102;33;0;0;1891584;25691136;0.00;0.00;0.00;7389;100356;430980;401424;101;33;0;0;1854208;25665792;0.00;0.00;0.00;7243;100257;430000;401028;102;33;0;0;1805056;25651712;0.00;0.00;0.00;7051;100202;429012;400808;102;33;0;0;
1535310357;2194905236;1817856;25645824;0.00;0.00;0.00;7101;100179;429120;400716;135;33;0;0;1875200;25670656;0.00;0.00;0.00;7325;100276;430404;401104;135;33;0;0;3184128;25559808;0.00;0.00;0.00;12438;99843;449124;399372;135;33;0;0;1811200;25644544;0.00;0.00;0.00;7075;100174;428996;400696;135;33;0;0;1808384;25618176;0.00;0.00;0.00;7064;100071;428540;400284;135;33;0;0;1821696;25653504;0.00;0.00;0.00;7116;100209;429300;400836;135;33;0;0;1891840;25672448;0.00;0.00;0.00;7390;100283;430692;401132;102;33;0;0;1869056;25661696;0.00;0.00;0.00;7301;100241;430168;400964;102;33;0;0;1796096;25632000;0.00;0.00;0.00;7016;100125;428564;400500;102;33;0;0;1895424;25685248;0.00;0.00;0.00;7404;100333;430948;401332;102;33;0;0;1845248;25646592;0.00;0.00;0.00;7208;100182;429560;400728;102;33;0;0;1810432;25643520;0.00;0.00;0.00;7072;100170;428968;400680;102;33;0;0;
1535310358;2194961508;1841152;25657600;0.00;0.00;0.00;7192;100225;429668;400900;135;33;0;0;1857536;25661440;0.00;0.00;0.00;7256;100240;429984;400960;135;33;0;0;3159808;25547776;0.00;0.00;0.00;12343;99796;448556;399184;135;33;0;0;1822720;25662976;0.00;0.00;0.00;7120;100246;429464;400984;135;33;0;0;1814016;25626880;0.00;0.00;0.00;7086;100105;428764;400420;136;33;0;0;1823744;25665280;0.00;0.00;0.00;7124;100255;429516;401020;135;33;0;0;1867776;25658112;0.00;0.00;0.00;7296;100227;430092;400908;102;33;0;0;1857280;25665024;0.00;0.00;0.00;7255;100254;430036;401016;102;33;0;0;1810176;25672448;0.00;0.00;0.00;7071;100283;429416;401132;135;33;0;0;1913600;25813248;0.00;0.00;0.00;7475;100833;433232;403332;135;33;0;0;1888256;25824256;0.00;0.00;0.00;7376;100876;433008;403504;135;33;0;0;1826816;25750016;0.00;0.00;0.00;7136;100586;430888;402344;136;33;0;0;
