# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 13:07:21 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535303242;2195015706;1837056;25733888;0.00;0.00;0.00;7176;100523;430796;402092;135;33;0;0;1891072;25893376;0.00;0.00;0.00;7387;101146;434132;404584;135;33;0;0;1831680;25971456;0.00;0.00;0.00;7155;101451;434424;405804;135;33;0;0;1846272;26151168;0.00;0.00;0.00;7212;102153;437460;408612;135;33;0;0;1838592;26211584;0.00;0.00;0.00;7182;102389;438284;409556;135;33;0;0;1876992;26359552;0.00;0.00;0.00;7332;102967;441196;411868;135;33;0;0;1933312;26498816;0.00;0.00;0.00;7552;103511;444252;414044;102;33;0;0;1966336;26582784;0.00;0.00;0.00;7681;103839;446080;415356;103;33;0;0;1873920;26588672;0.00;0.00;0.00;7320;103862;444728;415448;103;33;0;0;1965312;26654976;0.00;0.00;0.00;7677;104121;447192;416484;103;33;0;0;1933568;26653952;0.00;0.00;0.00;7553;104117;446680;416468;103;33;0;0;1885440;26660352;0.00;0.00;0.00;7365;104142;446028;416568;103;33;0;0;
1535303243;2194975966;1853440;25574400;0.00;0.00;0.00;7240;99900;428560;399600;134;33;0;0;1856768;25468928;0.00;0.00;0.00;7253;99488;426964;397952;136;33;0;0;1801216;25425408;0.00;0.00;0.00;7036;99318;425416;397272;135;33;0;0;1808128;25299456;0.00;0.00;0.00;7063;98826;423556;395304;135;33;0;0;1750016;25201920;0.00;0.00;0.00;6836;98445;421124;393780;135;33;0;0;1804544;25250816;0.00;0.00;0.00;7049;98636;422740;394544;136;33;0;0;1860864;25195008;0.00;0.00;0.00;7269;98418;422748;393672;102;33;0;0;1863936;25203968;0.00;0.00;0.00;7281;98453;422936;393812;102;33;0;0;1783296;25165312;0.00;0.00;0.00;6966;98302;421072;393208;102;33;0;0;1862144;25225472;0.00;0.00;0.00;7274;98537;423244;394148;102;33;0;0;1842432;25249280;0.00;0.00;0.00;7197;98630;423308;394520;102;33;0;0;1806592;25296896;0.00;0.00;0.00;7057;98816;423492;395264;103;33;0;0;
1535303244;2194889982;1829376;25637632;0.00;0.00;0.00;7146;100147;429172;400588;136;33;0;0;1865984;25645056;0.00;0.00;0.00;7289;100176;429860;400704;135;33;0;0;1827072;25627392;0.00;0.00;0.00;7137;100107;428976;400428;135;33;0;0;1839616;25611008;0.00;0.00;0.00;7186;100043;428916;400172;135;33;0;0;1792512;25540608;0.00;0.00;0.00;7002;99768;427080;399072;135;33;0;0;1819392;25580544;0.00;0.00;0.00;7107;99924;428124;399696;135;33;0;0;1886720;25589760;0.00;0.00;0.00;7370;99960;429320;399840;102;33;0;0;1903872;25595136;0.00;0.00;0.00;7437;99981;429672;399924;102;33;0;0;1795328;25518336;0.00;0.00;0.00;7013;99681;426776;398724;102;33;0;0;1867008;25531904;0.00;0.00;0.00;7293;99734;428108;398936;102;33;0;0;1859328;25512704;0.00;0.00;0.00;7263;99659;427688;398636;102;33;0;0;1796096;25478144;0.00;0.00;0.00;7016;99524;426160;398096;102;33;0;0;
1535303245;2194886568;1848832;25671936;0.00;0.00;0.00;7222;100281;430012;401124;135;33;0;0;1871616;25660160;0.00;0.00;0.00;7311;100235;430184;400940;135;33;0;0;1820416;25656832;0.00;0.00;0.00;7111;100222;429332;400888;135;33;0;0;1824000;25645312;0.00;0.00;0.00;7125;100177;429208;400708;135;33;0;0;1778688;25588736;0.00;0.00;0.00;6948;99956;427616;399824;135;33;0;0;1824512;25660160;0.00;0.00;0.00;7127;100235;429448;400940;135;33;0;0;1879040;25668608;0.00;0.00;0.00;7340;100268;430432;401072;102;33;0;0;1885696;25679872;0.00;0.00;0.00;7366;100312;430712;401248;102;33;0;0;1821440;25655552;0.00;0.00;0.00;7115;100217;429328;400868;101;33;0;0;1883648;25674496;0.00;0.00;0.00;7358;100291;430596;401164;102;33;0;0;1904384;25687808;0.00;0.00;0.00;7439;100343;431128;401372;102;33;0;0;1822208;25656320;0.00;0.00;0.00;7118;100220;429352;400880;102;33;0;0;
1535303246;2194898358;1841152;25660160;0.00;0.00;0.00;7192;100235;429708;400940;135;33;0;0;1884416;25678080;0.00;0.00;0.00;7361;100305;430664;401220;135;33;0;0;1828864;25667584;0.00;0.00;0.00;7144;100264;429632;401056;135;33;0;0;1847040;25669376;0.00;0.00;0.00;7215;100271;429944;401084;135;33;0;0;1770240;25590272;0.00;0.00;0.00;6915;99962;427508;399848;135;33;0;0;1808384;25646848;0.00;0.00;0.00;7064;100183;428988;400732;135;33;0;0;1873408;25675008;0.00;0.00;0.00;7318;100293;430444;401172;102;33;0;0;1883136;25677056;0.00;0.00;0.00;7356;100301;430628;401204;102;33;0;0;1807104;25646592;0.00;0.00;0.00;7059;100182;428964;400728;102;33;0;0;1908480;25688832;0.00;0.00;0.00;7455;100347;431208;401388;102;33;0;0;1874688;25679360;0.00;0.00;0.00;7323;100310;430532;401240;102;33;0;0;1823232;25664256;0.00;0.00;0.00;7122;100251;429492;401004;102;33;0;0;
1535303247;2194966374;1846272;25663744;0.00;0.00;0.00;7212;100249;429844;400996;135;33;0;0;1867008;25660928;0.00;0.00;0.00;7293;100238;430124;400952;135;33;0;0;1803008;25641984;0.00;0.00;0.00;7043;100164;428828;400656;135;33;0;0;1835264;25660416;0.00;0.00;0.00;7169;100236;429620;400944;135;33;0;0;1785856;25600768;0.00;0.00;0.91;6976;100003;427916;400012;135;33;0;0;1824768;25661184;0.00;0.00;0.00;7128;100239;429468;400956;135;33;0;0;1892864;25686272;0.00;0.00;0.00;7394;100337;430924;401348;102;33;0;0;1909760;25703424;0.00;0.00;0.00;7460;100404;431456;401616;102;33;0;0;1828352;25667328;0.00;0.00;0.00;7142;100263;429620;401052;102;33;0;0;1883648;25678592;0.00;0.00;0.00;7358;100307;430660;401228;102;33;0;0;1867776;25663488;0.00;0.00;0.00;7296;100248;430176;400992;102;33;0;0;1802240;25641728;0.00;0.00;0.00;7040;100163;428812;400652;102;33;0;0;
1535303248;2194887728;1849856;25672192;0.00;0.00;0.00;7226;100282;430032;401128;135;33;0;0;1871360;25662208;0.00;0.00;0.00;7310;100243;430212;400972;135;33;0;0;1825536;25664512;0.00;0.00;0.00;7131;100252;429532;401008;135;33;0;0;1831680;25656064;0.00;0.00;0.00;7155;100219;429496;400876;135;33;0;0;1784064;25599488;0.00;0.00;0.00;6969;99998;427868;399992;135;33;0;0;1815808;25654784;0.00;0.00;0.00;7093;100214;429228;400856;135;33;0;0;1881856;25678848;0.00;0.00;0.00;7351;100308;430636;401232;102;33;0;0;1900800;25696768;0.00;0.00;0.00;7425;100378;431212;401512;102;33;0;0;1820672;25661440;0.00;0.00;0.00;7112;100240;429408;400960;102;33;0;0;1857536;25659392;0.00;0.00;0.00;7256;100232;429952;400928;102;33;0;0;1877760;25669888;0.00;0.00;0.00;7335;100273;430432;401092;102;33;0;0;1819904;25658880;0.00;0.00;0.00;7109;100230;429356;400920;102;33;0;0;
1535303249;2194901412;1837312;25657344;0.00;0.00;0.00;7177;100224;429604;400896;135;33;0;0;1867776;25668864;0.00;0.00;0.00;7296;100269;430260;401076;135;33;0;0;1815808;25656064;0.00;0.00;0.00;7093;100219;429248;400876;135;33;0;0;1834752;25664768;0.00;0.00;0.00;7167;100253;429680;401012;135;33;0;0;1780992;25598976;0.00;0.00;0.00;6957;99996;427812;399984;135;33;0;0;1792512;25633536;0.00;0.00;0.00;7002;100131;428532;400524;135;33;0;0;1914368;25704448;0.00;0.00;0.00;7478;100408;431544;401632;102;33;0;0;1866752;25666816;0.00;0.00;0.00;7292;100261;430212;401044;102;33;0;0;1815296;25652992;0.00;0.00;0.00;7091;100207;429192;400828;102;33;0;0;1863424;25658624;0.00;0.00;0.00;7279;100229;430032;400916;102;33;0;0;1888512;25676800;0.00;0.00;0.00;7377;100300;430708;401200;102;33;0;0;1798400;25638656;0.00;0.00;0.00;7025;100151;428704;400604;102;33;0;0;
1535303250;2194904200;1849600;25673984;0.00;0.00;0.00;7225;100289;430056;401156;135;33;0;0;1870848;25653248;0.00;0.00;0.00;7308;100208;430064;400832;135;33;0;0;1812224;25648384;0.00;0.00;0.00;7079;100189;429072;400756;135;33;0;0;1832704;25651712;0.00;0.00;0.00;7159;100202;429444;400808;135;33;0;0;1796608;25607936;0.00;0.00;0.06;7018;100031;428196;400124;135;33;0;0;1811968;25649152;0.00;0.00;0.00;7078;100192;429080;400768;135;33;0;0;1879040;25671936;0.00;0.00;0.00;7340;100281;430484;401124;102;33;0;0;1911552;25703424;0.00;0.00;0.00;7467;100404;431484;401616;102;33;0;0;1822720;25657600;0.00;0.00;0.00;7120;100225;429380;400900;102;33;0;0;1856000;25652992;0.00;0.00;0.00;7250;100207;429828;400828;102;33;0;0;1894144;25682432;0.00;0.00;0.00;7399;100322;430884;401288;102;33;0;0;1819392;25654016;0.00;0.00;0.00;7107;100211;429272;400844;102;33;0;0;
1535303251;2194968018;1829632;25654016;0.00;0.00;0.00;7147;100211;429432;400844;135;33;0;0;1884672;25674496;0.00;0.00;0.00;7362;100291;430612;401164;135;33;0;0;1815808;25654784;0.00;0.00;0.00;7093;100214;429228;400856;135;33;0;0;1830400;25658112;0.00;0.00;0.00;7150;100227;429508;400908;135;33;0;0;1806080;25613056;0.00;0.00;0.00;7055;100051;428424;400204;135;33;0;0;1820416;25658112;0.00;0.00;0.00;7111;100227;429352;400908;135;33;0;0;1866752;25655296;0.00;0.00;0.00;7292;100216;430032;400864;102;33;0;0;1893632;25680640;0.00;0.00;0.00;7397;100315;430848;401260;102;33;0;0;1821696;25660672;0.00;0.00;0.00;7116;100237;429412;400948;102;33;0;0;1895424;25682688;0.00;0.00;0.00;7404;100323;430908;401292;102;33;0;0;1882624;25665024;0.00;0.00;0.00;7354;100254;430432;401016;102;33;0;0;1804800;25641216;0.00;0.00;0.00;7050;100161;428844;400644;102;33;0;0;
