# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 13:52:01 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535305922;2195092150;1903616;25779200;0.00;0.00;0.00;7436;100700;432544;402800;135;33;0;0;1846528;25893120;0.00;0.00;0.00;7213;101145;433432;404580;135;33;0;0;1841664;25967872;0.00;0.00;0.00;7194;101437;434524;405748;134;33;0;0;1936128;26063360;0.00;0.00;0.00;7563;101810;437492;407240;136;33;0;0;1822720;25980672;0.00;0.00;0.00;7120;101487;434428;405948;136;33;0;0;1846784;26104064;0.00;0.00;0.00;7214;101969;436732;407876;135;33;0;0;1948928;26348544;0.00;0.00;0.00;7613;102924;442148;411696;102;33;0;0;1929728;26475776;0.00;0.00;0.00;7538;103421;443836;413684;102;33;0;0;1875200;26596352;0.00;0.00;0.00;7325;103892;444868;415568;102;33;0;0;1967872;26741760;0.00;0.00;0.00;7687;104460;448588;417840;102;33;0;0;1992448;26868736;0.00;0.00;0.00;7783;104956;450956;419824;102;33;0;0;1901056;26922496;0.00;0.00;0.00;7426;105166;450368;420664;102;33;0;0;
1535305923;2194900370;1880064;25588480;0.00;0.00;0.00;7344;99955;429196;399820;135;33;0;0;1806592;25460224;0.00;0.00;0.00;7057;99454;426044;397816;136;33;0;0;1801728;25433856;0.00;0.00;0.00;7038;99351;425556;397404;136;33;0;0;1895680;25498624;0.00;0.00;0.00;7405;99604;428036;398416;135;33;0;0;1762304;25393920;0.00;0.00;0.00;6884;99195;424316;396780;135;33;0;0;1793280;25444608;0.00;0.00;0.00;7005;99393;425592;397572;134;33;0;0;1882880;25350400;0.00;0.00;0.00;7355;99025;425520;396100;101;33;0;0;1866752;25254912;0.00;0.00;0.00;7292;98652;423776;394608;103;33;0;0;1772544;25128192;0.00;0.00;0.00;6924;98157;420324;392628;103;33;0;0;1860352;25114368;0.00;0.00;0.00;7267;98103;421480;392412;103;33;0;0;1842432;25056768;0.00;0.00;0.00;7197;97878;420300;391512;102;33;0;0;1764864;24978176;0.00;0.00;0.00;6894;97571;417860;390284;103;33;0;0;
1535305924;2194976504;1915136;25761280;0.00;0.00;0.00;7481;100630;432444;402520;134;33;0;0;1805568;25736960;0.00;0.00;0.00;7053;100535;430352;402140;134;33;0;0;1813504;25794048;0.00;0.00;0.00;7084;100758;431368;403032;134;33;0;0;1904384;25897984;0.00;0.00;0.00;7439;101164;434412;404656;134;33;0;0;1793280;25840128;0.00;0.00;0.00;7005;100938;431772;403752;134;33;0;0;1831680;25953280;0.00;0.00;0.00;7155;101380;434140;405520;135;33;0;0;1909504;26032640;0.00;0.00;0.00;7459;101690;436596;406760;102;33;0;0;1903360;26078208;0.00;0.00;0.00;7435;101868;437212;407472;101;33;0;0;1856256;26122752;0.00;0.00;0.00;7251;102042;437172;408168;101;33;0;0;1930752;26201600;0.00;0.00;0.00;7542;102350;439568;409400;101;33;0;0;1907712;26230272;0.00;0.00;0.00;7452;102462;439656;409848;104;33;0;0;1857536;26275840;0.00;0.00;0.00;7256;102640;439584;410560;101;33;0;0;
1535305925;2194911426;1900800;25704704;0.00;0.00;0.00;7425;100409;431336;401636;135;33;0;0;1808128;25644032;0.00;0.00;0.00;7063;100172;428940;400688;135;33;0;0;1829376;25669120;0.00;0.00;0.00;7146;100270;429664;401080;135;33;0;0;1906944;25713408;0.00;0.00;0.00;7449;100443;431568;401772;135;33;0;0;1789696;25604864;0.00;0.00;0.42;6991;100019;428040;400076;135;33;0;0;1831936;25670912;0.00;0.00;0.00;7156;100277;429732;401108;135;33;0;0;1876480;25665536;0.00;0.00;0.00;7330;100256;430344;401024;102;33;0;0;1889024;25688576;0.00;0.00;0.00;7379;100346;430900;401384;102;33;0;0;1828096;25666816;0.00;0.00;0.00;7141;100261;429608;401044;102;33;0;0;1915392;25705216;0.00;0.00;0.00;7482;100411;431572;401644;102;33;0;0;1879808;25676544;0.00;0.00;0.00;7343;100299;430568;401196;102;33;0;0;1814528;25657856;0.00;0.00;0.00;7088;100226;429256;400904;102;33;0;0;
1535305926;2194902458;1923328;25719040;0.00;0.00;0.00;7513;100465;431912;401860;135;33;0;0;1826560;25660928;0.00;0.00;0.00;7135;100238;429492;400952;135;33;0;0;1817856;25655808;0.00;0.00;0.00;7101;100218;429276;400872;135;33;0;0;1919488;25718272;0.00;0.00;0.00;7498;100462;431840;401848;135;33;0;0;1798144;25604096;0.00;0.00;0.52;7024;100016;428160;400064;135;33;0;0;1821440;25660416;0.00;0.00;0.00;7115;100236;429404;400944;135;33;0;0;1881856;25668864;0.00;0.00;0.00;7351;100269;430480;401076;102;33;0;0;1870592;25666304;0.00;0.00;0.00;7307;100259;430264;401036;102;33;0;0;1826048;25667072;0.00;0.00;0.00;7133;100262;429580;401048;102;33;0;0;1914880;25701120;0.00;0.00;0.00;7480;100395;431500;401580;102;33;0;0;1851648;25657088;0.00;0.00;0.00;7233;100223;429824;400892;102;33;0;0;1819392;25660672;0.00;0.00;0.00;7107;100237;429376;400948;102;33;0;0;
1535305927;2194968386;1901824;25701888;0.00;0.00;0.00;7429;100398;431308;401592;137;33;0;0;1822720;25657344;0.00;0.00;0.00;7120;100224;429376;400896;135;33;0;0;1816832;25656832;0.00;0.00;0.00;7097;100222;429276;400888;136;33;0;0;1922048;25721088;0.00;0.00;0.00;7508;100473;431924;401892;135;33;0;0;1770752;25584384;0.00;0.00;0.00;6917;99939;427424;399756;135;33;0;0;1821440;25659648;0.00;0.00;0.00;7115;100233;429392;400932;135;33;0;0;1888256;25680128;0.00;0.00;0.00;7376;100313;430756;401252;102;33;0;0;1901824;25689344;0.00;0.00;0.00;7429;100349;431112;401396;102;33;0;0;1815808;25655552;0.00;0.00;0.00;7093;100217;429240;400868;102;33;0;0;1889536;25681408;0.00;0.00;0.00;7381;100318;430796;401272;102;33;0;0;1857536;25658368;0.00;0.00;0.00;7256;100228;429936;400912;103;33;0;0;1818368;25657088;0.00;0.00;0.00;7103;100223;429304;400892;102;33;0;0;
1535305928;2194932982;1925376;25726208;0.00;0.00;0.00;7521;100493;432056;401972;135;33;0;0;1837568;25673728;0.00;0.00;0.00;7178;100288;429864;401152;135;33;0;0;1830400;25668352;0.00;0.00;0.00;7150;100267;429668;401068;134;33;0;0;1915392;25720832;0.00;0.00;0.00;7482;100472;431816;401888;135;33;0;0;1772032;25581824;0.00;0.00;0.00;6922;99929;427404;399716;135;33;0;0;1818880;25657856;0.00;0.00;0.00;7105;100226;429324;400904;135;33;0;0;1881088;25675776;0.00;0.00;0.00;7348;100296;430576;401184;102;33;0;0;1895168;25710848;0.00;0.00;0.00;7403;100433;431344;401732;135;33;0;0;1832960;25776640;0.00;0.00;0.00;7160;100690;431400;402760;135;33;0;0;1921024;25859328;0.00;0.00;0.00;7504;101013;434068;404052;135;33;0;0;1869824;25806848;0.00;0.00;0.00;7304;100808;432448;403232;135;33;0;0;1833472;25745408;0.00;0.00;0.00;7162;100568;430920;402272;136;33;0;0;
1535305929;2195089628;1917952;25785856;0.00;0.00;0.00;7492;100726;432872;402904;102;33;0;0;1831424;25763584;0.00;0.00;0.00;7154;100639;431172;402556;102;33;0;0;1822720;25736960;0.00;0.00;0.00;7120;100535;430620;402140;103;33;0;0;1893632;25711104;0.00;0.00;0.00;7397;100434;431324;401736;103;33;0;0;1786624;25544960;0.00;0.00;0.00;6979;99785;427056;399140;103;33;0;0;1814272;25515264;0.00;0.00;0.00;7087;99669;427024;398676;103;33;0;0;1885184;25482240;0.00;0.00;0.00;7364;99540;427616;398160;135;33;0;0;1863168;25516032;0.00;0.00;0.00;7278;99672;427800;398688;134;33;0;0;1797376;25411328;0.00;0.00;0.00;7021;99263;425136;397052;134;33;0;0;1877504;25371648;0.00;0.00;0.00;7334;99108;425768;396432;136;33;0;0;1849344;25294336;0.00;0.00;0.00;7224;98806;424120;395224;136;33;0;0;1791488;25314560;0.00;0.00;0.00;6998;98885;423532;395540;134;33;0;0;
1535305930;2194933624;1960448;25764864;0.00;0.00;0.00;7658;100644;433208;402576;103;33;0;0;1840640;25739520;0.00;0.00;0.00;7190;100545;430940;402180;102;33;0;0;1826304;25748992;0.00;0.00;0.00;7134;100582;430864;402328;101;33;0;0;1949184;25874176;0.00;0.00;0.00;7614;101071;434740;404284;102;33;0;0;1807360;25733376;0.00;0.00;0.00;7060;100521;430324;402084;102;33;0;0;1831168;25846272;0.00;0.00;0.00;7153;100962;432460;403848;102;33;0;0;1894912;25995008;0.00;0.00;0.00;7402;101543;435780;406172;134;33;0;0;1940224;25950976;0.00;0.00;0.00;7579;101371;435800;405484;134;33;0;0;1822208;25844224;0.00;0.00;0.00;7118;100954;432288;403816;136;33;0;0;1877760;25825280;0.00;0.00;0.00;7335;100880;432860;403520;135;33;0;0;1892352;25817600;0.00;0.00;0.00;7392;100850;432968;403400;135;33;0;0;1813504;25726976;0.00;0.00;0.00;7084;100496;430320;401984;136;33;0;0;
1535305931;2195099346;1911808;25706496;0.00;0.00;0.00;7468;100416;431536;401664;101;33;0;0;1845760;25609216;0.00;0.00;0.00;7210;100036;428984;400144;101;33;0;0;1802240;25552896;0.00;0.00;0.00;7040;99816;427424;399264;103;33;0;0;1854720;25545728;0.00;0.00;0.00;7245;99788;428132;399152;102;33;0;0;1770240;25454592;0.00;0.00;0.00;6915;99432;425388;397728;102;33;0;0;1801728;25462016;0.00;0.00;0.00;7038;99461;425996;397844;102;33;0;0;1858048;25317632;0.00;0.00;0.00;7258;98897;424620;395588;136;33;0;0;1858816;25270016;0.00;0.00;0.00;7261;98711;423888;394844;135;33;0;0;1797120;25345792;0.00;0.00;0.00;7020;99007;424108;396028;134;33;0;0;1839360;25422080;0.00;0.00;0.00;7185;99305;425960;397220;134;33;0;0;1857792;25486336;0.00;0.00;0.00;7257;99556;427252;398224;136;33;0;0;1833472;25547776;0.00;0.00;0.00;7162;99796;427832;399184;135;33;0;0;
