# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 13:18:37 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535303918;2195037620;1858304;25751296;0.00;0.00;0.00;7259;100591;431400;402364;135;33;0;0;1862656;25880832;0.00;0.00;0.00;7276;101097;433492;404388;135;33;0;0;1841408;25945600;0.00;0.00;0.00;7193;101350;434172;405400;134;33;0;0;1835264;25827072;0.00;0.00;0.00;7169;100887;432224;403548;135;33;0;0;1769216;25654016;0.00;0.00;0.00;6911;100211;428488;400844;136;33;0;0;1833728;25681920;0.00;0.00;0.00;7163;100320;429932;401280;136;33;0;0;1881088;25628928;0.00;0.00;0.00;7348;100113;429844;400452;102;33;0;0;1853440;25588992;0.00;0.00;0.00;7240;99957;428788;399828;102;33;0;0;1809152;25543936;0.00;0.00;0.00;7067;99781;427392;399124;103;33;0;0;1864704;25549568;0.00;0.00;0.00;7284;99803;428348;399212;103;33;0;0;1852160;25559040;0.00;0.00;0.00;7235;99840;428300;399360;102;33;0;0;1815552;25716480;0.00;0.00;0.00;7092;100455;430188;401820;102;33;0;0;
1535303919;2195028426;1867008;25689344;0.00;0.00;0.00;7293;100349;430568;401396;134;33;0;0;1877504;25669632;0.00;0.00;0.00;7334;100272;430424;401088;135;33;0;0;1816320;25653760;0.00;0.00;0.00;7095;100210;429220;400840;135;33;0;0;1839360;25776640;0.00;0.00;0.00;7185;100690;431500;402760;134;33;0;0;1797632;25812224;0.00;0.00;0.00;7022;100829;431404;403316;134;33;0;0;1846016;25935104;0.00;0.00;0.00;7211;101309;434080;405236;136;33;0;0;1919488;26013696;0.00;0.00;0.00;7498;101616;436456;406464;102;33;0;0;1931520;26205952;0.00;0.00;0.00;7545;102367;439648;409468;102;33;0;0;1887232;26370816;0.00;0.00;0.00;7372;103011;441532;412044;102;33;0;0;1938688;26490112;0.00;0.00;0.00;7573;103477;444200;413908;102;33;0;0;1941760;26568192;0.00;0.00;0.00;7585;103782;445468;415128;101;33;0;0;1877760;26414592;0.00;0.00;0.00;7335;103182;442068;412728;102;33;0;0;
1535303920;2195040848;1825280;25648896;0.00;0.00;0.00;7130;100191;429284;400764;134;33;0;0;1880064;25657344;0.00;0.00;0.00;7344;100224;430272;400896;135;33;0;0;1796864;25604352;0.00;0.00;0.48;7019;100017;428144;400068;136;33;0;0;1834496;25496832;0.00;0.00;0.00;7166;99597;427052;398388;135;33;0;0;1781760;25345792;0.00;0.00;0.00;6960;99007;423868;396028;136;33;0;0;1795584;25323776;0.00;0.00;0.00;7014;98921;423740;395684;135;33;0;0;1835776;25262592;0.00;0.00;0.00;7171;98682;423412;394728;102;33;0;0;1888000;25156608;0.00;0.00;0.00;7375;98268;422572;393072;102;33;0;0;1763584;24904704;0.00;0.00;0.00;6889;97284;416692;389136;102;33;0;0;1829376;24815360;0.00;0.00;0.00;7146;96935;416324;387740;103;33;0;0;1801728;24719360;0.00;0.00;0.00;7038;96560;414392;386240;103;33;0;0;1739008;24658176;0.00;0.00;0.00;6793;96321;412456;385284;102;33;0;0;
1535303921;2195043326;1839616;25664256;0.00;0.00;0.00;7186;100251;429748;401004;147;35;0;0;1873408;25698304;0.00;0.00;0.00;7318;100384;430808;401536;135;33;0;0;1823232;25694720;0.00;0.00;0.00;7122;100370;429968;401480;135;33;0;0;1850880;25731840;0.00;0.00;0.00;7230;100515;430980;402060;135;33;0;0;1808640;25810944;0.00;0.00;0.00;7065;100824;431556;403296;134;33;0;0;1845760;26044416;0.00;0.00;0.00;7210;101736;435784;406944;135;33;0;0;1937408;26187264;0.00;0.00;0.00;7568;102294;439448;409176;102;33;0;0;1916416;26338304;0.00;0.00;0.00;7486;102884;441480;411536;102;33;0;0;1871872;26483200;0.00;0.00;0.00;7312;103450;443048;413800;102;33;0;0;1963520;26645248;0.00;0.00;0.00;7670;104083;447012;416332;102;33;0;0;1960704;26807808;0.00;0.00;0.00;7659;104718;449508;418872;102;33;0;0;1917184;26919168;0.00;0.00;0.00;7489;105153;450568;420612;102;33;0;0;
1535303922;2195041652;1830400;25651712;0.00;0.00;0.00;7150;100202;429408;400808;154;33;0;0;1869824;25726208;0.00;0.00;0.00;7304;100493;431188;401972;135;33;0;0;1820416;25800960;0.00;0.00;0.00;7111;100785;431584;403140;134;33;0;0;1868544;25908736;0.00;0.00;0.00;7299;101206;434020;404824;134;33;0;0;1791232;25750784;0.00;0.00;0.00;6997;100589;430344;402356;134;33;0;0;1826816;25805824;0.00;0.00;0.00;7136;100804;431760;403216;134;33;0;0;1892096;25841408;0.00;0.00;0.00;7391;100943;433336;403772;101;33;0;0;1905408;25836544;0.00;0.00;0.00;7443;100924;433468;403696;102;33;0;0;1838592;25786624;0.00;0.00;0.00;7182;100729;431644;402916;101;33;0;0;1912064;25866496;0.00;0.00;0.00;7469;101041;434040;404164;101;33;0;0;1863936;25808384;0.00;0.00;0.00;7281;100814;432380;403256;102;33;0;0;1818624;25754624;0.00;0.00;0.00;7104;100604;430832;402416;102;33;0;0;
1535303923;2195033134;1850624;25665024;0.00;0.00;0.00;7229;100254;429932;401016;155;34;0;0;1833216;25645312;0.00;0.00;0.00;7161;100177;429352;400708;134;33;0;0;1819648;25638144;0.00;0.00;0.00;7108;100149;429028;400596;134;33;0;0;1828864;25665280;0.00;0.00;0.00;7144;100255;429596;401020;134;33;0;0;1782016;25661952;0.00;0.00;0.00;6961;100242;428812;400968;134;33;0;0;1828864;25731072;0.00;0.00;0.00;7144;100512;430624;402048;134;33;0;0;1911552;25748480;0.00;0.00;0.00;7467;100580;432188;402320;102;33;0;0;1885184;25654272;0.00;0.00;0.00;7364;100212;430304;400848;103;33;0;0;1827072;25681920;0.00;0.00;0.00;7137;100320;429828;401280;102;33;0;0;1914112;25657600;0.00;0.00;0.00;7477;100225;430808;400900;101;33;0;0;1862144;25594368;0.00;0.00;0.00;7274;99978;429008;399912;102;33;0;0;1807872;25665280;0.00;0.00;0.00;7062;100255;429268;401020;101;33;0;0;
1535303924;2195025912;1856512;25674240;0.00;0.00;0.00;7252;100290;430168;401160;156;34;0;0;1871616;25653248;0.00;0.00;0.00;7311;100208;430076;400832;134;33;0;0;1802496;25637632;0.00;0.00;0.00;7041;100147;428752;400588;135;33;0;0;1840640;25642496;0.00;0.00;0.00;7190;100166;429424;400664;134;33;0;0;1786880;25581568;0.00;0.00;0.00;6980;99928;427632;399712;134;33;0;0;1808128;25547776;0.00;0.00;0.00;7063;99796;427436;399184;135;33;0;0;1892096;25655552;0.00;0.00;0.00;7391;100217;430432;400868;102;33;0;0;1871104;25755392;0.00;0.00;0.00;7309;100607;431664;402428;101;33;0;0;1833472;25710592;0.00;0.00;0.00;7162;100432;430376;401728;102;33;0;0;1895936;25792512;0.00;0.00;0.00;7406;100752;432632;403008;101;33;0;0;1867264;25807872;0.00;0.00;0.00;7294;100812;432424;403248;101;33;0;0;1850624;25814016;0.00;0.00;0.00;7229;100836;432260;403344;101;33;0;0;
1535303925;2195042650;1850112;25675008;0.00;0.00;0.00;7227;100293;430080;401172;150;33;0;0;1867520;25698304;0.00;0.00;0.00;7295;100384;430716;401536;135;33;0;0;1828096;25701120;0.00;0.00;0.00;7141;100395;430144;401580;134;33;0;0;1833728;25699584;0.00;0.00;0.00;7163;100389;430208;401556;134;33;0;0;1813504;25699328;0.00;0.00;0.00;7084;100388;429888;401552;134;33;0;0;1830656;25816832;0.00;0.00;0.00;7151;100847;431992;403388;135;33;0;0;1877760;25803520;0.00;0.00;0.00;7335;100795;432520;403180;101;33;0;0;1879808;25725440;0.00;0.00;0.00;7343;100490;431332;401960;101;33;0;0;1799424;25637376;0.00;0.00;0.00;7029;100146;428700;400584;101;33;0;0;1907200;25696512;0.00;0.00;0.00;7450;100377;431308;401508;102;33;0;0;1861632;25671424;0.00;0.00;0.00;7272;100279;430204;401116;101;33;0;0;1806592;25651200;0.00;0.00;0.00;7057;100200;429028;400800;102;33;0;0;
1535303926;2195050732;1848320;25668608;0.00;0.00;0.00;7220;100268;429952;401072;161;33;0;0;1868544;25650688;0.00;0.00;0.00;7299;100198;429988;400792;134;33;0;0;1815296;25569536;0.00;0.00;0.00;7091;99881;427888;399524;135;33;0;0;1838336;25594880;0.00;0.00;0.00;7181;99980;428644;399920;134;33;0;0;1795328;25513728;0.00;0.00;0.00;7013;99663;426704;398652;134;33;0;0;1819136;25546752;0.00;0.00;0.00;7106;99792;427592;399168;134;33;0;0;1875200;25542656;0.00;0.00;0.00;7325;99776;428404;399104;102;33;0;0;1865728;25586688;0.00;0.00;0.00;7288;99948;428944;399792;101;33;0;0;1819392;25584896;0.00;0.00;0.00;7107;99941;428192;399764;101;33;0;0;1874432;25577984;0.00;0.00;0.00;7322;99914;428944;399656;101;33;0;0;1849856;25573120;0.00;0.00;0.00;7226;99895;428484;399580;102;33;0;0;1812736;25557248;0.00;0.00;0.00;7081;99833;427656;399332;101;33;0;0;
1535303927;2195102826;1870080;25681664;0.00;0.00;0.00;7305;100319;430496;401276;157;33;0;0;1868544;25692416;0.00;0.00;0.00;7299;100361;430640;401444;135;33;0;0;1830144;25710848;0.00;0.00;0.00;7149;100433;430328;401732;134;33;0;0;1839872;25619712;0.00;0.00;0.00;7187;100077;429056;400308;135;33;0;0;1814272;25580032;0.00;0.00;0.00;7087;99922;428036;399688;135;33;0;0;1811712;25595904;0.00;0.00;0.00;7077;99984;428244;399936;135;33;0;0;1860864;25552128;0.00;0.00;0.00;7269;99813;428328;399252;102;33;0;0;1850624;25556224;0.00;0.00;0.00;7229;99829;428232;399316;102;33;0;0;1822464;25624832;0.00;0.00;0.00;7119;100097;428864;400388;101;33;0;0;1879296;25574400;0.00;0.00;0.00;7341;99900;428964;399600;101;33;0;0;1845760;25507328;0.00;0.00;0.00;7210;99638;427392;398552;101;33;0;0;1805824;25504256;0.00;0.00;0.00;7054;99626;426720;398504;101;33;0;0;
