# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 14:17:36 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535307457;2195012360;1850880;25759488;0.00;0.00;0.00;7230;100623;431412;402492;135;33;0;0;1879040;25878016;0.00;0.00;0.00;7340;101086;433704;404344;135;33;0;0;1848832;26062080;0.00;0.00;0.00;7222;101805;436108;407220;135;33;0;0;1870080;26187776;0.00;0.00;0.00;7305;102296;438404;409184;135;33;0;0;1897472;26344960;0.00;0.00;0.00;7412;102910;441288;411640;135;33;0;0;1873408;26504704;0.00;0.00;0.00;7318;103534;443408;414136;135;33;0;0;1965312;26637824;0.00;0.00;0.00;7677;104054;446924;416216;102;33;0;0;1957632;26817536;0.00;0.00;0.00;7647;104756;449612;419024;102;33;0;0;1911552;26918144;0.00;0.00;0.00;7467;105149;450464;420596;102;33;0;0;1997824;27044608;0.00;0.00;0.00;7804;105643;453788;422572;102;33;0;0;1975808;27123456;0.00;0.00;0.00;7718;105951;454676;423804;102;33;0;0;1928960;27279104;0.00;0.00;0.00;7535;106559;456376;426236;102;33;0;0;
1535307458;2195089748;1847040;25666048;0.00;0.00;0.00;7215;100258;429892;401032;134;33;0;0;1861888;25729024;0.00;0.00;0.00;7273;100504;431108;402016;135;33;0;0;1807360;25683712;0.00;0.00;0.00;7060;100327;429548;401308;134;33;0;0;1857280;25671168;0.00;0.00;0.00;7255;100278;430132;401112;135;33;0;0;1834752;25566464;0.00;0.00;0.00;7167;99869;428144;399476;135;33;0;0;1823232;25456384;0.00;0.00;0.00;7122;99439;426244;397756;136;33;0;0;1860864;25380864;0.00;0.00;0.00;7269;99144;425652;396576;102;33;0;0;1847808;25191424;0.00;0.00;0.00;7218;98404;422488;393616;102;33;0;0;1787392;25080576;0.00;0.00;0.00;6982;97971;419812;391884;103;33;0;0;1822976;24969984;0.00;0.00;0.00;7121;97539;418640;390156;103;33;0;0;1800192;24882944;0.00;0.00;0.00;7032;97199;416924;388796;103;33;0;0;1736448;24694528;0.00;0.00;0.00;6783;96463;412984;385852;102;33;0;0;
1535307459;2195095520;1840128;25668608;0.00;0.00;0.00;7188;100268;429824;401072;144;33;0;0;1876224;25658624;0.00;0.00;0.00;7329;100229;430232;400916;134;33;0;0;1804032;25559552;0.00;0.00;0.00;7047;99842;427556;399368;135;33;0;0;1842176;25554944;0.00;0.00;0.00;7196;99824;428080;399296;136;33;0;0;1830400;25646592;0.00;0.00;0.00;7150;100182;429328;400728;134;33;0;0;1828352;25782528;0.00;0.00;0.00;7142;100713;431420;402852;134;33;0;0;1899008;25867264;0.00;0.00;0.00;7418;101044;433848;404176;102;33;0;0;1894912;25896960;0.00;0.00;0.00;7402;101160;434248;404640;103;33;0;0;1835008;25924608;0.00;0.00;0.00;7168;101268;433744;405072;103;33;0;0;1909504;25971200;0.00;0.00;0.00;7459;101450;435636;405800;102;33;0;0;1899520;26147840;0.00;0.00;0.00;7420;102140;438240;408560;102;33;0;0;1854720;26275840;0.00;0.00;0.00;7245;102640;439540;410560;102;33;0;0;
1535307460;2195085652;1838080;25666560;0.00;0.00;0.00;7180;100260;429760;401040;144;35;0;0;1865984;25659648;0.00;0.00;0.00;7289;100233;430088;400932;135;33;0;0;1808640;25641216;0.00;0.00;0.00;7065;100161;428904;400644;135;33;0;0;1868288;25682176;0.00;0.00;0.00;7298;100321;430476;401284;135;33;0;0;1825792;25495296;0.00;0.00;0.00;7132;99591;426892;398364;135;33;0;0;1806592;25381632;0.00;0.00;0.00;7057;99147;424816;396588;135;33;0;0;1860864;25489408;0.00;0.00;0.00;7269;99568;427348;398272;102;33;0;0;1894400;25614848;0.00;0.00;0.00;7400;100058;429832;400232;101;33;0;0;1820160;25617664;0.00;0.00;0.00;7110;100069;428716;400276;102;33;0;0;1899264;25680896;0.00;0.00;0.00;7419;100316;430940;401264;102;33;0;0;1847552;25530624;0.00;0.00;0.00;7217;99729;427784;398916;102;33;0;0;1823488;25441280;0.00;0.00;0.00;7123;99380;426012;397520;103;33;0;0;
1535307461;2195088412;1843968;25676800;0.00;0.00;0.00;7203;100300;430012;401200;140;33;0;0;1883136;25706240;0.00;0.00;0.00;7356;100415;431084;401660;135;33;0;0;1799168;25762048;0.00;0.00;0.00;7028;100633;430644;402532;135;33;0;0;1848320;25884160;0.00;0.00;0.00;7220;101110;433320;404440;134;33;0;0;1852928;25923072;0.00;0.00;0.00;7238;101262;434000;405048;135;33;0;0;1838080;25948928;0.00;0.00;0.00;7180;101363;434172;405452;135;33;0;0;1905664;25821184;0.00;0.00;0.00;7444;100864;433232;403456;102;33;0;0;1887232;25679360;0.00;0.00;0.00;7372;100310;430728;401240;103;33;0;0;1816832;25601024;0.00;0.00;0.88;7097;100004;428404;400016;101;33;0;0;1896704;25752064;0.00;0.00;0.00;7409;100594;432012;402376;101;33;0;0;1869824;25789952;0.00;0.00;0.00;7304;100742;432184;402968;101;33;0;0;1842176;25846784;0.00;0.00;0.00;7196;100964;432640;403856;102;33;0;0;
1535307462;2195078336;1843456;25664256;0.00;0.00;0.00;7201;100251;429808;401004;157;40;0;0;1885184;25633024;0.00;0.00;0.00;7364;100129;429972;400516;135;33;0;0;1808640;25605120;0.00;0.00;0.39;7065;100020;428340;400080;134;33;0;0;1836544;25627648;0.00;0.00;0.00;7174;100108;429128;400432;135;33;0;0;1820416;25601280;0.00;0.00;0.85;7111;100005;428464;400020;134;33;0;0;1831424;25640448;0.00;0.00;0.00;7154;100158;429248;400632;135;33;0;0;1881088;25647872;0.00;0.00;0.00;7348;100187;430140;400748;102;33;0;0;1893632;25670400;0.00;0.00;0.00;7397;100275;430688;401100;102;33;0;0;1817600;25804544;0.00;0.00;0.00;7100;100799;431596;403196;101;33;0;0;1902848;25811200;0.00;0.00;0.00;7433;100825;433032;403300;101;33;0;0;1873664;25761792;0.00;0.00;0.00;7319;100632;431804;402528;102;33;0;0;1816320;25707776;0.00;0.00;0.00;7095;100421;430064;401684;102;33;0;0;
1535307463;2195022860;1837568;25665536;0.00;0.00;0.00;7178;100256;429736;401024;136;33;0;0;1876992;25662464;0.00;0.00;0.00;7332;100244;430304;400976;135;33;0;0;1820416;25562112;0.00;0.00;0.00;7111;99852;427852;399408;135;33;0;0;1844736;25462272;0.00;0.00;0.00;7206;99462;426672;397848;136;33;0;0;1819136;25386240;0.00;0.00;0.00;7106;99165;425084;396660;136;33;0;0;1815296;25370880;0.00;0.00;0.00;7091;99105;424784;396420;135;33;0;0;1848320;25334016;0.00;0.00;0.00;7220;98961;424724;395844;101;33;0;0;1874688;25515776;0.00;0.00;0.00;7323;99671;427976;398684;101;33;0;0;1808384;25428224;0.00;0.00;0.00;7064;99329;425572;397316;101;33;0;0;1829632;25339648;0.00;0.00;0.00;7147;98983;424520;395932;103;33;0;0;1858816;25325568;0.00;0.00;0.00;7261;98928;424756;395712;103;33;0;0;1802752;25338112;0.00;0.00;0.00;7042;98977;424076;395908;101;33;0;0;
1535307464;2195037396;1845504;25664000;0.00;0.00;0.00;7209;100250;429836;401000;137;35;0;0;1885440;25678336;0.00;0.00;0.00;7365;100306;430684;401224;135;33;0;0;1825792;25661440;0.00;0.00;0.00;7132;100240;429488;400960;135;33;0;0;1841152;25659904;0.00;0.00;0.00;7192;100234;429704;400936;135;33;0;0;1810176;25627136;0.00;0.00;0.00;7071;100106;428708;400424;135;33;0;0;1809408;25644544;0.00;0.00;0.00;7068;100174;428968;400696;136;33;0;0;1890816;25703936;0.00;0.00;0.00;7386;100406;431168;401624;101;33;0;0;1894144;25705984;0.00;0.00;0.00;7399;100414;431252;401656;101;33;0;0;1813504;25664512;0.00;0.00;0.00;7084;100252;429344;401008;102;33;0;0;1914368;25713664;0.00;0.00;0.00;7478;100444;431688;401776;102;33;0;0;1851136;25644800;0.00;0.00;0.00;7231;100175;429624;400700;102;33;0;0;1812480;25609472;0.00;0.00;0.00;7080;100037;428468;400148;103;33;0;0;
1535307465;2195098518;1851904;25680896;0.00;0.00;0.00;7234;100316;430200;401264;143;33;0;0;1872384;25664512;0.00;0.00;0.00;7314;100252;430264;401008;135;33;0;0;1819648;25644800;0.00;0.00;0.00;7108;100175;429132;400700;135;33;0;0;1857792;25691648;0.00;0.00;0.00;7257;100358;430460;401432;134;33;0;0;1839616;25817856;0.00;0.00;0.00;7186;100851;432148;403404;134;33;0;0;1835264;25926912;0.00;0.00;0.00;7169;101277;433784;405108;135;33;0;0;1913600;25998592;0.00;0.00;0.00;7475;101557;436128;406228;102;33;0;0;1903872;25848064;0.00;0.00;0.00;7437;100969;433624;403876;102;33;0;0;1813760;25731328;0.00;0.00;0.00;7085;100513;430392;402052;103;33;0;0;1877760;25683456;0.00;0.00;0.00;7335;100326;430644;401304;102;33;0;0;1843456;25626880;0.00;0.00;0.00;7201;100105;429224;400420;102;33;0;0;1823232;25646592;0.00;0.00;0.00;7122;100182;429216;400728;102;33;0;0;
1535307466;2195018378;1842944;25666304;0.00;0.00;0.00;7199;100259;429832;401036;134;33;0;0;1889024;25766144;0.00;0.00;0.00;7379;100649;432112;402596;135;33;0;0;1830400;25757440;0.00;0.00;0.00;7150;100615;431060;402460;134;33;0;0;1864960;25775872;0.00;0.00;0.00;7285;100687;431888;402748;135;33;0;0;1830400;25593344;0.00;0.00;0.00;7150;99974;428496;399896;135;33;0;0;1817088;25534464;0.00;0.00;0.00;7098;99744;427368;398976;136;33;0;0;1860864;25494272;0.00;0.00;0.00;7269;99587;427424;398348;101;33;0;0;1884928;25663744;0.00;0.00;0.00;7363;100249;430448;400996;101;33;0;0;1834496;25752576;0.00;0.00;0.00;7166;100596;431048;402384;101;33;0;0;1922816;25862912;0.00;0.00;0.00;7511;101027;434152;404108;102;33;0;0;1882880;25866752;0.00;0.00;0.00;7355;101042;433588;404168;103;33;0;0;1827584;25858304;0.00;0.00;0.00;7139;101009;432592;404036;102;33;0;0;
