# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 14:21:14 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535307675;2195020302;1865216;25760256;0.00;0.00;0.00;7286;100626;431648;402504;135;33;0;0;1886464;25893120;0.00;0.00;0.00;7369;101145;434056;404580;136;33;0;0;1850368;25983744;0.00;0.00;0.00;7228;101499;434908;405996;135;33;0;0;1871616;26031616;0.00;0.00;0.00;7311;101686;435988;406744;136;33;0;0;1857280;26042880;0.00;0.00;0.00;7255;101730;435940;406920;136;33;0;0;1845248;26069760;0.00;0.00;0.00;7208;101835;436172;407340;136;33;0;0;1978880;26148608;0.00;0.00;0.00;7730;102143;439492;408572;103;33;0;0;1908224;26102528;0.00;0.00;0.00;7454;101963;437668;407852;103;33;0;0;1842432;26077440;0.00;0.00;0.00;7197;101865;436248;407460;103;33;0;0;1931776;26121728;0.00;0.00;0.00;7546;102038;438336;408152;102;33;0;0;1897216;26281984;0.00;0.00;0.00;7411;102664;440300;410656;102;33;0;0;1884416;26430208;0.00;0.00;0.00;7361;103243;442416;412972;102;33;0;0;
1535307676;2195133124;1851392;25676288;0.00;0.00;0.00;7232;100298;430120;401192;134;33;0;0;1876224;25665792;0.00;0.00;0.00;7329;100257;430344;401028;134;33;0;0;1830656;25695232;0.00;0.00;0.00;7151;100372;430092;401488;103;33;0;0;1844736;25743360;0.00;0.00;0.00;7206;100560;431064;402240;102;33;0;0;1838592;25711616;0.00;0.00;0.00;7182;100436;430472;401744;102;33;0;0;1820928;25716480;0.00;0.00;0.00;7113;100455;430272;401820;103;33;0;0;2008832;25851392;0.00;0.00;0.00;7847;100982;435316;403928;136;33;0;0;1897728;25771264;0.00;0.00;0.00;7413;100669;432328;402676;136;33;0;0;1833984;25766144;0.00;0.00;0.00;7164;100649;431252;402596;136;33;0;0;1893120;25783040;0.00;0.00;0.00;7395;100715;432440;402860;135;33;0;0;1886976;25610752;0.00;0.00;0.00;7371;100042;429652;400168;135;33;0;0;1803776;25464064;0.00;0.00;0.00;7046;99469;426060;397876;136;33;0;0;
1535307677;2195123336;1831680;25671680;0.00;0.00;0.00;7155;100280;429740;401120;101;33;0;0;1898496;25716480;0.00;0.00;0.00;7416;100455;431484;401820;102;33;0;0;1820672;25691904;0.00;0.00;0.00;7112;100359;429884;401436;102;33;0;0;1834240;25795584;0.00;0.00;0.00;7165;100764;431716;403056;102;33;0;0;1862656;25989120;0.00;0.00;0.00;7276;101520;435184;406080;102;33;0;0;1853184;26174208;0.00;0.00;0.00;7239;102243;437928;408972;102;33;0;0;2055168;26499072;0.00;0.00;0.00;8028;103512;446160;414048;135;33;0;0;1960960;26591232;0.00;0.00;0.00;7660;103872;446128;415488;135;33;0;0;1896960;26753024;0.00;0.00;0.00;7410;104504;447656;418016;135;33;0;0;1952512;26958848;0.00;0.00;0.00;7627;105308;451740;421232;135;33;0;0;1975040;27162112;0.00;0.00;0.00;7715;106102;455268;424408;135;33;0;0;1948928;27354112;0.00;0.00;0.00;7613;106852;457860;427408;135;33;0;0;
1535307678;2195046480;1841152;25666816;0.00;0.00;0.00;7192;100261;429812;401044;101;33;0;0;1888000;25717504;0.00;0.00;0.00;7375;100459;431336;401836;102;33;0;0;1824512;25657600;0.00;0.00;0.00;7127;100225;429408;400900;101;33;0;0;1849088;25524736;0.00;0.00;0.00;7223;99706;427716;398824;102;33;0;0;1842688;25344512;0.00;0.00;0.00;7198;99002;424800;396008;102;33;0;0;1803776;25209088;0.00;0.00;0.00;7046;98473;422076;393892;101;33;0;0;1935616;25254400;0.00;0.00;0.00;7561;98650;424844;394600;134;33;0;0;1842432;25108224;0.00;0.00;0.00;7197;98079;421104;392316;135;33;0;0;1763328;24950272;0.00;0.00;0.00;6888;97462;417400;389848;135;33;0;0;1796352;24804608;0.00;0.00;0.00;7017;96893;415640;387572;134;33;0;0;1798400;24675840;0.00;0.00;0.00;7025;96390;413660;385560;135;33;0;0;1748736;24529664;0.00;0.00;0.00;6831;95819;410600;383276;135;33;0;0;
1535307679;2195107846;1838592;25668352;0.00;0.00;0.00;7182;100267;429796;401068;101;33;0;0;1871104;25707008;0.00;0.00;0.00;7309;100418;430908;401672;102;33;0;0;1819392;25777920;0.00;0.00;0.00;7107;100695;431208;402780;102;33;0;0;1858048;25837312;0.00;0.00;0.00;7258;100927;432740;403708;101;33;0;0;1850368;25828608;0.00;0.00;0.00;7228;100893;432484;403572;102;33;0;0;1841152;25831936;0.00;0.00;0.00;7192;100906;432392;403624;102;33;0;0;2005248;25811968;0.00;0.00;0.00;7833;100828;434644;403312;135;33;0;0;1885184;25773568;0.00;0.00;0.00;7364;100678;432168;402712;134;33;0;0;1836544;25842432;0.00;0.00;0.00;7174;100947;432484;403788;134;33;0;0;1888512;25883904;0.00;0.00;0.00;7377;101109;433944;404436;136;33;0;0;1871616;25845248;0.00;0.00;0.00;7311;100958;433076;403832;135;33;0;0;1834496;25825024;0.00;0.00;0.00;7166;100879;432180;403516;135;33;0;0;
1535307680;2195077720;1845248;25672448;0.00;0.00;0.00;7208;100283;429964;401132;102;33;0;0;1872896;25646592;0.00;0.00;0.00;7316;100182;429992;400728;101;33;0;0;1804544;25552128;0.00;0.00;0.00;7049;99813;427448;399252;102;33;0;0;1828864;25507072;0.00;0.00;0.00;7144;99637;427124;398548;103;33;0;0;1825792;25494016;0.00;0.00;0.00;7132;99586;426872;398344;102;33;0;0;1810176;25482496;0.00;0.00;0.00;7071;99541;426448;398164;101;33;0;0;1981952;25711616;0.00;0.00;0.00;7742;100436;432712;401744;134;33;0;0;1910272;25628672;0.00;0.00;0.00;7462;100112;430296;400448;134;33;0;0;1801728;25525248;0.00;0.00;0.00;7038;99708;426984;398832;135;33;0;0;1882368;25512704;0.00;0.00;0.00;7353;99659;428048;398636;135;33;0;0;1845504;25487872;0.00;0.00;0.00;7209;99562;427084;398248;135;33;0;0;1799168;25457152;0.00;0.00;0.00;7028;99442;425880;397768;135;33;0;0;
1535307681;2195029022;1824256;25596416;0.00;0.00;0.00;7126;99986;428448;399944;101;33;0;0;1846016;25585152;0.00;0.00;0.00;7211;99942;428612;399768;102;33;0;0;1812480;25585664;0.00;0.00;0.00;7080;99944;428096;399776;102;33;0;0;1846272;25607168;0.00;0.00;0.15;7212;100028;428960;400112;102;33;0;0;1814272;25567744;0.00;0.00;0.00;7087;99874;427844;399496;103;33;0;0;1801216;25586944;0.00;0.00;0.00;7036;99949;427940;399796;101;33;0;0;1971456;25690368;0.00;0.00;0.00;7701;100353;432216;401412;134;33;0;0;1889024;25609472;0.00;0.00;0.00;7379;100037;429664;400148;135;33;0;0;1826304;25579776;0.00;0.00;0.00;7134;99921;428220;399684;135;33;0;0;1877248;25597696;0.00;0.00;0.00;7333;99991;429296;399964;135;33;0;0;1870848;25665024;0.00;0.00;0.00;7308;100254;430248;401016;134;33;0;0;1834240;25757696;0.00;0.00;0.00;7165;100616;431124;402464;135;33;0;0;
1535307682;2195040042;1837568;25718784;0.00;0.00;0.00;7178;100464;430568;401856;101;33;0;0;1878016;25714176;0.00;0.00;0.00;7336;100446;431128;401784;102;33;0;0;1811456;25698560;0.00;0.00;0.00;7076;100385;429844;401540;103;33;0;0;1846528;25702656;0.00;0.00;0.00;7213;100401;430456;401604;102;33;0;0;1853696;25708544;0.00;0.00;0.00;7241;100424;430660;401696;103;33;0;0;1834240;25729024;0.00;0.00;0.00;7165;100504;430676;402016;101;33;0;0;2042112;25868800;0.00;0.00;0.00;7977;101050;436108;404200;134;33;0;0;1917440;25758720;0.00;0.00;0.00;7490;100620;432440;402480;135;33;0;0;1802496;25710080;0.00;0.00;0.00;7041;100430;429884;401720;136;33;0;0;1896704;25751040;0.00;0.00;0.00;7409;100590;431996;402360;134;33;0;0;1878528;25814016;0.00;0.00;0.00;7338;100836;432696;403344;135;33;0;0;1820160;25816832;0.00;0.00;0.00;7110;100847;431828;403388;135;33;0;0;
1535307683;2195062746;1841664;25671680;0.00;0.00;0.00;7194;100280;429896;401120;101;33;0;0;1858816;25652480;0.00;0.00;0.00;7261;100205;429864;400820;102;33;0;0;1810432;25636352;0.00;0.00;0.00;7072;100142;428856;400568;102;33;0;0;1825024;25633280;0.00;0.00;0.00;7129;100130;429036;400520;102;33;0;0;1828096;25666048;0.00;0.00;0.00;7141;100258;429596;401032;101;33;0;0;1841664;25821952;0.00;0.00;0.00;7194;100867;432244;403468;101;33;0;0;2028032;25892352;0.00;0.00;0.00;7922;101142;436256;404568;135;33;0;0;1935616;25738496;0.00;0.00;0.00;7561;100541;432408;402164;136;33;0;0;1824512;25641728;0.00;0.00;0.00;7127;100163;429160;400652;135;33;0;0;1901824;25797888;0.00;0.00;0.00;7429;100773;432808;403092;134;33;0;0;1845248;25697280;0.00;0.00;0.00;7208;100380;430352;401520;134;33;0;0;1833216;25676800;0.00;0.00;0.00;7161;100300;429844;401200;136;33;0;0;
1535307684;2195072308;1849600;25679872;0.00;0.00;0.00;7225;100312;430148;401248;101;33;0;0;1850880;25641728;0.00;0.00;0.00;7230;100163;429572;400652;102;33;0;0;1823488;25646080;0.00;0.00;0.00;7123;100180;429212;400720;102;33;0;0;1830912;25636608;0.00;0.00;0.00;7152;100143;429180;400572;102;33;0;0;1832704;25595904;0.00;0.00;0.00;7159;99984;428572;399936;102;33;0;0;1784064;25412352;0.00;0.00;0.00;6969;99267;424944;397068;103;33;0;0;2013696;25449728;0.00;0.00;0.00;7866;99413;429116;397652;135;33;0;0;1887744;25309440;0.00;0.00;0.00;7374;98865;424956;395460;134;33;0;0;1788672;25383936;0.00;0.00;0.00;6987;99156;424572;396624;135;33;0;0;1871616;25391872;0.00;0.00;0.00;7311;99187;425992;396748;134;33;0;0;1838592;25290496;0.00;0.00;0.00;7182;98791;423892;395164;134;33;0;0;1812224;25317888;0.00;0.00;0.00;7079;98898;423908;395592;134;33;0;0;
