# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sat Aug 25 19:25:40 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535239541;2195010930;1825536;25679872;0.00;0.00;0.00;7131;100312;429772;401248;135;33;0;0;1889536;25837312;0.00;0.00;0.00;7381;100927;433232;403708;135;33;0;0;1853696;25940224;0.00;0.00;0.00;7241;101329;434280;405316;136;33;0;0;1867520;26048512;0.00;0.00;0.00;7295;101752;436188;407008;135;33;0;0;1855232;26121728;0.00;0.00;0.00;7247;102038;437140;408152;135;33;0;0;1868032;26260736;0.00;0.00;0.00;7297;102581;439512;410324;135;33;0;0;1932800;26379776;0.00;0.00;0.00;7550;103046;442384;412184;102;33;0;0;1955840;26508032;0.00;0.00;0.00;7640;103547;444748;414188;102;33;0;0;1873152;26565888;0.00;0.00;0.00;7317;103773;444360;415092;102;33;0;0;1958400;26705664;0.00;0.00;0.00;7650;104319;447876;417276;102;33;0;0;1971968;26822912;0.00;0.00;0.00;7703;104777;449920;419108;103;33;0;0;1907456;26905088;0.00;0.00;0.00;7451;105098;450196;420392;102;33;0;0;
1535239542;2194898882;1824256;25595648;0.00;0.00;0.00;7126;99983;428436;399932;136;33;0;0;1832960;25530880;0.00;0.00;0.00;7160;99730;427560;398920;136;33;0;0;1811968;25489920;0.00;0.00;0.00;7078;99570;426592;398280;135;33;0;0;1824256;25441536;0.00;0.00;0.00;7126;99381;426028;397524;136;33;0;0;1775616;25335296;0.00;0.00;0.00;6936;98966;423608;395864;136;33;0;0;1779456;25319424;0.00;0.00;0.00;6951;98904;423420;395616;136;33;0;0;1875200;25314048;0.00;0.00;0.00;7325;98883;424832;395532;103;33;0;0;1851136;25264128;0.00;0.00;0.00;7231;98688;423676;394752;103;33;0;0;1801984;25211648;0.00;0.00;0.00;7039;98483;422088;393932;103;33;0;0;1847808;25173760;0.00;0.00;0.00;7218;98335;422212;393340;103;33;0;0;1818368;25098752;0.00;0.00;0.00;7103;98042;420580;392168;102;33;0;0;1780224;25052672;0.00;0.00;0.00;6954;97862;419264;391448;103;33;0;0;
1535239543;2194951442;1837056;25647872;0.00;0.00;0.00;7176;100187;429452;400748;135;33;0;0;1866496;25646080;0.00;0.00;0.00;7291;100180;429884;400720;135;33;0;0;1814784;25616128;0.00;0.00;0.00;7089;100063;428608;400252;135;33;0;0;1821440;25598208;0.00;0.00;0.00;7115;99993;428432;399972;135;33;0;0;1776128;25522688;0.00;0.00;0.00;6938;99698;426544;398792;135;33;0;0;1817856;25579008;0.00;0.00;0.00;7101;99918;428076;399672;135;33;0;0;1875712;25581312;0.00;0.00;0.00;7327;99927;429016;399708;102;33;0;0;1860096;25563648;0.00;0.00;0.00;7266;99858;428496;399432;102;33;0;0;1844224;25568768;0.00;0.00;0.00;7204;99878;428328;399512;102;33;0;0;1868288;25544704;0.00;0.00;0.00;7298;99784;428328;399136;102;33;0;0;1853696;25511168;0.00;0.00;0.00;7241;99653;427576;398612;102;33;0;0;1826816;25514240;0.00;0.00;0.00;7136;99665;427204;398660;102;33;0;0;
1535239544;2194949554;1858304;25678336;0.00;0.00;0.00;7259;100306;430260;401224;135;33;0;0;1847296;25655552;0.00;0.00;0.00;7216;100217;429732;400868;135;33;0;0;1804800;25644288;0.00;0.00;0.00;7050;100173;428892;400692;135;33;0;0;1832448;25658624;0.00;0.00;0.00;7158;100229;429548;400916;135;33;0;0;1803520;25618176;0.00;0.00;0.00;7045;100071;428464;400284;135;33;0;0;1834240;25672704;0.00;0.00;0.00;7165;100284;429796;401136;135;33;0;0;1867008;25664512;0.00;0.00;0.00;7293;100252;430180;401008;102;33;0;0;1843968;25644800;0.00;0.00;0.00;7203;100175;429512;400700;102;33;0;0;1828864;25668096;0.00;0.00;0.00;7144;100266;429640;401064;102;33;0;0;1856512;25656576;0.00;0.00;0.00;7252;100221;429892;400884;102;33;0;0;1849856;25650432;0.00;0.00;0.00;7226;100197;429692;400788;102;33;0;0;1820160;25656576;0.00;0.00;0.00;7110;100221;429324;400884;102;33;0;0;
1535239545;2194884434;1848064;25674752;0.00;0.00;0.00;7219;100292;430044;401168;135;33;0;0;1851648;25657600;0.00;0.00;0.00;7233;100225;429832;400900;135;33;0;0;1817088;25657344;0.00;0.00;0.00;7098;100224;429288;400896;135;33;0;0;1856768;25678848;0.00;0.00;0.00;7253;100308;430244;401232;135;33;0;0;1795584;25606400;0.00;0.00;0.24;7014;100025;428156;400100;135;33;0;0;1818624;25658368;0.00;0.00;0.00;7104;100228;429328;400912;135;33;0;0;1905664;25692928;0.00;0.00;0.00;7444;100363;431228;401452;102;33;0;0;1901568;25699584;0.00;0.00;0.00;7428;100389;431268;401556;102;33;0;0;1819904;25658112;0.00;0.00;0.00;7109;100227;429344;400908;102;33;0;0;1905920;25694464;0.00;0.00;0.00;7445;100369;431256;401476;102;33;0;0;1885184;25681920;0.00;0.00;0.00;7364;100320;430736;401280;102;33;0;0;1827840;25668608;0.00;0.00;0.00;7140;100268;429632;401072;102;33;0;0;
1535239546;2194886022;1827840;25658112;0.00;0.00;0.00;7140;100227;429468;400908;135;33;0;0;1864448;25667072;0.00;0.00;0.00;7283;100262;430180;401048;135;33;0;0;1810432;25647616;0.00;0.00;0.00;7072;100186;429032;400744;135;33;0;0;1840128;25662976;0.00;0.00;0.00;7188;100246;429736;400984;135;33;0;0;1800192;25612800;0.00;0.00;0.00;7032;100050;428328;400200;135;33;0;0;1816064;25651200;0.00;0.00;0.00;7094;100200;429176;400800;135;33;0;0;1873664;25664000;0.00;0.00;0.00;7319;100250;430276;401000;101;33;0;0;1891328;25683968;0.00;0.00;0.00;7388;100328;430864;401312;102;33;0;0;1815296;25650688;0.00;0.00;0.00;7091;100198;429156;400792;102;33;0;0;1872896;25659392;0.00;0.00;0.00;7316;100232;430192;400928;102;33;0;0;1859584;25659136;0.00;0.00;0.00;7264;100231;429980;400924;102;33;0;0;1839360;25672704;0.00;0.00;0.00;7185;100284;429876;401136;102;33;0;0;
1535239547;2194942158;1841152;25668608;0.00;0.00;0.00;7192;100268;429840;401072;135;33;0;0;1849344;25653248;0.00;0.00;0.00;7224;100208;429728;400832;135;33;0;0;1835776;25673216;0.00;0.00;0.00;7171;100286;429828;401144;135;33;0;0;1841920;25666304;0.00;0.00;0.00;7195;100259;429816;401036;135;33;0;0;1819136;25628416;0.00;0.00;0.00;7106;100111;428868;400444;135;33;0;0;1837056;25673472;0.00;0.00;0.00;7176;100287;429852;401148;135;33;0;0;1899520;25687552;0.00;0.00;0.00;7420;100342;431048;401368;103;33;0;0;1923584;25719552;0.00;0.00;0.00;7514;100467;431924;401868;102;33;0;0;1808384;25646592;0.00;0.00;0.00;7064;100182;428984;400728;102;33;0;0;1900032;25689088;0.00;0.00;0.00;7422;100348;431080;401392;102;33;0;0;1880320;25675008;0.00;0.00;0.00;7345;100293;430552;401172;102;33;0;0;1815040;25653760;0.00;0.00;0.00;7090;100210;429200;400840;102;33;0;0;
1535239548;2194913178;1831168;25655808;0.00;0.00;0.00;7153;100218;429484;400872;135;33;0;0;1853440;25656320;0.00;0.00;0.00;7240;100220;429840;400880;135;33;0;0;1824256;25662720;0.00;0.00;0.00;7126;100245;429484;400980;135;33;0;0;1846272;25668864;0.00;0.00;0.00;7212;100269;429924;401076;135;33;0;0;1823232;25630208;0.00;0.00;0.00;7122;100118;428960;400472;135;33;0;0;1826304;25665536;0.00;0.00;0.00;7134;100256;429560;401024;135;33;0;0;1889280;25683456;0.00;0.00;0.00;7380;100326;430824;401304;102;33;0;0;1892864;25691136;0.00;0.00;0.00;7394;100356;431000;401424;102;33;0;0;1825280;25662976;0.00;0.00;0.00;7130;100246;429504;400984;102;33;0;0;1904128;25697792;0.00;0.00;0.00;7438;100382;431280;401528;102;33;0;0;1866496;25669888;0.00;0.00;0.00;7291;100273;430256;401092;102;33;0;0;1833984;25670656;0.00;0.00;0.00;7164;100276;429760;401104;102;33;0;0;
1535239549;2194949680;1835008;25662720;0.00;0.00;0.00;7168;100245;429652;400980;135;33;0;0;1874688;25674752;0.00;0.00;0.00;7323;100292;430460;401168;135;33;0;0;1813504;25651968;0.00;0.00;0.00;7084;100203;429148;400812;135;33;0;0;1844992;25669632;0.00;0.00;0.00;7207;100272;429916;401088;135;33;0;0;1836544;25648896;0.00;0.00;0.00;7174;100191;429460;400764;135;33;0;0;1823232;25661184;0.00;0.00;0.00;7122;100239;429444;400956;135;33;0;0;1894400;25695488;0.00;0.00;0.00;7400;100373;431092;401492;102;33;0;0;1892864;25693952;0.00;0.00;0.00;7394;100367;431044;401468;102;33;0;0;1832960;25670656;0.00;0.00;0.00;7160;100276;429744;401104;102;33;0;0;1881344;25672704;0.00;0.00;0.00;7349;100284;430532;401136;102;33;0;0;1853696;25655296;0.00;0.00;0.00;7241;100216;429828;400864;103;33;0;0;1817600;25655552;0.00;0.00;0.00;7100;100217;429268;400868;102;33;0;0;
1535239550;2194885420;1847296;25667072;0.00;0.00;0.00;7216;100262;429912;401048;136;33;0;0;1870592;25677056;0.00;0.00;0.00;7307;100301;430432;401204;135;33;0;0;1828864;25667072;0.00;0.00;0.00;7144;100262;429624;401048;135;33;0;0;1836288;25659648;0.00;0.00;0.00;7173;100233;429624;400932;135;33;0;0;1824768;25634816;0.00;0.00;0.00;7128;100136;429056;400544;135;33;0;0;1822976;25661440;0.00;0.00;0.00;7121;100240;429444;400960;135;33;0;0;1900800;25688320;0.00;0.00;0.00;7425;100345;431080;401380;102;33;0;0;1896960;25694208;0.00;0.00;0.00;7410;100368;431112;401472;102;33;0;0;1814016;25653760;0.00;0.00;0.00;7086;100210;429184;400840;102;33;0;0;1876736;25671168;0.00;0.00;0.00;7331;100278;430436;401112;102;33;0;0;1857792;25655808;0.00;0.00;0.00;7257;100218;429900;400872;102;33;0;0;1828608;25667840;0.00;0.00;0.00;7143;100265;429632;401060;102;33;0;0;
