# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sat Aug 25 19:29:21 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535239762;2195013434;1902848;25776896;0.00;0.00;0.00;7433;100691;432496;402764;135;33;0;0;1888000;25893632;0.00;0.00;0.00;7375;101147;434088;404588;135;33;0;0;1845760;25968640;0.00;0.00;0.00;7210;101440;434600;405760;136;33;0;0;1887488;26166272;0.00;0.00;0.00;7373;102212;438340;408848;135;33;0;0;1857536;26243584;0.00;0.00;0.00;7256;102514;439080;410056;135;33;0;0;1863168;26345728;0.00;0.00;0.00;7278;102913;440764;411652;136;33;0;0;1948416;26428160;0.00;0.00;0.00;7611;103235;443384;412940;103;33;0;0;1919488;26439936;0.00;0.00;0.00;7498;103281;443116;413124;103;33;0;0;1889536;26462976;0.00;0.00;0.00;7381;103371;443008;413484;103;33;0;0;1917696;26465024;0.00;0.00;0.00;7491;103379;443480;413516;103;33;0;0;1923840;26477824;0.00;0.00;0.00;7515;103429;443776;413716;103;33;0;0;1875200;26469376;0.00;0.00;0.00;7325;103396;442884;413584;103;33;0;0;
1535239763;2195024084;1905920;25712128;0.00;0.00;0.00;7445;100438;431532;401752;134;33;0;0;1854976;25651968;0.00;0.00;0.00;7246;100203;429796;400812;135;33;0;0;1816064;25645568;0.00;0.00;0.00;7094;100178;429088;400712;135;33;0;0;1806848;25497600;0.00;0.00;0.00;7058;99600;426632;398400;136;33;0;0;1784576;25373440;0.00;0.00;0.00;6971;99115;424344;396460;136;33;0;0;1788672;25350912;0.00;0.00;0.00;6987;99027;424056;396108;135;33;0;0;1859328;25331456;0.00;0.00;0.00;7263;98951;424856;395804;102;33;0;0;1878272;25343232;0.00;0.00;0.00;7337;98997;425336;395988;103;33;0;0;1779712;25270784;0.00;0.00;0.00;6952;98714;422664;394856;103;33;0;0;1847808;25284352;0.00;0.00;0.00;7218;98767;423940;395068;103;33;0;0;1841920;25272320;0.00;0.00;0.00;7195;98720;423660;394880;103;33;0;0;1783552;25260544;0.00;0.00;0.00;6967;98674;422564;394696;103;33;0;0;
1535239764;2195071436;1939456;25736448;0.00;0.00;0.00;7576;100533;432436;402132;134;33;0;0;1875456;25725952;0.00;0.00;0.00;7326;100492;431272;401968;135;33;0;0;1848064;25832448;0.00;0.00;0.00;7219;100908;432508;403632;134;33;0;0;1852928;25960960;0.00;0.00;0.00;7238;101410;434592;405640;134;33;0;0;1814016;26050048;0.00;0.00;0.00;7086;101758;435376;407032;135;33;0;0;1862400;26293760;0.00;0.00;0.00;7275;102710;439940;410840;135;33;0;0;1943296;26458624;0.00;0.00;0.00;7591;103354;443780;413416;102;33;0;0;1950720;26576128;0.00;0.00;0.00;7620;103813;445732;415252;102;33;0;0;1898752;26737152;0.00;0.00;0.00;7417;104442;447436;417768;102;33;0;0;1955328;26893056;0.00;0.00;0.00;7638;105051;450756;420204;102;33;0;0;1974016;27033088;0.00;0.00;0.00;7711;105598;453236;422392;102;33;0;0;1925888;27194112;0.00;0.00;0.00;7523;106227;455000;424908;102;33;0;0;
1535239765;2195041024;1937664;25721088;0.00;0.00;0.00;7569;100473;432168;401892;141;35;0;0;1867520;25677312;0.00;0.00;0.00;7295;100302;430388;401208;134;33;0;0;1816320;25581824;0.00;0.00;0.00;7095;99929;428096;399716;134;33;0;0;1832960;25578496;0.00;0.00;0.00;7160;99916;428304;399664;134;33;0;0;1803264;25472768;0.00;0.00;0.00;7044;99503;426188;398012;134;33;0;0;1797632;25477376;0.00;0.00;0.00;7022;99521;426172;398084;134;33;0;0;1892096;25521664;0.00;0.00;0.00;7391;99694;428340;398776;101;33;0;0;1902848;25516288;0.00;0.00;0.00;7433;99673;428424;398692;101;33;0;0;1797120;25345536;0.00;0.00;0.00;7020;99006;424104;396024;102;33;0;0;1869056;25407488;0.00;0.00;0.00;7301;99248;426196;396992;101;33;0;0;1857024;25406976;0.00;0.00;0.00;7254;99246;426000;396984;101;33;0;0;1784320;25299200;0.00;0.00;0.00;6970;98825;423180;395300;102;33;0;0;
1535239766;2195025558;1958400;25747968;0.00;0.00;0.00;7650;100578;432912;402312;138;33;0;0;1853184;25665792;0.00;0.00;0.00;7239;100257;429984;401028;134;33;0;0;1830400;25662208;0.00;0.00;0.00;7150;100243;429572;400972;134;33;0;0;1840128;25566720;0.00;0.00;0.00;7188;99870;428232;399480;134;33;0;0;1812480;25577472;0.00;0.00;0.00;7080;99912;427968;399648;134;33;0;0;1805312;25570048;0.00;0.00;0.00;7052;99883;427740;399532;134;33;0;0;1865216;25531904;0.00;0.00;0.00;7286;99734;428080;398936;102;33;0;0;1867264;25511936;0.00;0.00;0.00;7294;99656;427800;398624;102;33;0;0;1823488;25605888;0.00;0.00;0.30;7123;100023;428584;400092;101;33;0;0;1882112;25601280;0.00;0.00;0.85;7352;100005;429428;400020;101;33;0;0;1845504;25550592;0.00;0.00;0.00;7209;99807;428064;399228;102;33;0;0;1802240;25551872;0.00;0.00;0.00;7040;99812;427408;399248;101;33;0;0;
1535239767;2195028890;1951232;25739520;0.00;0.00;0.00;7622;100545;432668;402180;140;33;0;0;1850368;25646592;0.00;0.00;0.00;7228;100182;429640;400728;135;33;0;0;1831168;25666304;0.00;0.00;0.00;7153;100259;429648;401036;135;33;0;0;1843200;25763328;0.00;0.00;0.00;7200;100638;431352;402552;134;33;0;0;1801216;25637120;0.00;0.00;0.00;7036;100145;428724;400580;134;33;0;0;1822720;25629696;0.00;0.00;0.00;7120;100116;428944;400464;136;33;0;0;1903872;25719040;0.00;0.00;0.00;7437;100465;431608;401860;102;33;0;0;1894912;25806592;0.00;0.00;0.00;7402;100807;432836;403228;101;33;0;0;1824256;25667328;0.00;0.00;0.00;7126;100263;429556;401052;101;33;0;0;1895936;25603584;0.00;0.00;0.58;7406;100014;429680;400056;102;33;0;0;1872384;25653248;0.00;0.00;0.00;7314;100208;430088;400832;102;33;0;0;1837056;25699328;0.00;0.00;0.00;7176;100388;430256;401552;102;33;0;0;
1535239768;2195065134;1903360;25700096;0.00;0.00;0.00;7435;100391;431304;401564;143;33;0;0;1891328;25683968;0.00;0.00;0.00;7388;100328;430864;401312;135;33;0;0;1822464;25651968;0.00;0.00;0.00;7119;100203;429288;400812;134;33;0;0;1820928;25528064;0.00;0.00;0.00;7113;99719;427328;398876;134;33;0;0;1773824;25550592;0.00;0.00;0.00;6929;99807;426944;399228;135;33;0;0;1821696;25678336;0.00;0.00;0.00;7116;100306;429688;401224;134;33;0;0;1884672;25698816;0.00;0.00;0.00;7362;100386;430992;401544;101;33;0;0;1873408;25687040;0.00;0.00;0.00;7318;100340;430632;401360;101;33;0;0;1826816;25685504;0.00;0.00;0.00;7136;100334;429880;401336;102;33;0;0;1850112;25654528;0.00;0.00;0.00;7227;100213;429760;400852;102;33;0;0;1866496;25652224;0.00;0.00;0.00;7291;100204;429980;400816;101;33;0;0;1821696;25574656;0.00;0.00;0.00;7116;99901;428068;399604;102;33;0;0;
1535239769;2195024568;1975040;25754624;0.00;0.00;0.00;7715;100604;433276;402416;139;33;0;0;1842688;25630976;0.00;0.00;0.00;7198;100121;429276;400484;135;33;0;0;1821184;25648896;0.00;0.00;0.00;7114;100191;429220;400764;136;33;0;0;1865984;25644288;0.00;0.00;0.00;7289;100173;429848;400692;134;33;0;0;1774336;25531392;0.00;0.00;0.00;6931;99732;426652;398928;135;33;0;0;1803520;25511936;0.00;0.00;0.00;7045;99656;426804;398624;136;33;0;0;1886208;25498880;0.00;0.00;0.00;7368;99605;427892;398420;101;33;0;0;1860864;25526016;0.00;0.00;0.00;7269;99711;427920;398844;102;33;0;0;1810944;25551616;0.00;0.00;0.00;7074;99811;427540;399244;102;33;0;0;1861376;25593856;0.00;0.00;0.00;7271;99976;428988;399904;102;33;0;0;1865984;25612544;0.00;0.00;0.00;7289;100049;429352;400196;102;33;0;0;1837568;25701632;0.00;0.00;0.00;7178;100397;430300;401588;101;33;0;0;
1535239770;2195023336;1921280;25715968;0.00;0.00;0.00;7505;100453;431832;401812;145;33;0;0;1867520;25666048;0.00;0.00;0.00;7295;100258;430212;401032;135;33;0;0;1823488;25650688;0.00;0.00;0.00;7123;100198;429284;400792;135;33;0;0;1832960;25648384;0.00;0.00;0.00;7160;100189;429396;400756;134;33;0;0;1791232;25579264;0.00;0.00;0.00;6997;99919;427664;399676;134;33;0;0;1825792;25728000;0.00;0.00;0.00;7132;100500;430528;402000;134;33;0;0;1904128;25768192;0.00;0.00;0.00;7438;100657;432380;402628;102;33;0;0;1884160;25612288;0.00;0.00;0.00;7360;100048;429632;400192;102;33;0;0;1806080;25501440;0.00;0.00;0.00;7055;99615;426680;398460;103;33;0;0;1854208;25444608;0.00;0.00;0.00;7243;99393;426544;397572;101;33;0;0;1843456;25441280;0.00;0.00;0.00;7201;99380;426324;397520;101;33;0;0;1800448;25437952;0.00;0.00;0.00;7033;99367;425600;397468;101;33;0;0;
1535239771;2195021208;1892608;25686016;0.00;0.00;0.00;7393;100336;430916;401344;138;33;0;0;1868800;25659904;0.00;0.00;0.00;7300;100234;430136;400936;135;33;0;0;1812992;25739008;0.00;0.00;0.00;7082;100543;430500;402172;134;33;0;0;1824256;25827072;0.00;0.00;0.00;7126;100887;432052;403548;134;33;0;0;1802752;25725696;0.00;0.00;0.00;7042;100491;430132;401964;134;33;0;0;1819136;25800704;0.00;0.00;0.00;7106;100784;431560;403136;135;33;0;0;1889024;25869312;0.00;0.00;0.00;7379;101052;433724;404208;101;33;0;0;1910016;25916928;0.00;0.00;0.00;7461;101238;434796;404952;101;33;0;0;1839616;26035968;0.00;0.00;0.00;7186;101703;435556;406812;101;33;0;0;1926400;26199552;0.00;0.00;0.00;7525;102342;439468;409368;101;33;0;0;1908224;26090240;0.00;0.00;0.00;7454;101915;437476;407660;101;33;0;0;1860864;26006528;0.00;0.00;0.00;7269;101588;435428;406352;102;33;0;0;
