# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sat Aug 25 19:47:51 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535240872;2195052158;1852160;25734912;0.00;0.00;0.00;7235;100527;431048;402108;135;33;0;0;1895680;25917440;0.00;0.00;0.00;7405;101240;434580;404960;135;33;0;0;1833472;25980672;0.00;0.00;0.00;7162;101487;434596;405948;135;33;0;0;1962496;26127360;0.00;0.00;0.00;7666;102060;438904;408240;136;33;0;0;1827584;26036736;0.00;0.00;0.00;7139;101706;435380;406824;136;33;0;0;1849856;26146560;0.00;0.00;0.00;7226;102135;437444;408540;135;33;0;0;1945088;26352384;0.00;0.00;0.00;7598;102939;442148;411756;102;33;0;0;1940480;26432512;0.00;0.00;0.00;7580;103252;443328;413008;102;33;0;0;1879296;26483712;0.00;0.00;0.00;7341;103452;443172;413808;103;33;0;0;1949696;26536704;0.00;0.00;0.00;7616;103659;445100;414636;103;33;0;0;1941760;26573056;0.00;0.00;0.00;7585;103801;445544;415204;103;33;0;0;1878784;26553856;0.00;0.00;0.00;7339;103726;444260;414904;103;33;0;0;
1535240873;2194991894;1854464;25569536;0.00;0.00;0.00;7244;99881;428500;399524;135;33;0;0;1844224;25449728;0.00;0.00;0.00;7204;99413;426468;397652;136;33;0;0;1801984;25426176;0.00;0.00;0.00;7039;99321;425440;397284;136;33;0;0;1952256;25529856;0.00;0.00;0.00;7626;99726;429408;398904;135;33;0;0;1776896;25396992;0.00;0.00;0.00;6941;99207;424592;396828;135;33;0;0;1823744;25462272;0.00;0.00;0.00;7124;99462;426344;397848;135;33;0;0;1876992;25362176;0.00;0.00;0.00;7332;99071;425612;396284;103;33;0;0;1869568;25321728;0.00;0.00;0.00;7303;98913;424864;395652;103;33;0;0;1795584;25286656;0.00;0.00;0.00;7014;98776;423160;395104;102;33;0;0;1826304;25294080;0.00;0.00;0.00;7134;98805;423756;395220;102;33;0;0;1849344;25349376;0.00;0.00;0.00;7224;99021;424980;396084;103;33;0;0;1807360;25393664;0.00;0.00;0.00;7060;99194;425016;396776;103;33;0;0;
1535240874;2194906184;1878528;25696000;0.00;0.00;0.00;7338;100375;430852;401500;135;33;0;0;1879040;25692160;0.00;0.00;0.00;7340;100360;430800;401440;135;33;0;0;1826304;25683200;0.00;0.00;0.00;7134;100325;429836;401300;135;33;0;0;1897472;25710080;0.00;0.00;0.00;7412;100430;431368;401720;135;33;0;0;1815552;25641728;0.00;0.00;0.00;7092;100163;429020;400652;135;33;0;0;1812736;25666560;0.00;0.00;0.00;7081;100260;429364;401040;135;33;0;0;1879808;25680128;0.00;0.00;0.00;7343;100313;430624;401252;102;33;0;0;1882624;25686016;0.00;0.00;0.00;7354;100336;430760;401344;102;33;0;0;1807104;25647104;0.00;0.00;0.00;7059;100184;428972;400736;102;33;0;0;1893632;25686528;0.00;0.00;0.00;7397;100338;430940;401352;102;33;0;0;1867264;25668864;0.00;0.00;0.00;7294;100269;430252;401076;102;33;0;0;1814784;25643520;0.00;0.00;0.00;7089;100170;429036;400680;102;33;0;0;
1535240875;2194948424;1876736;25772032;0.00;0.00;0.00;7331;100672;432012;402688;134;33;0;0;1884672;25864704;0.00;0.00;0.00;7362;101034;433584;404136;134;33;0;0;1838592;25945344;0.00;0.00;0.00;7182;101349;434124;405396;134;33;0;0;1954560;26105344;0.00;0.00;0.00;7635;101974;438436;407896;134;33;0;0;1858816;26096128;0.00;0.00;0.00;7261;101938;436796;407752;134;33;0;0;1849856;26201856;0.00;0.00;0.00;7226;102351;438308;409404;134;33;0;0;1939712;26325760;0.00;0.00;0.00;7577;102835;441648;411340;101;33;0;0;1974272;26439424;0.00;0.00;0.00;7712;103279;443964;413116;101;33;0;0;1880064;26481408;0.00;0.00;0.00;7344;103443;443148;413772;102;33;0;0;1930752;26571264;0.00;0.00;0.00;7542;103794;445344;415176;101;33;0;0;1944832;26672384;0.00;0.00;0.00;7597;104189;447144;416756;101;33;0;0;1910272;26758912;0.00;0.00;0.00;7462;104527;447956;418108;102;33;0;0;
1535240876;2194988380;1863936;25636608;0.00;0.00;0.00;7281;100143;429696;400572;134;33;0;0;1881088;25617920;0.00;0.00;0.00;7348;100070;429672;400280;135;33;0;0;1823744;25595136;0.00;0.00;0.00;7124;99981;428420;399924;135;33;0;0;1877760;25608960;0.00;0.00;0.00;7335;100035;429480;400140;135;33;0;0;1787392;25517312;0.00;0.00;0.00;6982;99677;426636;398708;135;33;0;0;1824768;25583616;0.00;0.00;0.00;7128;99936;428256;399744;135;33;0;0;1882112;25578240;0.00;0.00;0.00;7352;99915;429068;399660;102;33;0;0;1889024;25594624;0.00;0.00;0.00;7379;99979;429432;399916;102;33;0;0;1797376;25553152;0.00;0.00;0.00;7021;99817;427352;399268;102;33;0;0;1874944;25576192;0.00;0.00;0.00;7324;99907;428924;399628;102;33;0;0;1846528;25561600;0.00;0.00;0.00;7213;99850;428252;399400;101;33;0;0;1815808;25568512;0.00;0.00;0.00;7093;99877;427880;399508;102;33;0;0;
1535240877;2194913958;1842944;25650944;0.00;0.00;0.00;7199;100199;429592;400796;135;33;0;0;1873920;25665024;0.00;0.00;0.00;7320;100254;430296;401016;135;33;0;0;1842176;25679104;0.00;0.00;0.00;7196;100309;430020;401236;135;33;0;0;1963264;25760000;0.00;0.00;0.00;7669;100625;433176;402500;135;33;0;0;1780224;25588736;0.00;0.00;0.00;6954;99956;427640;399824;134;33;0;0;1823744;25660928;0.00;0.00;0.00;7124;100238;429448;400952;135;33;0;0;1898240;25688832;0.00;0.00;0.00;7415;100347;431048;401388;102;33;0;0;1872384;25666304;0.00;0.00;0.00;7314;100259;430292;401036;102;33;0;0;1812224;25648640;0.00;0.00;0.00;7079;100190;429076;400760;102;33;0;0;1887744;25680128;0.00;0.00;0.00;7374;100313;430748;401252;102;33;0;0;1872128;25673728;0.00;0.00;0.00;7313;100288;430404;401152;102;33;0;0;1814016;25653504;0.00;0.00;0.00;7086;100209;429180;400836;102;33;0;0;
1535240878;2194911012;1853952;25663232;0.00;0.00;0.00;7242;100247;429956;400988;134;33;0;0;1874176;25676288;0.00;0.00;0.00;7321;100298;430476;401192;135;33;0;0;1822976;25665536;0.00;0.00;0.00;7121;100256;429508;401024;135;33;0;0;1902592;25707008;0.00;0.00;0.00;7432;100418;431400;401672;135;33;0;0;1810944;25628672;0.00;0.00;0.00;7074;100112;428744;400448;135;33;0;0;1819904;25665024;0.00;0.00;0.00;7109;100254;429452;401016;134;33;0;0;1881856;25684992;0.00;0.00;0.00;7351;100332;430732;401328;103;33;0;0;1899520;25758464;0.00;0.00;0.00;7420;100619;432156;402476;135;33;0;0;1843456;25770496;0.00;0.00;0.00;7201;100666;431468;402664;135;33;0;0;1884672;25726464;0.00;0.00;0.00;7362;100494;431424;401976;135;33;0;0;1875712;25627648;0.00;0.00;0.00;7327;100108;429740;400432;136;33;0;0;1807872;25507072;0.00;0.00;0.00;7062;99637;426796;398548;136;33;0;0;
1535240879;2194920558;1859840;25701120;0.00;0.00;0.00;7265;100395;430640;401580;102;33;0;0;1852416;25687296;0.00;0.00;0.00;7236;100341;430308;401364;102;33;0;0;1819648;25639680;0.00;0.00;0.00;7108;100155;429052;400620;103;33;0;0;1890560;25583360;0.00;0.00;0.00;7385;99935;429280;399740;103;33;0;0;1790720;25536512;0.00;0.00;0.00;6995;99752;426988;399008;101;33;0;0;1829888;25596416;0.00;0.00;0.00;7148;99986;428536;399944;102;33;0;0;1884160;25561856;0.00;0.00;0.00;7360;99851;428844;399404;134;33;0;0;1898496;25420800;0.00;0.00;0.00;7416;99300;426864;397200;135;33;0;0;1784832;25241088;0.00;0.00;0.00;6972;98598;422280;394392;136;33;0;0;1844224;25197056;0.00;0.00;0.00;7204;98426;422520;393704;135;33;0;0;1831680;25323008;0.00;0.00;0.00;7155;98918;424292;395672;134;33;0;0;1805568;25439744;0.00;0.00;0.00;7053;99374;425708;397496;134;33;0;0;
1535240880;2194955430;1836800;25651456;0.00;0.00;0.00;7175;100201;429504;400804;101;33;0;0;1860096;25656064;0.00;0.00;0.00;7266;100219;429940;400876;102;33;0;0;1822720;25649664;0.00;0.00;0.00;7120;100194;429256;400776;102;33;0;0;1916416;25711616;0.00;0.00;0.00;7486;100436;431688;401744;102;33;0;0;1783552;25454080;0.00;0.00;0.00;6967;99430;425588;397720;102;33;0;0;1785856;25360640;0.00;0.00;0.00;6976;99065;424164;396260;103;33;0;0;1832960;25286400;0.00;0.00;0.00;7160;98775;423740;395100;136;33;0;0;1863424;25294336;0.00;0.00;0.00;7279;98806;424340;395224;134;33;0;0;1796864;25405184;0.00;0.00;0.00;7019;99239;425032;396956;134;33;0;0;1865472;25498368;0.00;0.00;0.00;7287;99603;427560;398412;134;33;0;0;1819648;25367808;0.00;0.00;0.00;7108;99093;424804;396372;135;33;0;0;1788416;25261312;0.00;0.00;0.00;6986;98677;422652;394708;136;33;0;0;
1535240881;2195036168;1846016;25663488;0.00;0.00;0.00;7211;100248;429836;400992;102;33;0;0;1903616;25702656;0.00;0.00;0.00;7436;100401;431348;401604;102;33;0;0;1807616;25649408;0.00;0.00;0.00;7061;100193;429016;400772;102;33;0;0;1898240;25702656;0.00;0.00;0.00;7415;100401;431264;401604;102;33;0;0;1801216;25616896;0.00;0.00;0.00;7036;100066;428408;400264;103;33;0;0;1810432;25651968;0.00;0.00;0.00;7072;100203;429100;400812;103;33;0;0;1895168;25695488;0.00;0.00;0.00;7403;100373;431104;401492;135;33;0;0;1881856;25853952;0.00;0.00;0.00;7351;100992;433372;403968;134;33;0;0;1825536;25768704;0.00;0.00;0.00;7131;100659;431160;402636;134;33;0;0;1895168;25767424;0.00;0.00;0.00;7403;100654;432228;402616;136;33;0;0;1868032;25722880;0.00;0.00;0.00;7297;100480;431108;401920;135;33;0;0;1808896;25697024;0.00;0.00;0.00;7066;100379;429780;401516;135;33;0;0;
