# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sat Aug 25 15:31:16 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535225477;2195062898;1846528;25516288;0.00;0.00;0.00;7213;99673;427544;398692;135;33;0;0;1878016;25590272;0.00;0.00;0.00;7336;99962;429192;399848;135;33;0;0;1830144;25719296;0.00;0.00;0.00;7149;100466;430460;401864;134;33;0;0;1840384;25770496;0.00;0.00;0.00;7189;100666;431420;402664;134;33;0;0;1811456;25774336;0.00;0.00;0.00;7076;100681;431028;402724;135;33;0;0;1833728;25808896;0.00;0.00;0.00;7163;100816;431916;403264;135;33;0;0;1888000;25815808;0.00;0.00;0.00;7375;100843;432872;403372;103;33;0;0;1851392;25831168;0.00;0.00;0.00;7232;100903;432540;403612;103;33;0;0;1840384;25820672;0.00;0.00;0.00;7189;100862;432204;403448;103;33;0;0;1867264;25799424;0.00;0.00;0.00;7294;100779;432292;403116;102;33;0;0;1904896;25837568;0.00;0.00;0.00;7441;100928;433476;403712;103;33;0;0;1842944;25668096;0.00;0.00;0.00;7199;100266;429860;401064;102;33;0;0;
1535225478;2195021356;1825536;25656320;0.00;0.00;0.00;7131;100220;429404;400880;134;33;0;0;1860864;25703936;0.00;0.00;0.00;7269;100406;430700;401624;134;33;0;0;1829888;25710080;0.00;0.00;0.00;7148;100430;430312;401720;134;33;0;0;1849088;25741056;0.00;0.00;0.00;7223;100551;431096;402204;135;33;0;0;1817344;25709312;0.00;0.00;0.00;7099;100427;430104;401708;134;33;0;0;1815552;25857536;0.00;0.00;0.00;7092;101006;432392;404024;134;33;0;0;1888768;25982208;0.00;0.00;0.00;7378;101493;435484;405972;101;33;0;0;1855232;26072320;0.00;0.00;0.00;7247;101845;436368;407380;102;33;0;0;1861120;26258432;0.00;0.00;0.00;7270;102572;439368;410288;102;33;0;0;1943808;26384640;0.00;0.00;0.00;7593;103065;442632;412260;102;33;0;0;1914880;26439424;0.00;0.00;0.00;7480;103279;443036;413116;102;33;0;0;1891840;26635776;0.00;0.00;0.00;7390;104046;445744;416184;102;33;0;0;
1535225479;2195106614;1843968;25671680;0.00;0.00;0.00;7203;100280;429932;401120;134;33;0;0;1862400;25641984;0.00;0.00;0.00;7275;100164;429756;400656;134;33;0;0;1809408;25535744;0.00;0.00;0.00;7068;99749;427268;398996;134;33;0;0;1837568;25467904;0.00;0.00;0.00;7178;99484;426648;397936;135;33;0;0;1784832;25351168;0.00;0.00;0.00;6972;99028;424000;396112;135;33;0;0;1779200;25245952;0.00;0.00;0.00;6950;98617;422268;394468;135;33;0;0;1827584;25128192;0.00;0.00;0.00;7139;98157;421184;392628;103;33;0;0;1804800;25048576;0.00;0.00;0.00;7050;97846;419584;391384;102;33;0;0;1785344;24860672;0.00;0.00;0.00;6974;97112;416344;388448;102;33;0;0;1826816;24759552;0.00;0.00;0.00;7136;96717;415412;386868;103;33;0;0;1808128;24667904;0.00;0.00;0.00;7063;96359;413688;385436;102;33;0;0;1746432;24477696;0.00;0.00;0.00;6822;95616;409752;382464;102;33;0;0;
1535225480;2195028120;1844224;25676288;0.00;0.00;0.00;7204;100298;430008;401192;143;33;0;0;1868288;25659392;0.00;0.00;0.00;7298;100232;430120;400928;135;33;0;0;1817088;25649664;0.00;0.00;0.00;7098;100194;429168;400776;135;33;0;0;1828352;25639168;0.00;0.00;0.00;7142;100153;429180;400612;135;33;0;0;1802752;25598976;0.00;0.00;0.00;7042;99996;428152;399984;135;33;0;0;1822720;25639936;0.00;0.00;0.00;7120;100156;429104;400624;136;33;0;0;1835008;25617664;0.00;0.00;0.00;7168;100069;428948;400276;103;33;0;0;1820416;25641984;0.00;0.00;0.00;7111;100164;429100;400656;103;33;0;0;1822720;25646848;0.00;0.00;0.00;7120;100183;429212;400732;103;33;0;0;1868800;25653248;0.00;0.00;0.00;7300;100208;430032;400832;103;33;0;0;1907456;25851392;0.00;0.00;0.00;7451;100982;433732;403928;102;33;0;0;1825792;25955328;0.00;0.00;0.00;7132;101388;434080;405552;102;33;0;0;
1535225481;2195075686;1845760;25665536;0.00;0.00;0.00;7210;100256;429864;401024;149;33;0;0;1874944;25646848;0.00;0.00;0.00;7324;100183;430028;400732;135;33;0;0;1839104;25654784;0.00;0.00;0.00;7184;100214;429592;400856;136;33;0;0;1820672;25613824;0.00;0.00;0.00;7112;100054;428664;400216;135;33;0;0;1815552;25585408;0.00;0.00;0.00;7092;99943;428140;399772;135;33;0;0;1841408;25638912;0.00;0.00;0.00;7193;100152;429380;400608;136;33;0;0;1867776;25614336;0.00;0.00;0.00;7296;100056;429408;400224;103;33;0;0;1813248;25604096;0.00;0.00;0.52;7083;100016;428396;400064;103;33;0;0;1815040;25604352;0.00;0.00;0.48;7090;100017;428428;400068;103;33;0;0;1870336;25612800;0.00;0.00;0.00;7306;100050;429424;400200;103;33;0;0;1860864;25443584;0.00;0.00;0.00;7269;99389;426632;397556;102;33;0;0;1805824;25452032;0.00;0.00;0.00;7054;99422;425904;397688;102;33;0;0;
1535225482;2195058642;1854720;25679872;0.00;0.00;0.00;7245;100312;430228;401248;141;33;0;0;1848576;25646592;0.00;0.00;0.00;7221;100182;429612;400728;135;33;0;0;1828352;25655808;0.00;0.00;0.00;7142;100218;429440;400872;135;33;0;0;1824512;25648384;0.00;0.00;0.00;7127;100189;429264;400756;135;33;0;0;1807104;25624320;0.00;0.00;0.00;7059;100095;428616;400380;135;33;0;0;1804288;25637376;0.00;0.00;0.00;7048;100146;428776;400584;136;33;0;0;1849856;25644032;0.00;0.00;0.00;7226;100172;429592;400688;103;33;0;0;1823232;25666560;0.00;0.00;0.00;7122;100260;429528;401040;102;33;0;0;1834240;25854976;0.00;0.00;0.00;7165;100996;432644;403984;102;33;0;0;1892096;25950976;0.00;0.00;0.00;7391;101371;435048;405484;102;33;0;0;1919232;26041600;0.00;0.00;0.00;7497;101725;436888;406900;103;33;0;0;1823232;25860352;0.00;0.00;0.00;7122;101017;432556;404068;102;33;0;0;
1535225483;2195056658;1831168;25653248;0.00;0.00;0.00;7153;100208;429444;400832;143;33;0;0;1860352;25676544;0.00;0.00;0.00;7267;100299;430264;401196;135;33;0;0;1824256;25681408;0.00;0.00;0.00;7126;100318;429776;401272;135;33;0;0;1843968;25701632;0.00;0.00;0.00;7203;100397;430400;401588;135;33;0;0;1815296;25655552;0.00;0.00;0.00;7091;100217;429232;400868;136;33;0;0;1829632;25708800;0.00;0.00;0.00;7147;100425;430288;401700;136;33;0;0;1889280;25730048;0.00;0.00;0.00;7380;100508;431552;402032;103;33;0;0;1803776;25687296;0.00;0.00;0.00;7046;100341;429548;401364;102;33;0;0;1798400;25508864;0.00;0.00;0.00;7025;99644;426676;398576;102;33;0;0;1883136;25631232;0.00;0.00;0.00;7356;100122;429912;400488;102;33;0;0;1871104;25682688;0.00;0.00;0.00;7309;100323;430528;401292;101;33;0;0;1835008;25741824;0.00;0.00;0.00;7168;100554;430888;402216;101;33;0;0;
1535225484;2195048064;1817856;25639168;0.00;0.00;0.00;7101;100153;429016;400612;145;33;0;0;1884160;25704192;0.00;0.00;0.00;7360;100407;431068;401628;135;33;0;0;1810176;25674496;0.00;0.00;0.00;7071;100291;429448;401164;134;33;0;0;1847552;25707776;0.00;0.00;0.00;7217;100421;430552;401684;135;33;0;0;1778432;25623552;0.00;0.00;0.00;6947;100092;428156;400368;136;33;0;0;1836544;25716736;0.00;0.00;0.00;7174;100456;430520;401824;136;33;0;0;1869568;25706752;0.00;0.00;0.00;7303;100417;430880;401668;103;33;0;0;1835520;25702400;0.00;0.00;0.00;7170;100400;430280;401600;103;33;0;0;1826560;25699328;0.00;0.00;0.00;7135;100388;430092;401552;103;33;0;0;1856000;25519616;0.00;0.00;0.00;7250;99686;427744;398744;102;33;0;0;1862400;25394944;0.00;0.00;0.00;7275;99199;425896;396796;103;33;0;0;1787136;25289216;0.00;0.00;0.00;6981;98786;423068;395144;103;33;0;0;
1535225485;2195018046;1851904;25675776;0.00;0.00;0.00;7234;100296;430120;401184;137;33;0;0;1872128;25668864;0.00;0.00;0.00;7313;100269;430328;401076;134;33;0;0;1807872;25646080;0.00;0.00;0.00;7062;100180;428968;400720;135;33;0;0;1831680;25654016;0.00;0.00;0.00;7155;100211;429464;400844;135;33;0;0;1794560;25609472;0.00;0.00;0.00;7010;100037;428188;400148;135;33;0;0;1821696;25662208;0.00;0.00;0.00;7116;100243;429436;400972;135;33;0;0;1874688;25656064;0.00;0.00;0.00;7323;100219;430168;400876;103;33;0;0;1822208;25658880;0.00;0.00;0.00;7118;100230;429392;400920;102;33;0;0;1836288;25849856;0.00;0.00;0.00;7173;100976;432596;403904;102;33;0;0;1922560;26016512;0.00;0.00;0.00;7510;101627;436548;406508;102;33;0;0;1890560;26081280;0.00;0.00;0.00;7385;101880;437060;407520;102;33;0;0;1866240;26130432;0.00;0.00;0.00;7290;102072;437448;408288;103;33;0;0;
1535225486;2195064872;1839360;25665536;0.00;0.00;0.00;7185;100256;429764;401024;135;33;0;0;1873152;25700864;0.00;0.00;0.00;7317;100394;430844;401576;134;33;0;0;1817856;25679104;0.00;0.00;0.00;7101;100309;429640;401236;135;33;0;0;1825792;25665536;0.00;0.00;0.00;7132;100256;429552;401024;135;33;0;0;1813504;25642496;0.00;0.00;0.00;7084;100166;429000;400664;135;33;0;0;1818368;25683712;0.00;0.00;0.00;7103;100327;429720;401308;137;33;0;0;1864704;25683200;0.00;0.00;0.00;7284;100325;430436;401300;103;33;0;0;1823232;25680128;0.00;0.00;0.00;7122;100313;429740;401252;102;33;0;0;1813248;25501184;0.00;0.00;0.00;7083;99614;426788;398456;102;33;0;0;1862912;25379328;0.00;0.00;0.00;7277;99138;425660;396552;103;33;0;0;1832448;25274112;0.00;0.00;0.00;7158;98727;423540;394908;103;33;0;0;1793024;25232128;0.00;0.00;0.00;7004;98563;422268;394252;102;33;0;0;
