# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sat Aug 25 15:42:12 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535226133;2195013378;1822464;25558784;0.00;0.00;0.00;7119;99839;427832;399356;134;33;0;0;1862400;25648896;0.00;0.00;0.00;7275;100191;429864;400764;134;33;0;0;1826560;25688320;0.00;0.00;0.00;7135;100345;429920;401380;135;33;0;0;1840128;25713920;0.00;0.00;0.00;7188;100445;430532;401780;136;33;0;0;1827584;25722880;0.00;0.00;0.00;7139;100480;430476;401920;136;33;0;0;1839872;25762560;0.00;0.00;0.00;7187;100635;431288;402540;136;33;0;0;1876736;25771776;0.00;0.00;0.00;7331;100671;432008;402684;103;33;0;0;1917696;25796096;0.00;0.00;0.00;7491;100766;433028;403064;103;33;0;0;1836544;25766912;0.00;0.00;0.00;7174;100652;431304;402608;103;33;0;0;2152448;26008320;0.00;0.00;0.00;8408;101595;440012;406380;103;33;0;0;1882624;25780224;0.00;0.00;0.00;7354;100704;432232;402816;103;33;0;0;1830656;25761792;0.00;0.00;0.00;7151;100632;431132;402528;103;33;0;0;
1535226134;2194965738;1841152;25565440;0.00;0.00;0.00;7192;99865;428228;399460;135;33;0;0;1838848;25495808;0.00;0.00;0.00;7183;99593;427104;398372;136;33;0;0;1792512;25469952;0.00;0.00;0.00;7002;99492;425976;397968;135;33;0;0;1836544;25514752;0.00;0.00;0.00;7174;99667;427364;398668;135;33;0;0;1802752;25490688;0.00;0.00;0.00;7042;99573;426460;398292;136;33;0;0;1827584;25595392;0.00;0.00;0.00;7139;99982;428484;399928;136;33;0;0;1869568;25659648;0.00;0.00;0.00;7303;100233;430144;400932;103;33;0;0;1896704;25731840;0.00;0.00;0.00;7409;100515;431696;402060;103;33;0;0;1833472;25762816;0.00;0.00;0.00;7162;100636;431192;402544;103;33;0;0;2170112;26082048;0.00;0.00;0.00;8477;101883;441440;407532;103;33;0;0;1889536;25895680;0.00;0.00;0.00;7381;101155;434144;404620;103;33;0;0;1832192;25931008;0.00;0.00;0.00;7157;101293;433800;405172;103;33;0;0;
1535226135;2194965856;1846272;25664000;0.00;0.00;0.00;7212;100250;429848;401000;135;33;0;0;1860608;25641984;0.00;0.00;0.00;7268;100164;429728;400656;135;33;0;0;1822976;25643008;0.00;0.00;0.00;7121;100168;429156;400672;135;33;0;0;1823488;25626112;0.00;0.00;0.00;7123;100102;428900;400408;135;33;0;0;1783296;25568000;0.00;0.00;0.00;6966;99875;427364;399500;135;33;0;0;1821184;25624576;0.00;0.00;0.00;7114;100096;428840;400384;135;33;0;0;1865472;25628672;0.00;0.00;0.00;7287;100112;429596;400448;102;33;0;0;1880832;25626624;0.00;0.00;0.00;7347;100104;429804;400416;102;33;0;0;1807360;25592576;0.00;0.00;0.00;7060;99971;428124;399884;102;33;0;0;2085632;25793024;0.00;0.00;0.00;8147;100754;435604;403016;102;33;0;0;1871360;25611008;0.00;0.00;0.00;7310;100043;429412;400172;102;33;0;0;1837312;25605120;0.00;0.00;0.39;7177;100020;428788;400080;102;33;0;0;
1535226136;2194948168;1825024;25710336;0.00;0.00;0.00;7129;100431;430240;401724;134;33;0;0;1867776;25792256;0.00;0.00;0.00;7296;100751;432188;403004;134;33;0;0;1842432;25864448;0.00;0.00;0.00;7197;101033;432920;404132;134;33;0;0;1880576;25946368;0.00;0.00;0.00;7346;101353;434796;405412;134;33;0;0;1830144;25947648;0.00;0.00;0.00;7149;101358;434028;405432;134;33;0;0;1859072;26065408;0.00;0.00;0.00;7262;101818;436320;407272;134;33;0;0;1899520;26130432;0.00;0.00;0.00;7420;102072;437968;408288;101;33;0;0;1920256;26207488;0.00;0.00;0.00;7501;102373;439496;409492;101;33;0;0;1869568;26265344;0.00;0.00;0.00;7303;102599;439608;410396;101;33;0;0;2077952;26458624;0.00;0.00;0.00;8117;103354;445884;413416;101;33;0;0;1927936;26413056;0.00;0.00;0.00;7531;103176;442828;412704;101;33;0;0;1864192;26450432;0.00;0.00;0.00;7282;103322;442416;413288;101;33;0;0;
1535226137;2194920092;1818112;25646080;0.00;0.00;0.00;7102;100180;429128;400720;135;33;0;0;1869056;25666816;0.00;0.00;0.00;7301;100261;430248;401044;135;33;0;0;1811456;25643520;0.00;0.00;0.00;7076;100170;428984;400680;135;33;0;0;1847808;25666304;0.00;0.00;0.00;7218;100259;429908;401036;136;33;0;0;1793280;25604352;0.00;0.00;0.48;7005;100017;428088;400068;136;33;0;0;1823232;25656576;0.00;0.00;0.00;7122;100221;429372;400884;135;33;0;0;1880064;25676800;0.00;0.00;0.00;7344;100300;430576;401200;102;33;0;0;1895936;25685248;0.00;0.00;0.00;7406;100333;430956;401332;103;33;0;0;1841408;25670912;0.00;0.00;0.00;7193;100277;429880;401108;102;33;0;0;1960704;25726464;0.00;0.00;0.00;7659;100494;432612;401976;102;33;0;0;1867264;25665280;0.00;0.00;0.00;7294;100255;430196;401020;102;33;0;0;1822464;25650432;0.00;0.00;0.00;7119;100197;429264;400788;102;33;0;0;
1535226138;2194909818;1833728;25655296;0.00;0.00;0.00;7163;100216;429516;400864;135;33;0;0;1879808;25671424;0.00;0.00;0.00;7343;100279;430488;401116;135;33;0;0;1822464;25661184;0.00;0.00;0.00;7119;100239;429432;400956;135;33;0;0;1821696;25652224;0.00;0.00;0.00;7116;100204;429280;400816;134;33;0;0;1799936;25612544;0.00;0.00;0.00;7031;100049;428320;400196;134;33;0;0;1819648;25657344;0.00;0.00;0.00;7108;100224;429328;400896;135;33;0;0;1850624;25655808;0.00;0.00;0.00;7229;100218;429788;400872;102;33;0;0;1894144;25682176;0.00;0.00;0.00;7399;100321;430880;401284;102;33;0;0;1821952;25660672;0.00;0.00;0.00;7117;100237;429416;400948;102;33;0;0;1958656;25730304;0.00;0.00;0.00;7651;100509;432640;402036;102;33;0;0;1883904;25684480;0.00;0.00;0.00;7359;100330;430756;401320;102;33;0;0;1833216;25671168;0.00;0.00;0.00;7161;100278;429756;401112;103;33;0;0;
1535226139;2194976066;1858048;25683456;0.00;0.00;0.00;7258;100326;430336;401304;135;33;0;0;1869312;25668608;0.00;0.00;0.00;7302;100268;430280;401072;135;33;0;0;1813504;25652480;0.00;0.00;0.00;7084;100205;429156;400820;135;33;0;0;1851392;25674752;0.00;0.00;0.00;7232;100292;430096;401168;135;33;0;0;1781760;25593856;0.00;0.00;0.00;6960;99976;427744;399904;136;33;0;0;1825280;25662464;0.00;0.00;0.00;7130;100244;429496;400976;135;33;0;0;1822208;25632512;0.00;0.00;0.00;7118;100127;428980;400508;102;33;0;0;1867008;25675776;0.00;0.00;0.00;7293;100296;430356;401184;102;33;0;0;1823232;25665280;0.00;0.00;0.00;7122;100255;429508;401020;101;33;0;0;2001920;25783808;0.00;0.00;0.00;7820;100718;434152;402872;102;33;0;0;1864192;25667840;0.00;0.00;0.00;7282;100265;430188;401060;102;33;0;0;1820416;25661696;0.00;0.00;0.00;7111;100241;429408;400964;102;33;0;0;
1535226140;2194969682;1851648;25676288;0.00;0.00;0.00;7233;100298;430124;401192;135;33;0;0;1885952;25680896;0.00;0.00;0.00;7367;100316;430732;401264;135;33;0;0;1811968;25652992;0.00;0.00;0.00;7078;100207;429140;400828;135;33;0;0;1834752;25665024;0.00;0.00;0.00;7167;100254;429684;401016;135;33;0;0;1817856;25636352;0.00;0.00;0.00;7101;100142;428972;400568;135;33;0;0;1809408;25652736;0.00;0.00;0.00;7068;100206;429096;400824;135;33;0;0;1865728;25665024;0.00;0.00;0.00;7288;100254;430168;401016;102;33;0;0;1857536;25667072;0.00;0.00;0.00;7256;100262;430072;401048;102;33;0;0;1837568;25676800;0.00;0.00;0.00;7178;100300;429912;401200;102;33;0;0;1958656;25731072;0.00;0.00;0.00;7651;100512;432652;402048;102;33;0;0;1861120;25666048;0.00;0.00;0.00;7270;100258;430112;401032;102;33;0;0;1825536;25661696;0.00;0.00;0.00;7131;100241;429488;400964;103;33;0;0;
1535226141;2194980970;1849088;25668864;0.00;0.00;0.00;7223;100269;429968;401076;135;33;0;0;1867008;25670400;0.00;0.00;0.00;7293;100275;430272;401100;135;33;0;0;1838848;25673472;0.00;0.00;0.00;7183;100287;429880;401148;135;33;0;0;1861376;25680384;0.00;0.00;0.00;7271;100314;430340;401256;135;33;0;0;1784320;25589504;0.00;0.00;0.00;6970;99959;427716;399836;134;33;0;0;1814528;25646592;0.00;0.00;0.00;7088;100182;429080;400728;135;33;0;0;1856512;25654528;0.00;0.00;0.00;7252;100213;429860;400852;102;33;0;0;1909248;25694464;0.00;0.00;0.00;7458;100369;431308;401476;103;33;0;0;1825792;25658368;0.00;0.00;0.00;7132;100228;429440;400912;102;33;0;0;2006272;25771264;0.00;0.00;0.00;7837;100669;434024;402676;102;33;0;0;1853696;25647104;0.00;0.00;0.00;7241;100184;429700;400736;102;33;0;0;1814784;25642752;0.00;0.00;0.00;7089;100167;429024;400668;102;33;0;0;
1535226142;2194970592;1831680;25657088;0.00;0.00;0.00;7155;100223;429512;400892;135;33;0;0;1890048;25689344;0.00;0.00;0.00;7383;100349;430928;401396;135;33;0;0;1806848;25645824;0.00;0.00;0.00;7058;100179;428948;400716;135;33;0;0;1821952;25646592;0.00;0.00;0.00;7117;100182;429196;400728;135;33;0;0;1826560;25633792;0.00;0.00;0.00;7135;100132;429068;400528;135;33;0;0;1809152;25643008;0.00;0.00;0.00;7067;100168;428940;400672;135;33;0;0;1872640;25664768;0.00;0.00;0.00;7315;100253;430272;401012;102;33;0;0;1909760;25699328;0.00;0.00;0.00;7460;100388;431392;401552;102;33;0;0;1808640;25639680;0.00;0.00;0.00;7065;100155;428880;400620;102;33;0;0;2009088;25762560;0.00;0.00;0.00;7848;100635;433932;402540;102;33;0;0;1884672;25677824;0.00;0.00;0.00;7362;100304;430664;401216;102;33;0;0;1813760;25645568;0.00;0.00;0.00;7085;100178;429052;400712;102;33;0;0;
