# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sat Aug 25 08:34:10 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535200451;2195015548;1837568;25709824;0.00;0.00;0.00;7178;100429;430428;401716;135;33;0;0;1890304;25833984;0.00;0.00;0.00;7384;100914;433192;403656;135;33;0;0;1856768;25899264;0.00;0.00;0.00;7253;101169;433688;404676;136;33;0;0;1830912;25911808;0.00;0.00;0.00;7152;101218;433480;404872;136;33;0;0;1920256;25957632;0.00;0.00;0.00;7501;101397;435592;405588;136;33;0;0;1847808;25961216;0.00;0.00;0.00;7218;101411;434516;405644;136;33;0;0;1988096;26046720;0.00;0.00;0.00;7766;101745;438044;406980;103;33;0;0;1916160;25994240;0.00;0.00;0.00;7485;101540;436100;406160;103;33;0;0;1864192;25972480;0.00;0.00;0.00;7282;101455;434948;405820;103;33;0;0;2052608;26095872;0.00;0.00;0.00;8018;101937;439820;407748;103;33;0;0;1906688;25996800;0.00;0.00;0.00;7448;101550;435992;406200;103;33;0;0;1842176;25959936;0.00;0.00;0.00;7196;101406;434408;405624;103;33;0;0;
1535200452;2195103922;1851392;25716480;0.00;0.00;0.00;7232;100455;430748;401820;134;33;0;0;1852672;25724928;0.00;0.00;0.00;7237;100488;430900;401952;135;33;0;0;1819392;25707520;0.00;0.00;0.00;7107;100420;430108;401680;135;33;0;0;1835520;25725184;0.00;0.00;0.00;7170;100489;430636;401956;135;33;0;0;1881344;25744384;0.00;0.00;0.00;7349;100564;431652;402256;135;33;0;0;1844480;25940992;0.00;0.00;0.00;7205;101332;434148;405328;135;33;0;0;1997056;26159360;0.00;0.00;0.00;7801;102185;439944;408740;102;33;0;0;1905152;26153472;0.00;0.00;0.00;7442;102162;438416;408648;102;33;0;0;1878272;26203392;0.00;0.00;0.00;7337;102357;438776;409428;103;33;0;0;2068736;26375680;0.00;0.00;0.00;8081;103030;444444;412120;102;33;0;0;1911808;26297600;0.00;0.00;0.00;7468;102725;440772;410900;102;33;0;0;1884672;26466816;0.00;0.00;0.00;7362;103386;442992;413544;102;33;0;0;
1535200453;2195029332;1864960;25646848;0.00;0.00;0.00;7285;100183;429872;400732;134;33;0;0;1853696;25615872;0.00;0.00;0.00;7241;100062;429212;400248;135;33;0;0;1832704;25638656;0.00;0.00;0.00;7159;100151;429240;400604;135;33;0;0;1839104;25784576;0.00;0.00;0.00;7184;100721;431620;402884;134;33;0;0;1895168;25851648;0.00;0.00;0.00;7403;100983;433544;403932;134;33;0;0;1859840;25800960;0.00;0.00;0.00;7265;100785;432200;403140;134;33;0;0;1968896;25791488;0.00;0.00;0.00;7691;100748;433756;402992;103;33;0;0;1872384;25673728;0.00;0.00;0.00;7314;100288;430408;401152;103;33;0;0;1825280;25622272;0.00;0.00;0.00;7130;100087;428868;400348;102;33;0;0;2015232;25721856;0.00;0.00;0.00;7872;100476;433392;401904;103;33;0;0;1875968;25573888;0.00;0.00;0.00;7328;99898;428904;399592;102;33;0;0;1782016;25355008;0.00;0.00;0.00;6961;99043;424016;396172;103;33;0;0;
1535200454;2195036304;1857536;25683456;0.00;0.00;0.00;7256;100326;430328;401304;137;34;0;0;1856768;25672704;0.00;0.00;0.00;7253;100284;430148;401136;135;33;0;0;1834752;25683200;0.00;0.00;0.00;7167;100325;429968;401300;135;33;0;0;1827584;25578496;0.00;0.00;0.00;7139;99916;428220;399664;135;33;0;0;1873408;25472000;0.00;0.00;0.00;7318;99500;427272;398000;136;33;0;0;1823232;25449728;0.00;0.00;0.00;7122;99413;426140;397652;136;33;0;0;1973248;25544448;0.00;0.00;0.00;7708;99783;429964;399132;102;33;0;0;1890816;25492480;0.00;0.00;0.00;7386;99580;427864;398320;102;33;0;0;1813760;25485312;0.00;0.00;0.00;7085;99552;426548;398208;103;33;0;0;2025984;25681664;0.00;0.00;0.00;7914;100319;432932;401276;103;33;0;0;1864448;25591040;0.00;0.00;0.00;7283;99965;428992;399860;103;33;0;0;1812992;25612032;0.00;0.00;0.00;7082;100047;428516;400188;103;33;0;0;
1535200455;2195088944;1824000;25710848;0.00;0.00;0.00;7125;100433;430232;401732;137;33;0;0;1876480;25783552;0.00;0.00;0.00;7330;100717;432188;402868;135;33;0;0;1836032;25804032;0.00;0.00;0.00;7172;100797;431876;403188;135;33;0;0;1846784;25825792;0.00;0.00;0.00;7214;100882;432384;403528;136;33;0;0;1934336;25840640;0.00;0.00;0.00;7556;100940;433984;403760;136;33;0;0;1820672;25808896;0.00;0.00;0.00;7112;100816;431712;403264;136;33;0;0;1990400;25922048;0.00;0.00;0.00;7775;101258;436132;405032;103;33;0;0;1894912;25852672;0.00;0.00;0.00;7402;100987;433556;403948;103;33;0;0;1843456;25833728;0.00;0.00;0.00;7201;100913;432456;403652;103;33;0;0;2037504;25976576;0.00;0.00;0.00;7959;101471;437720;405884;103;33;0;0;1886976;25843968;0.00;0.00;0.00;7371;100953;433296;403812;103;33;0;0;1823744;25821440;0.00;0.00;0.00;7124;100865;431956;403460;103;33;0;0;
1535200456;2195161416;1832192;25658112;0.00;0.00;0.00;7157;100227;429536;400908;136;33;0;0;1865216;25655552;0.00;0.00;0.00;7286;100217;430012;400868;135;33;0;0;1821696;25628672;0.00;0.00;0.00;7116;100112;428912;400448;135;33;0;0;1836544;25641728;0.00;0.00;0.00;7174;100163;429348;400652;135;33;0;0;1914624;25639168;0.00;0.00;0.00;7479;100153;430528;400612;136;33;0;0;1821952;25624576;0.00;0.00;0.00;7117;100096;428852;400384;136;33;0;0;2024960;25755392;0.00;0.00;0.00;7910;100607;434068;402428;103;33;0;0;1894912;25660416;0.00;0.00;0.00;7402;100236;430552;400944;103;33;0;0;1836032;25633280;0.00;0.00;0.00;7172;100130;429208;400520;103;33;0;0;2004992;25745408;0.00;0.00;0.00;7832;100568;433600;402272;104;33;0;0;1871616;25637632;0.00;0.00;0.00;7311;100147;429832;400588;103;33;0;0;1827840;25634048;0.00;0.00;0.00;7140;100133;429092;400532;103;33;0;0;
1535200457;2195101708;1843712;25670656;0.00;0.00;0.00;7202;100276;429912;401104;139;33;0;0;1875200;25664512;0.00;0.00;0.00;7325;100252;430308;401008;135;33;0;0;1822208;25646336;0.00;0.00;0.00;7118;100181;429196;400724;135;33;0;0;1812224;25636352;0.00;0.00;0.00;7079;100142;428884;400568;136;33;0;0;1916672;25664000;0.00;0.00;0.00;7487;100250;430948;401000;136;33;0;0;1839104;25664512;0.00;0.00;0.00;7184;100252;429744;401008;136;33;0;0;2015488;25779200;0.00;0.00;0.00;7873;100700;434292;402800;103;33;0;0;1881856;25671680;0.00;0.00;0.00;7351;100280;430524;401120;103;33;0;0;1817088;25638400;0.00;0.00;0.00;7098;100150;428992;400600;103;33;0;0;2000384;25770752;0.00;0.00;0.00;7814;100667;433924;402668;102;33;0;0;1860608;25657600;0.00;0.00;0.00;7268;100225;429972;400900;103;33;0;0;1826560;25657856;0.00;0.00;0.00;7135;100226;429444;400904;103;33;0;0;
1535200458;2195122170;1839104;25668864;0.00;0.00;0.00;7184;100269;429812;401076;145;40;0;0;1873920;25664512;0.00;0.00;0.00;7320;100252;430288;401008;135;33;0;0;1817344;25632256;0.00;0.00;0.00;7099;100126;428900;400504;135;33;0;0;1830400;25636608;0.00;0.00;0.00;7150;100143;429172;400572;136;33;0;0;1906688;25649920;0.00;0.00;0.00;7448;100195;430572;400780;136;33;0;0;1833216;25648896;0.00;0.00;0.00;7161;100191;429408;400764;136;33;0;0;2027264;25786624;0.00;0.00;0.00;7919;100729;434592;402916;103;33;0;0;1893120;25667072;0.00;0.00;0.00;7395;100262;430628;401048;103;33;0;0;1846528;25656064;0.00;0.00;0.00;7213;100219;429728;400876;103;33;0;0;2034944;25792000;0.00;0.00;0.00;7949;100750;434796;403000;103;33;0;0;1867776;25648640;0.00;0.00;0.00;7296;100190;429944;400760;103;33;0;0;1825280;25640704;0.00;0.00;0.00;7130;100159;429156;400636;103;33;0;0;
1535200459;2195080484;1819648;25634816;0.00;0.00;0.00;7108;100136;428976;400544;137;33;0;0;1873664;25661952;0.00;0.00;0.00;7319;100242;430244;400968;135;33;0;0;1819904;25620736;0.00;0.00;0.00;7109;100081;428760;400324;135;33;0;0;1839616;25640960;0.00;0.00;0.00;7186;100160;429384;400640;136;33;0;0;1913856;25637888;0.00;0.00;0.00;7476;100148;430496;400592;136;33;0;0;1829120;25633536;0.00;0.00;0.00;7145;100131;429104;400524;136;33;0;0;2017280;25927424;0.00;0.00;0.00;7880;101279;436636;405116;102;33;0;0;1896704;25953536;0.00;0.00;0.00;7409;101381;435160;405524;102;33;0;0;1868544;26018304;0.00;0.00;0.00;7299;101634;435732;406536;103;33;0;0;2056960;26300160;0.00;0.00;0.00;8035;102735;443080;410940;102;33;0;0;1906432;26239488;0.00;0.00;0.00;7447;102498;439780;409992;103;33;0;0;1873408;26278912;0.00;0.00;0.00;7318;102652;439880;410608;103;33;0;0;
1535200460;2195160290;1838336;25668864;0.00;0.00;0.00;7181;100269;429800;401076;136;33;0;0;1839360;25648640;0.00;0.00;0.00;7185;100190;429500;400760;135;33;0;0;1859328;25820416;0.00;0.00;0.00;7263;100861;432496;403444;134;33;0;0;1854464;25894912;0.00;0.00;0.00;7244;101152;433584;404608;136;33;0;0;1929728;25958656;0.00;0.00;0.00;7538;101401;435756;405604;135;33;0;0;1847552;25969152;0.00;0.00;0.00;7217;101442;434636;405768;136;33;0;0;2078464;25983488;0.00;0.00;0.00;8119;101498;438468;405992;102;33;0;0;1908480;25708800;0.00;0.00;0.00;7455;100425;431520;401700;103;33;0;0;1826816;25603328;0.00;0.00;0.61;7136;100013;428596;400052;102;33;0;0;1989120;25549824;0.00;0.00;0.00;7770;99804;430296;399216;103;33;0;0;1872640;25407744;0.00;0.00;0.00;7315;99249;426256;396996;102;33;0;0;1805824;25342976;0.00;0.00;0.00;7054;98996;424200;395984;102;33;0;0;
