# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sat Aug 25 09:29:58 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535203799;2195056814;1830400;25729280;0.00;0.00;0.00;7150;100505;430620;402020;135;33;0;0;1886208;25889024;0.00;0.00;0.00;7368;101129;433988;404516;135;33;0;0;1822464;25944832;0.00;0.00;0.00;7119;101347;433864;405388;136;33;0;0;1866752;25998336;0.00;0.00;0.00;7292;101556;435392;406224;136;33;0;0;1827840;25980160;0.00;0.00;0.00;7140;101485;434500;405940;136;33;0;0;1846528;26037504;0.00;0.00;0.00;7213;101709;435688;406836;136;33;0;0;1900288;26044416;0.00;0.00;0.00;7423;101736;436636;406944;103;33;0;0;1927936;26076160;0.00;0.00;0.00;7531;101860;437564;407440;103;33;0;0;1851904;26050048;0.00;0.00;0.00;7234;101758;435968;407032;103;33;0;0;1906176;26060032;0.00;0.00;0.00;7446;101797;436972;407188;103;33;0;0;1891840;26087680;0.00;0.00;0.00;7390;101905;437180;407620;102;33;0;0;1870336;26275584;0.00;0.00;0.00;7306;102639;439780;410556;102;33;0;0;
1535203800;2195028110;1820672;25650944;0.00;0.00;0.00;7112;100199;429244;400796;134;33;0;0;1846272;25654272;0.00;0.00;0.00;7212;100212;429696;400848;135;33;0;0;1828096;25765632;0.00;0.00;0.00;7141;100647;431152;402588;134;33;0;0;1865216;25881856;0.00;0.00;0.00;7286;101101;433548;404404;134;33;0;0;1814784;25878272;0.00;0.00;0.00;7089;101087;432704;404348;135;33;0;0;1851136;26096128;0.00;0.00;0.00;7231;101938;436676;407752;135;33;0;0;1909760;26188544;0.00;0.00;0.00;7460;102299;439036;409196;102;33;0;0;1925120;26358784;0.00;0.00;0.00;7520;102964;441936;411856;102;33;0;0;1852672;26458368;0.00;0.00;0.00;7237;103353;442360;413412;102;33;0;0;1938432;26679040;0.00;0.00;0.00;7572;104215;447148;416860;102;33;0;0;1956096;26813440;0.00;0.00;0.00;7641;104740;449524;418960;101;33;0;0;1909248;26788608;0.00;0.00;0.00;7458;104643;448404;418572;101;33;0;0;
1535203801;2195055596;1826304;25649408;0.00;0.00;0.00;7134;100193;429308;400772;134;33;0;0;1893120;25679360;0.00;0.00;0.00;7395;100310;430820;401240;134;33;0;0;1801216;25524992;0.00;0.00;0.00;7036;99707;426972;398828;135;33;0;0;1833984;25462784;0.00;0.00;0.00;7164;99464;426512;397856;136;33;0;0;1757184;25327104;0.00;0.00;0.00;6864;98934;423192;395736;135;33;0;0;1788416;25225472;0.00;0.00;0.00;6986;98537;422092;394148;135;33;0;0;1817600;25133312;0.00;0.00;0.00;7100;98177;421108;392708;102;33;0;0;1844224;25020160;0.00;0.00;0.00;7204;97735;419756;390940;102;33;0;0;1764864;24859904;0.00;0.00;0.00;6894;97109;416012;388436;102;33;0;0;1800960;24689408;0.00;0.00;0.00;7035;96443;413912;385772;102;33;0;0;1793280;24532224;0.00;0.00;0.00;7005;95829;411336;383316;102;33;0;0;1723136;24354304;0.00;0.00;0.00;6731;95134;407460;380536;102;33;0;0;
1535203802;2195064850;1839104;25714944;0.00;0.00;0.00;7184;100449;430532;401796;142;36;0;0;1861376;25757696;0.00;0.00;0.00;7271;100616;431548;402464;136;33;0;0;1838848;25791488;0.00;0.00;0.00;7183;100748;431724;402992;135;33;0;0;1843456;25817088;0.00;0.00;0.00;7201;100848;432196;403392;135;33;0;0;1815040;25805312;0.00;0.00;0.00;7090;100802;431568;403208;136;33;0;0;1830912;25889024;0.00;0.00;0.00;7152;101129;433124;404516;136;33;0;0;1890816;25943296;0.00;0.00;0.00;7386;101341;434908;405364;103;33;0;0;1899520;25989888;0.00;0.00;0.00;7420;101523;435772;406092;103;33;0;0;1840640;26014464;0.00;0.00;0.00;7190;101619;435236;406476;103;33;0;0;1932288;26260480;0.00;0.00;0.00;7548;102580;440512;410320;102;33;0;0;1903872;26322176;0.00;0.00;0.00;7437;102821;441032;411284;103;33;0;0;1866496;26384128;0.00;0.00;0.00;7291;103063;441416;412252;103;33;0;0;
1535203803;2195070070;1853696;25671424;0.00;0.00;0.00;7241;100279;430080;401116;146;34;0;0;1882624;25716736;0.00;0.00;0.00;7354;100456;431240;401824;134;33;0;0;1832448;25716480;0.00;0.00;0.00;7158;100455;430452;401820;135;33;0;0;1843200;25715968;0.00;0.00;0.00;7200;100453;430612;401812;136;33;0;0;1800960;25672448;0.00;0.00;0.00;7035;100283;429272;401132;136;33;0;0;1820416;25715968;0.00;0.00;0.00;7111;100453;430256;401812;136;33;0;0;1874688;25722112;0.00;0.00;0.00;7323;100477;431200;401908;103;33;0;0;1889024;25767936;0.00;0.00;0.00;7379;100656;432140;402624;102;33;0;0;1844480;25950208;0.00;0.00;0.00;7205;101368;434292;405472;102;33;0;0;1878272;25870848;0.00;0.00;0.00;7337;101058;433580;404232;102;33;0;0;1866496;25864448;0.00;0.00;0.00;7291;101033;433296;404132;102;33;0;0;1835264;25874432;0.00;0.00;0.00;7169;101072;432964;404288;103;33;0;0;
1535203804;2195081786;1851136;25676032;0.00;0.00;0.00;7231;100297;430112;401188;147;33;0;0;1872640;25663744;0.00;0.00;0.00;7315;100249;430256;400996;135;33;0;0;1810688;25644032;0.00;0.00;0.00;7073;100172;428980;400688;135;33;0;0;1841664;25666560;0.00;0.00;0.00;7194;100260;429816;401040;135;33;0;0;1786368;25589760;0.00;0.00;0.00;6978;99960;427752;399840;136;33;0;0;1812480;25638912;0.00;0.00;0.00;7080;100152;428928;400608;136;33;0;0;1879808;25658368;0.00;0.00;0.00;7343;100228;430284;400912;103;33;0;0;1900288;25645056;0.00;0.00;0.00;7423;100176;430396;400704;102;33;0;0;1811200;25434368;0.00;0.00;0.00;7075;99353;425712;397412;103;33;0;0;1877504;25365248;0.00;0.00;0.00;7334;99083;425668;396332;103;33;0;0;1837568;25297664;0.00;0.00;0.00;7178;98819;423988;395276;102;33;0;0;1798656;25281280;0.00;0.00;0.00;7026;98755;423124;395020;102;33;0;0;
1535203805;2195139164;1851136;25672960;0.00;0.00;0.00;7231;100285;430064;401140;146;34;0;0;1878272;25672448;0.00;0.00;0.00;7337;100283;430480;401132;135;33;0;0;1820672;25650688;0.00;0.00;0.00;7112;100198;429240;400792;135;33;0;0;1833216;25649664;0.00;0.00;0.00;7161;100194;429420;400776;135;33;0;0;1808640;25605888;0.00;0.00;0.30;7065;100023;428352;400092;136;33;0;0;1827840;25649920;0.00;0.00;0.00;7140;100195;429340;400780;136;33;0;0;1839360;25626880;0.00;0.00;0.00;7185;100105;429160;400420;103;33;0;0;1857792;25639680;0.00;0.00;0.00;7257;100155;429648;400620;103;33;0;0;1827072;25649152;0.00;0.00;0.00;7137;100192;429316;400768;103;33;0;0;1884928;25658368;0.00;0.00;0.00;7363;100228;430364;400912;102;33;0;0;1864192;25646848;0.00;0.00;0.00;7282;100183;429860;400732;103;33;0;0;1813248;25621248;0.00;0.00;0.00;7083;100083;428664;400332;102;33;0;0;
1535203806;2195070706;1832704;25630208;0.00;0.00;0.00;7159;100118;429108;400472;147;33;0;0;1859328;25629440;0.00;0.00;0.00;7263;100115;429512;400460;135;33;0;0;1823488;25638400;0.00;0.00;0.00;7123;100150;429092;400600;135;33;0;0;1835776;25638912;0.00;0.00;0.00;7171;100152;429292;400608;135;33;0;0;1807872;25594624;0.00;0.00;0.00;7062;99979;428164;399916;136;33;0;0;1830144;25644544;0.00;0.00;0.00;7149;100174;429292;400696;136;33;0;0;1844480;25623552;0.00;0.00;0.00;7205;100092;429188;400368;103;33;0;0;1878784;25665792;0.00;0.00;0.00;7339;100257;430384;401028;103;33;0;0;1810944;25625344;0.00;0.00;0.00;7074;100099;428692;400396;103;33;0;0;1876224;25646592;0.00;0.00;0.00;7329;100182;430044;400728;103;33;0;0;1849856;25631488;0.00;0.00;0.00;7226;100123;429396;400492;103;33;0;0;1822208;25639168;0.00;0.00;0.00;7118;100153;429084;400612;103;33;0;0;
1535203807;2195158470;1849088;25698304;0.00;0.00;0.00;7223;100384;430428;401536;152;33;0;0;1864192;25677568;0.00;0.00;0.00;7282;100303;430340;401212;135;33;0;0;1832448;25656576;0.00;0.00;0.00;7158;100221;429516;400884;134;33;0;0;1827840;25642496;0.00;0.00;0.00;7140;100166;429224;400664;135;33;0;0;1807872;25607168;0.00;0.00;0.15;7062;100028;428360;400112;136;33;0;0;1806336;25635840;0.00;0.00;0.00;7056;100140;428784;400560;135;33;0;0;1898240;25833472;0.00;0.00;0.00;7415;100912;433308;403648;102;33;0;0;1914880;25971200;0.00;0.00;0.00;7480;101450;435720;405800;102;33;0;0;1841408;26011136;0.00;0.00;0.00;7193;101606;435196;406424;103;33;0;0;1917184;26053632;0.00;0.00;0.00;7489;101772;437044;407088;103;33;0;0;1863424;26047232;0.00;0.00;0.00;7279;101747;436104;406988;103;33;0;0;1852160;26222080;0.00;0.00;0.00;7235;102430;438660;409720;102;33;0;0;
1535203808;2195133336;1845760;25663744;0.00;0.00;0.00;7210;100249;429836;400996;144;33;0;0;1872896;25700608;0.00;0.00;0.00;7316;100393;430836;401572;136;33;0;0;1825536;25692416;0.00;0.00;0.00;7131;100361;429968;401444;136;33;0;0;1850624;25708032;0.00;0.00;0.00;7229;100422;430604;401688;136;33;0;0;1804032;25658624;0.00;0.00;0.00;7047;100229;429104;400916;136;33;0;0;1813248;25689088;0.00;0.00;0.00;7083;100348;429724;401392;135;33;0;0;1860096;25517824;0.00;0.00;0.00;7266;99679;427780;398716;103;33;0;0;1880576;25435136;0.00;0.00;0.00;7346;99356;426808;397424;103;33;0;0;1800448;25338112;0.00;0.00;0.00;7033;98977;424040;395908;102;33;0;0;1851136;25326336;0.00;0.00;0.00;7231;98931;424648;395724;102;33;0;0;1855744;25464064;0.00;0.00;0.00;7249;99469;426872;397876;103;33;0;0;1817600;25323008;0.00;0.00;0.00;7100;98918;424072;395672;102;33;0;0;
