# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 07:10:14 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535281815;2195020628;1843968;25694976;0.00;0.00;0.00;7203;100371;430296;401484;135;33;0;0;1900032;25859072;0.00;0.00;0.00;7422;101012;433736;404048;135;33;0;0;1838592;25923584;0.00;0.00;0.00;7182;101264;433784;405056;135;33;0;0;1857792;25970432;0.00;0.00;0.00;7257;101447;434816;405788;136;33;0;0;1810944;25946112;0.00;0.00;0.00;7074;101352;433704;405408;136;33;0;0;1847296;26026496;0.00;0.00;0.00;7216;101666;435528;406664;136;33;0;0;1906944;26050048;0.00;0.00;0.00;7449;101758;436828;407032;103;33;0;0;1931520;26074112;0.00;0.00;0.00;7545;101852;437588;407408;103;33;0;0;1839616;26028544;0.00;0.00;0.00;7186;101674;435440;406696;103;33;0;0;1928448;26065920;0.00;0.00;0.00;7533;101820;437412;407280;103;33;0;0;1912832;26063616;0.00;0.00;0.00;7472;101811;437132;407244;103;33;0;0;1860608;26046464;0.00;0.00;0.00;7268;101744;436048;406976;103;33;0;0;
1535281816;2195105268;1841920;25710336;0.00;0.00;0.00;7195;100431;430504;401724;134;33;0;0;1892352;25803776;0.00;0.00;0.00;7392;100796;432752;403184;135;33;0;0;1854208;25831424;0.00;0.00;0.00;7243;100904;432588;403616;135;33;0;0;1857280;25854464;0.00;0.00;0.00;7255;100994;432996;403976;134;33;0;0;1804800;25814016;0.00;0.00;0.00;7050;100836;431544;403344;135;33;0;0;1824256;25893888;0.00;0.00;0.00;7126;101148;433096;404592;136;33;0;0;1913344;25985792;0.00;0.00;0.00;7474;101507;435924;406028;103;33;0;0;1906432;26041600;0.00;0.00;0.00;7447;101725;436688;406900;103;33;0;0;1843712;26070784;0.00;0.00;0.00;7202;101839;436164;407356;103;33;0;0;1909248;26146304;0.00;0.00;0.00;7458;102134;438368;408536;103;33;0;0;1910272;26200320;0.00;0.00;0.00;7462;102345;439228;409380;103;33;0;0;1869568;26259968;0.00;0.00;0.00;7303;102578;439524;410312;103;33;0;0;
1535281817;2194897832;1859328;25896960;0.00;0.00;0.00;7263;101160;433692;404640;135;33;0;0;1879552;25779200;0.00;0.00;0.00;7342;100700;432168;402800;135;33;0;0;1834240;25729024;0.00;0.00;0.00;7165;100504;430676;402016;135;33;0;0;1834752;25711360;0.00;0.00;0.00;7167;100435;430408;401740;136;33;0;0;1809152;25692928;0.00;0.00;0.00;7067;100363;429720;401452;135;33;0;0;1837568;25766656;0.00;0.00;0.00;7178;100651;431316;402604;135;33;0;0;1919232;25825536;0.00;0.00;0.00;7497;100881;433512;403524;102;33;0;0;1868288;25804288;0.00;0.00;0.00;7298;100798;432384;403192;102;33;0;0;1816832;25809920;0.00;0.00;0.00;7097;100820;431668;403280;102;33;0;0;1911040;25881600;0.00;0.00;0.00;7465;101100;434260;404400;102;33;0;0;1906176;25896704;0.00;0.00;0.00;7446;101159;434420;404636;102;33;0;0;1832960;25889536;0.00;0.00;0.00;7160;101131;433164;404524;102;33;0;0;
1535281818;2194970270;1819648;25446912;0.00;0.00;0.00;7108;99402;426040;397608;134;33;0;0;1852160;25618688;0.00;0.00;0.00;7235;100073;429232;400292;134;33;0;0;1836288;25796608;0.00;0.00;0.00;7173;100768;431764;403072;134;33;0;0;1850880;25964288;0.00;0.00;0.00;7230;101423;434612;405692;134;33;0;0;1812736;26078464;0.00;0.00;0.00;7081;101869;435800;407476;133;33;0;0;1887744;26333952;0.00;0.00;0.00;7374;102867;440964;411468;101;33;0;0;1923584;26396160;0.00;0.00;0.00;7514;103110;442496;412440;134;33;0;0;1916160;26404352;0.00;0.00;0.00;7485;103142;442508;412568;135;33;0;0;1870080;26389248;0.00;0.00;0.00;7305;103083;441552;412332;134;33;0;0;1945856;26525696;0.00;0.00;0.00;7601;103616;444868;414464;134;33;0;0;1936896;26548480;0.00;0.00;0.00;7566;103705;445084;414820;134;33;0;0;1879296;26639872;0.00;0.00;0.00;7341;104062;445612;416248;134;33;0;0;
1535281819;2195052856;1833216;25634048;0.00;0.00;0.00;7161;100133;429176;400532;101;33;0;0;1858816;25590784;0.00;0.00;0.00;7261;99964;428900;399856;102;33;0;0;1805312;25476864;0.00;0.00;0.00;7052;99519;426284;398076;101;33;0;0;1830912;25431808;0.00;0.00;0.00;7152;99343;425980;397372;102;33;0;0;1789184;25275904;0.00;0.00;0.00;6989;98734;422892;394936;101;33;0;0;1771264;25150720;0.00;0.00;0.00;6919;98245;420656;392980;101;33;0;0;1841664;25206272;0.00;0.00;0.00;7194;98462;422624;393848;135;33;0;0;1860096;25281280;0.00;0.00;0.00;7266;98755;424084;395020;134;33;0;0;1783552;25246720;0.00;0.00;0.00;6967;98620;422348;394480;135;33;0;0;1857536;25147392;0.00;0.00;0.00;7256;98232;421952;392928;134;33;0;0;1872640;25246208;0.00;0.00;0.00;7315;98618;423732;394472;135;33;0;0;1786880;25134336;0.00;0.00;0.00;6980;98181;420644;392724;134;33;0;0;
1535281820;2195083642;1818880;25629184;0.00;0.00;0.00;7105;100114;428876;400456;101;33;0;0;1858816;25603840;0.00;0.00;0.55;7261;100015;429104;400060;101;33;0;0;1829888;25645568;0.00;0.00;0.00;7148;100178;429304;400712;102;33;0;0;1798912;25562368;0.00;0.00;0.00;7027;99853;427520;399412;101;33;0;0;1782016;25475584;0.00;0.00;0.00;6961;99514;425900;398056;102;33;0;0;1806848;25473792;0.00;0.00;0.00;7058;99507;426260;398028;103;33;0;0;1842176;25327872;0.00;0.00;0.00;7196;98937;424532;395748;136;33;0;0;1851136;25231872;0.00;0.00;0.00;7231;98562;423172;394248;136;33;0;0;1792768;25136128;0.00;0.00;0.00;7003;98188;420764;392752;135;33;0;0;1840128;25077504;0.00;0.00;0.00;7188;97959;420588;391836;136;33;0;0;1818880;24890368;0.00;0.00;0.00;7105;97228;417332;388912;135;33;0;0;1758976;24764672;0.00;0.00;0.00;6871;96737;414432;386948;136;33;0;0;
1535281821;2195024040;1856256;25679872;0.00;0.00;0.00;7251;100312;430252;401248;101;33;0;0;1882624;25695744;0.00;0.00;0.00;7354;100374;430912;401496;101;33;0;0;1824768;25612544;0.00;0.00;0.00;7128;100049;428708;400196;101;33;0;0;1847296;25650432;0.00;0.00;0.00;7216;100197;429652;400788;102;33;0;0;1810176;25605888;0.00;0.00;0.30;7071;100023;428376;400092;102;33;0;0;1821952;25715200;0.00;0.00;0.00;7117;100450;430268;401800;101;33;0;0;1884672;25815808;0.00;0.00;0.00;7362;100843;432820;403372;134;33;0;0;1890560;25869056;0.00;0.00;0.00;7385;101051;433744;404204;136;33;0;0;1818112;25871616;0.00;0.00;0.00;7102;101061;432652;404244;136;33;0;0;1926656;26099200;0.00;0.00;0.00;7526;101950;437904;407800;135;33;0;0;1932544;26253824;0.00;0.00;0.00;7549;102554;440412;410216;135;33;0;0;1869568;26331392;0.00;0.00;0.00;7303;102857;440640;411428;135;33;0;0;
1535281822;2195107130;1851648;25684224;0.00;0.00;0.00;7233;100329;430248;401316;101;33;0;0;1892096;25693440;0.00;0.00;0.00;7391;100365;431024;401460;102;33;0;0;1815552;25644544;0.00;0.00;0.00;7092;100174;429064;400696;101;33;0;0;1861120;25680128;0.00;0.00;0.00;7270;100313;430332;401252;102;33;0;0;1822464;25622272;0.00;0.00;0.00;7119;100087;428824;400348;102;33;0;0;1818880;25593344;0.00;0.00;0.00;7105;99974;428316;399896;102;33;0;0;1895680;25568000;0.00;0.00;0.00;7405;99875;429120;399500;136;33;0;0;1877760;25564416;0.00;0.00;0.00;7335;99861;428784;399444;134;33;0;0;1841152;25697024;0.00;0.00;0.00;7192;100379;430284;401516;134;33;0;0;1876224;25638144;0.00;0.00;0.00;7329;100149;429912;400596;134;33;0;0;1855744;25551104;0.00;0.00;0.00;7249;99809;428232;399236;135;33;0;0;1797120;25499392;0.00;0.00;0.00;7020;99607;426508;398428;136;33;0;0;
1535281823;2195053802;1839616;25654272;0.00;0.00;0.00;7186;100212;429592;400848;101;33;0;0;1869312;25694208;0.00;0.00;0.00;7302;100368;430680;401472;102;33;0;0;1828608;25713152;0.00;0.00;0.00;7143;100442;430340;401768;101;33;0;0;1826048;25603584;0.00;0.00;0.58;7133;100014;428588;400056;102;33;0;0;1776640;25499904;0.00;0.00;0.00;6940;99609;426196;398436;103;33;0;0;1805312;25526784;0.00;0.00;0.00;7052;99714;427064;398856;102;33;0;0;1862400;25487616;0.00;0.00;0.00;7275;99561;427344;398244;135;33;0;0;1869056;25438976;0.00;0.00;0.00;7301;99371;426688;397484;135;33;0;0;1782272;25223936;0.00;0.00;0.00;6962;98531;421972;394124;135;33;0;0;1837824;25114368;0.00;0.00;0.00;7179;98103;421128;392412;136;33;0;0;1798144;25001216;0.00;0.00;0.00;7024;97661;418740;390644;136;33;0;0;1783808;24969984;0.00;0.00;0.00;6968;97539;418028;390156;135;33;0;0;
1535281824;2195064906;1838336;25666048;0.00;0.00;0.00;7181;100258;429756;401032;101;33;0;0;1859072;25624576;0.00;0.00;0.00;7262;100096;429432;400384;101;33;0;0;1809152;25572352;0.00;0.00;0.00;7067;99892;427836;399568;103;33;0;0;1830400;25539840;0.00;0.00;0.00;7150;99765;427660;399060;102;33;0;0;1768192;25486592;0.00;0.00;0.00;6907;99557;425856;398228;101;33;0;0;1821440;25698304;0.00;0.00;0.00;7115;100384;429996;401536;101;33;0;0;1901568;25844480;0.00;0.00;0.00;7428;100955;433532;403820;135;33;0;0;1908992;25922560;0.00;0.00;0.00;7457;101260;434868;405040;136;33;0;0;1833216;25956608;0.00;0.00;0.00;7161;101393;434216;405572;136;33;0;0;1899776;26043648;0.00;0.00;0.00;7421;101733;436616;406932;136;33;0;0;1930240;26123008;0.00;0.00;0.00;7540;102043;438332;408172;135;33;0;0;1856000;26267904;0.00;0.00;0.00;7250;102609;439436;410436;135;33;0;0;
