# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 07:11:14 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535281875;2195104186;1849856;25742080;0.00;0.00;0.00;7226;100555;431124;402220;135;33;0;0;1865728;25876736;0.00;0.00;0.00;7288;101081;433476;404324;135;33;0;0;1823488;25947136;0.00;0.00;0.00;7123;101356;433916;405424;135;33;0;0;1857024;26022656;0.00;0.00;0.00;7254;101651;435620;406604;136;33;0;0;1821440;25999104;0.00;0.00;0.00;7115;101559;434696;406236;136;33;0;0;1843200;26080512;0.00;0.00;0.00;7200;101877;436308;407508;136;33;0;0;1896192;26096896;0.00;0.00;0.00;7407;101941;437392;407764;103;33;0;0;1912320;26117632;0.00;0.00;0.00;7470;102022;437968;408088;103;33;0;0;1849600;26091520;0.00;0.00;0.00;7225;101920;436580;407680;103;33;0;0;1909504;26107136;0.00;0.00;0.00;7459;101981;437760;407924;103;33;0;0;1908736;26105600;0.00;0.00;0.00;7456;101975;437724;407900;103;33;0;0;1851648;26095104;0.00;0.00;0.00;7233;101934;436668;407736;103;33;0;0;
1535281876;2195075058;1842432;25662208;0.00;0.00;0.00;7197;100243;429760;400972;134;33;0;0;1870336;25657600;0.00;0.00;0.00;7306;100225;430124;400900;135;33;0;0;1812224;25640704;0.00;0.00;0.00;7079;100159;428952;400636;135;33;0;0;1865984;25792000;0.00;0.00;0.00;7289;100750;432156;403000;134;33;0;0;1807616;25791488;0.00;0.00;0.00;7061;100748;431236;402992;134;33;0;0;1861376;25912576;0.00;0.00;0.00;7271;101221;433968;404884;135;33;0;0;1887232;26011392;0.00;0.00;0.00;7372;101607;435916;406428;102;33;0;0;1944064;26121216;0.00;0.00;0.00;7594;102036;438520;408144;103;33;0;0;1853696;26134528;0.00;0.00;0.00;7241;102088;437316;408352;103;33;0;0;1917440;26175488;0.00;0.00;0.00;7490;102248;438952;408992;103;33;0;0;1917440;26230528;0.00;0.00;0.00;7490;102463;439812;409852;102;33;0;0;1864448;26386688;0.00;0.00;0.00;7283;103073;441424;412292;102;33;0;0;
1535281877;2195047616;1829632;25655552;0.00;0.00;0.00;7147;100217;429456;400868;134;33;0;0;1854720;25654272;0.00;0.00;0.00;7245;100212;429828;400848;135;33;0;0;1820416;25656832;0.00;0.00;0.00;7111;100222;429332;400888;136;33;0;0;1824512;25521664;0.00;0.00;0.00;7127;99694;427284;398776;135;33;0;0;1776896;25405696;0.00;0.00;0.00;6941;99241;424728;396964;136;33;0;0;1802752;25395968;0.00;0.00;0.00;7042;99203;424980;396812;136;33;0;0;1848320;25296896;0.00;0.00;0.00;7220;98816;424144;395264;103;33;0;0;1868288;25259520;0.00;0.00;0.00;7298;98670;423872;394680;102;33;0;0;1786368;25165568;0.00;0.00;0.00;6978;98303;421124;393212;102;33;0;0;1853696;25158912;0.00;0.00;0.00;7241;98277;422072;393108;103;33;0;0;1806848;25080320;0.00;0.00;0.00;7058;97970;420112;391880;102;33;0;0;1771264;24913664;0.00;0.00;0.00;6919;97319;416952;389276;102;33;0;0;
1535281878;2195031942;1844736;25673472;0.00;0.00;0.00;7206;100287;429972;401148;137;33;0;0;1889280;25701632;0.00;0.00;0.00;7380;100397;431108;401588;135;33;0;0;1819136;25676288;0.00;0.00;0.00;7106;100298;429616;401192;134;33;0;0;1843200;25823232;0.00;0.00;0.00;7200;100872;432288;403488;134;33;0;0;1830656;25857536;0.00;0.00;0.00;7151;101006;432628;404024;134;33;0;0;1845504;25971456;0.00;0.00;0.00;7209;101451;434640;405804;135;33;0;0;1918208;26075136;0.00;0.00;0.00;7493;101856;437396;407424;102;33;0;0;1950464;26264320;0.00;0.00;0.00;7619;102595;440856;410380;102;33;0;0;1888256;26397952;0.00;0.00;0.00;7376;103117;441972;412468;102;33;0;0;1918464;26465536;0.00;0.00;0.00;7494;103381;443500;413524;102;33;0;0;1956864;26664704;0.00;0.00;0.00;7644;104159;447212;416636;102;33;0;0;1900288;26782720;0.00;0.00;0.00;7423;104620;448172;418480;102;33;0;0;
1535281879;2195110218;1840640;25671168;0.00;0.00;0.00;7190;100278;429872;401112;142;33;0;0;1860096;25683200;0.00;0.00;0.00;7266;100325;430364;401300;134;33;0;0;1830400;25675520;0.00;0.00;0.00;7150;100295;429780;401180;135;33;0;0;1824000;25550336;0.00;0.00;0.00;7125;99806;427724;399224;136;33;0;0;1772544;25424128;0.00;0.00;0.00;6924;99313;424948;397252;135;33;0;0;1820928;25580544;0.00;0.00;0.00;7113;99924;428148;399696;135;33;0;0;1865472;25645568;0.00;0.00;0.00;7287;100178;429860;400712;101;33;0;0;1895680;25606400;0.00;0.00;0.24;7405;100025;429720;400100;101;33;0;0;1790976;25487872;0.00;0.00;0.00;6996;99562;426232;398248;101;33;0;0;1873408;25545472;0.00;0.00;0.00;7318;99787;428420;399148;102;33;0;0;1889536;25551104;0.00;0.00;0.00;7381;99809;428760;399236;101;33;0;0;1799936;25499136;0.00;0.00;0.00;7031;99606;426548;398424;102;33;0;0;
1535281880;2195023918;1852416;25681664;0.00;0.00;0.00;7236;100319;430220;401276;140;33;0;0;1871872;25718016;0.00;0.00;0.00;7312;100461;431092;401844;134;33;0;0;1827840;25742848;0.00;0.00;0.00;7140;100558;430792;402232;134;33;0;0;1846272;25785856;0.00;0.00;0.00;7212;100726;431752;402904;134;33;0;0;1798144;25861632;0.00;0.00;0.00;7024;101022;432184;404088;134;33;0;0;1830656;25879040;0.00;0.00;0.00;7151;101090;432964;404360;134;33;0;0;1886976;25842688;0.00;0.00;0.00;7371;100948;433276;403792;102;33;0;0;1901824;25927424;0.00;0.00;0.00;7429;101279;434832;405116;102;33;0;0;1841664;25906688;0.00;0.00;0.00;7194;101198;433568;404792;102;33;0;0;1881344;25900544;0.00;0.00;0.00;7349;101174;434092;404696;101;33;0;0;1872128;25871872;0.00;0.00;0.00;7313;101062;433500;404248;101;33;0;0;1851392;25884672;0.00;0.00;0.00;7232;101112;433376;404448;102;33;0;0;
1535281881;2195096432;1846528;25664512;0.00;0.00;0.00;7213;100252;429860;401008;139;33;0;0;1897216;25686272;0.00;0.00;0.00;7411;100337;430992;401348;135;33;0;0;1821184;25612032;0.00;0.00;0.00;7114;100047;428644;400188;135;33;0;0;1808384;25550336;0.00;0.00;0.00;7064;99806;427480;399224;135;33;0;0;1781760;25375232;0.00;0.00;0.00;6960;99122;424328;396488;135;33;0;0;1818112;25334272;0.00;0.00;0.00;7102;98962;424256;395848;136;33;0;0;1839104;25218048;0.00;0.00;0.00;7184;98508;422768;394032;102;33;0;0;1835008;25052672;0.00;0.00;0.00;7168;97862;420120;391448;102;33;0;0;1758976;24931072;0.00;0.00;0.00;6871;97387;417032;389548;103;33;0;0;1805824;24847872;0.00;0.00;0.00;7054;97062;416464;388248;102;33;0;0;1808384;24700416;0.00;0.00;0.00;7064;96486;414200;385944;103;33;0;0;1738752;24567040;0.00;0.00;0.00;6792;95965;411028;383860;103;33;0;0;
1535281882;2195023138;1849344;25671424;0.00;0.00;0.00;7224;100279;430012;401116;137;33;0;0;1858816;25643776;0.00;0.00;0.00;7261;100171;429728;400684;135;33;0;0;1826048;25662464;0.00;0.00;0.00;7133;100244;429508;400976;135;33;0;0;1831424;25772544;0.00;0.00;0.00;7154;100674;431312;402696;134;33;0;0;1847040;25850112;0.00;0.00;0.00;7215;100977;432768;403908;134;33;0;0;1864448;26027008;0.00;0.00;0.00;7283;101668;435804;406672;134;33;0;0;1913600;26158848;0.00;0.00;0.00;7475;102183;438632;408732;102;33;0;0;1911552;26296064;0.00;0.00;0.00;7467;102719;440744;410876;102;33;0;0;1873408;26407680;0.00;0.00;0.00;7318;103155;441892;412620;102;33;0;0;1958400;26611712;0.00;0.00;0.00;7650;103952;446408;415808;102;33;0;0;1968384;26722048;0.00;0.00;0.00;7689;104383;448288;417532;102;33;0;0;1883904;26766592;0.00;0.00;0.00;7359;104557;447664;418228;103;33;0;0;
1535281883;2195123554;1833216;25658368;0.00;0.00;0.00;7161;100228;429556;400912;139;33;0;0;1863424;25661440;0.00;0.00;0.00;7279;100240;430076;400960;135;33;0;0;1845760;25754880;0.00;0.00;0.00;7210;100605;431260;402420;134;33;0;0;1835520;25718272;0.00;0.00;0.00;7170;100462;430528;401848;134;33;0;0;1808384;25657856;0.00;0.00;0.00;7064;100226;429160;400904;134;33;0;0;1824512;25581312;0.00;0.00;0.00;7127;99927;428216;399708;135;33;0;0;1876992;25624064;0.00;0.00;0.00;7332;100094;429704;400376;101;33;0;0;1875968;25651456;0.00;0.00;0.00;7328;100201;430116;400804;102;33;0;0;1809408;25587456;0.00;0.00;0.00;7068;99951;428076;399804;102;33;0;0;1872640;25515264;0.00;0.00;0.00;7315;99669;427936;398676;101;33;0;0;1872384;25573888;0.00;0.00;0.00;7314;99898;428848;399592;102;33;0;0;1806336;25606144;0.00;0.00;0.27;7056;100024;428320;400096;101;33;0;0;
1535281884;2195020948;1842176;25665024;0.00;0.00;0.00;7196;100254;429800;401016;141;33;0;0;1883648;25677824;0.00;0.00;0.00;7358;100304;430648;401216;135;33;0;0;1810432;25566208;0.00;0.00;0.00;7072;99868;427760;399472;134;33;0;0;1836544;25591808;0.00;0.00;0.00;7174;99968;428568;399872;135;33;0;0;1790720;25550848;0.00;0.00;0.00;6995;99808;427212;399232;135;33;0;0;1806080;25618432;0.00;0.00;0.00;7055;100072;428508;400288;134;33;0;0;1875200;25604608;0.00;0.00;0.45;7325;100018;429372;400072;102;33;0;0;1880576;25521408;0.00;0.00;0.00;7346;99693;428156;398772;103;33;0;0;1814528;25492992;0.00;0.00;0.00;7088;99582;426680;398328;103;33;0;0;1887232;25594368;0.00;0.00;0.00;7372;99978;429400;399912;101;33;0;0;1862912;25518336;0.00;0.00;0.00;7277;99681;427832;398724;101;33;0;0;1815040;25464576;0.00;0.00;0.00;7090;99471;426244;397884;102;33;0;0;
