# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Sun Aug 26 07:31:57 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535283118;2195054738;1901824;25494272;0.00;0.00;0.00;7429;99587;428064;398348;135;33;0;0;1867008;25484288;0.00;0.00;0.00;7293;99548;427364;398192;135;33;0;0;1823488;25524224;0.00;0.00;0.00;7123;99704;427308;398816;135;33;0;0;1832960;25520896;0.00;0.00;0.00;7160;99691;427404;398764;135;33;0;0;1783808;25475840;0.00;0.00;0.00;6968;99515;425932;398060;136;33;0;0;1819136;25550080;0.00;0.00;0.00;7106;99805;427644;399220;136;33;0;0;1873152;25400064;0.00;0.00;0.00;7317;99219;426144;396876;102;33;0;0;1818880;25232640;0.00;0.00;0.00;7105;98565;422680;394260;103;33;0;0;1788416;25151488;0.00;0.00;0.00;6986;98248;420936;392992;103;33;0;0;1847040;25127680;0.00;0.00;0.00;7215;98155;421480;392620;102;33;0;0;1815040;25059072;0.00;0.00;0.00;7090;97887;419908;391548;101;33;0;0;1786624;25079296;0.00;0.00;0.00;6979;97966;419780;391864;101;33;0;0;
1535283119;2195022222;1900288;25644544;0.00;0.00;0.00;7423;100174;430388;400696;134;33;0;0;1870592;25599232;0.00;0.00;0.00;7307;99997;429216;399988;135;33;0;0;1806592;25604864;0.00;0.00;0.42;7057;100019;428304;400076;134;33;0;0;1818880;25676032;0.00;0.00;0.00;7105;100297;429608;401188;134;33;0;0;1805312;25714688;0.00;0.00;0.00;7052;100448;430000;401792;134;33;0;0;1830912;25858816;0.00;0.00;0.00;7152;101011;432652;404044;135;33;0;0;1911552;25992704;0.00;0.00;0.00;7467;101534;436004;406136;102;33;0;0;1924096;26109440;0.00;0.00;0.00;7516;101990;438024;407960;102;33;0;0;1849856;26181120;0.00;0.00;0.00;7226;102270;437984;409080;102;33;0;0;1911808;26308096;0.00;0.00;0.00;7468;102766;440936;411064;102;33;0;0;1913088;26402048;0.00;0.00;0.00;7473;103133;442424;412532;101;33;0;0;1874176;26465536;0.00;0.00;0.00;7321;103381;442808;413524;134;33;0;0;
1535283120;2195119688;1910528;25848064;0.00;0.00;0.00;7463;100969;433728;403876;102;33;0;0;1899008;25876480;0.00;0.00;0.00;7418;101080;433992;404320;102;33;0;0;1830912;25797376;0.00;0.00;0.00;7152;100771;431692;403084;103;33;0;0;1858304;25754624;0.00;0.00;0.00;7259;100604;431452;402416;103;33;0;0;1789440;25584128;0.00;0.00;0.00;6990;99938;427712;399752;103;33;0;0;1804288;25539072;0.00;0.00;0.00;7048;99762;427240;399048;103;33;0;0;1864960;25460224;0.00;0.00;0.00;7285;99454;426956;397816;136;33;0;0;1908992;25411584;0.00;0.00;0.00;7457;99264;426884;397056;136;33;0;0;1793024;25252096;0.00;0.00;0.00;7004;98641;422580;394564;136;33;0;0;1859328;25183488;0.00;0.00;0.00;7263;98373;422544;393492;136;33;0;0;1843456;25070336;0.00;0.00;0.00;7201;97931;420528;391724;136;33;0;0;1757440;24805632;0.00;0.00;0.00;6865;96897;415048;387588;135;33;0;0;
1535283121;2195103504;1956608;25712384;0.00;0.00;0.00;7643;100439;432328;401756;102;33;0;0;1864704;25566976;0.00;0.00;0.00;7284;99871;428620;399484;102;33;0;0;1799424;25568768;0.00;0.00;0.00;7029;99878;427628;399512;102;33;0;0;1818112;25571584;0.00;0.00;0.00;7102;99889;427964;399556;102;33;0;0;1800192;25556480;0.00;0.00;0.00;7032;99830;427448;399320;103;33;0;0;1807104;25584128;0.00;0.00;0.00;7059;99938;427988;399752;103;33;0;0;1887232;25619712;0.00;0.00;0.00;7372;100077;429796;400308;136;33;0;0;1878528;25608704;0.00;0.00;0.00;7338;100034;429488;400136;136;33;0;0;1798400;25571072;0.00;0.00;0.00;7025;99887;427648;399548;136;33;0;0;1881344;25606912;0.00;0.00;0.18;7349;100027;429504;400108;136;33;0;0;1887232;25775360;0.00;0.00;0.00;7372;100685;432228;402740;135;33;0;0;1827584;25864704;0.00;0.00;0.00;7139;101034;432692;404136;135;33;0;0;
1535283122;2195065092;1893632;25700864;0.00;0.00;0.00;7397;100394;431164;401576;101;33;0;0;1879552;25707008;0.00;0.00;0.00;7342;100418;431040;401672;102;33;0;0;1827840;25699584;0.00;0.00;0.00;7140;100389;430116;401556;102;33;0;0;1843456;25722880;0.00;0.00;0.00;7201;100480;430724;401920;102;33;0;0;1785856;25637888;0.00;0.00;0.00;6976;100148;428496;400592;103;33;0;0;1824512;25715456;0.00;0.00;0.00;7127;100451;430312;401804;103;33;0;0;1894400;25741824;0.00;0.00;0.00;7400;100554;431816;402216;136;33;0;0;1898752;25751296;0.00;0.00;0.00;7417;100591;432032;402364;136;33;0;0;1827328;25885696;0.00;0.00;0.00;7138;101116;433016;404464;135;33;0;0;1907968;26051328;0.00;0.00;0.00;7453;101763;436864;407052;135;33;0;0;1906176;25964288;0.00;0.00;0.00;7446;101423;435476;405692;135;33;0;0;1854720;25927424;0.00;0.00;0.00;7245;101279;434096;405116;135;33;0;0;
1535283123;2195110654;1913600;25714176;0.00;0.00;0.00;7475;100446;431684;401784;101;33;0;0;1865984;25684480;0.00;0.00;0.00;7289;100330;430476;401320;102;33;0;0;1822976;25684992;0.00;0.00;0.00;7121;100332;429812;401328;101;33;0;0;1846528;25694464;0.00;0.00;0.00;7213;100369;430328;401476;103;33;0;0;1799680;25632512;0.00;0.00;0.00;7030;100127;428628;400508;103;33;0;0;1816320;25693696;0.00;0.00;0.00;7095;100366;429844;401464;103;33;0;0;1880320;25700096;0.00;0.00;0.00;7345;100391;430944;401564;136;33;0;0;1866752;25699584;0.00;0.00;0.00;7292;100389;430724;401556;136;33;0;0;1808896;25506560;0.00;0.00;0.00;7066;99635;426804;398540;135;33;0;0;1865216;25382656;0.00;0.00;0.00;7286;99151;425748;396604;135;33;0;0;1849344;25437440;0.00;0.00;0.00;7224;99365;426356;397460;135;33;0;0;1798400;25383680;0.00;0.00;0.00;7025;99155;424720;396620;136;33;0;0;
1535283124;2195066664;1895680;25697024;0.00;0.00;0.00;7405;100379;431136;401516;101;33;0;0;1904384;25705984;0.00;0.00;0.00;7439;100414;431412;401656;102;33;0;0;1811456;25755392;0.00;0.00;0.00;7076;100607;430732;402428;102;33;0;0;1837312;25857792;0.00;0.00;0.00;7177;101007;432736;404028;101;33;0;0;1808128;25862144;0.00;0.00;0.00;7063;101024;432348;404096;101;33;0;0;1847040;25958144;0.00;0.00;0.00;7215;101399;434456;405596;102;33;0;0;1912064;26003200;0.00;0.00;0.00;7469;101575;436176;406300;136;33;0;0;1928448;26045440;0.00;0.00;0.00;7533;101740;437092;406960;136;33;0;0;1851904;26017792;0.00;0.00;0.00;7234;101632;435464;406528;135;33;0;0;1919232;26033920;0.00;0.00;0.00;7497;101695;436768;406780;135;33;0;0;1897472;25876736;0.00;0.00;0.00;7412;101081;433972;404324;135;33;0;0;1825280;25817856;0.00;0.00;0.00;7130;100851;431924;403404;135;33;0;0;
1535283125;2195072958;1904128;25714432;0.00;0.00;0.00;7438;100447;431540;401788;101;33;0;0;1864448;25662976;0.00;0.00;0.00;7283;100246;430116;400984;101;33;0;0;1817600;25573120;0.00;0.00;0.00;7100;99895;427980;399580;101;33;0;0;1828352;25472512;0.00;0.00;0.00;7142;99502;426576;398008;103;33;0;0;1780736;25361408;0.00;0.00;0.00;6956;99068;424096;396272;103;33;0;0;1787392;25356032;0.00;0.00;0.00;6982;99047;424116;396188;102;33;0;0;1834496;25343488;0.00;0.00;0.00;7166;98998;424656;395992;135;33;0;0;1860352;25349632;0.00;0.00;0.00;7267;99022;425156;396088;136;33;0;0;1804032;25363200;0.00;0.00;0.00;7047;99075;424488;396300;135;33;0;0;1880832;25554944;0.00;0.00;0.00;7347;99824;428684;399296;135;33;0;0;1875200;25683968;0.00;0.00;0.00;7325;100328;430612;401312;135;33;0;0;1823488;25745920;0.00;0.00;0.00;7123;100570;430772;402280;135;33;0;0;
1535283126;2195074354;1906944;25705472;0.00;0.00;0.00;7449;100412;431444;401648;101;33;0;0;1902592;25680128;0.00;0.00;0.00;7432;100313;430980;401252;102;33;0;0;1814016;25635840;0.00;0.00;0.00;7086;100140;428904;400560;103;33;0;0;1830400;25630976;0.00;0.00;0.00;7150;100121;429084;400484;102;33;0;0;1788160;25585664;0.00;0.00;0.00;6985;99944;427716;399776;101;33;0;0;1822208;25806848;0.00;0.00;0.00;7118;100808;431704;403232;102;33;0;0;1901056;25929728;0.00;0.00;0.00;7426;101288;434856;405152;134;33;0;0;1886976;25991680;0.00;0.00;0.00;7371;101530;435604;406120;136;33;0;0;1851648;25992192;0.00;0.00;0.00;7233;101532;435060;406128;135;33;0;0;1873920;25840384;0.00;0.00;0.00;7320;100939;433036;403756;135;33;0;0;1876480;25712128;0.00;0.00;0.00;7330;100438;431072;401752;136;33;0;0;1812992;25616384;0.00;0.00;0.00;7082;100064;428584;400256;136;33;0;0;
1535283127;2195125914;1904640;25704192;0.00;0.00;0.00;7440;100407;431388;401628;103;33;0;0;1892864;25669376;0.00;0.00;0.00;7394;100271;430660;401084;102;33;0;0;1816832;25630976;0.00;0.00;0.00;7097;100121;428872;400484;102;33;0;0;1838848;25640960;0.00;0.00;0.00;7183;100160;429372;400640;102;33;0;0;1766656;25556224;0.00;0.00;0.00;6901;99829;426920;399316;102;33;0;0;1810432;25454848;0.00;0.00;0.00;7072;99433;426020;397732;102;33;0;0;1873408;25549056;0.00;0.00;0.00;7318;99801;428476;399204;135;33;0;0;1886208;25647872;0.00;0.00;0.00;7368;100187;430220;400748;134;33;0;0;1834752;25678336;0.00;0.00;0.00;7167;100306;429892;401224;134;33;0;0;1886208;25696512;0.00;0.00;0.00;7368;100377;430980;401508;136;33;0;0;1867264;25719808;0.00;0.00;0.00;7294;100468;431048;401872;136;33;0;0;1812736;25717760;0.00;0.00;0.00;7081;100460;430164;401840;136;33;0;0;
1535283128;2195074582;1961216;25784320;0.00;0.00;0.00;7661;100720;433524;402880;101;33;0;0;1876992;25680128;0.00;0.00;0.00;7332;100313;430580;401252;102;33;0;0;1804032;25647872;0.00;0.00;0.00;7047;100187;428936;400748;102;33;0;0;1828608;25660672;0.00;0.00;0.00;7143;100237;429520;400948;102;33;0;0;1791488;25602304;0.00;0.00;0.73;6998;100009;428028;400036;102;33;0;0;1816064;25655296;0.00;0.00;0.00;7094;100216;429240;400864;103;33;0;0;1866752;25495552;0.00;0.00;0.00;7292;99592;427536;398368;135;33;0;0;1852416;25344256;0.00;0.00;0.00;7236;99001;424948;396004;136;33;0;0;1798912;25250816;0.00;0.00;0.00;7027;98636;422652;394544;136;33;0;0;1855744;25225984;0.00;0.00;0.00;7249;98539;423152;394156;135;33;0;0;1842432;25184256;0.00;0.00;0.00;7197;98376;422292;393504;135;33;0;0;1784320;25152768;0.00;0.00;0.00;6970;98253;420892;393012;136;33;0;0;
1535283129;2195031402;1903616;25711360;0.00;0.00;0.00;7436;100435;431484;401740;102;33;0;0;1903104;25755904;0.00;0.00;0.00;7434;100609;432172;402436;102;33;0;0;1846528;25773568;0.00;0.00;0.00;7213;100678;431564;402712;101;33;0;0;1856768;25808384;0.00;0.00;0.00;7253;100814;432268;403256;102;33;0;0;1801728;25742080;0.00;0.00;0.00;7038;100555;430372;402220;103;33;0;0;1831680;25834752;0.00;0.00;0.00;7155;100917;432288;403668;103;33;0;0;1911296;25868800;0.00;0.00;0.00;7466;101050;434064;404200;136;33;0;0;1921792;25873408;0.00;0.00;0.00;7507;101068;434300;404272;136;33;0;0;1846272;25842432;0.00;0.00;0.00;7212;100947;432636;403788;136;33;0;0;1884160;25837312;0.00;0.00;0.00;7360;100927;433148;403708;136;33;0;0;1864448;25808128;0.00;0.00;0.00;7283;100813;432384;403252;136;33;0;0;1813248;25792512;0.00;0.00;0.00;7083;100752;431340;403008;136;33;0;0;
