# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Mon Sep  3 02:35:19 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535956520;2195055090;1817344;25665792;0.00;0.00;0.00;7099;100257;429424;401028;134;33;0;0;1875456;25861376;0.00;0.00;0.00;7326;101021;433388;404084;135;33;0;0;1852416;25938432;0.00;0.00;0.00;7236;101322;434232;405288;135;33;0;0;1862912;26008320;0.00;0.00;0.00;7277;101595;435488;406380;135;33;0;0;1898240;26028544;0.00;0.00;0.00;7415;101674;436356;406696;136;33;0;0;1853696;26076672;0.00;0.00;0.00;7241;101862;436412;407448;135;33;0;0;2054144;26218240;0.00;0.00;0.00;8024;102415;441756;409660;103;33;0;0;1933312;26121216;0.00;0.00;0.00;7552;102036;438352;408144;103;33;0;0;1863424;26093312;0.00;0.00;0.00;7279;101927;436824;407708;103;33;0;0;1974272;26157568;0.00;0.00;0.00;7712;102178;439560;408712;103;33;0;0;1901568;26111232;0.00;0.00;0.00;7428;101997;437700;407988;103;33;0;0;1843712;26085120;0.00;0.00;0.00;7202;101895;436388;407580;103;33;0;0;
1535956521;2195016054;1826816;25656832;0.00;0.00;0.00;7136;100222;429432;400888;134;33;0;0;1881344;25703680;0.00;0.00;0.00;7349;100405;431016;401620;135;33;0;0;1841152;25729280;0.00;0.00;0.00;7192;100505;430788;402020;135;33;0;0;1888000;25804800;0.00;0.00;0.00;7375;100800;432700;403200;134;33;0;0;1887744;25899520;0.00;0.00;0.00;7374;101170;434176;404680;134;33;0;0;1855488;25998848;0.00;0.00;0.00;7248;101558;435224;406232;135;33;0;0;2004224;26224896;0.00;0.00;0.00;7829;102441;441080;409764;102;33;0;0;1955072;26320640;0.00;0.00;0.00;7637;102815;441808;411260;102;33;0;0;1882368;26415360;0.00;0.00;0.00;7353;103185;442152;412740;102;33;0;0;2051072;26673408;0.00;0.00;0.00;8012;104193;448820;416772;102;33;0;0;1914880;26647296;0.00;0.00;0.00;7480;104091;446284;416364;102;33;0;0;1941760;26877696;0.00;0.00;0.00;7585;104991;450304;419964;102;33;0;0;
1535956522;2195057434;1836032;25652992;0.00;0.00;0.00;7172;100207;429516;400828;134;33;0;0;1841408;25622272;0.00;0.00;0.00;7193;100087;429120;400348;134;33;0;0;1822720;25597440;0.00;0.00;0.00;7120;99990;428440;399960;135;33;0;0;1828864;25560832;0.00;0.00;0.00;7144;99847;427964;399388;135;33;0;0;1843712;25386496;0.00;0.00;0.00;7202;99166;425472;396664;135;33;0;0;1813760;25329152;0.00;0.00;0.00;7085;98942;424108;395768;136;33;0;0;1989120;25311744;0.00;0.00;0.00;7770;98874;426576;395496;102;33;0;0;1863936;25071616;0.00;0.00;0.00;7281;97936;420868;391744;103;33;0;0;1778688;24895232;0.00;0.00;0.00;6948;97247;416780;388988;102;33;0;0;1878784;24814592;0.00;0.00;0.00;7339;96932;417084;387728;102;33;0;0;1788160;24682752;0.00;0.00;0.00;6985;96417;413608;385668;102;33;0;0;1738496;24472832;0.00;0.00;0.00;6791;95597;409552;382388;102;33;0;0;
1535956523;2195015570;1823232;25656832;0.00;0.00;0.00;7122;100222;429376;400888;134;33;0;0;1864704;25689088;0.00;0.00;0.00;7284;100348;430528;401392;135;33;0;0;1839872;25779968;0.00;0.00;0.00;7187;100703;431560;402812;135;33;0;0;1873408;25915648;0.00;0.00;0.00;7318;101233;434204;404932;134;33;0;0;1913856;25994496;0.00;0.00;0.00;7476;101541;436068;406164;134;33;0;0;1870848;26108672;0.00;0.00;0.00;7308;101987;437180;407948;135;33;0;0;2054656;26402560;0.00;0.00;0.00;8026;103135;444644;412540;102;33;0;0;1953280;26436352;0.00;0.00;0.00;7630;103267;443588;413068;102;33;0;0;1897472;26543104;0.00;0.00;0.00;7412;103684;444384;414736;102;33;0;0;2060544;26831104;0.00;0.00;0.00;8049;104809;451432;419236;102;33;0;0;1988352;26962432;0.00;0.00;0.00;7767;105322;452356;421288;102;33;0;0;1943552;27112704;0.00;0.00;0.00;7592;105909;454004;423636;102;33;0;0;
1535956524;2195055756;1859328;25685504;0.00;0.00;0.00;7263;100334;430388;401336;136;33;0;0;1896192;25709568;0.00;0.00;0.00;7407;100428;431340;401712;134;33;0;0;1840384;25646592;0.00;0.00;0.00;7189;100182;429484;400728;134;33;0;0;1853440;25629952;0.00;0.00;0.00;7240;100117;429428;400468;134;33;0;0;1868544;25569024;0.00;0.00;0.00;7299;99879;428712;399516;134;33;0;0;1802496;25582592;0.00;0.00;0.00;7041;99932;427892;399728;135;33;0;0;1934336;25677568;0.00;0.00;0.00;7556;100303;431436;401212;102;33;0;0;1900544;25721344;0.00;0.00;0.00;7424;100474;431592;401896;101;33;0;0;1821952;25731328;0.00;0.00;0.00;7117;100513;430520;402052;101;33;0;0;1986560;25810176;0.00;0.00;0.00;7760;100821;434324;403284;101;33;0;0;1863680;25718528;0.00;0.00;0.00;7280;100463;430972;401852;101;33;0;0;1843200;25721344;0.00;0.00;0.00;7200;100474;430696;401896;101;33;0;0;
1535956525;2194964694;1840384;25669632;0.00;0.00;0.00;7189;100272;429844;401088;134;33;0;0;1872128;25702400;0.00;0.00;0.00;7313;100400;430852;401600;134;33;0;0;1841920;25699840;0.00;0.00;0.00;7195;100390;430340;401560;134;33;0;0;1873920;25762560;0.00;0.00;0.00;7320;100635;431820;402540;134;33;0;0;1902080;25765632;0.00;0.00;0.00;7430;100647;432308;402588;134;33;0;0;1834240;25807872;0.00;0.00;0.00;7165;100812;431908;403248;135;33;0;0;2006272;25916416;0.00;0.00;0.00;7837;101236;436292;404944;101;33;0;0;1917952;25832448;0.00;0.00;0.00;7492;100908;433600;403632;101;33;0;0;1835776;25797120;0.00;0.00;0.00;7171;100770;431764;403080;101;33;0;0;1981184;25899008;0.00;0.00;0.00;7739;101168;435628;404672;101;33;0;0;1907456;25851648;0.00;0.00;0.00;7451;100983;433736;403932;102;33;0;0;1826048;25843968;0.00;0.00;0.00;7133;100953;432344;403812;101;33;0;0;
1535956526;2195040442;1840640;25652992;0.00;0.00;0.00;7190;100207;429588;400828;135;33;0;0;1862656;25655808;0.00;0.00;0.00;7276;100218;429976;400872;134;33;0;0;1828864;25679616;0.00;0.00;0.00;7144;100311;429820;401244;134;33;0;0;1857536;25681152;0.00;0.00;0.00;7256;100317;430292;401268;135;33;0;0;1837056;25604352;0.00;0.00;0.48;7176;100017;428772;400068;134;33;0;0;1841920;25613824;0.00;0.00;0.00;7195;100054;428996;400216;135;33;0;0;1977088;25596160;0.00;0.00;0.00;7723;99985;430832;399940;101;33;0;0;1882880;25505792;0.00;0.00;0.00;7355;99632;427948;398528;101;33;0;0;1817856;25444608;0.00;0.00;0.00;7101;99393;425976;397572;102;33;0;0;1970432;25496064;0.00;0.00;0.00;7697;99594;429164;398376;101;33;0;0;1847040;25334784;0.00;0.00;0.00;7215;98964;424716;395856;102;33;0;0;1800448;25291008;0.00;0.00;0.00;7033;98793;423304;395172;101;33;0;0;
1535956527;2195099926;1833216;25656064;0.00;0.00;0.00;7161;100219;429520;400876;134;33;0;0;1892096;25679360;0.00;0.00;0.00;7391;100310;430804;401240;134;33;0;0;1824000;25595392;0.00;0.00;0.00;7125;99982;428428;399928;134;33;0;0;1841920;25637120;0.00;0.00;0.00;7195;100145;429360;400580;134;33;0;0;1881088;25649920;0.00;0.00;0.00;7348;100195;430172;400780;134;33;0;0;1831424;25739520;0.00;0.00;0.00;7154;100545;430796;402180;134;33;0;0;2023680;25983232;0.00;0.00;0.00;7905;101497;437608;405988;101;33;0;0;1940736;25939968;0.00;0.00;0.00;7581;101328;435636;405312;102;33;0;0;1852416;25915904;0.00;0.00;0.00;7236;101234;433880;404936;101;33;0;0;2028288;26084864;0.00;0.00;0.00;7923;101894;439268;407576;102;33;0;0;1927168;26055168;0.00;0.00;0.00;7528;101778;437224;407112;101;33;0;0;1851904;25962496;0.00;0.00;0.00;7234;101416;434600;405664;102;33;0;0;
1535956528;2195065498;1842688;25667072;0.00;0.00;0.00;7198;100262;429840;401048;134;33;0;0;1881600;25691392;0.00;0.00;0.00;7350;100357;430828;401428;134;33;0;0;1844224;25743616;0.00;0.00;0.00;7204;100561;431060;402244;134;33;0;0;1854464;25735680;0.00;0.00;0.00;7244;100530;431096;402120;134;33;0;0;1889536;25725440;0.00;0.00;0.00;7381;100490;431484;401960;134;33;0;0;1845504;25745920;0.00;0.00;0.00;7209;100570;431116;402280;134;33;0;0;2009856;25811200;0.00;0.00;0.00;7851;100825;434704;403300;101;33;0;0;1905920;25726976;0.00;0.00;0.00;7445;100496;431764;401984;101;33;0;0;1832448;25665536;0.00;0.00;0.00;7158;100256;429656;401024;101;33;0;0;1964032;25701632;0.00;0.00;0.00;7672;100397;432276;401588;101;33;0;0;1850880;25592064;0.00;0.00;0.00;7230;99969;428796;399876;101;33;0;0;1808896;25584640;0.00;0.00;0.00;7066;99940;428024;399760;102;33;0;0;
1535956529;2195064710;1824000;25647872;0.00;0.00;0.00;7125;100187;429248;400748;134;33;0;0;1879552;25676544;0.00;0.00;0.00;7342;100299;430564;401196;134;33;0;0;1817088;25629696;0.00;0.00;0.00;7098;100116;428856;400464;134;33;0;0;1845504;25626368;0.00;0.00;0.00;7209;100103;429248;400412;134;33;0;0;1860864;25521408;0.00;0.00;0.00;7269;99693;427848;398772;134;33;0;0;1808640;25453056;0.00;0.00;0.00;7065;99426;425964;397704;134;33;0;0;1989376;25594368;0.00;0.00;0.00;7771;99978;430996;399912;101;33;0;0;1896192;25498880;0.00;0.00;0.00;7407;99605;428048;398420;102;33;0;0;1836032;25441024;0.00;0.00;0.00;7172;99379;426204;397516;101;33;0;0;1928192;25474304;0.00;0.00;0.00;7532;99509;428164;398036;102;33;0;0;1854720;25478400;0.00;0.00;0.00;7245;99525;427080;398100;101;33;0;0;1804288;25498624;0.00;0.00;0.00;7048;99604;426608;398416;101;33;0;0;
