# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Mon Sep  3 02:29:23 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535956164;2195018048;1836800;25735424;0.00;0.00;0.00;7175;100529;430816;402116;135;33;0;0;1898496;25875712;0.00;0.00;0.00;7416;101077;433972;404308;135;33;0;0;1838848;25931008;0.00;0.00;0.00;7183;101293;433904;405172;136;33;0;0;1871872;25980928;0.00;0.00;0.00;7312;101488;435200;405952;136;33;0;0;1827584;25968384;0.00;0.00;0.00;7139;101439;434312;405756;136;33;0;0;1854464;26020096;0.00;0.00;0.00;7244;101641;435540;406564;136;33;0;0;2043136;26156288;0.00;0.00;0.00;7981;102173;440616;408692;103;33;0;0;1928448;26062848;0.00;0.00;0.00;7533;101808;437364;407232;103;33;0;0;1862912;26045440;0.00;0.00;0.00;7277;101740;436068;406960;103;33;0;0;1997056;26122496;0.00;0.00;0.00;7801;102041;439368;408164;103;33;0;0;1891840;26012928;0.00;0.00;0.00;7390;101613;436012;406452;102;33;0;0;1846016;25826816;0.00;0.00;0.00;7211;100886;432388;403544;102;33;0;0;
1535956165;2195032096;1832448;25661952;0.00;0.00;0.00;7158;100242;429600;400968;135;33;0;0;1866240;25700608;0.00;0.00;0.00;7290;100393;430732;401572;135;33;0;0;1820928;25694976;0.00;0.00;0.00;7113;100371;429936;401484;134;33;0;0;1857536;25764352;0.00;0.00;0.00;7256;100642;431592;402568;134;33;0;0;1835264;25874432;0.00;0.00;0.00;7169;101072;432964;404288;134;33;0;0;1841408;25972224;0.00;0.00;0.00;7193;101454;434588;405816;135;33;0;0;2092544;26214656;0.00;0.00;0.00;8174;102401;442300;409604;103;33;0;0;1923840;26132224;0.00;0.00;0.00;7515;102079;438376;408316;101;33;0;0;1849856;26137856;0.00;0.00;0.00;7226;102101;437308;408404;103;33;0;0;1959424;26329344;0.00;0.00;0.00;7654;102849;442012;411396;102;33;0;0;1923840;26454784;0.00;0.00;0.00;7515;103339;443416;413356;102;33;0;0;1896448;26524672;0.00;0.00;0.00;7408;103612;444080;414448;103;33;0;0;
1535956166;2195055834;1846784;25669888;0.00;0.00;0.00;7214;100273;429948;401092;135;33;0;0;1868032;25687808;0.00;0.00;0.00;7297;100343;430560;401372;134;33;0;0;1834240;25779200;0.00;0.00;0.00;7165;100700;431460;402800;135;33;0;0;1853184;25859328;0.00;0.00;0.00;7239;101013;433008;404052;134;33;0;0;1818112;25719808;0.00;0.00;0.00;7102;100468;430280;401872;135;33;0;0;1835008;25723136;0.00;0.00;0.00;7168;100481;430596;401924;136;33;0;0;2023680;25825280;0.00;0.00;0.00;7905;100880;435140;403520;102;33;0;0;1935616;25867776;0.00;0.00;0.00;7561;101046;434428;404184;102;33;0;0;1834752;25902080;0.00;0.00;0.00;7167;101180;433388;404720;101;33;0;0;2050560;25988864;0.00;0.00;0.00;8010;101519;438116;406076;101;33;0;0;1878528;25818368;0.00;0.00;0.00;7338;100853;432764;403412;101;33;0;0;1856512;25817856;0.00;0.00;0.00;7252;100851;432412;403404;102;33;0;0;
1535956167;2195038106;1815552;25645312;0.00;0.00;0.00;7092;100177;429076;400708;134;33;0;0;1886208;25675520;0.00;0.00;0.00;7368;100295;430652;401180;135;33;0;0;1816320;25652224;0.00;0.00;0.00;7095;100204;429196;400816;134;33;0;0;1860864;25680896;0.00;0.00;0.00;7269;100316;430340;401264;134;33;0;0;1799424;25629184;0.00;0.00;0.00;7029;100114;428572;400456;135;33;0;0;1849600;25796608;0.00;0.00;0.00;7225;100768;431972;403072;134;33;0;0;2013440;25978368;0.00;0.00;0.00;7865;101478;437372;405912;101;33;0;0;1903616;25795840;0.00;0.00;0.00;7436;100765;432804;403060;101;33;0;0;1841664;25783808;0.00;0.00;0.00;7194;100718;431648;402872;103;33;0;0;2035968;25932032;0.00;0.00;0.00;7953;101297;437000;405188;102;33;0;0;1866240;25781760;0.00;0.00;0.00;7290;100710;432000;402840;102;33;0;0;1850624;25765632;0.00;0.00;0.00;7229;100647;431504;402588;102;33;0;0;
1535956168;2195066368;1852160;25672448;0.00;0.00;0.00;7235;100283;430072;401132;145;33;0;0;1861632;25628416;0.00;0.00;0.00;7272;100111;429532;400444;134;33;0;0;1829120;25557760;0.00;0.00;0.00;7145;99835;427920;399340;134;33;0;0;1840896;25581824;0.00;0.00;0.00;7191;99929;428480;399716;135;33;0;0;1803264;25523968;0.00;0.00;0.00;7044;99703;426988;398812;134;33;0;0;1820416;25449472;0.00;0.00;0.00;7111;99412;426092;397648;135;33;0;0;2004736;25517824;0.00;0.00;0.00;7831;99679;430040;398716;103;33;0;0;1861376;25349888;0.00;0.00;0.00;7271;99023;425176;396092;102;33;0;0;1806592;25201152;0.00;0.00;0.00;7057;98442;421996;393768;102;33;0;0;1938432;25337600;0.00;0.00;0.00;7572;98975;426188;395900;102;33;0;0;1823232;25319424;0.00;0.00;0.00;7122;98904;424104;395616;102;33;0;0;1819136;25358080;0.00;0.00;0.00;7106;99055;424644;396220;101;33;0;0;
1535956169;2195050828;1856000;25719040;0.00;0.00;0.00;7250;100465;430860;401860;163;33;0;0;1886208;25762048;0.00;0.00;0.00;7368;100633;432004;402532;135;33;0;0;1846528;25897216;0.00;0.00;0.00;7213;101161;433496;404644;134;33;0;0;1875200;25927680;0.00;0.00;0.00;7325;101280;434420;405120;134;33;0;0;1833472;26017280;0.00;0.00;0.00;7162;101630;435168;406520;135;33;0;0;1881856;26183168;0.00;0.00;0.00;7351;102278;438516;409112;134;33;0;0;2016256;26481664;0.00;0.00;0.00;7876;103444;445280;413776;101;33;0;0;1967104;26646016;0.00;0.00;0.00;7684;104086;447080;416344;102;33;0;0;1916160;26882816;0.00;0.00;0.00;7485;105011;449984;420044;102;33;0;0;2098432;27076864;0.00;0.00;0.00;8197;105769;455864;423076;101;33;0;0;1987840;27060992;0.00;0.00;0.00;7765;105707;453888;422828;102;33;0;0;1952768;27215616;0.00;0.00;0.00;7628;106311;455756;425244;102;33;0;0;
1535956170;2195102976;1846784;25675264;0.00;0.00;0.00;7214;100294;430032;401176;145;33;0;0;1887488;25752576;0.00;0.00;0.00;7373;100596;431876;402384;135;33;0;0;1832448;25734144;0.00;0.00;0.00;7158;100524;430728;402096;134;33;0;0;1847040;25786880;0.00;0.00;0.00;7215;100730;431780;402920;135;33;0;0;1812480;25748480;0.00;0.00;0.00;7080;100580;430640;402320;134;33;0;0;1857792;25837824;0.00;0.00;0.00;7257;100929;432744;403716;135;33;0;0;1975552;25945856;0.00;0.00;0.00;7717;101351;436272;405404;101;33;0;0;1928960;25912320;0.00;0.00;0.00;7535;101220;435020;404880;101;33;0;0;1842944;25861120;0.00;0.00;0.00;7199;101020;432876;404080;102;33;0;0;2032128;25922816;0.00;0.00;0.00;7938;101261;436796;405044;101;33;0;0;1883136;25803520;0.00;0.00;0.00;7356;100795;432604;403180;101;33;0;0;1836288;25700096;0.00;0.00;0.00;7173;100391;430256;401564;101;33;0;0;
1535956171;2195122214;1854208;25675776;0.00;0.00;0.00;7243;100296;430156;401184;134;33;0;0;1876736;25683200;0.00;0.00;0.00;7331;100325;430624;401300;135;33;0;0;1820928;25648128;0.00;0.00;0.00;7113;100188;429204;400752;134;33;0;0;1852928;25673216;0.00;0.00;0.00;7238;100286;430096;401144;134;33;0;0;1816320;25654016;0.00;0.00;0.00;7095;100211;429224;400844;134;33;0;0;1833472;25774592;0.00;0.00;0.00;7162;100682;431376;402728;134;33;0;0;1979648;25822720;0.00;0.00;0.00;7733;100870;434412;403480;101;33;0;0;1906176;25797376;0.00;0.00;0.00;7446;100771;432868;403084;101;33;0;0;1827328;25756160;0.00;0.00;0.00;7138;100610;430992;402440;101;33;0;0;2018560;25925120;0.00;0.00;0.00;7885;101270;436620;405080;101;33;0;0;1891584;25840640;0.00;0.00;0.00;7389;100940;433316;403760;102;33;0;0;1850368;25872640;0.00;0.00;0.00;7228;101065;433172;404260;101;33;0;0;
1535956172;2195086444;1844736;25666048;0.00;0.00;0.00;7206;100258;429856;401032;136;33;0;0;1893632;25682688;0.00;0.00;0.00;7397;100323;430880;401292;134;33;0;0;1819136;25596672;0.00;0.00;0.00;7106;99987;428372;399948;134;33;0;0;1839360;25572352;0.00;0.00;0.00;7185;99892;428308;399568;135;33;0;0;1797888;25516800;0.00;0.00;0.00;7023;99675;426792;398700;135;33;0;0;1815296;25481984;0.00;0.00;0.00;7091;99539;426520;398156;134;33;0;0;2007040;25632768;0.00;0.00;0.00;7840;100128;431872;400512;101;33;0;0;1894400;25489408;0.00;0.00;0.00;7400;99568;427872;398272;101;33;0;0;1795328;25372672;0.00;0.00;0.00;7013;99112;424500;396448;101;33;0;0;1999872;25436416;0.00;0.00;0.00;7812;99361;428692;397444;102;33;0;0;1866496;25317120;0.00;0.00;0.00;7291;98895;424744;395580;102;33;0;0;1816320;25312768;0.00;0.00;0.00;7095;98878;423892;395512;101;33;0;0;
1535956173;2195056526;1866496;25707776;0.00;0.00;0.00;7291;100421;430848;401684;134;33;0;0;1850624;25721600;0.00;0.00;0.00;7229;100475;430816;401900;134;33;0;0;1821184;25813248;0.00;0.00;0.00;7114;100833;431788;403332;134;33;0;0;1855744;25856512;0.00;0.00;0.00;7249;101002;433004;404008;134;33;0;0;1804032;25772032;0.00;0.00;0.00;7047;100672;430876;402688;134;33;0;0;1834752;25744896;0.00;0.00;0.00;7167;100566;430932;402264;134;33;0;0;1990912;25824256;0.00;0.00;0.00;7777;100876;434612;403504;101;33;0;0;1909760;25747968;0.00;0.00;0.00;7460;100578;432152;402312;101;33;0;0;1835520;25838080;0.00;0.00;0.00;7170;100930;432400;403720;102;33;0;0;2035712;26064896;0.00;0.00;0.00;7952;101816;439072;407264;101;33;0;0;1915136;25993728;0.00;0.00;0.00;7481;101538;436076;406152;101;33;0;0;1869056;25926400;0.00;0.00;0.00;7301;101275;434304;405100;101;33;0;0;
