# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Mon Sep  3 02:47:09 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535957230;2195018552;1937664;25801472;0.00;0.00;0.00;7569;100787;433424;403148;135;33;0;0;1867520;25858048;0.00;0.00;0.00;7295;101008;433212;404032;135;33;0;0;1861632;25949952;0.00;0.00;0.00;7272;101367;434556;405468;136;33;0;0;1860352;25976832;0.00;0.00;0.00;7267;101472;434956;405888;136;33;0;0;1881344;26031872;0.00;0.00;0.00;7349;101687;436144;406748;135;33;0;0;1866496;26131968;0.00;0.00;0.00;7291;102078;437476;408312;135;33;0;0;2082304;26367744;0.00;0.00;0.00;8134;102999;444532;411996;103;33;0;0;1926912;26255104;0.00;0.00;0.00;7527;102559;440344;410236;103;33;0;0;1876224;26175488;0.00;0.00;0.00;7329;102248;438308;408992;103;33;0;0;1930496;26144000;0.00;0.00;0.00;7541;102125;438664;408500;103;33;0;0;1888768;26063104;0.00;0.00;0.00;7378;101809;436748;407236;103;33;0;0;1883136;26062080;0.00;0.00;0.00;7356;101805;436644;407220;102;33;0;0;
1535957231;2195018438;1921792;25727232;0.00;0.00;0.00;7507;100497;432016;401988;134;33;0;0;1866240;25678592;0.00;0.00;0.00;7290;100307;430388;401228;135;33;0;0;1853952;25686784;0.00;0.00;0.00;7242;100339;430324;401356;134;33;0;0;1849344;25824768;0.00;0.00;0.00;7224;100878;432408;403512;134;33;0;0;1842688;25912832;0.00;0.00;0.00;7198;101222;433680;404888;135;33;0;0;1849344;25914880;0.00;0.00;0.00;7224;101230;433816;404920;135;33;0;0;1984768;25990400;0.00;0.00;0.00;7753;101525;437112;406100;102;33;0;0;1923072;26078720;0.00;0.00;0.00;7512;101870;437528;407480;101;33;0;0;1873920;26099712;0.00;0.00;0.00;7320;101952;437088;407808;102;33;0;0;1900288;26172672;0.00;0.00;0.00;7423;102237;438640;408948;102;33;0;0;1914624;26267136;0.00;0.00;0.00;7479;102606;440340;410424;103;33;0;0;1883136;26286336;0.00;0.00;0.00;7356;102681;440148;410724;102;33;0;0;
1535957232;2195073246;1958400;25746944;0.00;0.00;0.00;7650;100574;432896;402296;134;33;0;0;1875456;25671424;0.00;0.00;0.00;7326;100279;430420;401116;135;33;0;0;1828608;25641984;0.00;0.00;0.00;7143;100164;429228;400656;135;33;0;0;1852416;25520896;0.00;0.00;0.00;7236;99691;427708;398764;136;33;0;0;1812736;25372160;0.00;0.00;0.00;7081;99110;424764;396440;135;33;0;0;1808384;25298944;0.00;0.00;0.00;7064;98824;423552;395296;136;33;0;0;1965568;25339392;0.00;0.00;0.00;7678;98982;426640;395928;102;33;0;0;1867520;25093888;0.00;0.00;0.00;7295;98023;421272;392092;102;33;0;0;1775360;24950016;0.00;0.00;0.00;6935;97461;417584;389844;103;33;0;0;1819904;24894720;0.00;0.00;0.00;7109;97245;417416;388980;103;33;0;0;1796096;24804352;0.00;0.00;0.00;7016;96892;415632;387568;102;33;0;0;1782528;24811520;0.00;0.00;0.00;6963;96920;415532;387680;101;33;0;0;
1535957233;2195044170;2002176;25805056;0.00;0.00;0.00;7821;100801;434488;403204;137;33;0;0;1850880;25661440;0.00;0.00;0.00;7230;100240;429880;400960;135;33;0;0;1843200;25676800;0.00;0.00;0.00;7200;100300;430000;401200;135;33;0;0;1863168;25725440;0.00;0.00;0.00;7278;100490;431072;401960;134;33;0;0;1867520;25866240;0.00;0.00;0.00;7295;101040;433340;404160;134;33;0;0;1855488;25971968;0.00;0.00;0.00;7248;101453;434804;405812;135;33;0;0;1990400;26130176;0.00;0.00;0.00;7775;102071;439384;408284;103;33;0;0;1957120;26159104;0.00;0.00;0.00;7645;102184;439316;408736;102;33;0;0;1864192;26261760;0.00;0.00;0.00;7282;102585;439468;410340;102;33;0;0;1947392;26439936;0.00;0.00;0.00;7607;103281;443552;413124;102;33;0;0;1951488;26535168;0.00;0.00;0.00;7623;103653;445104;414612;103;33;0;0;1904128;26518784;0.00;0.00;0.00;7438;103589;444108;414356;101;33;0;0;
1535957234;2195071270;2057728;25848576;0.00;0.00;0.00;8038;100971;436036;403884;136;33;0;0;1868544;25687552;0.00;0.00;0.00;7299;100342;430564;401368;135;33;0;0;1842432;25690112;0.00;0.00;0.00;7197;100352;430196;401408;135;33;0;0;1849344;25710080;0.00;0.00;0.00;7224;100430;430616;401720;134;33;0;0;1858048;25708800;0.00;0.00;0.00;7258;100425;430732;401700;134;33;0;0;1848064;25684480;0.00;0.00;0.00;7219;100330;430196;401320;135;33;0;0;2024448;25802240;0.00;0.00;0.00;7908;100790;434792;403160;102;33;0;0;1886976;25671168;0.00;0.00;0.00;7371;100278;430596;401112;102;33;0;0;1844224;25554688;0.00;0.00;0.00;7204;99823;428108;399292;101;33;0;0;1877248;25547008;0.00;0.00;0.00;7333;99793;428504;399172;102;33;0;0;1860096;25540352;0.00;0.00;0.00;7266;99767;428132;399068;101;33;0;0;1839872;25560832;0.00;0.00;0.00;7187;99847;428136;399388;102;33;0;0;
1535957235;2195030820;2008576;25807872;0.00;0.00;0.00;7846;100812;434632;403248;138;33;0;0;1878784;25684480;0.00;0.00;0.00;7339;100330;430676;401320;135;33;0;0;1812736;25639424;0.00;0.00;0.00;7081;100154;428940;400616;134;33;0;0;1848320;25774848;0.00;0.00;0.00;7220;100683;431612;402732;134;33;0;0;1861376;25745152;0.00;0.00;0.00;7271;100567;431352;402268;134;33;0;0;1858560;25746176;0.00;0.00;0.00;7260;100571;431324;402284;135;33;0;0;1991424;25803264;0.00;0.00;0.00;7779;100794;434292;403176;101;33;0;0;1922048;25892096;0.00;0.00;0.00;7508;101141;434596;404564;101;33;0;0;1861632;25945344;0.00;0.00;0.00;7272;101349;434484;405396;102;33;0;0;1907712;25952512;0.00;0.00;0.00;7452;101377;435316;405508;102;33;0;0;1895936;25990656;0.00;0.00;0.00;7406;101526;435728;406104;102;33;0;0;1850112;25977856;0.00;0.00;0.00;7227;101476;434812;405904;102;33;0;0;
1535957236;2195032268;2005248;25798144;0.00;0.00;0.00;7833;100774;434428;403096;145;33;0;0;1836544;25641984;0.00;0.00;0.00;7174;100164;429352;400656;135;33;0;0;1836288;25645568;0.00;0.00;0.00;7173;100178;429404;400712;134;33;0;0;1830912;25527296;0.00;0.00;0.00;7152;99716;427472;398864;135;33;0;0;1834496;25436160;0.00;0.00;0.00;7166;99360;426104;397440;135;33;0;0;1815552;25502208;0.00;0.00;0.00;7092;99618;426840;398472;135;33;0;0;1983232;25702144;0.00;0.00;0.00;7747;100399;432584;401596;101;33;0;0;1890304;25526016;0.00;0.00;0.00;7384;99711;428380;398844;101;33;0;0;1819392;25394176;0.00;0.00;0.00;7107;99196;425212;396784;103;33;0;0;1871360;25437952;0.00;0.00;0.00;7310;99367;426708;397468;102;33;0;0;1848576;25454080;0.00;0.00;0.00;7221;99430;426604;397720;102;33;0;0;1832960;25469440;0.00;0.00;0.00;7160;99490;426600;397960;101;33;0;0;
1535957237;2195068532;2053376;25843200;0.00;0.00;0.00;8021;100950;435884;403800;135;33;0;0;1860352;25699840;0.00;0.00;0.00;7267;100390;430628;401560;135;33;0;0;1824256;25681408;0.00;0.00;0.00;7126;100318;429776;401272;135;33;0;0;1859840;25726720;0.00;0.00;0.00;7265;100495;431040;401980;134;33;0;0;1871104;25847808;0.00;0.00;0.00;7309;100968;433108;403872;134;33;0;0;1848064;25810176;0.00;0.00;0.00;7219;100821;432160;403284;134;33;0;0;1993728;25842944;0.00;0.00;0.00;7788;100949;434948;403796;102;33;0;0;1913600;25781760;0.00;0.00;0.00;7475;100710;432740;402840;102;33;0;0;1851648;25876224;0.00;0.00;0.00;7233;101079;433248;404316;101;33;0;0;1915648;25919488;0.00;0.00;0.00;7483;101248;434924;404992;101;33;0;0;1850880;25811968;0.00;0.00;0.00;7230;100828;432232;403312;101;33;0;0;1860864;25936128;0.00;0.00;0.00;7269;101313;434328;405252;102;33;0;0;
1535957238;2195025558;2058752;25852928;0.00;0.00;0.00;8042;100988;436120;403952;136;33;0;0;1868800;25680128;0.00;0.00;0.00;7300;100313;430452;401252;134;33;0;0;1854464;25684224;0.00;0.00;0.00;7244;100329;430292;401316;135;33;0;0;1835264;25661952;0.00;0.00;0.00;7169;100242;429644;400968;135;33;0;0;1852416;25666560;0.00;0.00;0.00;7236;100260;429984;401040;134;33;0;0;1839104;25670656;0.00;0.00;0.00;7184;100276;429840;401104;135;33;0;0;1999104;25783040;0.00;0.00;0.00;7809;100715;434096;402860;102;33;0;0;1916928;25697024;0.00;0.00;0.00;7488;100379;431468;401516;102;33;0;0;1820416;25640704;0.00;0.00;0.00;7111;100159;429080;400636;101;33;0;0;1857280;25635840;0.00;0.00;0.00;7255;100140;429580;400560;102;33;0;0;1870848;25681664;0.00;0.00;0.00;7308;100319;430508;401276;102;33;0;0;1825024;25571072;0.00;0.00;0.00;7129;99887;428064;399548;101;33;0;0;
1535957239;2195106972;2082560;25883136;0.00;0.00;0.00;8135;101106;436964;404424;144;33;0;0;1866496;25673472;0.00;0.00;0.00;7291;100287;430312;401148;135;33;0;0;1838592;25662976;0.00;0.00;0.00;7182;100246;429712;400984;135;33;0;0;1844480;25661440;0.00;0.00;0.00;7205;100240;429780;400960;135;33;0;0;1869312;25535744;0.00;0.00;0.00;7302;99749;428204;398996;135;33;0;0;1819648;25390592;0.00;0.00;0.00;7108;99182;425160;396728;135;33;0;0;1956352;25558272;0.00;0.00;0.00;7642;99837;429916;399348;102;33;0;0;1908736;25606400;0.00;0.00;0.24;7456;100025;429924;400100;101;33;0;0;1829376;25480192;0.00;0.00;0.00;7146;99532;426712;398128;101;33;0;0;1840896;25373696;0.00;0.00;0.00;7191;99116;425228;396464;103;33;0;0;1859328;25453312;0.00;0.00;0.00;7263;99427;426760;397708;102;33;0;0;1815808;25496320;0.00;0.00;0.00;7093;99595;426752;398380;102;33;0;0;
