# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Mon Sep  3 02:40:13 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535956814;2195015356;1843200;25742592;0.00;0.00;0.00;7200;100557;431028;402228;135;33;0;0;1895168;25901056;0.00;0.00;0.00;7403;101176;434316;404704;135;33;0;0;1848320;25972224;0.00;0.00;0.00;7220;101454;434696;405816;135;33;0;0;1876992;26049792;0.00;0.00;0.00;7332;101757;436356;407028;136;33;0;0;2294016;25938176;0.00;0.00;0.00;8961;101321;441128;405284;135;33;0;0;1821184;25785600;0.00;0.00;0.00;7114;100725;431356;402900;136;33;0;0;1900032;25783808;0.00;0.00;0.00;7422;100718;432560;402872;101;33;0;0;1958912;25969152;0.00;0.00;0.00;7652;101442;436376;405768;101;33;0;0;1878272;26008320;0.00;0.00;0.00;7337;101595;435728;406380;102;33;0;0;2007296;26170112;0.00;0.00;0.00;7841;102227;440272;408908;102;33;0;0;1885184;26109184;0.00;0.00;0.00;7364;101989;437412;407956;103;33;0;0;1851136;26128896;0.00;0.00;0.00;7231;102066;437188;408264;102;33;0;0;
1535956815;2195067600;1841408;25675520;0.00;0.00;0.00;7193;100295;429952;401180;134;33;0;0;1878016;25735168;0.00;0.00;0.00;7336;100528;431456;402112;135;33;0;0;1837056;25732096;0.00;0.00;0.00;7176;100516;430768;402064;134;33;0;0;1863936;25796864;0.00;0.00;0.00;7281;100769;432200;403076;134;33;0;0;2311424;25833728;0.00;0.00;0.00;9029;100913;439768;403652;135;33;0;0;1834752;25801216;0.00;0.00;0.00;7167;100786;431812;403144;135;33;0;0;1910016;25974528;0.00;0.00;0.00;7461;101463;435696;405852;101;33;0;0;1954304;25948928;0.00;0.00;0.00;7634;101363;435988;405452;101;33;0;0;1859328;25852416;0.00;0.00;0.00;7263;100986;432996;403944;103;33;0;0;1990144;25924096;0.00;0.00;0.00;7774;101266;436160;405064;102;33;0;0;1917184;25928704;0.00;0.00;0.00;7489;101284;435092;405136;101;33;0;0;1858048;26036224;0.00;0.00;0.00;7258;101704;435848;406816;102;33;0;0;
1535956816;2195041618;1833984;25654272;0.00;0.00;0.00;7164;100212;429504;400848;138;33;0;0;1853696;25600256;0.00;0.00;0.97;7241;100001;428968;400004;134;33;0;0;1846272;25577472;0.00;0.00;0.00;7212;99912;428496;399648;136;33;0;0;1824256;25652224;0.00;0.00;0.00;7126;100204;429320;400816;135;33;0;0;2269440;25785344;0.00;0.00;0.00;8865;100724;438356;402896;134;33;0;0;1840640;25788416;0.00;0.00;0.00;7190;100736;431704;402944;135;33;0;0;1864960;25666304;0.00;0.00;0.00;7285;100259;430176;401036;101;33;0;0;1912064;25777408;0.00;0.00;0.00;7469;100693;432648;402772;102;33;0;0;1836032;25758464;0.00;0.00;0.00;7172;100619;431164;402476;101;33;0;0;2006528;25869568;0.00;0.00;0.00;7838;101053;435564;404212;103;33;0;0;1880320;25787904;0.00;0.00;0.00;7345;100734;432316;402936;101;33;0;0;1817600;25677568;0.00;0.00;0.00;7100;100303;429612;401212;101;33;0;0;
1535956817;2195069184;1839104;25664512;0.00;0.00;0.00;7184;100252;429744;401008;134;33;0;0;1905664;25698304;0.00;0.00;0.00;7444;100384;431312;401536;135;33;0;0;1834752;25739776;0.00;0.00;0.00;7167;100546;430852;402184;134;33;0;0;1860864;25736448;0.00;0.00;0.00;7269;100533;431208;402132;135;33;0;0;2248960;25697536;0.00;0.00;0.00;8785;100381;436664;401524;135;33;0;0;1836032;25783040;0.00;0.00;0.00;7172;100715;431548;402860;134;33;0;0;1855488;25822976;0.00;0.00;0.00;7248;100871;432476;403484;102;33;0;0;1924864;25806848;0.00;0.00;0.00;7519;100808;433308;403232;101;33;0;0;1860352;25804544;0.00;0.00;0.00;7267;100799;432264;403196;102;33;0;0;2030080;25975552;0.00;0.00;0.00;7930;101467;437588;405868;102;33;0;0;1887744;25918464;0.00;0.00;0.00;7374;101244;434472;404976;102;33;0;0;1860352;25939968;0.00;0.00;0.00;7267;101328;434380;405312;102;33;0;0;
1535956818;2195038714;1852928;25666560;0.00;0.00;0.00;7238;100260;429992;401040;134;33;0;0;1862912;25659904;0.00;0.00;0.00;7277;100234;430044;400936;134;33;0;0;1830912;25541632;0.00;0.00;0.00;7152;99772;427696;399088;135;33;0;0;1838848;25582848;0.00;0.00;0.00;7183;99933;428464;399732;135;33;0;0;2248448;25638912;0.00;0.00;0.00;8783;100152;435740;400608;135;33;0;0;1800448;25496576;0.00;0.00;0.00;7033;99596;426516;398384;134;33;0;0;1832448;25438464;0.00;0.00;0.00;7158;99369;426108;397476;103;33;0;0;1891840;25417984;0.00;0.00;0.00;7390;99289;426716;397156;103;33;0;0;1804800;25261568;0.00;0.00;0.00;7050;98678;422912;394712;103;33;0;0;1975552;25283584;0.00;0.00;0.00;7717;98764;425924;395056;102;33;0;0;1802752;24985600;0.00;0.00;0.00;7042;97600;418568;390400;102;33;0;0;1788416;24881920;0.00;0.00;0.00;6986;97195;416724;388780;103;33;0;0;
1535956819;2195114320;1852160;25671168;0.00;0.00;0.00;7235;100278;430052;401112;153;33;0;0;1866752;25703936;0.00;0.00;0.00;7292;100406;430792;401624;135;33;0;0;1844480;25797376;0.00;0.00;0.00;7205;100771;431904;403084;134;33;0;0;1835776;25753088;0.00;0.00;0.00;7171;100598;431076;402392;134;33;0;0;2253312;25822208;0.00;0.00;0.00;8802;100868;438680;403472;134;33;0;0;1871872;25897472;0.00;0.00;0.00;7312;101162;433896;404648;135;33;0;0;1887488;25992192;0.00;0.00;0.00;7373;101532;435620;406128;101;33;0;0;1914112;26169600;0.00;0.00;0.00;7477;102225;438808;408900;101;33;0;0;1909248;26341888;0.00;0.00;0.00;7458;102898;441424;411592;101;33;0;0;2055680;26593280;0.00;0.00;0.00;8030;103880;447640;415520;102;33;0;0;1958656;26643968;0.00;0.00;0.00;7651;104078;446916;416312;102;33;0;0;1907712;26695168;0.00;0.00;0.00;7452;104278;446920;417112;102;33;0;0;
1535956820;2195062966;1877760;25680384;0.00;0.00;0.00;7335;100314;430596;401256;151;33;0;0;1866240;25658880;0.00;0.00;0.00;7290;100230;430080;400920;134;33;0;0;1837056;25651712;0.00;0.00;0.00;7176;100202;429512;400808;134;33;0;0;1822976;25645824;0.00;0.00;0.00;7121;100179;429200;400716;134;33;0;0;2271232;25689088;0.00;0.00;0.00;8872;100348;436880;401392;134;33;0;0;1812224;25635072;0.00;0.00;0.00;7079;100137;428864;400548;134;33;0;0;1853440;25638144;0.00;0.00;0.00;7240;100149;429556;400596;101;33;0;0;1918976;25680640;0.00;0.00;0.00;7496;100315;431244;401260;101;33;0;0;1854464;25643776;0.00;0.00;0.00;7244;100171;429660;400684;101;33;0;0;2011136;25720064;0.00;0.00;0.00;7856;100469;433300;401876;101;33;0;0;1876224;25664000;0.00;0.00;0.00;7329;100250;430316;401000;102;33;0;0;1841408;25718784;0.00;0.00;0.00;7193;100464;430628;401856;101;33;0;0;
1535956821;2195119014;1859584;25677824;0.00;0.00;0.00;7264;100304;430272;401216;153;33;0;0;1856000;25688832;0.00;0.00;0.00;7250;100347;430388;401388;134;33;0;0;1846784;25693696;0.00;0.00;0.00;7214;100366;430320;401464;134;33;0;0;1850112;25674496;0.00;0.00;0.00;7227;100291;430072;401164;134;33;0;0;2247680;25688576;0.00;0.00;0.00;8780;100346;436504;401384;134;33;0;0;1825792;25661696;0.00;0.00;0.00;7132;100241;429492;400964;134;33;0;0;1847808;25597952;0.00;0.00;0.00;7218;99992;428840;399968;101;33;0;0;1878272;25606656;0.00;0.00;0.21;7337;100026;429452;400104;101;33;0;0;1836800;25526272;0.00;0.00;0.00;7175;99712;427548;398848;101;33;0;0;1997568;25614592;0.00;0.00;0.00;7803;100057;431440;400228;101;33;0;0;1856512;25468928;0.00;0.00;0.00;7252;99488;426960;397952;101;33;0;0;1818880;25456640;0.00;0.00;0.00;7105;99440;426180;397760;101;33;0;0;
1535956822;2195088962;1842944;25656320;0.00;0.00;0.00;7199;100220;429676;400880;153;33;0;0;1844736;25654272;0.00;0.00;0.00;7206;100212;429672;400848;134;33;0;0;1831168;25571584;0.00;0.00;0.00;7153;99889;428168;399556;134;33;0;0;1841152;25565696;0.00;0.00;0.00;7192;99866;428232;399464;135;33;0;0;2232064;25568000;0.00;0.00;0.00;8719;99875;434376;399500;135;33;0;0;1826816;25530368;0.00;0.00;0.00;7136;99728;427456;398912;135;33;0;0;1844224;25470208;0.00;0.00;0.00;7204;99493;426788;397972;101;33;0;0;1896960;25525504;0.00;0.00;0.00;7410;99709;428476;398836;102;33;0;0;1825792;25531648;0.00;0.00;0.00;7132;99733;427460;398932;102;33;0;0;1985280;25649408;0.00;0.00;0.00;7755;100193;431792;400772;101;33;0;0;1876992;25589504;0.00;0.00;0.00;7332;99959;429164;399836;101;33;0;0;1806848;25579520;0.00;0.00;0.00;7058;99920;427912;399680;101;33;0;0;
1535956823;2195108300;1870592;25688832;0.00;0.00;0.00;7307;100347;430616;401388;150;33;0;0;1857536;25695232;0.00;0.00;0.00;7256;100372;430512;401488;134;33;0;0;1839360;25723392;0.00;0.00;0.00;7185;100482;430668;401928;134;33;0;0;1848320;25806592;0.00;0.00;0.00;7220;100807;432108;403228;134;33;0;0;2289152;25778176;0.00;0.00;0.00;8942;100696;438552;402784;135;33;0;0;1832704;25775872;0.00;0.00;0.00;7159;100687;431384;402748;135;33;0;0;1883392;25849856;0.00;0.00;0.00;7357;100976;433332;403904;102;33;0;0;1904896;25842688;0.00;0.00;0.00;7441;100948;433556;403792;101;33;0;0;1840640;25840128;0.00;0.00;0.00;7190;100938;432512;403752;101;33;0;0;2059776;25965312;0.00;0.00;0.00;8046;101427;437892;405708;101;33;0;0;1859072;25731840;0.00;0.00;0.00;7262;100515;431108;402060;101;33;0;0;1845760;25654784;0.00;0.00;0.00;7210;100214;429696;400856;102;33;0;0;
