# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Mon Sep  3 06:29:15 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535970556;2195040762;1873664;26091520;0.00;0.00;0.00;7319;101920;436956;407680;135;1371;0;0;1913600;25933312;0.00;0.00;0.00;7475;101302;435108;405208;135;33;0;0;1856000;25999872;0.00;0.00;0.00;7250;101562;435248;406248;135;33;0;0;1862144;26011392;0.00;0.00;0.00;7274;101607;435524;406428;135;33;0;0;1868800;25873408;0.00;0.00;0.00;7300;101068;433472;404272;135;33;0;0;1850624;25799936;0.00;0.00;0.00;7229;100781;432040;403124;136;33;0;0;1851648;25692928;0.00;0.00;0.00;7233;100363;430384;401452;102;33;0;0;1870080;25692672;0.00;0.00;0.00;7305;100362;430668;401448;102;33;0;0;1820928;25641472;0.00;0.00;0.00;7113;100162;429100;400648;102;33;0;0;1840384;25611520;0.00;0.00;0.00;7189;100045;428936;400180;103;33;0;0;1875712;25650944;0.00;0.00;0.00;7327;100199;430104;400796;103;33;0;0;1817088;25630976;0.00;0.00;0.00;7098;100121;428876;400484;103;33;0;0;
1535970557;2195020616;3071488;80123648;0.00;0.00;0.00;11998;312983;1299924;1251932;134;211503;0;0;1890048;25684224;0.00;0.00;0.00;7383;100329;430848;401316;135;33;0;0;1813504;25658880;0.00;0.00;0.00;7084;100230;429256;400920;135;33;0;0;1841664;25794816;0.00;0.00;0.00;7194;100761;431820;403044;135;33;0;0;1871360;25868288;0.00;0.00;0.00;7310;101048;433432;404192;134;33;0;0;1849600;26006528;0.00;0.00;0.00;7225;101588;435252;406352;135;33;0;0;1908480;26108672;0.00;0.00;0.00;7455;101987;437768;407948;102;33;0;0;1913856;26303232;0.00;0.00;0.00;7476;102747;440892;410988;102;33;0;0;1894656;26453248;0.00;0.00;0.00;7401;103333;442936;413332;102;33;0;0;1933568;26619648;0.00;0.00;0.00;7553;103983;446144;415932;102;33;0;0;1952000;26791168;0.00;0.00;0.00;7625;104653;449112;418612;102;33;0;0;1920512;26976256;0.00;0.00;0.00;7502;105376;451512;421504;102;33;0;0;
1535970558;2195053850;1858560;25678592;0.00;0.00;0.00;7260;100307;430268;401228;135;33;0;0;1858304;25655808;0.00;0.00;0.00;7259;100218;429908;400872;135;33;0;0;1816832;25638400;0.00;0.00;0.00;7097;100150;428988;400600;134;33;0;0;1854720;25522944;0.00;0.00;0.00;7245;99699;427776;398796;135;33;0;0;1882368;25479424;0.00;0.00;0.00;7353;99529;427528;398116;136;33;0;0;1794560;25285120;0.00;0.00;0.00;7010;98770;423120;395080;136;33;0;0;1850880;25207040;0.00;0.00;0.00;7230;98465;422780;393860;102;33;0;0;1832192;25029376;0.00;0.00;0.00;7157;97771;419712;391084;102;33;0;0;1767424;24863232;0.00;0.00;0.00;6904;97122;416104;388488;103;33;0;0;1767936;24643072;0.00;0.00;0.00;6906;96262;412672;385048;102;33;0;0;1774592;24529408;0.00;0.00;0.00;6932;95818;411000;383272;102;33;0;0;1739264;24347904;0.00;0.00;0.00;6794;95109;407612;380436;102;33;0;0;
1535970559;2195104942;1869056;25687552;0.00;0.00;0.00;7301;100342;430572;401368;134;33;0;0;1860096;25714176;0.00;0.00;0.00;7266;100446;430848;401784;135;33;0;0;1839360;25765120;0.00;0.00;0.00;7185;100645;431320;402580;135;33;0;0;1861376;25813504;0.00;0.00;0.00;7271;100834;432420;403336;135;33;0;0;1874944;25819136;0.00;0.00;0.00;7324;100856;432720;403424;135;33;0;0;1818624;25816576;0.00;0.00;0.00;7104;100846;431800;403384;136;33;0;0;1888256;26009600;0.00;0.00;0.00;7376;101600;435904;406400;102;33;0;0;1898496;26122240;0.00;0.00;0.00;7416;102040;437824;408160;102;33;0;0;1871104;26197504;0.00;0.00;0.00;7309;102334;438572;409336;103;33;0;0;1887232;26215680;0.00;0.00;0.00;7372;102405;439108;409620;102;33;0;0;1927680;26319104;0.00;0.00;0.00;7530;102809;441356;411236;103;33;0;0;1885184;26350080;0.00;0.00;0.00;7364;102930;441176;411720;102;33;0;0;
1535970560;2195051928;1856256;25672192;0.00;0.00;0.00;7251;100282;430132;401128;144;33;0;0;1855488;25602304;0.00;0.00;0.73;7248;100009;429028;400036;134;33;0;0;1812736;25650688;0.00;0.00;0.00;7081;100198;429116;400792;135;33;0;0;1851136;25721856;0.00;0.00;0.00;7231;100476;430828;401904;134;33;0;0;1906944;25813248;0.00;0.00;0.00;7449;100833;433128;403332;134;33;0;0;1814016;25754368;0.00;0.00;0.00;7086;100603;430756;402412;135;33;0;0;1882112;25647872;0.00;0.00;0.00;7352;100187;430156;400748;101;33;0;0;1866752;25719808;0.00;0.00;0.00;7292;100468;431040;401872;102;33;0;0;1831424;25751808;0.00;0.00;0.00;7154;100593;430988;402372;101;33;0;0;1889280;25792000;0.00;0.00;0.00;7380;100750;432520;403000;103;33;0;0;1875712;25762560;0.00;0.00;0.00;7327;100635;431848;402540;102;33;0;0;1842688;25811200;0.00;0.00;0.00;7198;100825;432092;403300;102;33;0;0;
1535970561;2195050286;1844224;25673472;0.00;0.00;0.00;7204;100287;429964;401148;143;33;0;0;1869056;25673728;0.00;0.00;0.00;7301;100288;430356;401152;134;33;0;0;1810944;25554432;0.00;0.00;0.00;7074;99822;427584;399288;135;33;0;0;1845760;25505024;0.00;0.00;0.00;7210;99629;427356;398516;135;33;0;0;1835264;25570560;0.00;0.00;0.00;7169;99885;428216;399540;135;33;0;0;1813248;25643776;0.00;0.00;0.00;7083;100171;429016;400684;134;33;0;0;1897472;25725952;0.00;0.00;0.00;7412;100492;431616;401968;101;33;0;0;1858816;25665024;0.00;0.00;0.00;7261;100254;430060;401016;101;33;0;0;1817600;25651968;0.00;0.00;0.00;7100;100203;429212;400812;102;33;0;0;1854208;25660672;0.00;0.00;0.00;7243;100237;429920;400948;101;33;0;0;1884160;25779456;0.00;0.00;0.00;7360;100701;432244;402804;101;33;0;0;1824000;25775872;0.00;0.00;0.00;7125;100687;431248;402748;102;33;0;0;
1535970562;2195058792;1849856;25666304;0.00;0.00;0.00;7226;100259;429940;401036;135;33;0;0;1886976;25679616;0.00;0.00;0.00;7371;100311;430728;401244;135;33;0;0;1817088;25651456;0.00;0.00;0.00;7098;100201;429196;400804;135;33;0;0;1856768;25646848;0.00;0.00;0.00;7253;100183;429744;400732;135;33;0;0;1846784;25487360;0.00;0.00;0.00;7214;99560;427096;398240;134;33;0;0;1826304;25562368;0.00;0.00;0.00;7134;99853;427948;399412;135;33;0;0;1882624;25579520;0.00;0.00;0.00;7354;99920;429096;399680;101;33;0;0;1876480;25514752;0.00;0.00;0.00;7330;99667;427988;398668;101;33;0;0;1806080;25449216;0.00;0.00;0.00;7055;99411;425864;397644;103;33;0;0;1823488;25397760;0.00;0.00;0.00;7123;99210;425332;396840;102;33;0;0;1838592;25362688;0.00;0.00;0.00;7182;99073;425020;396292;102;33;0;0;1776384;25258496;0.00;0.00;0.00;6939;98666;422420;394664;103;33;0;0;
1535970563;2195125432;1862912;25700608;0.00;0.00;0.08;7277;100393;430680;401572;340;425;0;0;1863680;25663232;0.00;0.00;0.00;7280;100247;430108;400988;135;33;0;0;1814272;25646592;0.00;0.00;0.00;7087;100182;429076;400728;135;33;0;0;1853440;25671936;0.00;0.00;0.00;7240;100281;430084;401124;135;33;0;0;1860352;25672448;0.00;0.00;0.00;7267;100283;430200;401132;134;33;0;0;1807616;25641216;0.00;0.00;0.00;7061;100161;428888;400644;134;33;0;0;1878016;25661952;0.00;0.00;0.00;7336;100242;430312;400968;102;33;0;0;1890560;25680896;0.00;0.00;0.00;7385;100316;430804;401264;103;33;0;0;1819392;25621504;0.00;0.00;0.00;7107;100084;428764;400336;102;33;0;0;1857024;25579776;0.00;0.00;0.00;7254;99921;428700;399684;103;33;0;0;1830656;25516544;0.00;0.00;0.00;7151;99674;427300;398696;103;33;0;0;1792768;25596672;0.00;0.00;0.00;7003;99987;427960;399948;101;33;0;0;
1535970564;2195023316;1840640;25660928;0.00;0.00;0.00;7190;100238;429712;400952;136;33;0;0;1857280;25727232;0.00;0.00;0.00;7255;100497;431008;401988;135;33;0;0;1811968;25747712;0.00;0.00;0.00;7078;100577;430620;402308;134;33;0;0;1855744;25811200;0.00;0.00;0.00;7249;100825;432296;403300;135;33;0;0;1852160;25794304;0.00;0.00;0.00;7235;100759;431976;403036;135;33;0;0;1819392;25656832;0.00;0.00;0.00;7107;100222;429316;400888;135;33;0;0;1884160;25759488;0.00;0.00;0.00;7360;100623;431932;402492;102;33;0;0;1926144;25833472;0.00;0.00;0.00;7524;100912;433744;403648;101;33;0;0;1814272;25791744;0.00;0.00;0.00;7087;100749;431344;402996;102;33;0;0;1874176;25804032;0.00;0.00;0.00;7321;100797;432472;403188;102;33;0;0;1898752;25928448;0.00;0.00;0.00;7417;101283;434800;405132;102;33;0;0;1848064;25889792;0.00;0.00;0.00;7219;101132;433404;404528;102;33;0;0;
1535970565;2195022456;1861120;25682688;0.00;0.00;0.00;7270;100323;430372;401292;135;33;0;0;1849088;25586432;0.00;0.00;0.00;7223;99947;428680;399788;134;33;0;0;1825024;25573632;0.00;0.00;0.00;7129;99897;428104;399588;136;33;0;0;1819648;25518592;0.00;0.00;0.00;7108;99682;427160;398728;135;33;0;0;1822208;25543680;0.00;0.00;0.00;7118;99780;427592;399120;134;33;0;0;1813760;25675264;0.00;0.00;0.00;7085;100294;429516;401176;134;33;0;0;1882880;25626112;0.00;0.00;0.00;7355;100102;429828;400408;102;33;0;0;1910272;25618176;0.00;0.00;0.00;7462;100071;430132;400284;103;33;0;0;1810944;25547008;0.00;0.00;0.00;7074;99793;427468;399172;102;33;0;0;1861632;25531904;0.00;0.00;0.00;7272;99734;428024;398936;102;33;0;0;1861632;25560064;0.00;0.00;0.00;7272;99844;428464;399376;102;33;0;0;1804288;25558016;0.00;0.00;0.00;7048;99836;427536;399344;101;33;0;0;
