# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Tue Sep  4 16:43:15 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536093796;2195191140;79081472;331343360;0.64;0.21;0.27;308912;1294310;6412888;5177240;856531;1635091;0;0;2853888;39093760;0.00;0.00;0.00;11148;152710;655432;610840;135;33;0;0;3471872;48559872;0.00;0.00;0.00;13562;189687;812996;758748;135;33;0;0;4626688;59061504;0.00;0.00;0.00;18073;230709;995128;922836;135;33;0;0;5000704;68489728;0.00;0.00;0.00;19534;267538;1148288;1070152;135;33;0;0;5593856;78603008;0.00;0.00;0.00;21851;307043;1315576;1228172;135;33;0;0;6435328;89175040;0.00;0.00;0.00;25138;348340;1493912;1393360;102;33;0;0;7252992;99158272;0.00;0.00;0.00;28332;387337;1662676;1549348;102;33;0;0;7755776;109435136;0.00;0.00;0.00;30296;427481;1831108;1709924;102;33;0;0;8627968;119762944;0.00;0.00;0.00;33703;467824;2006108;1871296;102;33;0;0;9546496;129945600;0.00;0.00;0.00;37291;507600;2179564;2030400;102;33;0;0;9933824;140067584;0.00;0.00;0.00;38804;547139;2343772;2188556;102;33;0;0;
1536093804;17559131450;3021988096;12916208384;0.64;0.15;0.17;11804641;50453939;249034320;201815756;32532986;59510863;0;0;15218944;207676672;0.00;0.00;0.00;59449;811237;3482744;3244948;134;33;0;0;14771200;207984896;0.00;0.00;0.00;57700;812441;3480564;3249764;134;33;0;0;16504064;208977664;0.00;0.00;0.00;64469;816319;3523152;3265276;134;33;0;0;15023360;208005888;0.00;0.00;0.00;58685;812523;3484832;3250092;134;33;0;0;14743040;208202240;0.00;0.00;0.00;57590;813290;3483520;3253160;134;33;0;0;14864384;206937344;0.00;0.00;0.00;58064;808349;3465652;3233396;101;33;0;0;15280640;208258560;0.00;0.00;0.00;59690;813510;3492800;3254040;101;33;0;0;14816768;208250112;0.00;0.00;0.00;57878;813477;3485420;3253908;101;33;0;0;14970880;208035072;0.00;0.00;0.00;58480;812637;3484468;3250548;101;33;0;0;15632384;208814592;0.00;0.00;0.00;61064;815682;3506984;3262728;101;33;0;0;14732032;208179968;0.00;0.00;0.00;57547;813203;3483000;3252812;101;33;0;0;
1536093812;17559064288;2982602752;12830571776;0.64;0.15;0.16;11650792;50119421;247080852;200477684;32104269;58994392;0;0;15262208;207872512;0.00;0.00;0.00;59618;812002;3486480;3248008;134;33;0;0;14865920;209073920;0.00;0.00;0.00;58070;816695;3499060;3266780;134;33;0;0;16312832;211014400;0.00;0.00;0.00;63722;824275;3551988;3297100;134;33;0;0;15307008;210774528;0.00;0.00;0.00;59793;823338;3532524;3293352;134;33;0;0;14998784;210548224;0.00;0.00;0.00;58589;822454;3524172;3289816;134;33;0;0;15257088;211552512;0.00;0.00;0.00;59598;826377;3543900;3305508;101;33;0;0;15533824;211798784;0.00;0.00;0.00;60679;827339;3552072;3309356;101;33;0;0;14912256;210705152;0.00;0.00;0.00;58251;823067;3525272;3292268;101;33;0;0;15143936;209716736;0.00;0.00;0.00;59156;819206;3513448;3276824;101;33;0;0;15424512;209993984;0.00;0.00;0.00;60252;820289;3522164;3281156;101;33;0;0;14943232;210347520;0.00;0.00;0.00;58372;821670;3520168;3286680;101;33;0;0;
1536093820;17559198246;2959672064;12747590400;0.64;0.15;0.16;11561219;49795275;245425976;199181100;31845241;58386794;0;0;14868736;204138496;0.00;0.00;0.00;58081;797416;3421988;3189664;134;33;0;0;14479616;203896320;0.00;0.00;0.00;56561;796470;3412124;3185880;134;33;0;0;15694592;203925760;0.00;0.00;0.00;61307;796585;3431568;3186340;134;33;0;0;14693120;201789184;0.00;0.00;0.00;57395;788239;3382536;3152956;134;33;0;0;14406400;202317312;0.00;0.00;0.00;56275;790302;3386308;3161208;134;33;0;0;14557440;201634048;0.00;0.00;0.00;56865;787633;3377992;3150532;101;33;0;0;14870016;202013952;0.00;0.00;0.00;58086;789117;3388812;3156468;101;33;0;0;14396160;202842368;0.00;0.00;0.00;56235;792353;3394352;3169412;101;33;0;0;14723072;203518208;0.00;0.00;0.00;57512;794993;3410020;3179972;101;33;0;0;14905088;204226048;0.00;0.00;0.00;58223;797758;3423924;3191032;101;33;0;0;14455808;203505920;0.00;0.00;0.00;56468;794945;3405652;3179780;101;33;0;0;
1536093828;17559177490;2969885696;12722589184;0.64;0.15;0.16;11601116;49697614;245194920;198790456;31786375;58254822;0;0;14945536;205118464;0.00;0.00;0.00;58381;801244;3438500;3204976;134;33;0;0;14412800;203777792;0.00;0.00;0.00;56300;796007;3409228;3184028;134;33;0;0;16023040;205128960;0.00;0.00;0.00;62590;801285;3455500;3205140;134;33;0;0;14913024;205533184;0.00;0.00;0.00;58254;802864;3444472;3211456;134;33;0;0;14519808;205273344;0.00;0.00;0.00;56718;801849;3434268;3207396;134;33;0;0;14895872;205798144;0.00;0.00;0.00;58187;803899;3448344;3215596;101;33;0;0;15086848;205513216;0.00;0.00;0.00;58933;802786;3446876;3211144;101;33;0;0;14487552;204612864;0.00;0.00;0.00;56592;799269;3423444;3197076;101;33;0;0;14818560;204542976;0.00;0.00;0.00;57885;798996;3427524;3195984;101;33;0;0;14896128;204437504;0.00;0.00;0.00;58188;798584;3427088;3194336;101;33;0;0;14470144;204488192;0.00;0.00;0.00;56524;798782;3421224;3195128;101;33;0;0;
1536093836;17559115354;2989118976;12778034688;0.63;0.15;0.16;11676246;49914198;246361776;199656792;31962502;58519157;0;0;14946304;204871680;0.00;0.00;0.00;58384;800280;3434656;3201120;134;33;0;0;14375424;203432448;0.00;0.00;0.00;56154;794658;3403248;3178632;134;33;0;0;15879680;201769472;0.00;0.00;0.00;62030;788162;3400768;3152648;134;33;0;0;14107648;194353152;0.00;0.00;0.00;55108;759192;3257200;3036768;134;33;0;0;13312768;187622656;0.00;0.00;0.00;52003;732901;3139616;2931604;134;33;0;0;12901888;178811648;0.00;0.00;0.00;50398;698483;2995524;2793932;101;33;0;0;12536576;170484224;0.00;0.00;0.00;48971;665954;2859700;2663816;101;33;0;0;11460352;161173760;0.00;0.00;0.00;44767;629585;2697408;2518340;101;33;0;0;10928640;151414528;0.00;0.00;0.00;42690;591463;2536612;2365852;101;33;0;0;10330880;141774592;0.00;0.00;0.00;40355;553807;2376648;2215228;101;33;0;0;9307904;131835392;0.00;0.00;0.00;36359;514982;2205364;2059928;101;33;0;0;
1536093844;17559168894;26957822720;4344344576;0.56;0.31;0.34;105303995;16970096;489096364;67880384;238497017;24617713;0;0;13772800;189620992;0.00;0.00;0.00;53800;740707;3178028;2962828;134;33;0;0;12843776;181173760;0.00;0.00;0.00;50171;707710;3031524;2830840;134;33;0;0;13954048;175817984;0.00;0.00;0.00;54508;686789;2965188;2747156;134;33;0;0;12297472;170126848;0.00;0.00;0.00;48037;664558;2850380;2658232;134;33;0;0;11794432;166154496;0.00;0.00;0.00;46072;649041;2780452;2596164;134;33;0;0;11800320;164157952;0.00;0.00;0.00;46095;641242;2749348;2564968;101;33;0;0;11967232;163028736;0.00;0.00;0.00;46747;636831;2734312;2547324;101;33;0;0;11489024;162242048;0.00;0.00;0.00;44879;633758;2714548;2535032;101;33;0;0;11683584;161791232;0.00;0.00;0.00;45639;631997;2710544;2527988;101;33;0;0;11839488;161714944;0.00;0.00;0.00;46248;631699;2711788;2526796;101;33;0;0;11394304;161341696;0.00;0.00;0.00;44509;630241;2699000;2520964;102;33;0;0;
1536093852;17558950436;55770403328;433337344;0.18;0.00;0.00;217853138;1692724;878183448;6770896;266611857;168;0;0;15660288;205975808;0.00;0.00;0.00;61173;804593;3463064;3218372;134;33;0;0;14597120;205320448;0.00;0.00;0.00;57020;802033;3436212;3208132;134;33;0;0;16288512;206615296;0.00;0.00;0.00;63627;807091;3482872;3228364;135;33;0;0;14862592;205363456;0.00;0.00;0.00;58057;802201;3441032;3208804;134;33;0;0;14575360;205275136;0.00;0.00;0.00;56935;801856;3435164;3207424;134;33;0;0;14880256;205218816;0.00;0.00;0.00;58126;801636;3439048;3206544;101;33;0;0;15067136;205486080;0.00;0.00;0.00;58856;802680;3446144;3210720;101;33;0;0;14613760;205344000;0.00;0.00;0.00;57085;802125;3436840;3208500;101;33;0;0;14899456;205261568;0.00;0.00;0.00;58201;801803;3440016;3207212;102;33;0;0;15138304;205533952;0.00;0.00;0.00;59134;802867;3448004;3211468;101;33;0;0;14581248;205376512;0.00;0.00;0.00;56958;802252;3436840;3209008;102;33;0;0;
1536093860;17558936640;55770297344;433372416;0.18;0.00;0.00;217852724;1692861;878182340;6771444;266517325;33;0;0;15890432;206135808;0.00;0.00;0.00;62072;805218;3469160;3220872;134;33;0;0;14574848;205286656;0.00;0.00;0.00;56933;801901;3435336;3207604;134;33;0;0;15928832;206260224;0.00;0.00;0.00;62222;805704;3471704;3222816;135;33;0;0;14947840;205362688;0.00;0.00;0.00;58390;802198;3442352;3208792;134;33;0;0;14530816;205130752;0.00;0.00;0.00;56761;801292;3432212;3205168;134;33;0;0;14884608;205085184;0.00;0.00;0.00;58143;801114;3437028;3204456;101;33;0;0;14988544;205195520;0.00;0.00;0.00;58549;801545;3440376;3206180;101;33;0;0;14551296;205064448;0.00;0.00;0.00;56841;801033;3431496;3204132;101;33;0;0;14813440;204962048;0.00;0.00;0.00;57865;800633;3433992;3202532;101;33;0;0;15132416;205276672;0.00;0.00;0.00;59111;801862;3443892;3207448;102;33;0;0;14503680;205024000;0.00;0.00;0.00;56655;800875;3430120;3203500;101;33;0;0;
1536093868;17558960980;55771103232;433326336;0.18;0.00;0.00;217855872;1692681;878194212;6770724;266508262;33;0;0;15007232;205307648;0.00;0.00;0.00;58622;801983;3442420;3207932;134;33;0;0;14515712;205015040;0.00;0.00;0.00;56702;800840;3430168;3203360;134;33;0;0;15773184;205798400;0.00;0.00;0.00;61614;803900;3462056;3215600;135;33;0;0;14847488;204865792;0.00;0.00;0.00;57998;800257;3433020;3201028;135;33;0;0;14545408;204659200;0.00;0.00;0.00;56818;799450;3425072;3197800;136;33;0;0;14741760;204345856;0.00;0.00;0.00;57585;798226;3423244;3192904;102;33;0;0;14952192;204505856;0.00;0.00;0.00;58407;798851;3429032;3195404;102;33;0;0;14537728;204242176;0.00;0.00;0.00;56788;797821;3418436;3191284;102;33;0;0;14769408;203943680;0.00;0.00;0.00;57693;796655;3417392;3186620;103;33;0;0;14988544;204026624;0.00;0.00;0.00;58549;796979;3422112;3187916;103;33;0;0;14453248;203660288;0.00;0.00;0.00;56458;795548;3408024;3182192;103;33;0;0;
