# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Tue Sep  4 01:09:40 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536037781;2195027164;1867008;25853696;0.00;0.00;0.00;7293;100991;433136;403964;135;552;0;0;1867520;25838336;0.00;0.00;0.00;7295;100931;432904;403724;135;33;0;0;1846528;25926656;0.00;0.00;0.00;7213;101276;433956;405104;136;33;0;0;1876480;25971968;0.00;0.00;0.00;7330;101453;435132;405812;136;33;0;0;1905152;26015232;0.00;0.00;0.00;7442;101622;436256;406488;136;33;0;0;1854720;26013184;0.00;0.00;0.00;7245;101614;435436;406456;136;33;0;0;1875968;25989120;0.00;0.00;0.00;7328;101520;435392;406080;103;33;0;0;1918976;26034688;0.00;0.00;0.00;7496;101698;436776;406792;103;33;0;0;1840384;26004736;0.00;0.00;0.00;7189;101581;435080;406324;103;33;0;0;1868800;25986048;0.00;0.00;0.00;7300;101508;435232;406032;103;33;0;0;1926912;26043648;0.00;0.00;0.00;7527;101733;437040;406932;103;33;0;0;1836800;26000640;0.00;0.00;0.00;7175;101565;434960;406260;103;33;0;0;
1536037782;2195123578;339087360;1417383936;0.64;0.18;0.19;1324560;5536656;27444864;22146624;3653178;6745683;0;0;3080704;42258944;0.00;0.00;0.00;12034;165074;708432;660296;135;33;0;0;3666176;51776768;0.00;0.00;0.00;14321;202253;866296;809012;134;33;0;0;4385536;61125632;0.00;0.00;0.00;17131;238772;1023612;955088;135;33;0;0;5233664;71490560;0.00;0.00;0.00;20444;279260;1198816;1117040;134;33;0;0;5760768;81339648;0.00;0.00;0.00;22503;317733;1360944;1270932;135;33;0;0;6605312;91332608;0.00;0.00;0.00;25802;356768;1530280;1427072;102;33;0;0;7465984;101984768;0.00;0.00;0.00;29164;398378;1710168;1593512;102;33;0;0;7960320;112266240;0.00;0.00;0.00;31095;438540;1878540;1754160;102;33;0;0;8820736;121945344;0.00;0.00;0.00;34456;476349;2043220;1905396;102;33;0;0;9634816;131859200;0.00;0.00;0.00;37636;515075;2210844;2060300;102;33;0;0;9946880;140641792;0.00;0.00;0.00;38855;549382;2352948;2197528;102;33;0;0;
1536037790;17558956254;2948271360;12794025984;0.64;0.15;0.17;11516685;49976664;245973396;199906656;32199467;58923236;0;0;14990592;205449216;0.00;0.00;0.00;58557;802536;3444372;3210144;134;33;0;0;14544640;205255424;0.00;0.00;0.00;56815;801779;3434376;3207116;134;33;0;0;14767360;205572864;0.00;0.00;0.00;57685;803019;3442816;3212076;134;33;0;0;14933760;205485312;0.00;0.00;0.00;58335;802677;3444048;3210708;134;33;0;0;14512384;204033536;0.00;0.00;0.00;56689;797006;3414780;3188024;134;33;0;0;14680320;204185344;0.00;0.00;0.00;57345;797599;3419776;3190396;101;33;0;0;15021824;204253440;0.00;0.00;0.00;58679;797865;3426176;3191460;101;33;0;0;14516224;204547840;0.00;0.00;0.00;56704;799015;3422876;3196060;101;33;0;0;14789888;204388096;0.00;0.00;0.00;57773;798391;3424656;3193564;101;33;0;0;14966272;205160704;0.00;0.00;0.00;58462;801409;3439484;3205636;101;33;0;0;14617088;206068224;0.00;0.00;0.00;57098;804954;3448208;3219816;101;33;0;0;
1536037798;17558914472;2940295168;12817367808;0.64;0.15;0.17;11485528;50067843;246213484;200271372;32157949;59065570;0;0;15085824;206364416;0.00;0.00;0.00;58929;806111;3460160;3224444;134;33;0;0;14734336;206773760;0.00;0.00;0.00;57556;807710;3461064;3230840;134;33;0;0;14938880;206970368;0.00;0.00;0.00;58355;808478;3467332;3233912;134;33;0;0;15049216;206893824;0.00;0.00;0.00;58786;808179;3467860;3232716;134;33;0;0;14802432;208382464;0.00;0.00;0.00;57822;813994;3487264;3255976;134;33;0;0;15011584;207680768;0.00;0.00;0.00;58639;811253;3479568;3245012;101;33;0;0;15209728;207881728;0.00;0.00;0.00;59413;812038;3485804;3248152;101;33;0;0;14709504;207255552;0.00;0.00;0.00;57459;809592;3468204;3238368;101;33;0;0;15018496;207575040;0.00;0.00;0.00;58666;810840;3478024;3243360;101;33;0;0;15203328;207900672;0.00;0.00;0.00;59388;812112;3486000;3248448;101;33;0;0;14749184;207710208;0.00;0.00;0.00;57614;811368;3475928;3245472;101;33;0;0;
1536037806;17559360500;2934355712;12807849984;0.64;0.15;0.16;11462327;50030664;245971964;200122656;32089369;58844503;0;0;14897152;204530944;0.00;0.00;0.00;58192;798949;3428564;3195796;134;33;0;0;14465792;204081920;0.00;0.00;0.00;56507;797195;3414808;3188780;134;33;0;0;14767872;204546560;0.00;0.00;0.00;57687;799010;3426788;3196040;134;33;0;0;14841088;204474880;0.00;0.00;0.00;57973;798730;3426812;3194920;134;33;0;0;14413056;203775232;0.00;0.00;0.00;56301;795997;3409192;3183988;134;33;0;0;14765824;204055040;0.00;0.00;0.00;57679;797090;3419076;3188360;101;33;0;0;15009024;204192000;0.00;0.00;0.00;58629;797625;3425016;3190500;101;33;0;0;14491136;204058880;0.00;0.00;0.00;56606;797105;3414844;3188420;101;33;0;0;14822400;203797248;0.00;0.00;0.00;57900;796083;3415932;3184332;101;33;0;0;14923008;203973120;0.00;0.00;0.00;58293;796770;3420252;3187080;101;33;0;0;14502912;204143360;0.00;0.00;0.00;56652;797435;3416348;3189740;101;33;0;0;
1536037814;17559014418;2932169216;12774489088;0.64;0.15;0.16;11453786;49900348;245416536;199601392;32016431;58790681;0;0;14915584;205716224;0.00;0.00;0.00;58264;803579;3447372;3214316;134;33;0;0;14642176;206691584;0.00;0.00;0.00;57196;807389;3458340;3229556;134;33;0;0;14909440;206936320;0.00;0.00;0.00;58240;808345;3466340;3233380;134;33;0;0;15012864;207076096;0.00;0.00;0.00;58644;808891;3470140;3235564;134;33;0;0;14776832;208081408;0.00;0.00;0.00;57722;812818;3482160;3251272;134;33;0;0;15038464;208128256;0.00;0.00;0.00;58744;813001;3486980;3252004;101;33;0;0;15283200;208281600;0.00;0.00;0.00;59700;813600;3493200;3254400;101;33;0;0;14741248;207943424;0.00;0.00;0.00;57583;812279;3479448;3249116;101;33;0;0;15049728;208940288;0.00;0.00;0.00;58788;816173;3499844;3264692;101;33;0;0;15308800;208454656;0.00;0.00;0.00;59800;814276;3496304;3257104;101;33;0;0;14882048;209260544;0.00;0.00;0.00;58133;817424;3502228;3269696;101;33;0;0;
1536037822;17559163116;3017795072;12652468224;0.65;0.15;0.16;11788262;49423704;244847864;197694816;33559118;58190002;0;0;14577152;200260864;0.00;0.00;0.00;56942;782269;3356844;3129076;134;33;0;0;13804544;194974464;0.00;0.00;0.00;53924;761619;3262172;3046476;134;33;0;0;13598976;189161728;0.00;0.00;0.00;53121;738913;3168136;2955652;134;33;0;0;13030144;181279232;0.00;0.00;0.00;50899;708122;3036084;2832488;134;33;0;0;12110592;171443456;0.00;0.00;0.00;47307;669701;2868032;2678804;134;33;0;0;11698688;161824768;0.00;0.00;0.00;45698;632128;2711304;2528512;101;33;0;0;11160832;152286208;0.00;0.00;0.00;43597;594868;2553860;2379472;101;33;0;0;10132992;142226432;0.00;0.00;0.00;39582;555572;2380616;2222288;101;33;0;0;9465856;131367680;0.00;0.00;0.00;36976;513155;2200524;2052620;101;33;0;0;8904960;121974528;0.00;0.00;0.00;34785;476463;2044992;1905852;101;33;0;0;7873536;111084032;0.00;0.00;0.00;30756;433922;1858712;1735688;101;33;0;0;
1536037830;17558963430;12220530176;12693626880;0.73;0.18;0.19;47736446;49584480;389283704;198337920;177368518;60350381;0;0;20610048;283402240;0.00;0.00;0.00;80508;1107040;4750192;4428160;670;165;0;0;23214336;327160832;0.00;0.00;0.00;90681;1277972;5474612;5111888;670;165;0;0;26933504;374043904;0.00;0.00;0.00;105209;1461109;6265272;5844436;670;165;0;0;29941504;417057792;0.00;0.00;0.00;116959;1629132;6984364;6516528;670;165;0;0;33001728;464839936;0.00;0.00;0.00;128913;1815781;7778776;7263124;670;165;0;0;37085184;514443520;0.00;0.00;0.00;144864;2009545;8617636;8038180;505;165;0;0;41779712;567937536;0.00;0.00;0.00;163202;2218506;9526832;8874024;505;165;0;0;43806208;617092096;0.00;0.00;0.00;171118;2410516;10326536;9642064;506;165;0;0;48079872;666718720;0.00;0.00;0.00;187812;2604370;11168728;10417480;537;165;0;0;49554176;677563136;0.00;0.00;0.00;193571;2646731;11361208;10586924;505;165;0;0;48749568;686451968;0.00;0.00;0.00;190428;2681453;11487524;10725812;505;165;0;0;
1536037862;70235292306;11187667712;49133525504;0.64;0.15;0.17;43701827;191927834;942518644;767711336;123100203;226245573;0;0;54336512;747448832;0.00;0.00;0.00;212252;2919722;12527896;11678888;134;33;0;0;50191872;706364672;0.00;0.00;0.00;196062;2759237;11821196;11036948;134;33;0;0;47763968;663833600;0.00;0.00;0.00;186578;2593100;11118712;10372400;134;33;0;0;45407744;626885632;0.00;0.00;0.00;177374;2448772;10504584;9795088;134;33;0;0;41533696;585672448;0.00;0.00;0.00;162241;2287783;9800096;9151132;134;33;0;0;39187456;542588928;0.00;0.00;0.00;153076;2119488;9090256;8477952;101;33;0;0;36597760;497282304;0.00;0.00;0.00;142960;1942509;8341876;7770036;101;33;0;0;32265984;453343488;0.00;0.00;0.00;126039;1770873;7587648;7083492;101;33;0;0;29527296;408748544;0.00;0.00;0.00;115341;1596674;6848060;6386696;101;33;0;0;29502464;404267264;0.00;0.00;0.00;115244;1579169;6777652;6316676;101;33;0;0;28355840;399844864;0.00;0.00;0.00;110765;1561894;6690636;6247576;101;33;0;0;
1536037894;70235322182;67757109248;34740661760;0.30;0.03;0.05;264676208;135705710;1601527672;542822840;380456215;139873529;0;0;58762496;806285312;0.00;0.00;0.00;229541;3149552;13516372;12598208;134;33;0;0;56553984;797879808;0.00;0.00;0.00;220914;3116718;13350528;12466872;134;33;0;0;56846336;790405888;0.00;0.00;0.00;222056;3087523;13238316;12350092;134;33;0;0;56976384;783121152;0.00;0.00;0.00;222564;3059067;13126524;12236268;134;33;0;0;55013632;775191296;0.00;0.00;0.00;214897;3028091;12971952;12112364;134;33;0;0;55441664;767938048;0.00;0.00;0.00;216569;2999758;12865308;11999032;101;33;0;0;55923712;762781952;0.00;0.00;0.00;218452;2979617;12792276;11918468;101;33;0;0;53794048;756265728;0.00;0.00;0.00;210133;2954163;12657184;11816652;101;33;0;0;54354688;750422528;0.00;0.00;0.00;212323;2931338;12574644;11725352;101;33;0;0;54526720;746210304;0.00;0.00;0.00;212995;2914884;12511516;11659536;101;33;0;0;52553472;741167104;0.00;0.00;0.00;205287;2895184;12401884;11580736;101;33;0;0;
