# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Mon Sep  3 04:13:55 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535962436;2195029672;1832448;25729024;0.00;0.00;0.00;7158;100504;430648;402016;135;33;0;0;1876992;25887488;0.00;0.00;0.00;7332;101123;433820;404492;135;33;0;0;1848320;26062592;0.00;0.00;0.00;7220;101807;436108;407228;135;33;0;0;1885184;26196224;0.00;0.00;0.00;7364;102329;438772;409316;135;33;0;0;1926400;26304000;0.00;0.00;0.00;7525;102750;441100;411000;136;33;0;0;1863936;26307840;0.00;0.00;0.00;7281;102765;440184;411060;136;33;0;0;1905664;26342400;0.00;0.00;0.00;7444;102900;441376;411600;103;33;0;0;1934080;26378240;0.00;0.00;0.00;7555;103040;442380;412160;103;33;0;0;1860096;26349568;0.00;0.00;0.00;7266;102928;440776;411712;103;33;0;0;1909248;26352128;0.00;0.00;0.00;7458;102938;441584;411752;103;33;0;0;1927680;26370816;0.00;0.00;0.00;7530;103011;442164;412044;103;33;0;0;1863168;26354432;0.00;0.00;0.00;7278;102947;440900;411788;103;33;0;0;
1535962437;2195197706;200583168;837154048;0.64;0.21;0.23;783528;3270133;16214644;13080532;2163630;4137121;0;0;2907392;39869184;0.00;0.00;0.00;11357;155739;668384;622956;134;33;0;0;3751168;52815872;0.00;0.00;0.00;14653;206312;883860;825248;134;33;0;0;4670464;64873216;0.00;0.00;0.00;18244;253411;1086620;1013644;135;33;0;0;5383680;74338304;0.00;0.00;0.00;21030;290384;1245656;1161536;134;33;0;0;6114048;85998336;0.00;0.00;0.00;23883;335931;1439256;1343724;134;33;0;0;7065088;97098752;0.00;0.00;0.00;27598;379292;1627560;1517168;101;33;0;0;7920640;108155648;0.00;0.00;0.00;30940;422483;1813692;1689932;102;33;0;0;8413184;118244608;0.00;0.00;0.00;32864;461893;1979028;1847572;102;33;0;0;9312768;129358336;0.00;0.00;0.00;36378;505306;2166736;2021224;102;33;0;0;10285056;140955904;0.00;0.00;0.00;40176;550609;2363140;2202436;102;33;0;0;10629120;149745152;0.00;0.00;0.00;41520;584942;2505848;2339768;102;33;0;0;
1535962445;17559121938;2958739456;12847866368;0.64;0.15;0.16;11557576;50186978;246978216;200747912;32433125;59018907;0;0;15071744;207729152;0.00;0.00;0.00;58874;811442;3481264;3245768;134;33;0;0;14793984;208425984;0.00;0.00;0.00;57789;814164;3487812;3256656;134;33;0;0;15005696;209401600;0.00;0.00;0.00;58616;817975;3506364;3271900;134;33;0;0;15330048;210878720;0.00;0.00;0.00;59883;823745;3534512;3294980;134;33;0;0;15009536;211503360;0.00;0.00;0.00;58631;826185;3539264;3304740;134;33;0;0;15301632;211225088;0.00;0.00;0.00;59772;825098;3539480;3300392;101;33;0;0;15614464;212527616;0.00;0.00;0.00;60994;830186;3564720;3320744;101;33;0;0;15123968;213559296;0.00;0.00;0.00;59078;834216;3573176;3336864;101;33;0;0;15389952;214132736;0.00;0.00;0.00;60117;836456;3586292;3345824;101;33;0;0;15642368;214089216;0.00;0.00;0.00;61103;836286;3589556;3345144;101;33;0;0;15389440;216835840;0.00;0.00;0.00;60115;847015;3628520;3388060;101;33;0;0;
1535962453;17559005128;2925021440;12808547840;0.64;0.15;0.16;11425865;50033390;245837020;200133560;32089156;58616450;0;0;15003648;206065664;0.00;0.00;0.00;58608;804944;3454208;3219776;134;33;0;0;14528768;205046016;0.00;0.00;0.00;56753;800961;3430856;3203844;134;33;0;0;14711552;204974848;0.00;0.00;0.00;57467;800683;3432600;3202732;134;33;0;0;14931968;205387776;0.00;0.00;0.00;58328;802296;3442496;3209184;134;33;0;0;14507264;204333312;0.00;0.00;0.00;56669;798177;3419384;3192708;134;33;0;0;14810624;204744192;0.00;0.00;0.00;57854;799782;3430544;3199128;101;33;0;0;15133952;205435648;0.00;0.00;0.00;59117;802483;3446400;3209932;101;33;0;0;14514432;204594944;0.00;0.00;0.00;56697;799199;3423584;3196796;101;33;0;0;14890496;204697088;0.00;0.00;0.00;58166;799598;3431056;3198392;101;33;0;0;14874880;203794176;0.00;0.00;0.00;58105;796071;3416704;3184284;101;33;0;0;14411520;202981120;0.00;0.00;0.00;56295;792895;3396760;3171580;101;33;0;0;
1535962461;17559288614;2923386112;12796905728;0.64;0.15;0.16;11419477;49987913;245629560;199951652;31996349;58612848;0;0;14922752;205516544;0.00;0.00;0.00;58292;802799;3444364;3211196;134;33;0;0;14514688;204638976;0.00;0.00;0.00;56698;799371;3424276;3197484;134;33;0;0;14760704;204819712;0.00;0.00;0.00;57659;800077;3430944;3200308;134;33;0;0;14821888;204979200;0.00;0.00;0.00;57898;800700;3434392;3202800;134;33;0;0;14601216;205812224;0.00;0.00;0.00;57036;803954;3443960;3215816;134;33;0;0;14896384;205265152;0.00;0.00;0.00;58189;801817;3440024;3207268;101;33;0;0;15092992;205188352;0.00;0.00;0.00;58957;801517;3441896;3206068;101;33;0;0;14492160;204722176;0.00;0.00;0.00;56610;799696;3425224;3198784;101;33;0;0;14803712;205241088;0.00;0.00;0.00;57827;801723;3438200;3206892;101;33;0;0;15017216;205748736;0.00;0.00;0.00;58661;803706;3449468;3214824;101;33;0;0;14766080;208029952;0.00;0.00;0.00;57680;812617;3481188;3250468;101;33;0;0;
1535962469;17559007522;2925125120;12806512640;0.64;0.15;0.16;11426270;50025440;245806840;200101760;32037433;58717536;0;0;15145728;208011520;0.00;0.00;0.00;59163;812545;3486832;3250180;134;33;0;0;14653952;206785024;0.00;0.00;0.00;57242;807754;3459984;3231016;134;33;0;0;14739200;205383680;0.00;0.00;0.00;57575;802280;3439420;3209120;134;33;0;0;14796544;204910848;0.00;0.00;0.00;57799;800433;3432928;3201732;134;33;0;0;14593024;205385472;0.00;0.00;0.00;57004;802287;3437164;3209148;134;33;0;0;14858240;205257984;0.00;0.00;0.00;58040;801789;3439316;3207156;101;33;0;0;15136512;206805760;0.00;0.00;0.00;59127;807835;3467848;3231340;101;33;0;0;14618112;206520576;0.00;0.00;0.00;57102;806721;3455292;3226884;101;33;0;0;14933248;206535680;0.00;0.00;0.00;58333;806780;3460452;3227120;101;33;0;0;15109376;206163968;0.00;0.00;0.00;59021;805328;3457396;3221312;101;33;0;0;14557952;205747200;0.00;0.00;0.00;56867;803700;3442268;3214800;101;33;0;0;
1535962477;17559062454;2928323072;12825695744;0.64;0.15;0.16;11438762;50100374;246156544;200401496;32104072;58746296;0;0;14785536;202983936;0.00;0.00;0.00;57756;792906;3402648;3171624;134;33;0;0;14456576;203718912;0.00;0.00;0.00;56471;795777;3408992;3183108;134;33;0;0;14740224;205658112;0.00;0.00;0.00;57579;803352;3443724;3213408;134;33;0;0;14910720;205504256;0.00;0.00;0.00;58245;802751;3443984;3211004;134;33;0;0;14300928;201501440;0.00;0.00;0.00;55863;787115;3371912;3148460;134;33;0;0;14375424;197696256;0.00;0.00;0.00;56154;772251;3313620;3089004;101;33;0;0;13888000;189816320;0.00;0.00;0.00;54250;741470;3182880;2965880;101;33;0;0;12967168;182692608;0.00;0.00;0.00;50653;713643;3057184;2854572;101;33;0;0;12539136;172920832;0.00;0.00;0.00;48981;675472;2897812;2701888;101;33;0;0;12012800;164564736;0.00;0.00;0.00;46925;642831;2759024;2571324;101;33;0;0;10753024;151783936;0.00;0.00;0.00;42004;592906;2539640;2371624;101;33;0;0;
1535962485;17559134498;12238104576;10427589632;0.73;0.19;0.20;47805096;40732772;354151472;162931088;179950027;50120728;0;0;14719232;203296000;0.00;0.00;0.00;57497;794125;3406488;3176500;134;33;0;0;14521344;203896320;0.00;0.00;0.00;56724;796470;3412776;3185880;134;33;0;0;14586112;203488000;0.00;0.00;0.00;56977;794875;3407408;3179500;134;33;0;0;14705664;203139584;0.00;0.00;0.00;57444;793514;3403832;3174056;134;33;0;0;14606848;206068224;0.00;0.00;0.00;57058;804954;3448048;3219816;134;33;0;0;15106304;208305920;0.00;0.00;0.00;59009;813695;3490816;3254780;101;33;0;0;15958272;216852736;0.00;0.00;0.00;62337;847081;3637672;3388324;101;33;0;0;15813120;222652672;0.00;0.00;0.00;61770;869737;3726028;3478948;101;33;0;0;16643328;230095360;0.00;0.00;0.00;65013;898810;3855292;3595240;101;33;0;0;17367552;238238976;0.00;0.00;0.00;67842;930621;3993852;3722484;101;33;0;0;17696512;248949248;0.00;0.00;0.00;69127;972458;4166340;3889832;101;33;0;0;
1535962493;17559149476;2938278400;12839097856;0.64;0.15;0.16;11477650;50152726;246521504;200610904;32170045;58984464;0;0;15020800;206494464;0.00;0.00;0.00;58675;806619;3461176;3226476;134;33;0;0;14744320;208120064;0.00;0.00;0.00;57595;812969;3482256;3251876;134;33;0;0;14952448;207743232;0.00;0.00;0.00;58408;811497;3479620;3245988;134;33;0;0;15134976;208436992;0.00;0.00;0.00;59121;814207;3493312;3256828;134;33;0;0;14806272;209509888;0.00;0.00;0.00;57837;818398;3504940;3273592;134;33;0;0;15364096;211332096;0.00;0.00;0.00;60016;825516;3542128;3302064;101;33;0;0;15420416;210051584;0.00;0.00;0.00;60236;820514;3523000;3282056;101;33;0;0;14897408;210079744;0.00;0.00;0.00;58193;820624;3515268;3282496;101;33;0;0;15387392;212302080;0.00;0.00;0.00;60107;829305;3557648;3317220;101;33;0;0;15584000;213525504;0.00;0.00;0.00;60875;834084;3579836;3336336;101;33;0;0;15268352;214736384;0.00;0.00;0.00;59642;838814;3593824;3355256;101;33;0;0;
1535962501;17558985188;2920092928;12792105984;0.64;0.15;0.16;11406613;49969164;245503108;199876656;31973008;58628421;0;0;14889216;205059584;0.00;0.00;0.00;58161;801014;3436700;3204056;134;33;0;0;14303488;201394688;0.00;0.00;0.00;55873;786698;3370284;3146792;134;33;0;0;14490368;201280768;0.00;0.00;0.00;56603;786253;3371424;3145012;134;33;0;0;14483200;200121344;0.00;0.00;0.00;56575;781724;3353196;3126896;134;33;0;0;14253056;200168192;0.00;0.00;0.00;55676;781907;3350332;3127628;134;33;0;0;14470144;199327744;0.00;0.00;0.00;56524;778624;3340592;3114496;101;33;0;0;14694912;199721984;0.00;0.00;0.00;57402;780164;3350264;3120656;101;33;0;0;14194944;200169984;0.00;0.00;0.00;55449;781914;3349452;3127656;101;33;0;0;14341120;198191104;0.00;0.00;0.00;56020;774184;3320816;3096736;101;33;0;0;14628352;200489472;0.00;0.00;0.00;57142;783162;3361216;3132648;101;33;0;0;14086400;199020544;0.00;0.00;0.00;55025;777424;3329796;3109696;101;33;0;0;
