# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Mon Sep  3 05:57:52 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535968673;2195072098;2053120;35327232;0.00;0.00;0.00;8020;137997;584068;551988;135;37800;0;0;1893120;25923072;0.00;0.00;0.00;7395;101262;434628;405048;135;33;0;0;1868288;26039808;0.00;0.00;0.00;7298;101718;436064;406872;135;33;0;0;2180608;26321664;0.00;0.00;0.00;8518;102819;445348;411276;136;33;0;0;1876480;26164224;0.00;0.00;0.00;7330;102204;438136;408816;135;33;0;0;1893632;26369536;0.00;0.00;0.00;7397;103006;441612;412024;135;33;0;0;2112000;26650624;0.00;0.00;0.00;8250;104104;449416;416416;102;33;0;0;1963520;26619392;0.00;0.00;0.00;7670;103982;446608;415928;102;33;0;0;1928192;26761984;0.00;0.00;0.00;7532;104539;448284;418156;102;33;0;0;2065408;27005440;0.00;0.00;0.00;8068;105490;454232;421960;102;33;0;0;1964032;27042560;0.00;0.00;0.00;7672;105635;453228;422540;102;33;0;0;1935616;27137024;0.00;0.00;0.00;7561;106004;454260;424016;102;33;0;0;
1535968674;2195042916;1825280;25658880;0.00;0.00;0.00;7130;100230;429440;400920;137;36;0;0;1836544;25586432;0.00;0.00;0.00;7174;99947;428484;399788;134;33;0;0;1826816;25656576;0.00;0.00;0.00;7136;100221;429428;400884;135;33;0;0;1986560;25810432;0.00;0.00;0.00;7760;100822;434328;403288;134;33;0;0;1870080;25792768;0.00;0.00;0.00;7305;100753;432232;403012;134;33;0;0;1851904;25787136;0.00;0.00;0.00;7234;100731;431860;402924;134;33;0;0;1998848;25838336;0.00;0.00;0.00;7808;100931;434956;403724;102;33;0;0;1911040;25806336;0.00;0.00;0.00;7465;100806;433084;403224;101;33;0;0;1830912;25741568;0.00;0.00;0.00;7152;100553;430820;402212;101;33;0;0;1986816;25847040;0.00;0.00;0.00;7761;100965;434904;403860;101;33;0;0;1864704;25780736;0.00;0.00;0.00;7284;100706;431960;402824;102;33;0;0;1862656;25771008;0.00;0.00;0.00;7276;100668;431776;402672;101;33;0;0;
1535968675;2195037798;1820416;25657856;0.00;0.00;0.00;7111;100226;429348;400904;134;33;0;0;1838080;25658368;0.00;0.00;0.00;7180;100228;429632;400912;135;33;0;0;1837568;25676800;0.00;0.00;0.00;7178;100300;429912;401200;134;33;0;0;1887232;25697280;0.00;0.00;0.00;7372;100380;431008;401520;135;33;0;0;1856000;25778432;0.00;0.00;0.00;7250;100697;431788;402788;134;33;0;0;1846784;25726720;0.00;0.00;0.00;7214;100495;430836;401980;135;33;0;0;1961216;25818112;0.00;0.00;0.00;7661;100852;434052;403408;102;33;0;0;1914880;25827584;0.00;0.00;0.00;7480;100889;433476;403556;101;33;0;0;1862656;25813248;0.00;0.00;0.00;7276;100833;432436;403332;101;33;0;0;1979136;25834752;0.00;0.00;0.00;7731;100917;434592;403668;101;33;0;0;1900288;25747456;0.00;0.00;0.00;7423;100576;431996;402304;102;33;0;0;1843456;25764864;0.00;0.00;0.00;7201;100644;431380;402576;102;33;0;0;
1535968676;2195069572;1832704;25666304;0.00;0.00;0.00;7159;100259;429672;401036;134;33;0;0;1865216;25650432;0.00;0.00;0.00;7286;100197;429932;400788;134;33;0;0;1826560;25526528;0.00;0.00;0.00;7135;99713;427392;398852;135;33;0;0;1852160;25441536;0.00;0.00;0.00;7235;99381;426464;397524;134;33;0;0;1840128;25451008;0.00;0.00;0.00;7188;99418;426424;397672;134;33;0;0;1816832;25401600;0.00;0.00;0.00;7097;99225;425288;396900;135;33;0;0;1939968;25465344;0.00;0.00;0.00;7578;99474;428208;397896;103;33;0;0;1867520;25267712;0.00;0.00;0.00;7295;98702;423988;394808;103;33;0;0;1807616;25151488;0.00;0.00;0.00;7061;98248;421236;392992;103;33;0;0;1938944;25137664;0.00;0.00;0.00;7574;98194;423072;392776;103;33;0;0;1821952;24937728;0.00;0.00;0.00;7117;97413;418120;389652;103;33;0;0;1789696;24810240;0.00;0.00;0.00;6991;96915;415624;387660;102;33;0;0;
1535968677;2194972688;1805312;25643008;0.00;0.00;0.00;7052;100168;428880;400672;139;33;0;0;1860864;25672704;0.00;0.00;0.00;7269;100284;430212;401136;135;33;0;0;1838592;25663232;0.00;0.00;0.00;7182;100247;429716;400988;135;33;0;0;1926656;25693696;0.00;0.00;0.00;7526;100366;431568;401464;134;33;0;0;1851392;25652480;0.00;0.00;0.00;7232;100205;429748;400820;134;33;0;0;1821952;25646336;0.00;0.00;0.00;7117;100181;429192;400724;135;33;0;0;2017024;25789440;0.00;0.00;0.00;7879;100740;434476;402960;102;33;0;0;1897984;25692416;0.00;0.00;0.00;7414;100361;431100;401444;102;33;0;0;1826048;25654784;0.00;0.00;0.00;7133;100214;429388;400856;102;33;0;0;2001152;25776896;0.00;0.00;0.00;7817;100691;434032;402764;102;33;0;0;1906688;25742080;0.00;0.00;0.00;7448;100555;432012;402220;102;33;0;0;1860352;25901824;0.00;0.00;0.00;7267;101179;433784;404716;102;33;0;0;
1535968678;2195069928;1805824;25644800;0.00;0.00;0.00;7054;100175;428916;400700;138;33;0;0;1852672;25663488;0.00;0.00;0.00;7237;100248;429940;400992;135;33;0;0;1830144;25655040;0.00;0.00;0.00;7149;100215;429456;400860;135;33;0;0;1916160;25689088;0.00;0.00;0.00;7485;100348;431332;401392;135;33;0;0;1851136;25517824;0.00;0.00;0.00;7231;99679;427640;398716;135;33;0;0;1806592;25363712;0.00;0.00;0.00;7057;99077;424536;396308;136;33;0;0;1969152;25393408;0.00;0.00;0.00;7692;99193;427540;396772;103;33;0;0;1897216;25313280;0.00;0.00;0.00;7411;98880;425164;395520;102;33;0;0;1806848;25218048;0.00;0.00;0.00;7058;98508;422264;394032;102;33;0;0;1945344;25315584;0.00;0.00;0.00;7599;98889;425952;395556;102;33;0;0;1833984;25374720;0.00;0.00;0.00;7164;99120;425136;396480;101;33;0;0;1809152;25302016;0.00;0.00;0.00;7067;98836;423612;395344;101;33;0;0;
1535968679;2195116514;1838336;25675008;0.00;0.00;0.00;7181;100293;429896;401172;144;33;0;0;1871104;25666048;0.00;0.00;0.00;7309;100258;430268;401032;135;33;0;0;1832192;25648128;0.00;0.00;0.00;7157;100188;429380;400752;135;33;0;0;1929728;25697792;0.00;0.00;0.00;7538;100382;431680;401528;135;33;0;0;1856768;25654784;0.00;0.00;0.00;7253;100214;429868;400856;136;33;0;0;1824768;25636352;0.00;0.00;0.00;7128;100142;429080;400568;136;33;0;0;2026240;25782016;0.00;0.00;0.00;7915;100711;434504;402844;103;33;0;0;1923328;25863680;0.00;0.00;0.00;7513;101030;434172;404120;102;33;0;0;1848320;25931776;0.00;0.00;0.00;7220;101296;434064;405184;102;33;0;0;1989120;26089984;0.00;0.00;0.00;7770;101914;438736;407656;102;33;0;0;1867264;25861632;0.00;0.00;0.00;7294;101022;433264;404088;102;33;0;0;1836800;25772288;0.00;0.00;0.00;7175;100673;431392;402692;103;33;0;0;
1535968680;2195079700;1838592;25676032;0.00;0.00;0.00;7182;100297;429916;401188;146;33;0;0;1866240;25696768;0.00;0.00;0.00;7290;100378;430672;401512;135;33;0;0;1830400;25680384;0.00;0.00;0.00;7150;100314;429856;401256;135;33;0;0;1916416;25738752;0.00;0.00;0.00;7486;100542;432112;402168;135;33;0;0;1881344;25881856;0.00;0.00;0.00;7349;101101;433800;404404;135;33;0;0;1847296;25958656;0.00;0.00;0.00;7216;101401;434468;405604;135;33;0;0;2017792;26134272;0.00;0.00;0.00;7882;102087;439876;408348;103;33;0;0;1903616;25915136;0.00;0.00;0.00;7436;101231;434668;404924;102;33;0;0;1865216;25807872;0.00;0.00;0.00;7286;100812;432392;403248;103;33;0;0;1977600;25824768;0.00;0.00;0.00;7725;100878;434412;403512;101;33;0;0;1893120;25888512;0.00;0.00;0.00;7395;101127;434088;404508;101;33;0;0;1845248;25876736;0.00;0.00;0.00;7208;101081;433156;404324;103;33;0;0;
1535968681;2195029078;1818880;25656064;0.00;0.00;0.00;7105;100219;429296;400876;138;33;0;0;1847296;25665024;0.00;0.00;0.00;7216;100254;429880;401016;135;33;0;0;1842688;25678592;0.00;0.00;0.00;7198;100307;430020;401228;135;33;0;0;1976320;25757696;0.00;0.00;0.00;7720;100616;433344;402464;135;33;0;0;1868288;25552896;0.00;0.00;0.00;7298;99816;428456;399264;135;33;0;0;1832960;25451008;0.00;0.00;0.00;7160;99418;426312;397672;136;33;0;0;1982720;25522944;0.00;0.00;0.00;7745;99699;429776;398796;102;33;0;0;1904384;25586944;0.00;0.00;0.00;7439;99949;429552;399796;101;33;0;0;1841664;25667584;0.00;0.00;0.00;7194;100264;429832;401056;102;33;0;0;1951232;25776640;0.00;0.00;0.00;7622;100690;433248;402760;101;33;0;0;1855744;25591552;0.00;0.00;0.00;7249;99967;428864;399868;102;33;0;0;1837312;25585664;0.00;0.00;0.00;7177;99944;428484;399776;102;33;0;0;
1535968682;2195027758;1803008;25638144;0.00;0.00;0.00;7043;100149;428768;400596;144;33;0;0;1895424;25714944;0.00;0.00;0.00;7404;100449;431412;401796;134;33;0;0;1827840;25669632;0.00;0.00;0.00;7140;100272;429648;401088;135;33;0;0;1969664;25739776;0.00;0.00;0.00;7694;100546;432960;402184;135;33;0;0;1874432;25700864;0.00;0.00;0.00;7322;100394;430864;401576;135;33;0;0;1850368;25683456;0.00;0.00;0.00;7228;100326;430216;401304;135;33;0;0;1970176;25726208;0.00;0.00;0.00;7696;100493;432756;401972;102;33;0;0;1926912;25522432;0.00;0.00;0.00;7527;99697;428896;398788;102;33;0;0;1817600;25331712;0.00;0.00;0.00;7100;98952;424208;395808;103;33;0;0;1930752;25352192;0.00;0.00;0.00;7542;99032;426296;396128;102;33;0;0;1847040;25433088;0.00;0.00;0.00;7215;99348;426252;397392;101;33;0;0;1856768;25567488;0.00;0.00;0.00;7253;99873;428504;399492;101;33;0;0;
