# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Tue Sep  4 03:11:56 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536045117;2195020804;1854976;25708288;0.00;0.00;0.00;7246;100423;430676;401692;135;92;0;0;1883392;25842432;0.00;0.00;0.00;7357;100947;433216;403788;135;33;0;0;1828608;25912320;0.00;0.00;0.00;7143;101220;433452;404880;135;33;0;0;1888000;25965056;0.00;0.00;0.00;7375;101426;435204;405704;136;33;0;0;1867776;26002176;0.00;0.00;0.00;7296;101571;435468;406284;136;33;0;0;1874944;26040832;0.00;0.00;0.00;7324;101722;436184;406888;136;33;0;0;1885440;26024448;0.00;0.00;0.00;7365;101658;436092;406632;103;33;0;0;1949184;25939968;0.00;0.00;0.00;7614;101328;435768;405312;102;33;0;0;1832704;25787648;0.00;0.00;0.00;7159;100733;431568;402932;102;33;0;0;1891072;25821440;0.00;0.00;0.00;7387;100865;433008;403460;102;33;0;0;1906432;25890304;0.00;0.00;0.00;7447;101134;434324;404536;102;33;0;0;1858048;25902592;0.00;0.00;0.00;7258;101182;433760;404728;102;33;0;0;
1536045118;2195333144;284115200;1192305152;0.64;0.18;0.20;1109825;4657442;23069068;18629768;3048649;5695519;0;0;3007488;41022464;0.00;0.00;0.00;11748;160244;687968;640976;135;33;0;0;3659776;51540736;0.00;0.00;0.00;14296;201331;862508;805324;135;33;0;0;4464128;61444864;0.00;0.00;0.00;17438;240019;1029828;960076;134;33;0;0;5135104;70816000;0.00;0.00;0.00;20059;276625;1186736;1106500;134;33;0;0;5757184;80352256;0.00;0.00;0.00;22489;313876;1345460;1255504;135;33;0;0;6633984;90390528;0.00;0.00;0.00;25914;353088;1516008;1412352;102;33;0;0;7611648;101017856;0.00;0.00;0.00;29733;394601;1697336;1578404;102;33;0;0;7851520;110541312;0.00;0.00;0.00;30670;431802;1849888;1727208;102;33;0;0;8735232;120717056;0.00;0.00;0.00;34122;471551;2022692;1886204;102;33;0;0;10891264;148654080;0.00;0.00;0.00;42544;580680;2492896;2322720;101;33;0;0;14063104;197110528;0.00;0.00;0.00;54934;769963;3299588;3079852;101;33;0;0;
1536045126;17559341598;3399474176;14746562048;0.64;0.15;0.16;13279196;57603758;283531816;230415032;37193318;67962799;0;0;20537344;275532544;0.00;0.00;0.00;80224;1076299;4626092;4305196;670;165;0;0;22277888;313826304;0.00;0.00;0.00;87023;1225884;5251628;4903536;670;165;0;0;25585664;352159488;0.00;0.00;0.00;99944;1375623;5902268;5502492;670;165;0;0;28493824;392015104;0.00;0.00;0.00;111304;1531309;6570452;6125236;670;165;0;0;31121664;434611200;0.00;0.00;0.00;121569;1697700;7277076;6790800;670;165;0;0;34677760;473554944;0.00;0.00;0.00;135460;1849824;7941136;7399296;505;165;0;0;38489088;514808320;0.00;0.00;0.00;150348;2010970;8645272;8043880;537;165;0;0;39307264;553366016;0.00;0.00;0.00;153544;2161586;9260520;8646344;505;165;0;0;43134208;592081408;0.00;0.00;0.00;168493;2312818;9925244;9251272;505;165;0;0;41943296;574547456;0.00;0.00;0.00;163841;2244326;9632668;8977304;505;165;0;0;38380032;535854336;0.00;0.00;0.00;149922;2093181;8972412;8372724;505;165;0;0;
1536045158;70235253162;11316497920;49110010624;0.64;0.15;0.17;44205070;191835979;944164196;767343916;124304793;226143879;0;0;56116736;749528576;0.00;0.00;0.00;219206;2927846;12588208;11711384;134;33;0;0;49972480;704282112;0.00;0.00;0.00;195205;2751102;11785228;11004408;134;33;0;0;47860480;660408576;0.00;0.00;0.00;186955;2579721;11066704;10318884;134;33;0;0;44657664;614029568;0.00;0.00;0.00;174444;2398553;10291988;9594212;134;33;0;0;40208896;562763776;0.00;0.00;0.00;157066;2198296;9421448;8793184;134;33;0;0;37696512;515435008;0.00;0.00;0.00;147252;2013418;8642680;8053672;101;33;0;0;34910720;466039040;0.00;0.00;0.00;136370;1820465;7827340;7281860;101;33;0;0;29470976;416082944;0.00;0.00;0.00;115121;1625324;6961780;6501296;101;33;0;0;26750464;367520768;0.00;0.00;0.00;104494;1435628;6160488;5742512;101;33;0;0;26332928;357907200;0.00;0.00;0.00;102863;1398075;6003752;5592300;101;33;0;0;24869120;347490816;0.00;0.00;0.00;97145;1357386;5818124;5429544;101;33;0;0;
1536045190;70235255842;203432723456;3460752384;0.19;0.01;0.25;794659076;13518564;3232710560;54074256;981707200;13705038;0;0;59932416;810290944;0.00;0.00;0.00;234111;3165199;13597240;12660796;134;33;0;0;57049088;803741440;0.00;0.00;0.00;222848;3139615;13449852;12558460;134;33;0;0;57626112;800103680;0.00;0.00;0.00;225102;3125405;13402028;12501620;134;33;0;0;58179840;798335744;0.00;0.00;0.00;227265;3118499;13383056;12473996;134;33;0;0;56982272;796162304;0.00;0.00;0.00;222587;3110009;13330384;12440036;134;33;0;0;58451456;795827200;0.00;0.00;0.00;228326;3108700;13348104;12434800;101;33;0;0;59406080;796124672;0.00;0.00;0.00;232055;3109862;13367668;12439448;101;33;0;0;56411648;794643712;0.00;0.00;0.00;220358;3104077;13297740;12416308;101;33;0;0;58280448;795126784;0.00;0.00;0.00;227658;3105964;13334488;12423856;101;33;0;0;58354944;795310080;0.00;0.00;0.00;227949;3106680;13338516;12426720;101;33;0;0;56924160;794622464;0.00;0.00;0.00;222360;3103994;13305416;12415976;102;33;0;0;
1536045222;70235140756;223368431360;1730681344;0.09;0.00;0.00;872532935;6760474;3517173636;27041896;959864358;2275;0;0;60038144;821459712;0.00;0.00;0.00;234524;3208827;13773404;12835308;134;33;0;0;58240768;821028352;0.00;0.00;0.00;227503;3207142;13738580;12828568;134;33;0;0;58990848;821210880;0.00;0.00;0.00;230433;3207855;13753152;12831420;134;33;0;0;59744768;821622272;0.00;0.00;0.00;233378;3209462;13771360;12837848;134;33;0;0;58614272;820906496;0.00;0.00;0.00;228962;3206666;13742512;12826664;134;33;0;0;60244736;821491456;0.00;0.00;0.00;235331;3208951;13777128;12835804;101;33;0;0;61226496;822343936;0.00;0.00;0.00;239166;3212281;13805788;12849124;101;33;0;0;58210560;820921856;0.00;0.00;0.00;227385;3206726;13736444;12826904;101;33;0;0;60083456;821396736;0.00;0.00;0.00;234701;3208581;13773128;12834324;101;33;0;0;60536576;821892096;0.00;0.00;0.00;236471;3210516;13787948;12842064;101;33;0;0;58690816;820929792;0.00;0.00;0.00;229261;3206757;13744072;12827028;101;33;0;0;
1536045254;70235249626;216374029824;1701343232;0.15;0.00;0.00;845211054;6645872;3407427704;26583488;992414754;2601;0;0;61175808;822380544;0.00;0.00;0.00;238968;3212424;13805568;12849696;670;165;0;0;58220288;820943872;0.00;0.00;0.00;227423;3206812;13736940;12827248;671;165;0;0;59186432;821262848;0.00;0.00;0.00;231197;3208058;13757020;12832232;670;165;0;0;59775744;821422848;0.00;0.00;0.00;233499;3208683;13768728;12834732;671;165;0;0;58707968;820760320;0.00;0.00;0.00;229328;3206095;13741692;12824380;671;165;0;0;60214784;821245696;0.00;0.00;0.00;235214;3207991;13772820;12831964;506;165;0;0;61776640;822502144;0.00;0.00;0.00;241315;3212899;13816856;12851596;506;165;0;0;58262272;820708352;0.00;0.00;0.00;227587;3205892;13733916;12823568;507;165;0;0;60306432;821217536;0.00;0.00;0.00;235572;3207881;13773812;12831524;506;165;0;0;60198656;821317376;0.00;0.00;0.00;235151;3208271;13773688;12833084;507;165;0;0;58747648;820563200;0.00;0.00;0.00;229483;3205325;13739232;12821300;506;165;0;0;
1536045286;70235142208;223318940160;1732055552;0.28;0.00;0.00;872339610;6765842;3516421808;27063368;1215147611;403;0;0;60205312;821619712;0.00;0.00;0.00;235177;3209452;13778516;12837808;134;33;0;0;58205952;820976384;0.00;0.00;0.00;227367;3206939;13737224;12827756;134;33;0;0;59168768;821358592;0.00;0.00;0.00;231128;3208432;13758240;12833728;134;33;0;0;59731712;821693184;0.00;0.00;0.00;233327;3209739;13772264;12838956;135;33;0;0;58643456;821061120;0.00;0.00;0.00;229076;3207270;13745384;12829080;134;33;0;0;60422912;821801216;0.00;0.00;0.00;236027;3210161;13784752;12840644;102;33;0;0;61512960;822764032;0.00;0.00;0.00;240285;3213922;13816828;12855688;101;33;0;0;58325248;821237504;0.00;0.00;0.00;227833;3207959;13743168;12831836;101;33;0;0;60075776;821556736;0.00;0.00;0.00;234671;3209206;13775508;12836824;101;33;0;0;60430848;822018304;0.00;0.00;0.00;236058;3211009;13788268;12844036;101;33;0;0;58811648;821180160;0.00;0.00;0.00;229733;3207735;13749872;12830940;102;33;0;0;
1536045318;70235141080;216537530880;1702344704;0.42;0.00;0.00;845849730;6649784;3409998056;26599136;1452769797;705;0;0;60204288;821535232;0.00;0.00;0.00;235173;3209122;13777180;12836488;134;33;0;0;58332160;821069056;0.00;0.00;0.00;227860;3207301;13740644;12829204;134;33;0;0;58957056;821123328;0.00;0.00;0.00;230301;3207513;13751256;12830052;134;33;0;0;59687936;821484032;0.00;0.00;0.00;233156;3208922;13768312;12835688;134;33;0;0;58221312;820867072;0.00;0.00;0.00;227427;3206512;13735756;12826048;134;33;0;0;60311808;821411840;0.00;0.00;0.00;235593;3208640;13776932;12834560;101;33;0;0;61462272;822476544;0.00;0.00;0.00;240087;3212799;13811544;12851196;101;33;0;0;58298112;820846592;0.00;0.00;0.00;227727;3206432;13736636;12825728;102;33;0;0;59989248;821113600;0.00;0.00;0.00;234333;3207475;13767232;12829900;101;33;0;0;60072960;821421056;0.00;0.00;0.00;234660;3208676;13773344;12834704;102;33;0;0;58604032;820834560;0.00;0.00;0.00;228922;3206385;13741228;12825540;101;33;0;0;
1536045350;70235121464;216650371328;1703079936;0.47;0.00;0.00;846290513;6652656;3411772676;26610624;1590965817;655;0;0;60124672;821514240;0.00;0.00;0.00;234862;3209040;13775608;12836160;134;33;0;0;58242816;821024768;0.00;0.00;0.00;227511;3207128;13738556;12828512;134;33;0;0;59024128;821243904;0.00;0.00;0.00;230563;3207984;13754188;12831936;134;33;0;0;59811840;821705984;0.00;0.00;0.00;233640;3209789;13773716;12839156;134;33;0;0;58224896;820979456;0.00;0.00;0.00;227441;3206951;13737568;12827804;134;33;0;0;60290048;821460992;0.00;0.00;0.00;235508;3208832;13777360;12835328;101;33;0;0;61512704;822571520;0.00;0.00;0.00;240284;3213170;13813816;12852680;101;33;0;0;58271744;820894208;0.00;0.00;0.00;227624;3206618;13736968;12826472;101;33;0;0;60250880;821478400;0.00;0.00;0.00;235355;3208900;13777020;12835600;102;33;0;0;61012736;822254848;0.00;0.00;0.00;238331;3211933;13801056;12847732;101;33;0;0;58288640;820966912;0.00;0.00;0.00;227690;3206902;13738368;12827608;101;33;0;0;
