# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Mon Sep  3 21:45:49 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536025550;2195033710;1838592;25729792;0.00;0.00;0.00;7182;100507;430756;402028;135;33;0;0;1898752;25910784;0.00;0.00;0.00;7417;101214;434524;404856;135;33;0;0;1853696;25988608;0.00;0.00;0.00;7241;101518;435036;406072;135;33;0;0;1877760;26036224;0.00;0.00;0.00;7335;101704;436156;406816;136;33;0;0;1908480;26093312;0.00;0.00;0.00;7455;101927;437528;407708;136;33;0;0;1853440;26088704;0.00;0.00;0.00;7240;101909;436596;407636;136;33;0;0;2004992;26174720;0.00;0.00;0.00;7832;102245;440308;408980;103;33;0;0;1910016;26106880;0.00;0.00;0.00;7461;101980;437764;407920;103;33;0;0;1842944;26082560;0.00;0.00;0.00;7199;101885;436336;407540;103;33;0;0;2072832;26237184;0.00;0.00;0.00;8097;102489;442344;409956;103;33;0;0;1923328;26121216;0.00;0.00;0.00;7513;102036;438196;408144;103;33;0;0;1865728;26108416;0.00;0.00;0.00;7288;101986;437096;407944;103;33;0;0;
1536025551;2195216262;276196608;1157132800;0.63;0.19;0.20;1078893;4520050;22395772;18080200;2953026;5547830;0;0;3041280;41624832;0.00;0.00;0.00;11880;162597;697908;650388;135;33;0;0;3662848;51792384;0.00;0.00;0.00;14308;202314;866488;809256;135;33;0;0;4434432;61597696;0.00;0.00;0.00;17322;240616;1031752;962464;134;33;0;0;5192448;71429120;0.00;0.00;0.00;20283;279020;1197212;1116080;134;33;0;0;5792256;81474048;0.00;0.00;0.00;22626;318258;1363536;1273032;135;33;0;0;6840832;91737088;0.00;0.00;0.00;26722;358348;1540280;1433392;102;33;0;0;7536384;102338560;0.00;0.00;0.00;29439;399760;1716796;1599040;102;33;0;0;7982080;112860928;0.00;0.00;0.00;31180;440863;1888172;1763452;102;33;0;0;9546240;124386816;0.00;0.00;0.00;37290;485886;2092704;1943544;102;33;0;0;9778944;134712064;0.00;0.00;0.00;38199;526219;2257672;2104876;102;33;0;0;10169344;144139520;0.00;0.00;0.00;39724;563045;2411076;2252180;102;33;0;0;
1536025559;17559289006;2948911616;12807983360;0.64;0.15;0.16;11519186;50031185;246201484;200124740;32324448;58899220;0;0;14957824;205862400;0.00;0.00;0.00;58429;804150;3450316;3216600;134;33;0;0;14545664;205158144;0.00;0.00;0.00;56819;801399;3432872;3205596;134;33;0;0;14808832;206013952;0.00;0.00;0.00;57847;804742;3450356;3218968;134;33;0;0;14980352;206662656;0.00;0.00;0.00;58517;807276;3463172;3229104;134;33;0;0;14683392;206843392;0.00;0.00;0.00;57357;807982;3461356;3231928;134;33;0;0;14995200;206801152;0.00;0.00;0.00;58575;807817;3465568;3231268;101;33;0;0;15260672;206837760;0.00;0.00;0.00;59612;807960;3470288;3231840;101;33;0;0;14577920;205267968;0.00;0.00;0.00;56945;801828;3435092;3207312;101;33;0;0;15641344;204688384;0.00;0.00;0.00;61099;799564;3442652;3198256;101;33;0;0;14975744;204061696;0.00;0.00;0.00;58499;797116;3422460;3188464;130;558;0;0;14501632;204824320;0.00;0.00;0.00;56647;800095;3426968;3200380;101;33;0;0;
1536025567;17559127030;2941107200;12844283392;0.64;0.15;0.16;11488700;50172982;246646728;200691928;32205244;59073872;0;0;15032064;205852928;0.00;0.00;0.00;58719;804113;3451328;3216452;134;33;0;0;14662912;206475776;0.00;0.00;0.00;57277;806546;3455292;3226184;134;33;0;0;14754560;205782272;0.00;0.00;0.00;57635;803837;3445888;3215348;134;33;0;0;14996224;205605888;0.00;0.00;0.00;58579;803148;3446908;3212592;134;33;0;0;14560000;205605888;0.00;0.00;0.00;56875;803148;3440092;3212592;134;33;0;0;14849536;205960448;0.00;0.00;0.00;58006;804533;3450156;3218132;101;33;0;0;15166208;206373632;0.00;0.00;0.00;59243;806147;3461560;3224588;101;33;0;0;14724352;207611648;0.00;0.00;0.00;57517;810983;3474000;3243932;101;33;0;0;15785216;208903424;0.00;0.00;0.00;61661;816029;3510760;3264116;101;33;0;0;15185408;208216064;0.00;0.00;0.00;59318;813344;3490648;3253376;101;33;0;0;14858496;208831488;0.00;0.00;0.00;58041;815748;3495156;3262992;101;33;0;0;
1536025575;17558947034;2954712064;12714779648;0.64;0.15;0.16;11541844;49667108;244835808;198668432;31728279;58165259;0;0;15018496;205576192;0.00;0.00;0.00;58666;803032;3446792;3212128;134;33;0;0;14595072;205366272;0.00;0.00;0.00;57012;802212;3436896;3208848;134;33;0;0;14849024;206522880;0.00;0.00;0.00;58004;806730;3458936;3226920;134;33;0;0;15011072;206354944;0.00;0.00;0.00;58637;806074;3458844;3224296;134;33;0;0;14654976;206471680;0.00;0.00;0.00;57246;806530;3455104;3226120;134;33;0;0;14921216;206236416;0.00;0.00;0.00;58286;805611;3455588;3222444;101;33;0;0;15182336;206740736;0.00;0.00;0.00;59306;807581;3467548;3230324;101;33;0;0;14643968;205952768;0.00;0.00;0.00;57203;804503;3446824;3218012;101;33;0;0;16181760;207480832;0.00;0.00;0.00;63210;810472;3494728;3241888;101;33;0;0;15040768;206491648;0.00;0.00;0.00;58753;806608;3461444;3226432;101;33;0;0;14590720;205329664;0.00;0.00;0.00;56995;802069;3436256;3208276;101;33;0;0;
1536025583;17559142950;2979782144;12688966144;0.63;0.14;0.16;11639774;49566274;244824192;198265096;31550631;57862287;0;0;14846720;204693504;0.00;0.00;0.00;57995;799584;3430316;3198336;134;33;0;0;14638848;205881856;0.00;0.00;0.00;57183;804226;3445636;3216904;134;33;0;0;14700544;205421824;0.00;0.00;0.00;57424;802429;3439412;3209716;134;33;0;0;14845952;206093568;0.00;0.00;0.00;57992;805053;3452180;3220212;134;33;0;0;14731264;206553088;0.00;0.00;0.00;57544;806848;3457568;3227392;134;33;0;0;14975744;206943488;0.00;0.00;0.00;58499;808373;3467488;3233492;101;33;0;0;15271424;207692544;0.00;0.00;0.00;59654;811299;3483812;3245196;101;33;0;0;14797824;207818752;0.00;0.00;0.00;57804;811792;3478384;3247168;101;33;0;0;15868928;208486912;0.00;0.00;0.00;61988;814402;3505560;3257608;101;33;0;0;15450368;208526592;0.00;0.00;0.00;60353;814557;3499640;3258228;101;33;0;0;14754816;208531200;0.00;0.00;0.00;57636;814575;3488844;3258300;101;33;0;0;
1536025591;17559149494;2993492736;12700604928;0.63;0.14;0.15;11693331;49611738;245220276;198446952;31713889;57750001;0;0;14929920;205176064;0.00;0.00;0.00;58320;801469;3439156;3205876;134;33;0;0;14226944;200398080;0.00;0.00;0.00;55574;782805;3353516;3131220;134;33;0;0;14055424;195730176;0.00;0.00;0.00;54904;764571;3277900;3058284;134;33;0;0;13799680;189793280;0.00;0.00;0.00;53905;741380;3181140;2965520;134;33;0;0;12879872;181374208;0.00;0.00;0.00;50312;708493;3035220;2833972;134;33;0;0;12453120;173104640;0.00;0.00;0.00;48645;676190;2899340;2704760;101;33;0;0;11982848;163176704;0.00;0.00;0.00;46808;637409;2736868;2549636;101;33;0;0;10825984;152868096;0.00;0.00;0.00;42289;597141;2557720;2388564;101;33;0;0;10846720;142373888;0.00;0.00;0.00;42370;556148;2394072;2224592;101;33;0;0;9656576;131746816;0.00;0.00;0.00;37721;514636;2209428;2058544;101;33;0;0;8588544;121356288;0.00;0.00;0.00;33549;474048;2030388;1896192;101;33;0;0;
1536025599;17559002674;32482272000;2694521088;0.49;0.35;0.40;126883875;10525473;549637392;42101892;249269139;16173155;0;0;13859328;189210880;0.00;0.00;0.00;54138;739105;3172972;2956420;134;33;0;0;12952832;182585088;0.00;0.00;0.00;50597;713223;3055280;2852892;134;33;0;0;12711936;176951808;0.00;0.00;0.00;49656;691218;2963496;2764872;134;33;0;0;12527872;172819456;0.00;0.00;0.00;48937;675076;2896052;2700304;134;33;0;0;12098048;170026752;0.00;0.00;0.00;47258;664167;2845700;2656668;134;33;0;0;12045312;167244544;0.00;0.00;0.00;47052;653299;2801404;2613196;101;33;0;0;12229632;166771456;0.00;0.00;0.00;47772;651451;2796892;2605804;101;33;0;0;11800576;166526464;0.00;0.00;0.00;46096;650494;2786360;2601976;101;33;0;0;12650240;166955008;0.00;0.00;0.00;49415;652168;2806332;2608672;101;33;0;0;12161024;166611200;0.00;0.00;0.00;47504;650825;2793316;2603300;159;1531;0;0;11791616;166384384;0.00;0.00;0.00;46061;649939;2784000;2599756;101;33;0;0;
1536025607;17558983314;55314872320;433303552;0.10;0.00;0.00;216073720;1692592;871065248;6770368;238760174;869;0;0;14995200;205341440;0.00;0.00;0.00;58575;802115;3442760;3208460;134;33;0;0;14523392;205211904;0.00;0.00;0.00;56732;801609;3433364;3206436;134;33;0;0;14786048;205332736;0.00;0.00;0.00;57758;802081;3439356;3208324;135;33;0;0;14869248;205338368;0.00;0.00;0.00;58083;802103;3440744;3208412;134;33;0;0;14519552;205199872;0.00;0.00;0.00;56717;801562;3433116;3206248;134;33;0;0;14693632;205298944;0.00;0.00;0.00;57397;801949;3437384;3207796;101;33;0;0;14997504;205353216;0.00;0.00;0.00;58584;802161;3442980;3208644;101;33;0;0;14576384;205272832;0.00;0.00;0.00;56939;801847;3435144;3207388;102;33;0;0;16027392;206257664;0.00;0.00;0.00;62607;805694;3473204;3222776;101;33;0;0;15029248;205449216;0.00;0.00;0.00;58708;802536;3444976;3210144;101;33;0;0;14557696;205336320;0.00;0.00;0.00;56866;802095;3435844;3208380;101;33;0;0;
1536025615;17559004584;55367336960;433574400;0.10;0.00;0.00;216278660;1693650;871889240;6774600;239019133;54;0;0;14992640;205367296;0.00;0.00;0.00;58565;802216;3443124;3208864;134;33;0;0;14591744;205311232;0.00;0.00;0.00;56999;801997;3435984;3207988;134;33;0;0;14784512;205327872;0.00;0.00;0.00;57752;802062;3439256;3208248;134;33;0;0;14961664;205402624;0.00;0.00;0.00;58444;802354;3443192;3209416;134;33;0;0;14577408;205252864;0.00;0.00;0.00;56943;801769;3434848;3207076;134;33;0;0;14572288;205236480;0.00;0.00;0.00;56923;801705;3434512;3206820;101;33;0;0;15163136;205489152;0.00;0.00;0.00;59231;802692;3447692;3210768;101;33;0;0;14592512;205253632;0.00;0.00;0.00;57002;801772;3435096;3207088;101;33;0;0;15764224;205906688;0.00;0.00;0.00;61579;804323;3463608;3217292;101;33;0;0;15011328;205323520;0.00;0.00;0.00;58638;802045;3442732;3208180;101;33;0;0;14538240;205195264;0.00;0.00;0.00;56790;801544;3433336;3206176;101;33;0;0;
