# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Mon Sep  3 05:38:36 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535967517;2195060440;1847808;25751296;0.00;0.00;0.00;7218;100591;431236;402364;135;51;0;0;1887232;25892864;0.00;0.00;0.00;7372;101144;434064;404576;135;33;0;0;1864448;25979648;0.00;0.00;0.00;7283;101483;435064;405932;135;33;0;0;1893120;26170880;0.00;0.00;0.00;7395;102230;438500;408920;135;33;0;0;1873920;26268160;0.00;0.00;0.00;7320;102610;439720;410440;135;33;0;0;1875456;26331904;0.00;0.00;0.00;7326;102859;440740;411436;136;33;0;0;1926144;26380032;0.00;0.00;0.00;7524;103047;442284;412188;103;33;0;0;1990400;26477824;0.00;0.00;0.00;7775;103429;444816;413716;103;33;0;0;1897984;26426880;0.00;0.00;0.00;7414;103230;442576;412920;103;33;0;0;2049024;26533120;0.00;0.00;0.00;8004;103645;446596;414580;103;33;0;0;1908480;26428416;0.00;0.00;0.00;7455;103236;442764;412944;103;33;0;0;1863168;26408192;0.00;0.00;0.00;7278;103157;441740;412628;103;33;0;0;
1535967518;2195019528;2021376;32239872;0.00;0.00;0.00;7896;125937;535332;503748;134;25857;0;0;1876736;25740032;0.00;0.00;0.00;7331;100547;431512;402188;135;33;0;0;1867776;25838848;0.00;0.00;0.00;7296;100933;432916;403732;135;33;0;0;1856256;25806336;0.00;0.00;0.00;7251;100806;432228;403224;134;33;0;0;1819648;25859584;0.00;0.00;0.00;7108;101014;432488;404056;135;33;0;0;1869824;25960448;0.00;0.00;0.00;7304;101408;434848;405632;134;33;0;0;1916672;26102016;0.00;0.00;0.00;7487;101961;437792;407844;101;33;0;0;1988864;26294528;0.00;0.00;0.00;7769;102713;441928;410852;102;33;0;0;1874176;26401536;0.00;0.00;0.00;7321;103131;441808;412524;102;33;0;0;2082816;26731008;0.00;0.00;0.00;8136;104418;450216;417672;102;33;0;0;1946112;26739200;0.00;0.00;0.00;7602;104450;448208;417800;102;33;0;0;1904896;26896640;0.00;0.00;0.00;7441;105065;450024;420260;102;33;0;0;
1535967519;2195034364;1850624;25671936;0.00;0.00;0.00;7229;100281;430040;401124;136;33;0;0;1883392;25670144;0.00;0.00;0.00;7357;100274;430524;401096;134;33;0;0;1823488;25584128;0.00;0.00;0.00;7123;99938;428244;399752;134;33;0;0;1850624;25551872;0.00;0.00;0.00;7229;99812;428164;399248;135;33;0;0;1794304;25369088;0.00;0.00;0.00;7009;99098;424428;396392;135;33;0;0;1795072;25258240;0.00;0.00;0.00;7012;98665;422708;394660;136;33;0;0;1871104;25138944;0.00;0.00;0.00;7309;98199;422032;392796;102;33;0;0;1862912;24959744;0.00;0.00;0.00;7277;97499;419104;389996;102;33;0;0;1776128;24750080;0.00;0.00;0.00;6938;96680;414472;386720;101;33;0;0;1949440;24873984;0.00;0.00;0.00;7615;97164;419116;388656;101;33;0;0;1789952;24710656;0.00;0.00;0.00;6992;96526;414072;386104;102;33;0;0;1748480;24604160;0.00;0.00;0.00;6830;96110;411760;384440;102;33;0;0;
1535967520;2195057664;1850368;25674752;0.00;0.00;0.00;7228;100292;430080;401168;136;33;0;0;1856768;25612032;0.00;0.00;0.00;7253;100047;429200;400188;134;33;0;0;1836032;25660928;0.00;0.00;0.00;7172;100238;429640;400952;135;33;0;0;1855488;25739520;0.00;0.00;0.00;7248;100545;431172;402180;134;33;0;0;1836544;25787648;0.00;0.00;0.00;7174;100733;431628;402932;134;33;0;0;1851904;25803776;0.00;0.00;0.00;7234;100796;432120;403184;135;33;0;0;1890048;25827072;0.00;0.00;0.00;7383;100887;433080;403548;103;33;0;0;1923328;25903872;0.00;0.00;0.00;7513;101187;434800;404748;102;33;0;0;1858304;26035968;0.00;0.00;0.00;7259;101703;435848;406812;101;33;0;0;2069248;26151936;0.00;0.00;0.00;8083;102156;440956;408624;101;33;0;0;1872128;25969408;0.00;0.00;0.00;7313;101443;435024;405772;102;33;0;0;1845248;25952000;0.00;0.00;0.00;7208;101375;434332;405500;101;33;0;0;
1535967521;2195114426;1845248;25668864;0.00;0.00;0.00;7208;100269;429908;401076;136;33;0;0;1885184;25690112;0.00;0.00;0.00;7364;100352;430864;401408;134;33;0;0;1833216;25560064;0.00;0.00;0.00;7161;99844;428020;399376;135;33;0;0;1874688;25637888;0.00;0.00;0.00;7323;100148;429884;400592;135;33;0;0;1830912;25657856;0.00;0.00;0.00;7152;100226;429512;400904;135;33;0;0;1831936;25679104;0.00;0.00;0.00;7156;100309;429860;401236;134;33;0;0;1900800;25745152;0.00;0.00;0.00;7425;100567;431968;402268;101;33;0;0;1930496;25745152;0.00;0.00;0.00;7541;100567;432432;402268;102;33;0;0;1849088;25701632;0.00;0.00;0.00;7223;100397;430480;401588;101;33;0;0;2051840;25845760;0.00;0.00;0.00;8015;100960;435900;403840;102;33;0;0;1845760;25688064;0.00;0.00;0.00;7210;100344;430216;401376;102;33;0;0;1827072;25772800;0.00;0.00;0.00;7137;100675;431248;402700;102;33;0;0;
1535967522;2195082872;1841920;25660160;0.00;0.00;0.00;7195;100235;429720;400940;144;33;0;0;1885696;25674752;0.00;0.00;0.00;7366;100292;430632;401168;135;33;0;0;1863424;25688064;0.00;0.00;0.00;7279;100344;430492;401376;135;33;0;0;1841408;25535488;0.00;0.00;0.00;7193;99748;427764;398992;135;33;0;0;1808640;25428224;0.00;0.00;0.00;7065;99329;425576;397316;134;33;0;0;1813504;25523456;0.00;0.00;0.00;7084;99701;427140;398804;135;33;0;0;1888256;25592832;0.00;0.00;0.00;7376;99972;429392;399888;101;33;0;0;1899520;25619200;0.00;0.00;0.00;7420;100075;429980;400300;102;33;0;0;1830656;25468160;0.00;0.00;0.00;7151;99485;426544;397940;101;33;0;0;1955584;25466624;0.00;0.00;0.00;7639;99479;428472;397916;102;33;0;0;1850624;25415168;0.00;0.00;0.00;7229;99278;426028;397112;102;33;0;0;1796096;25316608;0.00;0.00;0.00;7016;98893;423636;395572;102;33;0;0;
1535967523;2195110134;1822976;25651456;0.00;0.00;0.00;7121;100201;429288;400804;135;33;0;0;1857280;25722880;0.00;0.00;0.00;7255;100480;430940;401920;135;33;0;0;1841920;25761024;0.00;0.00;0.00;7195;100629;431296;402516;134;33;0;0;1848832;25812992;0.00;0.00;0.00;7222;100832;432216;403328;135;33;0;0;1846016;25816576;0.00;0.00;0.00;7211;100846;432228;403384;135;33;0;0;1832704;25678848;0.00;0.00;0.00;7159;100308;429868;401232;134;33;0;0;1905408;25788672;0.00;0.00;0.00;7443;100737;432720;402948;102;33;0;0;1942016;25838848;0.00;0.00;0.00;7586;100933;434076;403732;101;33;0;0;1855488;25806848;0.00;0.00;0.00;7248;100808;432224;403232;102;33;0;0;1912064;25851136;0.00;0.00;0.00;7469;100981;433800;403924;102;33;0;0;1878016;25759488;0.00;0.00;0.00;7336;100623;431836;402492;103;33;0;0;1840128;25696768;0.00;0.00;0.00;7188;100378;430264;401512;103;33;0;0;
1535967524;2195017792;1862144;25682688;0.00;0.00;0.00;7274;100323;430388;401292;137;33;0;0;1865472;25608192;0.00;0.00;0.03;7287;100032;429276;400128;134;33;0;0;1820672;25561344;0.00;0.00;0.00;7112;99849;427844;399396;135;33;0;0;1846016;25540352;0.00;0.00;0.00;7211;99767;427912;399068;135;33;0;0;1807616;25514496;0.00;0.00;0.00;7061;99666;426908;398664;135;33;0;0;1822464;25505280;0.00;0.00;0.00;7119;99630;426996;398520;134;33;0;0;1883392;25530880;0.00;0.00;0.00;7357;99730;428348;398920;102;33;0;0;1910016;25578752;0.00;0.00;0.00;7461;99917;429512;399668;102;33;0;0;1843968;25570560;0.00;0.00;0.00;7203;99885;428352;399540;102;33;0;0;1893632;25570560;0.00;0.00;0.00;7397;99885;429128;399540;103;33;0;0;1888000;25569280;0.00;0.00;0.00;7375;99880;429020;399520;101;33;0;0;1840128;25688832;0.00;0.00;0.00;7188;100347;430140;401388;101;33;0;0;
1535967525;2195050722;1845504;25663488;0.00;0.00;0.00;7209;100248;429828;400992;135;33;0;0;1877248;25692160;0.00;0.00;0.00;7333;100360;430772;401440;135;33;0;0;1864192;25795328;0.00;0.00;0.00;7282;100763;432180;403052;135;33;0;0;1906688;25924608;0.00;0.00;0.00;7448;101268;434864;405072;134;33;0;0;1817600;25909248;0.00;0.00;0.00;7100;101208;433232;404832;134;33;0;0;1850880;25928448;0.00;0.00;0.00;7230;101283;434052;405132;135;33;0;0;1895936;25830656;0.00;0.00;0.00;7406;100901;433228;403604;101;33;0;0;1916672;25892352;0.00;0.00;0.00;7487;101142;434516;404568;102;33;0;0;1847296;25872896;0.00;0.00;0.00;7216;101066;433128;404264;102;33;0;0;1917696;25932288;0.00;0.00;0.00;7491;101298;435156;405192;102;33;0;0;1894144;25901568;0.00;0.00;0.00;7399;101178;434308;404712;103;33;0;0;1834752;25758976;0.00;0.00;0.00;7167;100621;431152;402484;101;33;0;0;
1535967526;2195058144;1850880;25671936;0.00;0.00;0.00;7230;100281;430044;401124;139;33;0;0;1873664;25661696;0.00;0.00;0.00;7319;100241;430240;400964;134;33;0;0;1821440;25542912;0.00;0.00;0.00;7115;99777;427568;399108;134;33;0;0;1849088;25477888;0.00;0.00;0.00;7223;99523;426984;398092;136;33;0;0;1804544;25399552;0.00;0.00;0.00;7049;99217;425064;396868;136;33;0;0;1803776;25370112;0.00;0.00;0.00;7046;99102;424592;396408;134;33;0;0;1890560;25538816;0.00;0.00;0.00;7385;99761;428584;399044;101;33;0;0;1878272;25488384;0.00;0.00;0.00;7337;99564;427604;398256;101;33;0;0;1825536;25468672;0.00;0.00;0.00;7131;99487;426472;397948;102;33;0;0;1883904;25482496;0.00;0.00;0.00;7359;99541;427600;398164;101;33;0;0;1854720;25609216;0.00;0.00;0.00;7245;100036;429124;400144;101;33;0;0;1838848;25719296;0.00;0.00;0.00;7183;100466;430596;401864;101;33;0;0;
