# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Tue Sep  4 05:47:51 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536054472;2195031176;2023168;25959424;0.00;0.00;0.00;7903;101404;437228;405616;135;378;0;0;1888000;25901824;0.00;0.00;0.00;7375;101179;434216;404716;135;33;0;0;1857792;25971968;0.00;0.00;0.00;7257;101453;434840;405812;135;33;0;0;1878272;26043392;0.00;0.00;0.00;7337;101732;436276;406928;136;33;0;0;1892096;26073088;0.00;0.00;0.00;7391;101848;436956;407392;135;33;0;0;1852672;25902592;0.00;0.00;0.00;7237;101182;433676;404728;135;33;0;0;2021376;25995264;0.00;0.00;0.00;7896;101544;437760;406176;102;33;0;0;1931776;25900544;0.00;0.00;0.00;7546;101174;434880;404696;102;33;0;0;1841152;25699840;0.00;0.00;0.00;7192;100390;430328;401560;102;33;0;0;1960192;25662208;0.00;0.00;0.00;7657;100243;431600;400972;103;33;0;0;1857792;25506304;0.00;0.00;0.00;7257;99634;427564;398536;102;33;0;0;1806336;25438976;0.00;0.00;0.00;7056;99371;425708;397484;102;33;0;0;
1536054473;2195171264;205158656;864981248;0.64;0.19;0.22;801401;3378833;16720936;13515332;2209667;4177107;0;0;2965760;40847616;0.00;0.00;0.00;11585;159561;684584;638244;135;33;0;0;3648256;51334144;0.00;0.00;0.00;14251;200524;859100;802096;135;33;0;0;4361728;60832512;0.00;0.00;0.00;17038;237627;1018660;950508;134;33;0;0;5206528;71057664;0.00;0.00;0.00;20338;277569;1191628;1110276;134;33;0;0;5822976;81185536;0.00;0.00;0.00;22746;317131;1359508;1268524;135;33;0;0;7021568;91296000;0.00;0.00;0.00;27428;356625;1536212;1426500;102;33;0;0;7558656;100668416;0.00;0.00;0.00;29526;393236;1691048;1572944;102;33;0;0;7864832;109881088;0.00;0.00;0.00;30722;429223;1839780;1716892;102;33;0;0;9151488;119173632;0.00;0.00;0.00;35748;465522;2005080;1862088;102;33;0;0;9461248;129314816;0.00;0.00;0.00;36958;505136;2168376;2020544;102;33;0;0;9968128;139006720;0.00;0.00;0.00;38938;542995;2327732;2171980;102;33;0;0;
1536054481;17559035222;2978710784;12811494912;0.64;0.15;0.17;11635589;50044902;246721964;200179608;32370462;59091950;0;0;15051264;206817280;0.00;0.00;0.00;58794;807880;3466696;3231520;134;33;0;0;14727424;205667072;0.00;0.00;0.00;57529;803387;3443664;3213548;134;33;0;0;14811392;206149632;0.00;0.00;0.00;57857;805272;3452516;3221088;134;33;0;0;14895360;206544640;0.00;0.00;0.00;58185;806815;3460000;3227260;134;33;0;0;14842368;206669824;0.00;0.00;0.00;57978;807304;3461128;3229216;134;33;0;0;15907584;207410176;0.00;0.00;0.00;62139;810196;3489340;3240784;101;33;0;0;15366656;206756864;0.00;0.00;0.00;60026;807644;3470680;3230576;101;33;0;0;14775552;206459136;0.00;0.00;0.00;57717;806481;3456792;3225924;101;33;0;0;15971840;207794944;0.00;0.00;0.00;62390;811699;3496356;3246796;101;33;0;0;15062784;206164224;0.00;0.00;0.00;58839;805329;3456672;3221316;101;33;0;0;14738176;206237184;0.00;0.00;0.00;57571;805614;3452740;3222456;101;33;0;0;
1536054489;17558974826;2937645824;12738030848;0.64;0.15;0.17;11475179;49757933;244932448;199031732;31917517;58685501;0;0;14905856;205182464;0.00;0.00;0.00;58226;801494;3438880;3205976;134;33;0;0;14765312;206160384;0.00;0.00;0.00;57677;805314;3451964;3221256;134;33;0;0;14764544;206215168;0.00;0.00;0.00;57674;805528;3452808;3222112;134;33;0;0;14835456;205177856;0.00;0.00;0.00;57951;801476;3437708;3205904;134;33;0;0;14669824;204556800;0.00;0.00;0.00;57304;799050;3425416;3196200;134;33;0;0;15087872;205303040;0.00;0.00;0.00;58937;801965;3443608;3207860;101;33;0;0;15411712;206529024;0.00;0.00;0.00;60202;806754;3467824;3227016;101;33;0;0;14791168;206632704;0.00;0.00;0.00;57778;807159;3459748;3228636;101;33;0;0;15986944;208145152;0.00;0.00;0.00;62449;813067;3502064;3252268;101;33;0;0;15075328;206135808;0.00;0.00;0.00;58888;805218;3456424;3220872;101;33;0;0;14389760;201888512;0.00;0.00;0.00;56210;788627;3379348;3154508;101;33;0;0;
1536054497;17558977710;7384824064;11659437824;0.72;0.17;0.19;28846969;45544679;297566592;182178716;102520318;54994109;0;0;14881792;204720128;0.00;0.00;0.00;58132;799688;3431280;3198752;134;33;0;0;14650624;204204544;0.00;0.00;0.00;57229;797674;3419612;3190696;134;33;0;0;14705408;204504832;0.00;0.00;0.00;57443;798847;3425160;3195388;134;33;0;0;14980352;205434368;0.00;0.00;0.00;58517;802478;3443980;3209912;134;33;0;0;14683648;204550400;0.00;0.00;0.00;57358;799025;3425532;3196100;134;33;0;0;15049728;204021248;0.00;0.00;0.00;58788;796958;3422984;3187832;101;33;0;0;15217920;203491072;0.00;0.00;0.00;59445;794887;3417328;3179548;101;33;0;0;14483968;202029568;0.00;0.00;0.00;56578;789178;3383024;3156712;101;33;0;0;15527168;202450432;0.00;0.00;0.00;60653;790822;3405900;3163288;101;33;0;0;14854656;203501056;0.00;0.00;0.00;58026;794926;3411808;3179704;101;33;0;0;14860544;208259584;0.00;0.00;0.00;58049;813514;3486252;3254056;102;33;0;0;
1536054505;17570516660;3022263296;13130851072;0.64;0.15;0.17;11805716;51292387;252392412;205169548;32903114;60517590;0;0;15402496;210905088;0.00;0.00;0.00;60166;823848;3536056;3295392;134;33;0;0;15004928;209326592;0.00;0.00;0.00;58613;817682;3505180;3270728;134;33;0;0;14971904;208307456;0.00;0.00;0.00;58484;813701;3488740;3254804;134;33;0;0;15154944;208156416;0.00;0.00;0.00;59199;813111;3489240;3252444;134;33;0;0;15008256;209694976;0.00;0.00;0.00;58626;819121;3510988;3276484;134;33;0;0;15845120;209995264;0.00;0.00;0.00;61895;820294;3528756;3281176;101;33;0;0;15690496;210474496;0.00;0.00;0.00;61291;822166;3533828;3288664;101;33;0;0;15129600;211177216;0.00;0.00;0.00;59100;824911;3536044;3299644;101;33;0;0;16222720;212137472;0.00;0.00;0.00;63370;828662;3568128;3314648;101;33;0;0;15463680;212251904;0.00;0.00;0.00;60405;829109;3558056;3316436;101;33;0;0;15139840;211637760;0.00;0.00;0.00;59140;826710;3543400;3306840;101;33;0;0;
1536054513;17561149448;2896235008;12426406400;0.64;0.15;0.17;11313418;48540650;239416272;194162600;31570969;57206504;0;0;14465536;199370240;0.00;0.00;0.00;56506;778790;3341184;3115160;134;33;0;0;14226944;198224640;0.00;0.00;0.00;55574;774315;3319556;3097260;134;33;0;0;14225152;196420864;0.00;0.00;0.00;55567;767269;3291344;3069076;134;33;0;0;14010880;192471296;0.00;0.00;0.00;54730;751841;3226284;3007364;134;33;0;0;13356800;186381056;0.00;0.00;0.00;52175;728051;3120904;2912204;134;33;0;0;13792000;180775680;0.00;0.00;0.00;53875;706155;3040120;2824620;101;33;0;0;12940288;172496384;0.00;0.00;0.00;50548;673814;2897448;2695256;101;33;0;0;11719424;163456512;0.00;0.00;0.00;45779;638502;2737124;2554008;101;33;0;0;11869440;154118656;0.00;0.00;0.00;46365;602026;2593564;2408104;101;33;0;0;10504192;143446528;0.00;0.00;0.00;41032;560338;2405480;2241352;101;33;0;0;9512704;133197568;0.00;0.00;0.00;37159;520303;2229848;2081212;101;33;0;0;
1536054521;17558875992;7383833344;11745210112;0.72;0.19;0.21;28843099;45879727;298891304;183518908;102864845;56748834;0;0;14996480;206530816;0.00;0.00;0.00;58580;806761;3461364;3227044;134;33;0;0;14962688;208352768;0.00;0.00;0.00;58448;813878;3489304;3255512;134;33;0;0;15194112;210904576;0.00;0.00;0.00;59352;823846;3532792;3295384;134;33;0;0;15701248;214848000;0.00;0.00;0.00;61333;839250;3602332;3357000;134;33;0;0;15756544;220337920;0.00;0.00;0.00;61549;860695;3688976;3442780;134;33;0;0;17170944;227059456;0.00;0.00;0.00;67074;886951;3816100;3547804;101;33;0;0;17580800;234959872;0.00;0.00;0.00;68675;917812;3945948;3671248;101;33;0;0;17389568;243121664;0.00;0.00;0.00;67928;949694;4070488;3798776;101;33;0;0;19689472;254316288;0.00;0.00;0.00;76912;993423;4281340;3973692;101;33;0;0;19271168;263290880;0.00;0.00;0.00;75278;1028480;4415032;4113920;101;33;0;0;19506432;272822784;0.00;0.00;0.00;76197;1065714;4567644;4262856;101;33;0;0;
1536054529;17558923162;2898733568;12748546816;0.65;0.15;0.17;11323178;49799011;244488756;199196044;31963437;58734603;0;0;14951424;205152000;0.00;0.00;0.00;58404;801375;3439116;3205500;134;33;0;0;14693376;205584384;0.00;0.00;0.00;57396;803064;3441840;3212256;134;33;0;0;14852608;206121728;0.00;0.00;0.00;58018;805163;3452724;3220652;134;33;0;0;14916864;206048256;0.00;0.00;0.00;58269;804876;3452580;3219504;134;33;0;0;14678528;205312256;0.00;0.00;0.00;57338;802001;3437356;3208004;134;33;0;0;15975936;206753792;0.00;0.00;0.00;62406;807632;3480152;3230528;101;33;0;0;15440128;205711104;0.00;0.00;0.00;60313;803559;3455488;3214236;101;33;0;0;14739712;205385216;0.00;0.00;0.00;57577;802286;3439452;3209144;101;33;0;0;15760896;206117632;0.00;0.00;0.00;61566;805147;3466852;3220588;101;33;0;0;14988800;205205504;0.00;0.00;0.00;58550;801584;3440536;3206336;101;33;0;0;14652416;205081344;0.00;0.00;0.00;57236;801099;3433340;3204396;101;33;0;0;
1536054537;17558966216;2910544896;12805477120;0.65;0.15;0.17;11369316;50021395;245562844;200085580;32075774;59032380;0;0;14936832;205273600;0.00;0.00;0.00;58347;801850;3440788;3207400;134;33;0;0;14734592;205329920;0.00;0.00;0.00;57557;802070;3438508;3208280;134;33;0;0;14783232;205875200;0.00;0.00;0.00;57747;804200;3447788;3216800;134;33;0;0;14983936;205488128;0.00;0.00;0.00;58531;802688;3444876;3210752;134;33;0;0;14664192;204793088;0.00;0.00;0.00;57282;799973;3429020;3199892;134;33;0;0;15814656;204954112;0.00;0.00;0.00;61776;800602;3449512;3202408;101;33;0;0;15250944;204667904;0.00;0.00;0.00;59574;799484;3436232;3197936;101;33;0;0;14564352;203779328;0.00;0.00;0.00;56892;796013;3411620;3184052;101;33;0;0;15671552;204393728;0.00;0.00;0.00;61217;798413;3438520;3193652;101;33;0;0;15582464;204464128;0.00;0.00;0.00;60869;798688;3438228;3194752;101;33;0;0;14561024;203366656;0.00;0.00;0.00;56879;794401;3405120;3177604;101;33;0;0;
