# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Mon Sep  3 04:34:11 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535963652;2195034708;2030848;26407424;0.00;0.00;0.00;7933;103154;444348;412616;135;2117;0;0;1938432;25939200;0.00;0.00;0.00;7572;101325;435588;405300;135;33;0;0;1826560;25956096;0.00;0.00;0.00;7135;101391;434104;405564;135;33;0;0;1880576;26067200;0.00;0.00;0.00;7346;101825;436684;407300;136;33;0;0;1897984;26088960;0.00;0.00;0.00;7414;101910;437296;407640;136;33;0;0;1863424;26115584;0.00;0.00;0.00;7279;102014;437172;408056;136;33;0;0;1898496;26129152;0.00;0.00;0.00;7416;102067;437932;408268;103;33;0;0;1939456;26171904;0.00;0.00;0.00;7576;102234;439240;408936;103;33;0;0;1839104;26105856;0.00;0.00;0.00;7184;101976;436640;407904;102;33;0;0;1899264;25956096;0.00;0.00;0.00;7419;101391;435240;405564;102;33;0;0;1902592;25849088;0.00;0.00;0.00;7432;100973;433620;403892;103;33;0;0;1822720;25889792;0.00;0.00;0.00;7120;101132;433008;404528;102;33;0;0;
1535963653;2195068260;2476800;49528576;0.00;0.00;0.00;9675;193471;812584;773884;143;92522;0;0;1938432;25760512;0.00;0.00;0.00;7572;100627;432796;402508;134;33;0;0;1839360;25726208;0.00;0.00;0.00;7185;100493;430712;401972;135;33;0;0;1858816;25828864;0.00;0.00;0.00;7261;100894;432620;403576;134;33;0;0;1917184;25963776;0.00;0.00;0.00;7489;101421;435640;405684;134;33;0;0;1839360;26030848;0.00;0.00;0.00;7185;101683;435472;406732;134;33;0;0;1894656;26182656;0.00;0.00;0.00;7401;102276;438708;409104;102;33;0;0;1936128;26317824;0.00;0.00;0.00;7563;102804;441468;411216;102;33;0;0;1889024;26491904;0.00;0.00;0.00;7379;103484;443452;413936;102;33;0;0;1920256;26587648;0.00;0.00;0.00;7501;103858;445436;415432;102;33;0;0;1945600;26750976;0.00;0.00;0.00;7600;104496;448384;417984;102;33;0;0;1890304;26720768;0.00;0.00;0.00;7384;104378;447048;417512;101;33;0;0;
1535963654;2195088412;2047488;25837824;0.00;0.00;0.00;7998;100929;435708;403716;134;33;0;0;1904384;25685248;0.00;0.00;0.00;7439;100333;431088;401332;135;33;0;0;1812992;25633280;0.00;0.00;0.00;7082;100130;428848;400520;134;33;0;0;1843456;25537792;0.00;0.00;0.00;7201;99757;427832;399028;135;33;0;0;1849856;25449216;0.00;0.00;0.00;7226;99411;426548;397644;136;33;0;0;1786624;25323008;0.00;0.00;0.00;6979;98918;423588;395672;135;33;0;0;1814784;25188608;0.00;0.00;0.00;7089;98393;421928;393572;102;33;0;0;1853184;25303040;0.00;0.00;0.00;7239;98840;424316;395360;101;33;0;0;1789440;25235456;0.00;0.00;0.00;6990;98576;422264;394304;101;33;0;0;1809152;25193728;0.00;0.00;0.00;7067;98413;421920;393652;102;33;0;0;1827584;25141248;0.00;0.00;0.00;7139;98208;421388;392832;101;33;0;0;1792512;25101568;0.00;0.00;0.00;7002;98053;420220;392212;101;33;0;0;
1535963655;2195084804;2045184;25831936;0.00;0.00;0.00;7989;100906;435580;403624;142;33;0;0;1896704;25689344;0.00;0.00;0.00;7409;100349;431032;401396;135;33;0;0;1824512;25655040;0.00;0.00;0.00;7127;100215;429368;400860;134;33;0;0;1852928;25658880;0.00;0.00;0.00;7238;100230;429872;400920;136;33;0;0;1855488;25639936;0.00;0.00;0.00;7248;100156;429616;400624;135;33;0;0;1838592;25655552;0.00;0.00;0.00;7182;100217;429596;400868;136;33;0;0;1872640;25610752;0.00;0.00;0.00;7315;100042;429428;400168;102;33;0;0;1867008;25449728;0.00;0.00;0.00;7293;99413;426824;397652;102;33;0;0;1782272;25270784;0.00;0.00;0.00;6962;98714;422704;394856;103;33;0;0;1854208;25239040;0.00;0.00;0.00;7243;98590;423332;394360;102;33;0;0;1863424;25365248;0.00;0.00;0.00;7279;99083;425448;396332;102;33;0;0;1791488;25409024;0.00;0.00;0.00;6998;99254;425008;397016;101;33;0;0;
1535963656;2195041596;2028800;25847552;0.00;0.00;0.00;7925;100967;435568;403868;134;33;0;0;1885696;25726208;0.00;0.00;0.00;7366;100493;431436;401972;135;33;0;0;1831936;25794304;0.00;0.00;0.00;7156;100759;431660;403036;135;33;0;0;1883392;25963264;0.00;0.00;0.00;7357;101419;435104;405676;134;33;0;0;1889280;26109696;0.00;0.00;0.00;7380;101991;437484;407964;134;33;0;0;1864704;26254592;0.00;0.00;0.00;7284;102557;439364;410228;134;33;0;0;1914368;26432768;0.00;0.00;0.00;7478;103253;442924;413012;102;33;0;0;1940736;26647040;0.00;0.00;0.00;7581;104090;446684;416360;102;33;0;0;1901824;26821120;0.00;0.00;0.00;7429;104770;448796;419080;102;33;0;0;1943296;26929664;0.00;0.00;0.00;7591;105194;451140;420776;101;33;0;0;1931776;26877952;0.00;0.00;0.00;7546;104992;450152;419968;101;33;0;0;1918976;26913280;0.00;0.00;0.00;7496;105130;450504;420520;101;33;0;0;
1535963657;2195074218;2033408;25818368;0.00;0.00;0.00;7943;100853;435184;403412;140;33;0;0;1895168;25657856;0.00;0.00;0.00;7403;100226;430516;400904;134;33;0;0;1817600;25651200;0.00;0.00;0.00;7100;100200;429200;400800;134;33;0;0;1840640;25638144;0.00;0.00;0.00;7190;100149;429356;400596;134;33;0;0;1854208;25567744;0.00;0.00;0.00;7243;99874;428468;399496;134;33;0;0;1817344;25550848;0.00;0.00;0.00;7099;99808;427628;399232;134;33;0;0;1867776;25527296;0.00;0.00;0.00;7296;99716;428048;398864;101;33;0;0;1856768;25496576;0.00;0.00;0.00;7253;99596;427396;398384;101;33;0;0;1816064;25441280;0.00;0.00;0.00;7094;99380;425896;397520;102;33;0;0;1834752;25441024;0.00;0.00;0.00;7167;99379;426184;397516;101;33;0;0;1844480;25457408;0.00;0.00;0.00;7205;99443;426592;397772;101;33;0;0;1802496;25455872;0.00;0.00;0.00;7041;99437;425912;397748;101;33;0;0;
1535963658;2195048592;2066944;25856768;0.00;0.00;0.00;8074;101003;436308;404012;137;33;0;0;1901824;25709312;0.00;0.00;0.00;7429;100427;431424;401708;134;33;0;0;1800960;25648128;0.00;0.00;0.00;7035;100188;428892;400752;134;33;0;0;1831168;25667328;0.00;0.00;0.00;7153;100263;429664;401052;135;33;0;0;1890560;25765888;0.00;0.00;0.00;7385;100648;432132;402592;135;33;0;0;1820416;25742336;0.00;0.00;0.00;7111;100556;430668;402224;135;33;0;0;1840896;25733888;0.00;0.00;0.00;7191;100523;430856;402092;102;33;0;0;1892096;25797632;0.00;0.00;0.00;7391;100772;432652;403088;101;33;0;0;1824768;25785344;0.00;0.00;0.00;7128;100724;431408;402896;101;33;0;0;1885952;25806336;0.00;0.00;0.00;7367;100806;432692;403224;101;33;0;0;1878784;25861632;0.00;0.00;0.00;7339;101022;433444;404088;101;33;0;0;1812992;25809152;0.00;0.00;0.00;7082;100817;431596;403268;101;33;0;0;
1535963659;2195098018;2023936;25819392;0.00;0.00;0.00;7906;100857;435052;403428;137;33;0;0;1905152;25701120;0.00;0.00;0.00;7442;100395;431348;401580;134;33;0;0;1819136;25645824;0.00;0.00;0.00;7106;100179;429140;400716;134;33;0;0;1847808;25672448;0.00;0.00;0.00;7218;100283;430004;401132;134;33;0;0;1861120;25686016;0.00;0.00;0.00;7270;100336;430424;401344;134;33;0;0;1836032;25668864;0.00;0.00;0.00;7172;100269;429764;401076;134;33;0;0;1856256;25672448;0.00;0.00;0.00;7251;100283;430136;401132;101;33;0;0;1890560;25716224;0.00;0.00;0.00;7385;100454;431356;401816;101;33;0;0;1815296;25708032;0.00;0.00;0.00;7091;100422;430052;401688;102;33;0;0;1866752;25672960;0.00;0.00;0.00;7292;100285;430308;401140;101;33;0;0;1871616;25684736;0.00;0.00;0.00;7311;100331;430568;401324;101;33;0;0;1825024;25670400;0.00;0.00;0.00;7129;100275;429616;401100;102;33;0;0;
1535963660;2195051838;1967360;25759744;0.00;0.00;0.00;7685;100624;433236;402496;135;33;0;0;1916928;25707008;0.00;0.00;0.00;7488;100418;431624;401672;134;33;0;0;1819392;25695488;0.00;0.00;0.00;7107;100373;429920;401492;134;33;0;0;1842688;25655552;0.00;0.00;0.00;7198;100217;429660;400868;134;33;0;0;1861120;25659904;0.00;0.00;0.00;7270;100234;430016;400936;134;33;0;0;1812736;25637376;0.00;0.00;0.00;7081;100146;428908;400584;135;33;0;0;1865216;25640448;0.00;0.00;0.00;7286;100158;429776;400632;101;33;0;0;1900288;25662976;0.00;0.00;0.00;7423;100246;430676;400984;101;33;0;0;1819648;25638400;0.00;0.00;0.00;7108;100150;429032;400600;101;33;0;0;1855744;25644032;0.00;0.00;0.00;7249;100172;429684;400688;101;33;0;0;1852928;25598720;0.00;0.00;0.00;7238;99995;428932;399980;101;33;0;0;1811968;25628928;0.00;0.00;0.00;7078;100113;428764;400452;102;33;0;0;
1535963661;2195047214;1974528;25782784;0.00;0.00;0.00;7713;100714;433708;402856;136;33;0;0;1927424;25712640;0.00;0.00;0.00;7529;100440;431876;401760;134;33;0;0;1811712;25620480;0.00;0.00;0.00;7077;100080;428628;400320;134;33;0;0;1842432;25676032;0.00;0.00;0.00;7197;100297;429976;401188;134;33;0;0;1864704;25680384;0.00;0.00;0.00;7284;100314;430392;401256;134;33;0;0;1829888;25699840;0.00;0.00;0.00;7148;100390;430152;401560;135;33;0;0;1870080;25696256;0.00;0.00;0.00;7305;100376;430724;401504;101;33;0;0;1900544;25757184;0.00;0.00;0.00;7424;100614;432152;402456;101;33;0;0;1836032;25708800;0.00;0.00;0.00;7172;100425;430388;401700;101;33;0;0;1859072;25716224;0.00;0.00;0.00;7262;100454;430864;401816;101;33;0;0;1890816;25796608;0.00;0.00;0.00;7386;100768;432616;403072;101;33;0;0;1832960;25788416;0.00;0.00;0.00;7160;100736;431584;402944;102;33;0;0;
