# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Mon Sep  3 05:04:56 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535965497;2195057302;1959168;25815040;0.00;0.00;0.00;7653;100840;433972;403360;135;33;0;0;1887232;25909504;0.00;0.00;0.00;7372;101209;434324;404836;135;33;0;0;1839104;25996032;0.00;0.00;0.00;7184;101547;434924;406188;135;33;0;0;2036224;26220032;0.00;0.00;0.00;7954;102422;441504;409688;135;33;0;0;1899264;26141184;0.00;0.00;0.00;7419;102114;438132;408456;136;33;0;0;1861632;26164992;0.00;0.00;0.00;7272;102207;437916;408828;136;33;0;0;1870592;26132992;0.00;0.00;0.00;7307;102082;437556;408328;103;33;0;0;1957888;26229760;0.00;0.00;0.00;7648;102460;440432;409840;103;33;0;0;1844992;26172928;0.00;0.00;0.00;7207;102238;437780;408952;104;33;0;0;1890048;26171392;0.00;0.00;0.00;7383;102232;438460;408928;103;33;0;0;1915648;26202368;0.00;0.00;0.00;7483;102353;439344;409412;103;33;0;0;1858816;26189568;0.00;0.00;0.00;7261;102303;438256;409212;103;33;0;0;
1535965498;2195131074;207831296;865996544;0.63;0.18;0.21;811841;3382799;16778560;13531196;2184162;4147908;0;0;3037440;41893376;0.00;0.00;0.00;11865;163646;702044;654584;134;33;0;0;3683840;52286208;0.00;0.00;0.00;14390;204243;874532;816972;135;33;0;0;4949248;63827200;0.00;0.00;0.00;19333;249325;1074632;997300;134;33;0;0;5315584;74027264;0.00;0.00;0.00;20764;289169;1239732;1156676;134;33;0;0;6192896;87014400;0.00;0.00;0.00;24191;339900;1456364;1359600;135;33;0;0;7040768;97437952;0.00;0.00;0.00;27503;380617;1632480;1522468;102;33;0;0;8273664;111505920;0.00;0.00;0.00;32319;435570;1871556;1742280;102;33;0;0;8691968;122173440;0.00;0.00;0.00;33953;477240;2044772;1908960;102;33;0;0;9786112;135315456;0.00;0.00;0.00;38227;528576;2267212;2114304;102;33;0;0;10587904;145229312;0.00;0.00;0.00;41359;567302;2434644;2269208;102;33;0;0;11165952;157792512;0.00;0.00;0.00;43617;616377;2639976;2465508;102;33;0;0;
1535965506;17559174634;2978533376;12768821504;0.64;0.15;0.16;11634896;49878209;246052420;199512836;32195922;58459422;0;0;15420160;207424000;0.00;0.00;0.00;60235;810250;3481940;3241000;134;33;0;0;14934528;210657536;0.00;0.00;0.00;58338;822881;3524876;3291524;134;33;0;0;16747520;213700608;0.00;0.00;0.00;65420;834768;3600752;3339072;134;33;0;0;15324672;212649216;0.00;0.00;0.00;59862;830661;3562092;3322644;134;33;0;0;15108352;213788160;0.00;0.00;0.00;59017;835110;3576508;3340440;134;33;0;0;15499776;214639104;0.00;0.00;0.00;60546;838434;3595920;3353736;101;33;0;0;15902720;214120704;0.00;0.00;0.00;62120;836409;3594116;3345636;101;33;0;0;15194880;214863360;0.00;0.00;0.00;59355;839310;3594660;3357240;101;33;0;0;15545344;215321856;0.00;0.00;0.00;60724;841101;3607300;3364404;101;33;0;0;15822848;216790272;0.00;0.00;0.00;61808;846837;3634580;3387348;101;33;0;0;15354368;216027904;0.00;0.00;0.00;59978;843859;3615348;3375436;101;33;0;0;
1535965514;17559068100;2961337088;12815440640;0.64;0.14;0.16;11567723;50060315;246512152;200241260;32010837;58505648;0;0;15088384;205359616;0.00;0.00;0.00;58939;802186;3444500;3208744;134;33;0;0;14414080;203129088;0.00;0.00;0.00;56305;793473;3399112;3173892;134;33;0;0;15896832;204195584;0.00;0.00;0.00;62097;797639;3438944;3190556;134;33;0;0;14834688;203983360;0.00;0.00;0.00;57948;796810;3419032;3187240;134;33;0;0;14427136;203721728;0.00;0.00;0.00;56356;795788;3408576;3183152;134;33;0;0;14680832;203418112;0.00;0.00;0.00;57347;794602;3407796;3178408;101;33;0;0;15207680;204724224;0.00;0.00;0.00;59405;799704;3436436;3198816;101;33;0;0;14398208;203791872;0.00;0.00;0.00;56243;796062;3409220;3184248;101;33;0;0;14691328;203063040;0.00;0.00;0.00;57388;793215;3402412;3172860;101;33;0;0;14804736;202773760;0.00;0.00;0.00;57831;792085;3399664;3168340;101;33;0;0;14421248;203719680;0.00;0.00;0.00;56333;795780;3408452;3183120;101;33;0;0;
1535965522;17558945196;2963283968;12780554240;0.64;0.15;0.16;11575328;49924040;245997472;199696160;31963818;58459100;0;0;15001088;205267712;0.00;0.00;0.00;58598;801827;3441700;3207308;134;33;0;0;14436608;203535616;0.00;0.00;0.00;56393;795061;3405816;3180244;134;33;0;0;15988992;204071680;0.00;0.00;0.00;62457;797155;3438448;3188620;134;33;0;0;14632704;202142464;0.00;0.00;0.00;57159;789619;3387112;3158476;134;33;0;0;14245888;201508352;0.00;0.00;0.00;55648;787142;3371160;3148568;134;33;0;0;14438656;200744192;0.00;0.00;0.00;56401;784157;3362232;3136628;101;33;0;0;15118336;202484736;0.00;0.00;0.00;59056;790956;3400048;3163824;101;33;0;0;14276096;201322240;0.00;0.00;0.00;55766;786415;3368724;3145660;101;33;0;0;14522880;201179904;0.00;0.00;0.00;56730;785859;3370356;3143436;101;33;0;0;14727424;202067456;0.00;0.00;0.00;57529;789326;3387420;3157304;101;33;0;0;14336000;201856512;0.00;0.00;0.00;56000;788502;3378008;3154008;101;33;0;0;
1535965530;17558982506;2951852800;12758894080;0.64;0.15;0.16;11530675;49839430;245480420;199357720;31872523;58347649;0;0;15133952;206565632;0.00;0.00;0.00;59117;806897;3464056;3227588;134;33;0;0;14765056;207475456;0.00;0.00;0.00;57676;810451;3472508;3241804;134;33;0;0;16312320;208395776;0.00;0.00;0.00;63720;814046;3511064;3256184;134;33;0;0;15113728;208180736;0.00;0.00;0.00;59038;813206;3488976;3252824;134;33;0;0;14631424;207053312;0.00;0.00;0.00;57154;808802;3463824;3235208;134;33;0;0;15055104;208241408;0.00;0.00;0.00;58809;813443;3489008;3253772;101;33;0;0;15337728;206774528;0.00;0.00;0.00;59913;807713;3470504;3230852;101;33;0;0;14604032;205850112;0.00;0.00;0.00;57047;804102;3444596;3216408;101;33;0;0;14992896;207225344;0.00;0.00;0.00;58566;809474;3472160;3237896;101;33;0;0;15167488;207187200;0.00;0.00;0.00;59248;809325;3474292;3237300;101;33;0;0;14712832;207576064;0.00;0.00;0.00;57472;810844;3473264;3243376;101;33;0;0;
1535965538;17558895264;2939691776;12731515648;0.64;0.14;0.16;11483171;49732483;244862616;198929932;31807526;58140348;0;0;14869504;202821120;0.00;0.00;0.00;58084;792270;3401416;3169080;134;33;0;0;14374656;202726400;0.00;0.00;0.00;56151;791900;3392204;3167600;134;33;0;0;15952128;204420864;0.00;0.00;0.00;62313;798519;3443328;3194076;134;33;0;0;14669312;203013120;0.00;0.00;0.00;57302;793020;3401288;3172080;134;33;0;0;14286592;201873920;0.00;0.00;0.00;55807;788570;3377508;3154280;134;33;0;0;14297344;197948672;0.00;0.00;0.00;55849;773237;3316344;3092948;101;33;0;0;14425088;193747456;0.00;0.00;0.00;56348;756826;3252696;3027304;101;33;0;0;13322496;188087040;0.00;0.00;0.00;52041;734715;3147024;2938860;101;33;0;0;12809984;176960000;0.00;0.00;0.00;50039;691250;2965156;2765000;101;33;0;0;12417536;169648384;0.00;0.00;0.00;48506;662689;2844780;2650756;101;33;0;0;11146496;157032192;0.00;0.00;0.00;43541;613407;2627792;2453628;101;33;0;0;
1535965546;17559079166;12265875456;10476474112;0.73;0.18;0.20;47913576;40923727;355349212;163694908;180079335;50206770;0;0;15017216;205098752;0.00;0.00;0.00;58661;801167;3439312;3204668;134;33;0;0;14584832;205300736;0.00;0.00;0.00;56972;801956;3435712;3207824;134;33;0;0;16206336;206832128;0.00;0.00;0.00;63306;807938;3484976;3231752;134;33;0;0;14765824;205337856;0.00;0.00;0.00;57679;802101;3439120;3208404;134;33;0;0;14619904;206210304;0.00;0.00;0.00;57109;805509;3450472;3222036;134;33;0;0;15075328;209165568;0.00;0.00;0.00;58888;817053;3503764;3268212;101;33;0;0;15792640;213944576;0.00;0.00;0.00;61690;835721;3589644;3342884;101;33;0;0;15600128;220133120;0.00;0.00;0.00;60938;859895;3683332;3439580;101;33;0;0;16464384;228490240;0.00;0.00;0.00;64314;892540;3827416;3570160;101;33;0;0;17159680;236261376;0.00;0.00;0.00;67030;922896;3959704;3691584;101;33;0;0;17702144;248853504;0.00;0.00;0.00;69149;972084;4164932;3888336;101;33;0;0;
1535965554;17559050320;2955052032;12814252032;0.64;0.15;0.16;11543172;50055672;246395376;200222688;32025457;58567300;0;0;15515904;206530560;0.00;0.00;0.00;60609;806760;3469476;3227040;134;33;0;0;14616832;206441216;0.00;0.00;0.00;57097;806411;3454032;3225644;135;33;0;0;15772416;206034432;0.00;0.00;0.00;61611;804822;3465732;3219288;134;33;0;0;14849536;204986880;0.00;0.00;0.00;58006;800730;3434944;3202920;134;33;0;0;14555136;205967616;0.00;0.00;0.00;56856;804561;3445668;3218244;134;33;0;0;14884352;206312448;0.00;0.00;0.00;58142;805908;3456200;3223632;101;33;0;0;15199232;204495616;0.00;0.00;0.00;59372;798811;3432732;3195244;101;33;0;0;14440704;203832320;0.00;0.00;0.00;56409;796220;3410516;3184880;101;33;0;0;14709504;204176896;0.00;0.00;0.00;57459;797566;3420100;3190264;101;33;0;0;15622400;205171456;0.00;0.00;0.00;61025;801451;3449904;3205804;101;33;0;0;14374144;202708480;0.00;0.00;0.00;56149;791830;3391916;3167320;101;33;0;0;
1535965562;17559169518;2944319232;12776278784;0.64;0.15;0.16;11501247;49907339;245634344;199629356;31937860;58372923;0;0;15107840;205699328;0.00;0.00;0.00;59015;803513;3450112;3214052;134;33;0;0;14549504;204863488;0.00;0.00;0.00;56834;800248;3428328;3200992;134;33;0;0;16266496;207997696;0.00;0.00;0.00;63541;812491;3504128;3249964;134;33;0;0;14931968;206232832;0.00;0.00;0.00;58328;805597;3455700;3222388;134;33;0;0;14631936;206445312;0.00;0.00;0.00;57156;806427;3454332;3225708;134;33;0;0;14820352;204792832;0.00;0.00;0.00;57892;799972;3431456;3199888;101;33;0;0;15376128;207228160;0.00;0.00;0.00;60063;809485;3478192;3237940;101;33;0;0;14691072;207090688;0.00;0.00;0.00;57387;808948;3465340;3235792;101;33;0;0;14987776;207629056;0.00;0.00;0.00;58546;811051;3478388;3244204;101;33;0;0;16853248;209500416;0.00;0.00;0.00;65833;818361;3536776;3273444;101;33;0;0;14742784;207871232;0.00;0.00;0.00;57589;811997;3478344;3247988;101;33;0;0;
