# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Sep  5 17:18:14 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536182295;2195095934;1848064;25741056;0.00;0.00;0.00;7219;100551;431080;402204;135;33;0;0;1918720;25932032;0.00;0.00;0.00;7495;101297;435168;405188;135;33;0;0;1843712;25989376;0.00;0.00;0.00;7202;101521;434892;406084;135;33;0;0;1968384;26141440;0.00;0.00;0.00;7689;102115;439216;408460;135;33;0;0;1880576;26236416;0.00;0.00;0.00;7346;102486;439328;409944;135;33;0;0;1887488;26402816;0.00;0.00;0.00;7373;103136;442036;412544;135;33;0;0;1895168;26460416;0.00;0.00;0.00;7403;103361;443056;413444;102;33;0;0;1957888;26553600;0.00;0.00;0.00;7648;103725;445492;414900;103;33;0;0;1889536;26568448;0.00;0.00;0.00;7381;103783;444656;415132;103;33;0;0;1924096;26574848;0.00;0.00;0.00;7516;103808;445296;415232;103;33;0;0;1945600;26726144;0.00;0.00;0.00;7600;104399;447996;417596;103;521;0;0;1888512;26590208;0.00;0.00;0.00;7377;103868;444980;415472;103;33;0;0;
1536182296;2195587296;2502912;34091520;0.00;0.00;0.00;9777;133170;571788;532680;134;33;0;0;2541312;35004928;0.00;0.00;0.00;9927;136738;586660;546952;135;33;0;0;2542080;35386368;0.00;0.00;0.00;9930;138228;592632;552912;136;33;0;0;3606784;50041600;0.00;0.00;0.00;14089;195475;838256;781900;134;33;0;0;3626752;50606336;0.00;0.00;0.00;14167;197681;847392;790724;134;33;0;0;3643136;51346688;0.00;0.00;0.00;14231;200573;859216;802292;135;33;0;0;3704320;51702016;0.00;0.00;0.00;14470;201961;865724;807844;102;33;0;0;3906048;52683008;0.00;0.00;0.00;15258;205793;884204;823172;101;33;0;0;3762944;53150720;0.00;0.00;0.00;14699;207620;889276;830480;101;33;0;0;3942144;54286336;0.00;0.00;0.00;15399;212056;909820;848224;102;33;0;0;1942725632;1310630400;0.49;0.35;0.36;7588772;5119650;50833688;20478600;14759800;7856910;0;0;4893696;68967680;0.00;0.00;0.00;19116;269405;1154084;1077620;102;33;0;0;
1536182298;4392011602;4088832;56332800;0.00;0.00;0.00;15972;220050;944088;880200;134;33;0;0;4113408;56376320;0.00;0.00;0.00;16068;220220;945152;880880;135;33;0;0;4023040;56682240;0.00;0.00;0.00;15715;221415;948520;885660;134;33;0;0;3050240;42712064;0.00;0.00;0.00;11915;166844;715036;667376;134;33;0;0;3098624;42789120;0.00;0.00;0.00;12104;167145;716996;668580;134;33;0;0;3032320;42561024;0.00;0.00;0.00;11845;166254;712396;665016;134;33;0;0;4075008;57049088;0.00;0.00;0.00;15918;222848;955064;891392;101;33;0;0;4285696;57321984;0.00;0.00;0.00;16741;223914;962620;895656;102;33;0;0;4070656;57381888;0.00;0.00;0.00;15901;224148;960196;896592;101;33;0;0;4137472;57094400;0.00;0.00;0.00;16162;223025;956748;892100;101;33;0;0;2658092032;1776622848;0.45;0.29;0.31;10383172;6939933;69292420;27759732;19014452;9721702;0;0;6917632;97604608;0.00;0.00;0.00;27022;381268;1633160;1525072;101;33;0;0;
1536182306;17559144328;16139776;222737152;0.00;0.00;0.00;63046;870067;3732452;3480268;134;33;0;0;18695680;256478720;0.00;0.00;0.00;73030;1001870;4299600;4007480;134;33;0;0;20228864;284890112;0.00;0.00;0.00;79019;1112852;4767484;4451408;135;33;0;0;23796736;328787456;0.00;0.00;0.00;92956;1284326;5509128;5137304;134;33;0;0;27162112;377651968;0.00;0.00;0.00;106102;1475203;6325220;5900812;134;33;0;0;29965056;423149312;0.00;0.00;0.00;117051;1652927;7079912;6611708;134;33;0;0;33155584;459120896;0.00;0.00;0.00;129514;1793441;7691820;7173764;101;33;0;0;38019072;508148480;0.00;0.00;0.00;148512;1984955;8533868;7939820;101;33;0;0;39267328;553289728;0.00;0.00;0.00;153388;2161288;9258704;8645152;101;33;0;0;43566848;600411136;0.00;0.00;0.00;170183;2345356;10062156;9381424;101;33;0;0;23617449472;16962883328;0.49;0.28;0.29;92255662;66261263;634067700;265045052;181411258;91992140;0;0;45217536;637817088;0.00;0.00;0.00;176631;2491473;10672416;9965892;101;33;0;0;
1536182338;70235308410;59648000;822520320;0.00;0.00;0.00;233000;3212970;13783880;12851880;143;33;0;0;74458880;1021728256;0.00;0.00;0.00;290855;3991126;17127924;15964504;134;33;0;0;87224320;1231755520;0.00;0.00;0.00;340720;4811545;20609060;19246180;134;33;0;0;103565824;1439156736;0.00;0.00;0.00;404554;5621706;24105040;22486824;134;33;0;0;116822016;1626342912;0.00;0.00;0.00;456336;6352902;27236952;25411608;134;33;0;0;129395712;1824393728;0.00;0.00;0.00;505452;7126538;30527960;28506152;134;33;0;0;145864704;2013639168;0.00;0.00;0.00;569784;7865778;33742248;31463112;101;33;0;0;164703488;2209298688;0.00;0.00;0.00;643373;8630073;37093784;34520292;101;33;0;0;170664960;2404072448;0.00;0.00;0.00;666660;9390908;40230272;37563632;101;33;0;0;188160256;2592030976;0.00;0.00;0.00;735001;10125121;43440488;40500484;101;33;0;0;102249956608;75040293888;0.50;0.28;0.29;399413893;293126148;2770160164;1172504592;799810651;405952689;0;0;212611584;2995826688;0.00;0.00;0.00;830514;11702448;50131848;46809792;101;33;0;0;
1536182466;280940130602;235423232;3253505280;0.00;0.00;0.00;919622;12709005;54514508;50836020;688;165;0;0;220064256;3019928832;0.00;0.00;0.00;859626;11796597;50624892;47186388;669;165;0;0;197202432;2779136512;0.00;0.00;0.00;770322;10856002;46505296;43424008;670;165;0;0;182236160;2528955392;0.00;0.00;0.00;711860;9878732;42362368;39514928;670;165;0;0;164224512;2290240768;0.00;0.00;0.00;641502;8946253;38351020;35785012;670;165;0;0;145056768;2046435328;0.00;0.00;0.00;566628;7993888;34242064;31975552;670;165;0;0;138730240;1811904512;0.00;0.00;0.00;541915;7077752;30478668;28311008;505;165;0;0;116866048;1568399616;0.00;0.00;0.00;456508;6126561;26332276;24506244;505;165;0;0;93659904;1320614656;0.00;0.00;0.00;365859;5158651;22098040;20634604;505;165;0;0;78617088;1083957760;0.00;0.00;0.00;307098;4234210;18165232;16936840;505;165;0;0;49207513600;20100667904;0.52;0.32;0.43;192216850;78518234;1082940336;314072936;403463542;115569475;0;0;41766656;588869376;0.00;0.00;0.00;163151;2300271;9853688;9201084;537;165;0;0;
1536182594;280940077100;238232064;3285542656;0.00;0.00;0.00;930594;12834151;55058980;51336604;712;165;0;0;240283392;3285808384;0.00;0.00;0.00;938607;12835189;55095184;51340756;671;165;0;0;232963584;3284100352;0.00;0.00;0.00;910014;12828517;54954124;51314068;672;165;0;0;236553728;3285296128;0.00;0.00;0.00;924038;12833188;55028904;51332752;671;165;0;0;235811328;3284074496;0.00;0.00;0.00;921138;12828416;54998216;51313664;672;165;0;0;232914688;3284170496;0.00;0.00;0.00;909823;12828791;54954456;51315164;671;165;0;0;253532160;3296200960;0.00;0.00;0.00;990360;12875785;55464580;51503140;507;165;0;0;245092352;3289568256;0.00;0.00;0.00;957392;12849876;55229072;51399504;505;165;0;0;232901120;3283927040;0.00;0.00;0.00;909770;12827840;54950440;51311360;506;165;0;0;237593344;3283035136;0.00;0.00;0.00;928099;12824356;55009820;51297424;505;165;0;0;881962454272;6919240192;0.00;0.00;0.00;3445165837;27028282;13888776476;108113128;3442912256;32038;0;0;232777472;3283756544;0.00;0.00;0.00;909287;12827174;54945844;51308696;507;165;0;0;
1536182722;280940129008;238219776;3285496576;0.00;0.00;0.00;930546;12833971;55058068;51335884;719;165;0;0;240557312;3285780224;0.00;0.00;0.00;939677;12835079;55099024;51340316;671;165;0;0;232897024;3284028928;0.00;0.00;0.00;909754;12828238;54951968;51312952;671;165;0;0;236379648;3285177600;0.00;0.00;0.00;923358;12832725;55024332;51330900;671;165;0;0;235317760;3283376128;0.00;0.00;0.00;919210;12825688;54979592;51302752;673;165;0;0;233036032;3283973120;0.00;0.00;0.00;910297;12828020;54953268;51312080;671;165;0;0;253350912;3295906560;0.00;0.00;0.00;989652;12874635;55457148;51498540;505;165;0;0;244866048;3289261056;0.00;0.00;0.00;956508;12848676;55220736;51394704;508;165;0;0;233214464;3283953152;0.00;0.00;0.00;910994;12827942;54955744;51311768;506;165;0;0;239009792;3284164864;0.00;0.00;0.00;933632;12828769;55049604;51315076;505;165;0;0;875012199168;6882090240;0.00;0.00;0.00;3418016403;26883165;13779598272;107532660;3415780912;6994;0;0;232864000;3283808000;0.00;0.00;0.00;909625;12827375;54948000;51309500;507;165;0;0;
1536182850;280940192730;238191872;3285743616;0.00;0.00;0.00;930437;12834936;55061492;51339744;775;165;0;0;239542784;3285867264;0.00;0.00;0.00;935714;12835419;55084532;51341676;670;165;0;0;232867328;3284154368;0.00;0.00;0.00;909638;12828728;54953464;51314912;671;165;0;0;236370432;3285757952;0.00;0.00;0.00;923322;12834992;55033256;51339968;672;165;0;0;235565056;3284047104;0.00;0.00;0.00;920176;12828309;54993940;51313236;671;165;0;0;234007296;3284605184;0.00;0.00;0.00;914091;12830489;54978320;51321956;671;165;0;0;251200256;3294886656;0.00;0.00;0.00;981251;12870651;55407608;51482604;507;165;0;0;245170688;3289974528;0.00;0.00;0.00;957698;12851463;55236644;51405852;507;165;0;0;233172480;3284504832;0.00;0.00;0.00;910830;12830097;54963708;51320388;506;165;0;0;253436928;3296725248;0.00;0.00;0.00;989988;12877833;55471284;51511332;506;165;0;0;868052243200;6878393600;0.00;0.00;0.00;3390829075;26868725;13670791200;107474900;3388661654;118437;0;0;233787136;3284640512;0.00;0.00;0.00;913231;12830627;54975432;51322508;506;165;0;0;
1536182978;280940096556;237418240;3285085184;0.00;0.00;0.00;927415;12832364;55039116;51329456;730;165;0;0;240139264;3285623552;0.00;0.00;0.00;938044;12834467;55090044;51337868;673;165;0;0;233236992;3284077056;0.00;0.00;0.00;911082;12828426;54958032;51313704;671;165;0;0;236168448;3285161984;0.00;0.00;0.00;922533;12832664;55020788;51330656;673;165;0;0;235867392;3283840000;0.00;0.00;0.00;921357;12827500;54995428;51310000;672;165;0;0;234795008;3284313344;0.00;0.00;0.00;917168;12829349;54986068;51317396;673;165;0;0;256193024;3298555904;0.00;0.00;0.00;1000754;12884984;55542952;51539936;508;165;0;0;245106432;3289476096;0.00;0.00;0.00;957447;12849516;55227852;51398064;508;165;0;0;233388544;3284088576;0.00;0.00;0.00;911674;12828471;54960580;51313884;508;165;0;0;252945152;3295858688;0.00;0.00;0.00;988067;12874448;55450060;51497792;509;165;0;0;875052291584;6875922944;0.00;0.00;0.00;3418173014;26859074;13780128352;107436296;3415964452;4496;0;0;234568448;3284049152;0.00;0.00;0.00;916283;12828317;54978400;51313268;506;165;0;0;
