# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Mon Sep  3 16:20:34 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536006035;2195099164;1881856;25778432;0.00;0.00;0.00;7351;100697;432192;402788;135;33;0;0;1854720;25904128;0.00;0.00;0.00;7245;101188;433732;404752;135;33;0;0;1852672;26021376;0.00;0.00;0.00;7237;101646;435532;406584;135;33;0;0;1886208;26090496;0.00;0.00;0.00;7368;101916;437136;407664;136;33;0;0;1903104;26131456;0.00;0.00;0.00;7434;102076;438040;408304;136;33;0;0;1847808;26136320;0.00;0.00;0.00;7218;102095;437252;408380;136;33;0;0;1915136;26156032;0.00;0.00;0.00;7481;102172;438612;408688;103;33;0;0;1932800;26188032;0.00;0.00;0.00;7550;102297;439388;409188;103;33;0;0;1856256;26154752;0.00;0.00;0.00;7251;102167;437672;408668;103;33;0;0;1872640;26126080;0.00;0.00;0.00;7315;102055;437480;408220;103;33;0;0;1922048;26250496;0.00;0.00;0.00;7508;102541;440196;410164;103;358;0;0;1856256;26154752;0.00;0.00;0.00;7251;102167;437672;408668;103;33;0;0;
1536006036;2195022916;1854464;25681408;0.00;0.00;0.00;7244;100318;430248;401272;136;33;0;0;1860864;25658112;0.00;0.00;0.00;7269;100227;429984;400908;135;33;0;0;1815296;25655552;0.00;0.00;0.00;7091;100217;429232;400868;135;33;0;0;1873664;25708032;0.00;0.00;0.00;7319;100422;430964;401688;134;33;0;0;1892096;25869568;0.00;0.00;0.00;7391;101053;433776;404212;134;33;0;0;1841152;25948928;0.00;0.00;0.00;7192;101363;434220;405452;135;33;0;0;1913600;26108672;0.00;0.00;0.00;7475;101987;437848;407948;102;33;0;0;1919744;26280448;0.00;0.00;0.00;7499;102658;440628;410632;102;33;0;0;1874176;26447360;0.00;0.00;0.00;7321;103310;442524;413240;102;33;0;0;1937152;26619392;0.00;0.00;0.00;7567;103982;446196;415928;102;33;0;0;2095104;33708800;0.00;0.00;0.00;8184;131675;559436;526700;102;27002;0;0;1899008;26956032;0.00;0.00;0.00;7418;105297;450860;421188;102;33;0;0;
1536006037;2195045064;1826048;25650688;0.00;0.00;0.00;7133;100198;429324;400792;134;33;0;0;1860608;25637376;0.00;0.00;0.00;7268;100146;429656;400584;135;33;0;0;1839872;25646592;0.00;0.00;0.00;7187;100182;429476;400728;135;33;0;0;1851904;25606656;0.00;0.00;0.21;7234;100026;429040;400104;135;33;0;0;1831936;25428736;0.00;0.00;0.00;7156;99331;425948;397324;135;33;0;0;1785088;25294848;0.00;0.00;0.00;6973;98808;423124;395232;136;33;0;0;1845760;25330688;0.00;0.00;0.00;7210;98948;424632;395792;101;33;0;0;1878016;25368064;0.00;0.00;0.00;7336;99094;425720;396376;102;33;0;0;1787648;25229568;0.00;0.00;0.00;6983;98553;422144;394212;101;33;0;0;1843712;25121792;0.00;0.00;0.00;7202;98132;421336;392528;102;33;0;0;1810432;24966400;0.00;0.00;0.00;7072;97525;418388;390100;102;33;0;0;1761280;24826880;0.00;0.00;0.00;6880;96980;415440;387920;102;33;0;0;
1536006038;2195043862;1854976;25676544;0.00;0.00;0.00;7246;100299;430180;401196;135;33;0;0;1891072;25678848;0.00;0.00;0.00;7387;100308;430780;401232;135;33;0;0;1838592;25663744;0.00;0.00;0.00;7182;100249;429724;400996;136;33;0;0;1845760;25654272;0.00;0.00;0.00;7210;100212;429688;400848;135;33;0;0;1870592;25668608;0.00;0.00;0.00;7307;100268;430300;401072;135;33;0;0;1811968;25630720;0.00;0.00;0.00;7078;100120;428792;400480;136;33;0;0;1843712;25486848;0.00;0.00;0.00;7202;99558;427040;398232;101;33;0;0;1860608;25544192;0.00;0.00;0.00;7268;99782;428200;399128;102;33;0;0;1804544;25542144;0.00;0.00;0.00;7049;99774;427292;399096;102;33;0;0;1831936;25553920;0.00;0.00;0.00;7156;99820;427904;399280;102;33;0;0;1862912;25581568;0.00;0.00;0.00;7277;99928;428820;399712;102;33;0;0;1820672;25612544;0.00;0.00;0.00;7112;100049;428644;400196;102;33;0;0;
1536006039;2195108560;1842176;25666304;0.00;0.00;0.00;7196;100259;429820;401036;138;33;0;0;1878016;25696256;0.00;0.00;0.00;7336;100376;430848;401504;135;33;0;0;1843712;25792512;0.00;0.00;0.00;7202;100752;431816;403008;134;33;0;0;1860096;25877504;0.00;0.00;0.00;7266;101084;433400;404336;134;33;0;0;1894912;25946112;0.00;0.00;0.00;7402;101352;435016;405408;135;33;0;0;1842176;25951232;0.00;0.00;0.00;7196;101372;434272;405488;136;33;0;0;1877504;25942528;0.00;0.00;0.00;7334;101338;434688;405352;102;33;0;0;1904384;25798912;0.00;0.00;0.00;7439;100777;432864;403108;101;33;0;0;1850368;25868800;0.00;0.00;0.00;7228;101050;433112;404200;102;33;0;0;1875712;25820160;0.00;0.00;0.00;7327;100860;432748;403440;102;33;0;0;1874944;25833728;0.00;0.00;0.00;7324;100913;432948;403652;102;33;0;0;1839872;25841920;0.00;0.00;0.00;7187;100945;432528;403780;103;33;0;0;
1536006040;2195042048;1863936;25679872;0.00;0.00;0.00;7281;100312;430372;401248;137;33;0;0;1861376;25644288;0.00;0.00;0.00;7271;100173;429776;400692;134;33;0;0;1807360;25530624;0.00;0.00;0.00;7060;99729;427156;398916;135;33;0;0;1842432;25474304;0.00;0.00;0.00;7197;99509;426824;398036;136;33;0;0;1831680;25401344;0.00;0.00;0.00;7155;99224;425516;396896;135;33;0;0;1800960;25376256;0.00;0.00;0.00;7035;99126;424644;396504;135;33;0;0;1820160;25332480;0.00;0.00;0.00;7110;98955;424260;395820;102;33;0;0;1876480;25369344;0.00;0.00;0.00;7330;99099;425716;396396;102;33;0;0;1773568;25302784;0.00;0.00;0.00;6928;98839;423068;395356;101;33;0;0;1835008;25436672;0.00;0.00;0.00;7168;99362;426120;397448;101;33;0;0;1873152;25516288;0.00;0.00;0.00;7317;99673;427960;398692;101;33;0;0;1809920;25496832;0.00;0.00;0.00;7070;99597;426668;398388;102;33;0;0;
1536006041;2195047074;1870848;25687552;0.00;0.00;0.00;7308;100342;430600;401368;134;33;0;0;1876224;25703680;0.00;0.00;0.00;7329;100405;430936;401620;135;33;0;0;1813248;25683456;0.00;0.00;0.00;7083;100326;429636;401304;134;33;0;0;1847296;25716736;0.00;0.00;0.00;7216;100456;430688;401824;135;33;0;0;1862144;25717248;0.00;0.00;0.00;7274;100458;430928;401832;136;33;0;0;1809408;25709056;0.00;0.00;0.00;7068;100426;429976;401704;135;33;0;0;1878272;25748480;0.00;0.00;0.00;7337;100580;431668;402320;103;33;0;0;1896192;25767936;0.00;0.00;0.00;7407;100656;432252;402624;103;33;0;0;1826304;25737216;0.00;0.00;0.00;7134;100536;430680;402144;101;33;0;0;1864960;25702912;0.00;0.00;0.00;7285;100402;430748;401608;102;33;0;0;1864960;25709312;0.00;0.00;0.00;7285;100427;430848;401708;103;33;0;0;1829376;25714432;0.00;0.00;0.00;7146;100447;430372;401788;102;33;0;0;
1536006042;2195031468;1829888;25653504;0.00;0.00;0.00;7148;100209;429428;400836;138;33;0;0;1880576;25711360;0.00;0.00;0.00;7346;100435;431124;401740;134;33;0;0;1802752;25672704;0.00;0.00;0.00;7042;100284;429304;401136;135;33;0;0;1836288;25675776;0.00;0.00;0.00;7173;100296;429876;401184;135;33;0;0;1850880;25701120;0.00;0.00;0.00;7230;100395;430500;401580;135;33;0;0;1832448;25702656;0.00;0.00;0.00;7158;100401;430236;401604;135;33;0;0;1861376;25839104;0.00;0.00;0.00;7271;100934;432820;403736;102;33;0;0;1902336;26019072;0.00;0.00;0.00;7431;101637;436272;406548;102;33;0;0;1844992;25914112;0.00;0.00;0.00;7207;101227;433736;404908;101;33;0;0;1867008;25819648;0.00;0.00;0.00;7293;100858;432604;403432;102;33;0;0;1879552;25779712;0.00;0.00;0.00;7342;100702;432176;402808;102;33;0;0;1836032;25751040;0.00;0.00;0.00;7172;100590;431048;402360;102;33;0;0;
1536006043;2195134754;1832704;25654528;0.00;0.00;0.00;7159;100213;429488;400852;139;33;0;0;1850112;25650176;0.00;0.00;0.00;7227;100196;429692;400784;135;33;0;0;1813248;25644800;0.00;0.00;0.00;7083;100175;429032;400700;135;33;0;0;1842688;25657856;0.00;0.00;0.00;7198;100226;429696;400904;135;33;0;0;1865728;25688576;0.00;0.00;0.00;7288;100346;430536;401384;134;33;0;0;1803008;25803520;0.00;0.00;0.00;7043;100795;431352;403180;135;33;0;0;1853952;25736960;0.00;0.00;0.00;7242;100535;431108;402140;101;33;0;0;1906688;25699328;0.00;0.00;0.00;7448;100388;431344;401552;102;33;0;0;1819648;25659648;0.00;0.00;0.00;7108;100233;429364;400932;102;33;0;0;1874944;25682176;0.00;0.00;0.00;7324;100321;430580;401284;101;33;0;0;1881088;25736704;0.00;0.00;0.00;7348;100534;431528;402136;102;33;0;0;1823488;25710592;0.00;0.00;0.00;7123;100432;430220;401728;103;33;0;0;
1536006044;2194939190;1853184;25667584;0.00;0.00;0.00;7239;100264;430012;401056;140;33;0;0;1844480;25639168;0.00;0.00;0.00;7205;100153;429432;400612;135;33;0;0;1824256;25650688;0.00;0.00;0.00;7126;100198;429296;400792;135;33;0;0;1851904;25650944;0.00;0.00;0.00;7234;100199;429732;400796;135;33;0;0;1862656;25631488;0.00;0.00;0.00;7276;100123;429596;400492;135;33;0;0;1806848;25437440;0.00;0.00;0.00;7058;99365;425692;397460;135;33;0;0;1849600;25522432;0.00;0.00;0.00;7225;99697;427688;398788;102;33;0;0;1870080;25635584;0.00;0.00;0.00;7305;100139;429776;400556;102;33;0;0;1817344;25619456;0.00;0.00;0.00;7099;100076;428700;400304;102;33;0;0;1856768;25593088;0.00;0.00;0.00;7253;99973;428904;399892;103;33;0;0;1877760;25581568;0.00;0.00;0.00;7335;99928;429052;399712;102;33;0;0;1825280;25598208;0.00;0.00;0.00;7130;99993;428492;399972;101;33;0;0;
