# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Tue Sep  4 22:18:48 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536113929;2195052460;1865728;25586432;0.00;0.00;0.00;7288;99947;428940;399788;134;33;0;0;1873664;25694976;0.00;0.00;0.00;7319;100371;430760;401484;134;33;0;0;1817600;25719552;0.00;0.00;0.00;7100;100467;430268;401868;134;33;0;0;1872640;25802752;0.00;0.00;0.00;7315;100792;432428;403168;136;33;0;0;1893632;25845504;0.00;0.00;0.00;7397;100959;433424;403836;136;33;0;0;1851136;25844480;0.00;0.00;0.00;7231;100955;432744;403820;136;33;0;0;1881344;25843712;0.00;0.00;0.00;7349;100952;433204;403808;103;33;0;0;1895168;25882880;0.00;0.00;0.00;7403;101105;434032;404420;103;33;0;0;1844480;25865984;0.00;0.00;0.00;7205;101039;432976;404156;103;33;0;0;1876480;25850112;0.00;0.00;0.00;7330;100977;433228;403908;103;33;0;0;1902848;25893632;0.00;0.00;0.00;7433;101147;434320;404588;103;105;0;0;1854464;25876480;0.00;0.00;0.00;7244;101080;433296;404320;103;33;0;0;
1536113930;2195244272;2861568;39670272;0.00;0.00;0.00;11178;154962;664560;619848;134;33;0;0;2964224;40553472;0.00;0.00;0.00;11579;158412;679964;633648;134;33;0;0;4291072;60408832;0.00;0.00;0.00;16762;235972;1010936;943888;135;33;0;0;4409344;61159936;0.00;0.00;0.00;17224;238906;1024520;955624;135;33;0;0;4496384;62030336;0.00;0.00;0.00;17564;242306;1039480;969224;134;33;0;0;5805312;81788416;0.00;0.00;0.00;22677;319486;1368652;1277944;134;33;0;0;5985024;82756864;0.00;0.00;0.00;23379;323269;1386592;1293076;101;33;0;0;7653376;103947776;0.00;0.00;0.00;29896;406046;1743768;1624184;102;33;0;0;9739264;137312512;0.00;0.00;0.00;38044;536377;2297684;2145508;102;33;0;0;13183488;182759680;0.00;0.00;0.00;51498;713905;3061612;2855620;102;33;0;0;8277162240;5382408192;0.48;0.30;0.30;32332665;21025032;213430788;84100128;61936448;30071332;0;0;19886848;279968768;0.00;0.00;0.00;77683;1093628;4685244;4374512;102;33;0;0;
1536113946;35120194992;31272960;431683840;0.00;0.00;0.00;122160;1686265;7233700;6745060;138;33;0;0;34875136;479852800;0.00;0.00;0.00;136231;1874425;8042624;7497700;134;33;0;0;36128768;508112896;0.00;0.00;0.00;141128;1984816;8503776;7939264;134;33;0;0;39786240;552644096;0.00;0.00;0.00;155415;2158766;9256724;8635064;135;33;0;0;43713536;601903616;0.00;0.00;0.00;170756;2351186;10087768;9404744;134;33;0;0;44490496;627061504;0.00;0.00;0.00;173791;2449459;10493000;9797836;134;33;0;0;48791552;676110592;0.00;0.00;0.00;190592;2641057;11326596;10564228;101;33;0;0;52069120;707893504;0.00;0.00;0.00;203395;2765209;11874416;11060836;101;33;0;0;51294976;722871552;0.00;0.00;0.00;200371;2823717;12096352;11294868;101;33;0;0;52286976;725244928;0.00;0.00;0.00;204246;2832988;12148936;11331952;101;33;0;0;27106241280;18831767808;0.49;0.28;0.30;105883755;73561593;717781392;294246372;209618308;102376424;0;0;51647232;728222208;0.00;0.00;0.00;201747;2844618;12185460;11378472;101;33;0;0;
1536113978;70235724204;59299328;817509632;0.00;0.00;0.00;231638;3193397;13700140;12773588;136;33;0;0;59147776;812337152;0.00;0.00;0.00;231046;3173192;13616952;12692768;134;33;0;0;57181440;804753408;0.00;0.00;0.00;223365;3143568;13467732;12574272;134;33;0;0;57879040;803378688;0.00;0.00;0.00;226090;3138198;13457152;12552792;134;33;0;0;58283264;801898240;0.00;0.00;0.00;227669;3132415;13440336;12529660;134;33;0;0;70758656;997289216;0.00;0.00;0.00;276401;3895661;16688248;15582644;134;33;0;0;86776064;1203841536;0.00;0.00;0.00;338969;4702506;20165900;18810024;101;33;0;0;103115008;1404185856;0.00;0.00;0.00;402793;5485101;23551576;21940404;101;33;0;0;114015488;1606192384;0.00;0.00;0.00;445373;6274189;26878248;25096756;101;33;0;0;131631872;1822703360;0.00;0.00;0.00;514187;7119935;30536488;28479740;101;33;0;0;74164059392;51360444416;0.50;0.28;0.29;289703357;200626736;1961320372;802506944;575332612;278015104;0;0;157190144;2215752704;0.00;0.00;0.00;614024;8655284;37077232;34621136;101;33;0;0;
1536114106;280940382470;237348608;3277635840;0.00;0.00;0.00;927143;12803265;54921632;51213060;693;165;0;0;236719104;3256176384;0.00;0.00;0.00;924684;12719439;54576492;50877756;670;165;0;0;229980928;3243971840;0.00;0.00;0.00;898363;12671765;54280512;50687060;670;165;0;0;233185536;3237153280;0.00;0.00;0.00;910881;12645130;54224044;50580520;670;165;0;0;234020096;3222848256;0.00;0.00;0.00;914141;12589251;54013568;50357004;670;165;0;0;213669120;3009792768;0.00;0.00;0.00;834645;11757003;50366592;47028012;670;165;0;0;201729792;2797127936;0.00;0.00;0.00;788007;10926281;46857152;43705124;537;165;0;0;203228672;2770139904;0.00;0.00;0.00;793862;10820859;46458884;43283436;505;165;0;0;196300800;2764834560;0.00;0.00;0.00;766800;10800135;46267740;43200540;505;165;0;0;198130944;2743006720;0.00;0.00;0.00;773949;10714870;45955276;42859480;505;165;0;0;110373299968;68501347840;0.53;0.29;0.32;431145703;267583390;2794916372;1070333560;925750715;374284477;0;0;196012032;2761577472;0.00;0.00;0.00;765672;10787412;46212336;43149648;505;165;0;0;
1536114234;280942067076;238442496;3293993216;0.00;0.00;0.00;931416;12867161;55194308;51468644;706;165;0;0;241788672;3324069632;0.00;0.00;0.00;944487;12984647;55716536;51938588;670;165;0;0;237239296;3345830656;0.00;0.00;0.00;926716;13069651;55985468;52278604;670;165;0;0;241915648;3360849152;0.00;0.00;0.00;944983;13128317;56293200;52513268;670;165;0;0;245682176;3381182720;0.00;0.00;0.00;959696;13207745;56669764;52830980;670;165;0;0;255580160;3599890688;0.00;0.00;0.00;998360;14062073;60241732;56248292;670;165;0;0;273922048;3798595072;0.00;0.00;0.00;1070008;14838262;63633080;59353048;505;165;0;0;283120128;3850823424;0.00;0.00;0.00;1105938;15042279;64592868;60169116;505;165;0;0;272139520;3829579264;0.00;0.00;0.00;1063045;14959294;64089356;59837176;505;165;0;0;260850688;3612296704;0.00;0.00;0.00;1018948;14110534;60517928;56442136;505;165;0;0;125088936448;83014285312;0.49;0.28;0.31;488628658;324274552;3251612840;1297098208;967457437;452074610;0;0;220555520;3107054336;0.00;0.00;0.00;861545;12136931;51993904;48547724;505;165;0;0;
1536114362;280940217308;235685376;3253343744;0.00;0.00;0.00;920646;12708374;54516080;50833496;695;165;0;0;233096960;3202680832;0.00;0.00;0.00;910535;12510472;53684028;50041888;670;165;0;0;223267840;3147289344;0.00;0.00;0.00;872140;12294099;52664956;49176396;670;165;0;0;223243776;3100073472;0.00;0.00;0.00;872046;12109662;51926832;48438648;670;165;0;0;221546496;3049206784;0.00;0.00;0.00;865416;11910964;51105520;47643856;670;165;0;0;198563584;2796343296;0.00;0.00;0.00;775639;10923216;46795420;43692864;671;165;0;0;183894784;2547694848;0.00;0.00;0.00;718339;9951933;42681088;39807732;505;165;0;0;168024064;2286138368;0.00;0.00;0.00;656344;8930228;38346288;35720912;505;165;0;0;145777920;2052756736;0.00;0.00;0.00;569445;8018581;34352104;32074324;505;165;0;0;145837824;2021564160;0.00;0.00;0.00;569679;7896735;33865656;31586940;505;165;0;0;247505403136;63981809920;0.10;0.00;0.03;966817981;249928945;4866987704;999715780;1070675858;243209477;0;0;143539712;2022008576;0.00;0.00;0.00;560702;7898471;33836692;31593884;505;165;0;0;
1536114490;280940169548;237630720;3285124352;0.00;0.00;0.00;928245;12832517;55043048;51330068;688;165;0;0;239106816;3285859584;0.00;0.00;0.00;934011;12835389;55077600;51341556;670;165;0;0;233062144;3284233728;0.00;0.00;0.00;910399;12829038;54957748;51316152;670;165;0;0;236578560;3285405184;0.00;0.00;0.00;924135;12833614;55030996;51334456;671;165;0;0;238831616;3286544640;0.00;0.00;0.00;932936;12838065;55084004;51352260;671;165;0;0;233284352;3284418816;0.00;0.00;0.00;911267;12829761;54964112;51319044;672;165;0;0;236515584;3282123520;0.00;0.00;0.00;923889;12820795;54978736;51283180;505;165;0;0;241462016;3287338496;0.00;0.00;0.00;943211;12841166;55137508;51364664;506;165;0;0;233122816;3283944448;0.00;0.00;0.00;910636;12827908;54954176;51311632;506;165;0;0;236721152;3282137600;0.00;0.00;0.00;924692;12820850;54982168;51283400;505;165;0;0;406667729920;107856547840;0.00;0.00;0.00;1588545820;421314640;8039441840;1685258560;1574356310;391386729;0;0;232961792;3283853824;0.00;0.00;0.00;910007;12827554;54950244;51310216;505;165;0;0;
1536114618;280940347536;239968512;3286605824;0.00;0.00;0.00;937377;12838304;55102724;51353216;702;165;0;0;241052416;3287167744;0.00;0.00;0.00;941611;12840499;55128440;51361996;670;165;0;0;233033472;3284257792;0.00;0.00;0.00;910287;12829132;54957676;51316528;670;165;0;0;236555008;3285426432;0.00;0.00;0.00;924043;12833697;55030960;51334788;670;165;0;0;238747392;3286423552;0.00;0.00;0.00;932607;12837592;55080796;51350368;670;165;0;0;232893440;3284065280;0.00;0.00;0.00;909740;12828380;54952480;51313520;670;165;0;0;236638720;3282211584;0.00;0.00;0.00;924370;12821139;54982036;51284556;505;165;0;0;241542400;3287628288;0.00;0.00;0.00;943525;12842298;55143292;51369192;506;165;0;0;233038592;3284387584;0.00;0.00;0.00;910307;12829639;54959784;51318556;506;165;0;0;236887808;3282659328;0.00;0.00;0.00;925343;12822888;54992924;51291552;505;165;0;0;404517122304;107899723776;0.00;0.00;0.00;1580145009;421483296;8006513220;1685933184;1569580860;395097881;0;0;232957696;3284404736;0.00;0.00;0.00;909991;12829706;54958788;51318824;505;165;0;0;
1536114746;280940311518;253236736;3297746432;0.00;0.00;0.00;989206;12881822;55484112;51527288;690;165;0;0;241969664;3287763968;0.00;0.00;0.00;945194;12842828;55152088;51371312;670;165;0;0;233117696;3284448768;0.00;0.00;0.00;910616;12829878;54961976;51319512;670;165;0;0;236144896;3285335040;0.00;0.00;0.00;922441;12833340;55023124;51333360;670;165;0;0;239019008;3286733568;0.00;0.00;0.00;933668;12838803;55089884;51355212;670;165;0;0;232980224;3284319232;0.00;0.00;0.00;910079;12829372;54957804;51317488;670;165;0;0;236314112;3282310912;0.00;0.00;0.00;923102;12821527;54978516;51286108;505;165;0;0;241052416;3287089408;0.00;0.00;0.00;941611;12840193;55127216;51360772;505;165;0;0;232853248;3283986944;0.00;0.00;0.00;909583;12828074;54950628;51312296;505;165;0;0;237051648;3282395904;0.00;0.00;0.00;925983;12821859;54991368;51287436;505;165;0;0;404510479616;107907009792;0.00;0.00;0.00;1580119061;421511757;8006523272;1686047028;1568753719;394653637;0;0;233040896;3284090880;0.00;0.00;0.00;910316;12828480;54955184;51313920;505;165;0;0;
