# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Mon Sep  3 09:06:59 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1535980020;2195047106;1850112;25638144;0.00;0.00;0.00;7227;100149;429504;400596;134;33;0;0;1956096;25831424;0.00;0.00;0.00;7641;100904;434180;403616;134;33;0;0;3063040;25621504;0.00;0.00;0.00;11965;100084;448196;400336;135;33;0;0;1829632;25860864;0.00;0.00;0.00;7147;101019;432664;404076;137;33;0;0;1883392;25921792;0.00;0.00;0.00;7357;101257;434456;405028;136;33;0;0;1846016;25946880;0.00;0.00;0.00;7211;101355;434264;405420;135;33;0;0;1897216;26123520;0.00;0.00;0.00;7411;102045;437824;408180;102;33;0;0;1927168;26277632;0.00;0.00;0.00;7528;102647;440700;410588;102;33;0;0;1872384;26340096;0.00;0.00;0.00;7314;102891;440820;411564;102;33;0;0;1907456;26392832;0.00;0.00;0.00;7451;103097;442192;412388;103;33;0;0;1912064;26291712;0.00;0.00;0.00;7469;102702;440684;410808;102;87;0;0;1860352;26208000;0.00;0.00;0.00;7267;102375;438568;409500;103;33;0;0;
1535980021;2195025534;2003968;25839616;0.00;0.00;0.00;7828;100936;435056;403744;135;33;0;0;1925888;25707776;0.00;0.00;0.00;7523;100421;431776;401684;135;33;0;0;3057920;25468160;0.00;0.00;0.00;11945;99485;445720;397940;135;33;0;0;1828608;25659136;0.00;0.00;0.00;7143;100231;429496;400924;135;33;0;0;1880576;25681664;0.00;0.00;0.00;7346;100319;430660;401276;135;33;0;0;1828608;25645824;0.00;0.00;0.00;7143;100179;429288;400716;135;33;0;0;1880320;25653760;0.00;0.00;0.00;7345;100210;430220;400840;101;33;0;0;1893376;25694208;0.00;0.00;0.00;7396;100368;431056;401472;101;33;0;0;1830912;25695232;0.00;0.00;0.00;7152;100372;430096;401488;102;33;0;0;1890304;25702912;0.00;0.00;0.00;7384;100402;431144;401608;102;33;0;0;2351616;44170752;0.00;0.00;0.00;9186;172542;726912;690168;101;72012;0;0;1824256;25764864;0.00;0.00;0.00;7126;100644;431080;402576;101;33;0;0;
1535980022;2195024794;2142208;26022144;0.00;0.00;0.00;8368;101649;440068;406596;136;33;0;0;1937408;25709568;0.00;0.00;0.00;7568;100428;431984;401712;135;33;0;0;3055616;25451008;0.00;0.00;0.00;11936;99418;445416;397672;135;33;0;0;1841408;25794816;0.00;0.00;0.00;7193;100761;431816;403044;134;33;0;0;1848064;25861120;0.00;0.00;0.00;7219;101020;432956;404080;134;33;0;0;1841152;25944064;0.00;0.00;0.00;7192;101344;434144;405376;135;33;0;0;1901056;25919744;0.00;0.00;0.00;7426;101249;434700;404996;101;33;0;0;1921536;25920000;0.00;0.00;0.00;7506;101250;435024;405000;102;33;0;0;1843968;25875456;0.00;0.00;0.00;7203;101076;433116;404304;102;33;0;0;1863168;25856512;0.00;0.00;0.00;7278;101002;433120;404008;101;33;0;0;1906176;26012928;0.00;0.00;0.00;7446;101613;436236;406452;102;33;0;0;1853696;26089216;0.00;0.00;0.00;7241;101911;436608;407644;101;33;0;0;
1535980023;2194993460;2293504;26188032;0.00;0.00;0.00;8959;102297;445024;409188;142;33;0;0;1937664;25777664;0.00;0.00;0.00;7569;100694;433052;402776;135;33;0;0;3066880;25536512;0.00;0.00;0.00;11980;99752;446928;399008;134;33;0;0;1830400;25634048;0.00;0.00;0.00;7150;100133;429132;400532;136;33;0;0;1851648;25549824;0.00;0.00;0.00;7233;99804;428148;399216;136;33;0;0;1800960;25476608;0.00;0.00;0.00;7035;99518;426212;398072;136;33;0;0;1836544;25349120;0.00;0.00;0.00;7174;99020;424776;396080;102;33;0;0;1878016;25262080;0.00;0.00;0.00;7336;98680;424064;394720;103;33;0;0;1790464;25138432;0.00;0.00;0.00;6994;98197;420764;392788;103;33;0;0;1826304;25076736;0.00;0.00;0.00;7134;97956;420360;391824;102;33;0;0;1791232;24885248;0.00;0.00;0.00;6997;97208;416820;388832;102;33;0;0;1754368;24730368;0.00;0.00;0.00;6853;96603;413824;386412;103;33;0;0;
1535980024;2195029020;2286336;26203904;0.00;0.00;0.00;8931;102359;445160;409436;136;33;0;0;2002688;25894912;0.00;0.00;0.00;7823;101152;435900;404608;134;33;0;0;3084288;25740288;0.00;0.00;0.00;12048;100548;450384;402192;135;33;0;0;1839104;26092800;0.00;0.00;0.00;7184;101925;436436;407700;134;33;0;0;1935360;26313984;0.00;0.00;0.00;7560;102789;441396;411156;134;33;0;0;1870592;26404096;0.00;0.00;0.00;7307;103141;441792;412564;134;33;0;0;1951232;26652160;0.00;0.00;0.00;7622;104110;446928;416440;102;33;0;0;1985536;26884352;0.00;0.00;0.00;7756;105017;451092;420068;102;33;0;0;1909760;27078400;0.00;0.00;0.00;7460;105775;452940;423100;102;33;0;0;1984768;27344128;0.00;0.00;0.00;7753;106813;458264;427252;102;33;0;0;2022400;27609344;0.00;0.00;0.00;7900;107849;462996;431396;102;33;0;0;1977600;27791872;0.00;0.00;0.00;7725;108562;465148;434248;102;33;0;0;
1535980025;2195165972;2214400;26108160;0.00;0.00;0.00;8650;101985;442540;407940;156;33;0;0;1934848;25718784;0.00;0.00;0.00;7558;100464;432088;401856;134;33;0;0;3058944;25468160;0.00;0.00;0.00;11949;99485;445736;397940;134;33;0;0;1813248;25642240;0.00;0.00;0.00;7083;100165;428992;400660;134;33;0;0;1859072;25710592;0.00;0.00;0.00;7262;100432;430776;401728;134;33;0;0;1826304;25785344;0.00;0.00;0.00;7134;100724;431432;402896;135;33;0;0;1879040;25817856;0.00;0.00;0.00;7340;100851;432764;403404;101;33;0;0;1937152;25897472;0.00;0.00;0.00;7567;101162;434916;404648;102;33;0;0;1846784;25860608;0.00;0.00;0.00;7214;101018;432928;404072;101;33;0;0;1858816;25838080;0.00;0.00;0.00;7261;100930;432764;403720;101;33;0;0;1888768;25867776;0.00;0.00;0.00;7378;101046;433696;404184;101;33;0;0;1843456;25880576;0.00;0.00;0.00;7201;101096;433188;404384;101;33;0;0;
1535980026;2195085336;2105088;25952000;0.00;0.00;0.00;8223;101375;438392;405500;143;33;0;0;1901312;25634048;0.00;0.00;0.00;7427;100133;430240;400532;134;33;0;0;3029248;25291264;0.00;0.00;0.00;11833;98794;442508;395176;135;33;0;0;1812992;25487616;0.00;0.00;0.00;7082;99561;426572;398244;135;33;0;0;1860864;25503744;0.00;0.00;0.00;7269;99624;427572;398496;134;33;0;0;1791232;25461760;0.00;0.00;0.00;6997;99460;425828;397840;134;33;0;0;1872384;25483776;0.00;0.00;0.00;7314;99546;427440;398184;101;33;0;0;1876224;25493248;0.00;0.00;0.00;7329;99583;427648;398332;102;33;0;0;1815808;25482240;0.00;0.00;0.00;7093;99540;426532;398160;101;33;0;0;1821952;25430784;0.00;0.00;0.00;7117;99339;425824;397356;101;33;0;0;1852672;25408512;0.00;0.00;0.00;7237;99252;425956;397008;101;33;0;0;1791232;25405440;0.00;0.00;0.00;6997;99240;424948;396960;102;33;0;0;
1535980027;2195087562;2313472;26208768;0.00;0.00;0.00;9037;102378;445660;409512;140;33;0;0;1924352;25780992;0.00;0.00;0.00;7517;100707;432896;402828;135;33;0;0;3096832;25668096;0.00;0.00;0.00;12097;100266;449452;401064;134;33;0;0;1833728;25841664;0.00;0.00;0.00;7163;100944;432428;403776;135;33;0;0;1883904;25871872;0.00;0.00;0.00;7359;101062;433684;404248;134;33;0;0;1852928;25871360;0.00;0.00;0.00;7238;101060;433192;404240;134;33;0;0;1854720;25779968;0.00;0.00;0.00;7245;100703;431792;402812;101;33;0;0;1898496;25755904;0.00;0.00;0.00;7416;100609;432100;402436;101;33;0;0;1806592;25632256;0.00;0.00;0.00;7057;100126;428732;400504;101;33;0;0;1853696;25554688;0.00;0.00;0.00;7241;99823;428256;399292;103;33;0;0;1865984;25624576;0.00;0.00;0.00;7289;100096;429540;400384;102;33;0;0;1807360;25555200;0.00;0.00;0.00;7060;99825;427540;399300;102;33;0;0;
1535980028;2195053516;2531840;26483200;0.00;0.00;0.00;9890;103450;453360;413800;136;33;0;0;1929472;25728000;0.00;0.00;0.00;7537;100500;432148;402000;134;33;0;0;3052288;25474560;0.00;0.00;0.00;11923;99510;445732;398040;135;33;0;0;1814016;25659136;0.00;0.00;0.00;7086;100231;429268;400924;134;33;0;0;1863424;25688576;0.00;0.00;0.00;7279;100346;430500;401384;134;33;0;0;1808128;25655296;0.00;0.00;0.00;7063;100216;429116;400864;134;33;0;0;1872640;25719552;0.00;0.00;0.00;7315;100467;431128;401868;101;33;0;0;1937920;25840384;0.00;0.00;0.00;7570;100939;434036;403756;102;33;0;0;1840896;25869824;0.00;0.00;0.00;7191;101054;432980;404216;101;33;0;0;1869568;25956864;0.00;0.00;0.00;7303;101394;434788;405576;101;33;0;0;1885184;25983488;0.00;0.00;0.00;7364;101498;435448;405992;102;33;0;0;1850368;26053888;0.00;0.00;0.00;7228;101773;436004;407092;101;33;0;0;
1535980029;2195106720;2116608;25981696;0.00;0.00;0.00;8268;101491;439036;405964;136;33;0;0;1963264;25753344;0.00;0.00;0.00;7669;100599;433072;402396;134;33;0;0;3052800;25480192;0.00;0.00;0.00;11925;99532;445828;398128;134;33;0;0;1838592;25682688;0.00;0.00;0.00;7182;100323;430020;401292;134;33;0;0;1851648;25663488;0.00;0.00;0.00;7233;100248;429924;400992;134;33;0;0;1817088;25632512;0.00;0.00;0.00;7098;100127;428900;400508;135;33;0;0;1868544;25651968;0.00;0.00;0.00;7299;100203;430008;400812;101;33;0;0;1935872;25707520;0.00;0.00;0.00;7562;100420;431928;401680;101;33;0;0;1821696;25647360;0.00;0.00;0.00;7116;100185;429204;400740;101;33;0;0;1841408;25610240;0.00;0.00;0.00;7193;100040;428932;400160;102;33;0;0;1880320;25651200;0.00;0.00;0.00;7345;100200;430180;400800;101;33;0;0;1814784;25633536;0.00;0.00;0.00;7089;100131;428880;400524;101;33;0;0;
