# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Thu Sep  6 08:48:07 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536238088;2195082492;1993472;25817600;0.00;0.00;0.00;7787;100850;434548;403400;135;33;0;0;1864704;25884928;0.00;0.00;0.00;7284;101113;433588;404452;135;33;0;0;1853952;25970688;0.00;0.00;0.00;7242;101448;434760;405792;135;33;0;0;1860608;26040576;0.00;0.00;0.00;7268;101721;435956;406884;136;33;0;0;1921536;26102528;0.00;0.00;0.00;7506;101963;437876;407852;136;33;0;0;1876992;26102016;0.00;0.00;0.00;7332;101961;437172;407844;135;33;0;0;2017024;26213120;0.00;0.00;0.00;7879;102395;441096;409580;103;33;0;0;1935616;26150400;0.00;0.00;0.00;7561;102150;438844;408600;103;33;0;0;1868544;26113536;0.00;0.00;0.00;7299;102006;437220;408024;103;33;0;0;2067712;26255616;0.00;0.00;0.00;8077;102561;442552;410244;103;33;0;0;1899776;26513920;0.00;0.00;0.00;7421;103570;443964;414280;103;1648;0;0;1854976;25934592;0.00;0.00;0.00;7246;101307;434212;405228;102;33;0;0;
1536238089;2195508820;3124224;40303616;0.00;0.00;0.00;12204;157436;678560;629744;134;33;0;0;2999040;41114624;0.00;0.00;0.00;11715;160604;689276;642416;134;33;0;0;2992640;41782016;0.00;0.00;0.00;11690;163211;699604;652844;135;33;0;0;3075584;42790144;0.00;0.00;0.00;12014;167149;716652;668596;134;33;0;0;3982336;54818304;0.00;0.00;0.00;15556;214134;918760;856536;134;33;0;0;5671424;79176448;0.00;0.00;0.00;22154;309283;1325748;1237132;134;33;0;0;8787456;114865152;0.00;0.00;0.00;34326;448692;1932072;1794768;102;33;0;0;11348480;152203776;0.00;0.00;0.00;44330;594546;2555504;2378184;102;33;0;0;14056704;196713216;0.00;0.00;0.00;54909;768411;3293280;3073644;102;33;0;0;18719232;243015424;0.00;0.00;0.00;73122;949279;4089604;3797116;102;33;0;0;10995463936;7692314880;0.48;0.29;0.30;42951031;30048105;291996544;120192420;82397198;42497265;0;0;23610880;331341568;0.00;0.00;0.00;92230;1294303;5546132;5177212;102;33;0;0;
1536238105;35118647158;32700416;427536640;0.00;0.00;0.00;127736;1670065;7191204;6680260;134;33;0;0;34308864;471651840;0.00;0.00;0.00;134019;1842390;7905636;7369560;134;33;0;0;37032960;517543168;0.00;0.00;0.00;144660;2021653;8665252;8086612;134;33;0;0;40644096;564995072;0.00;0.00;0.00;158766;2207012;9463112;8828048;135;33;0;0;43864576;601906432;0.00;0.00;0.00;171346;2351197;10090172;9404788;134;33;0;0;44608000;623197184;0.00;0.00;0.00;174250;2434364;10434456;9737456;134;33;0;0;47357440;634205440;0.00;0.00;0.00;184990;2477365;10649420;9909460;102;33;0;0;47565056;640707072;0.00;0.00;0.00;185801;2502762;10754252;10011048;101;33;0;0;45898240;640771328;0.00;0.00;0.00;179290;2503013;10729212;10012052;101;33;0;0;49457408;645621248;0.00;0.00;0.00;193193;2521958;10860604;10087832;101;33;0;0;23869589760;17439652096;0.50;0.28;0.30;93240585;68123641;645456904;272494564;184882279;94835306;0;0;46191616;645049088;0.00;0.00;0.00;180436;2519723;10800636;10078892;101;33;0;0;
1536238137;70235404140;63747584;825985024;0.00;0.00;0.00;249014;3226504;13902072;12906016;134;33;0;0;60177920;827011840;0.00;0.00;0.00;235070;3230515;13862340;12922060;134;33;0;0;59390208;829623040;0.00;0.00;0.00;231993;3240715;13890832;12962860;134;33;0;0;59900672;831387904;0.00;0.00;0.00;233987;3247609;13926384;12990436;134;33;0;0;60434176;829990400;0.00;0.00;0.00;236071;3242150;13912884;12968600;134;33;0;0;59627520;832882944;0.00;0.00;0.00;232920;3253449;13945476;13013796;134;33;0;0;79548672;1040692480;0.00;0.00;0.00;310737;4065205;17503768;16260820;101;33;0;0;91962624;1241298688;0.00;0.00;0.00;359229;4848823;20832208;19395292;101;33;0;0;103453952;1444366336;0.00;0.00;0.00;404117;5642056;24184692;22568224;101;33;0;0;127333632;1655686912;0.00;0.00;0.00;497397;6467527;27859696;25870108;101;33;0;0;67077504512;49187954688;0.50;0.28;0.29;262021502;192140448;1816647800;768561792;527022801;265813948;0;0;145246720;2027621120;0.00;0.00;0.00;567370;7920395;33951060;31681580;101;33;0;0;
1536238265;280940122902;250829312;3293373952;0.00;0.00;0.00;979802;12864742;55378176;51458968;682;165;0;0;238685952;3280761344;0.00;0.00;0.00;932367;12815474;54991364;51261896;670;165;0;0;234658304;3276830720;0.00;0.00;0.27;916634;12800120;54867016;51200480;670;165;0;0;236270592;3277344512;0.00;0.00;0.00;922932;12802127;54900236;51208508;638;165;0;0;239218944;3280509952;0.00;0.00;0.00;934449;12814492;54995764;51257968;670;165;0;0;234608128;3276623616;0.00;0.00;0.00;916438;12799311;54862996;51197244;670;165;0;0;254583040;3290715648;0.00;0.00;0.00;994465;12854358;55395292;51417432;505;165;0;0;243556608;3276803072;0.00;0.00;0.93;951393;12800012;55005620;51200048;505;165;0;0;234271232;3272717056;0.00;0.00;0.00;915122;12784051;54796692;51136204;505;165;0;0;251631104;3281201664;0.00;0.00;0.00;982934;12817194;55200512;51268776;505;165;0;0;129167424256;83140425472;0.53;0.28;0.31;504560251;324767287;3317310152;1299069148;1074311002;452640591;0;0;235686912;3291725056;0.00;0.00;0.00;920652;12858301;55115812;51433204;505;165;0;0;
1536238393;280940290250;246314752;3294879232;0.00;0.00;0.00;962167;12870622;55331156;51482488;673;165;0;0;239366400;3293260032;0.00;0.00;0.00;935025;12864297;55197288;51457188;671;165;0;0;236160256;3297675520;0.00;0.00;0.00;922501;12881545;55216184;51526180;670;165;0;0;238127616;3302521088;0.00;0.00;0.00;930186;12900473;55322636;51601892;670;165;0;0;240920576;3303714816;0.00;0.00;0.00;941096;12905136;55384928;51620544;670;165;0;0;242904320;3391403520;0.00;0.00;0.00;948845;13247670;56786060;52990680;670;165;0;0;262761728;3413425408;0.00;0.00;0.00;1026413;13333693;57440424;53334772;505;165;0;0;253750016;3415433728;0.00;0.00;0.00;991211;13341538;57330996;53366152;506;165;0;0;234190336;3271809280;0.00;0.00;0.00;914806;12780505;54781244;51122020;505;165;0;0;231356928;3032887296;0.00;0.00;0.00;903738;11847216;51003816;47388864;505;165;0;0;103188584960;68947135232;0.50;0.28;0.32;403080410;269324747;2689620628;1077298988;799201530;375874653;0;0;181405440;2533444608;0.00;0.00;0.00;708615;9896268;42419532;39585072;505;165;0;0;
1536238521;280940194740;242873856;3252448000;0.00;0.00;0.00;948726;12704875;54614404;50819500;675;165;0;0;232906496;3201092352;0.00;0.00;0.00;909791;12504267;53656232;50017068;670;165;0;0;225753344;3147350784;0.00;0.00;0.00;881849;12294339;52704752;49177356;670;165;0;0;231447808;3103209984;0.00;0.00;0.00;904093;12121914;52104028;48487656;670;165;0;0;222736384;3051095296;0.00;0.00;0.00;870064;11918341;51153620;47673364;670;165;0;0;208362496;2908571648;0.00;0.00;0.00;813916;11361608;48702096;45446432;670;165;0;0;197508096;2652911360;0.00;0.00;0.00;771516;10362935;44537804;41451740;506;165;0;0;178314496;2401889280;0.00;0.00;0.00;696541;9382380;40315684;37529520;506;165;0;0;163718400;2285903872;0.00;0.00;0.00;639525;8929312;38275348;35717248;506;165;0;0;176910592;2293545984;0.00;0.00;0.00;691057;8959164;38600884;35836656;505;165;0;0;238779428096;64232207360;0.11;0.18;0.22;932732141;250907060;4734556804;1003628240;1044727699;306868691;0;0;163565312;2284295168;0.00;0.00;0.00;638927;8923028;38247820;35692112;507;165;0;0;
1536238649;280940388774;238160128;3286559744;0.00;0.00;0.00;930313;12838124;55073748;51352496;675;165;0;0;238634496;3285393152;0.00;0.00;0.00;932166;12833567;55062932;51334268;670;165;0;0;235262976;3284389120;0.00;0.00;0.00;918996;12829645;54994564;51318580;670;165;0;0;254713856;3299677952;0.00;0.00;0.00;994976;12889367;55537372;51557468;670;165;0;0;239666688;3287506944;0.00;0.00;0.00;936198;12841824;55112088;51367296;671;165;0;0;235008512;3284111872;0.00;0.00;0.00;918002;12828562;54986256;51314248;670;165;0;0;253986560;3296824064;0.00;0.00;0.00;992135;12878219;55481416;51512876;507;165;0;0;244466688;3289134336;0.00;0.00;0.00;954948;12848181;55212516;51392724;506;165;0;0;234980096;3283956736;0.00;0.00;0.00;917891;12827956;54983388;51311824;505;165;0;0;255621888;3298177280;0.00;0.00;0.00;998523;12883505;55528112;51534020;505;165;0;0;367098473216;100343572992;0.00;0.08;0.11;1433978411;391967082;7303781972;1567868328;1430667158;425578918;0;0;235392768;3284470528;0.00;0.00;0.00;919503;12829963;54997864;51319852;505;165;0;0;
1536238777;280940273666;242989312;3283863808;0.00;0.00;0.00;949177;12827593;55107080;51310372;670;165;0;0;238716160;3285402112;0.00;0.00;0.00;932485;12833602;55064348;51334408;670;165;0;0;235285248;3284570368;0.00;0.00;0.00;919083;12830353;54997744;51321412;670;165;0;0;257497600;3298681088;0.00;0.00;0.00;1005850;12885473;55565292;51541892;670;165;0;0;239552000;3287252224;0.00;0.00;0.00;935750;12840829;55106316;51363316;672;165;0;0;235019520;3284148224;0.00;0.00;0.00;918045;12828704;54986996;51314816;670;165;0;0;252964608;3296287744;0.00;0.00;0.00;988143;12876124;55457068;51504496;509;165;0;0;244446208;3289166592;0.00;0.00;0.00;954868;12848307;55212700;51393228;506;165;0;0;235178240;3284543488;0.00;0.00;0.00;918665;12830248;54995652;51320992;507;165;0;0;248027648;3291924992;0.00;0.00;0.00;968858;12859082;55311760;51436328;506;165;0;0;375299532032;102189585920;0.00;0.04;0.07;1466013797;399178070;7460767468;1596712280;1459736838;416883692;0;0;235232768;3284349952;0.00;0.00;0.00;918878;12829492;54993480;51317968;505;165;0;0;
1536238905;280940435336;269564416;3284150016;0.00;0.00;0.00;1052986;12828711;55526788;51314844;675;165;0;0;241676800;3287444480;0.00;0.00;0.00;944050;12841580;55142520;51366320;670;165;0;0;247550720;3284372992;0.00;0.00;0.00;966995;12829582;55186308;51318328;671;165;0;0;254336768;3299702528;0.00;0.00;0.00;993503;12889463;55531864;51557852;671;165;0;0;239679232;3287339776;0.00;0.00;0.00;936247;12841171;55109672;51364684;671;165;0;0;234984192;3284324608;0.00;0.00;0.00;917907;12829393;54989200;51317572;673;165;0;0;241834240;3287239680;0.00;0.00;0.00;944665;12840780;55141780;51363120;506;165;0;0;244898304;3289337600;0.00;0.00;0.00;956634;12848975;55222436;51395900;506;165;0;0;234898944;3284088064;0.00;0.00;0.00;917574;12828469;54984172;51313876;505;165;0;0;250615808;3294008576;0.00;0.00;0.00;978968;12867221;55384756;51468884;505;165;0;0;380482086912;103533724160;0.00;0.04;0.07;1486258152;404428610;7562747048;1617714440;1478419306;419900837;0;0;235076864;3284241920;0.00;0.00;0.00;918269;12829070;54989356;51316280;505;165;0;0;
