# Collector: AEPWatch v1.0.1
# Output Format: v1.0
# Collected on Wed Sep  5 14:06:20 2018
# Default Format
timestamp;;DIMM0;;;;;;;;;;;;;DIMM1;;;;;;;;;;;;;DIMM2;;;;;;;;;;;;;DIMM3;;;;;;;;;;;;;DIMM4;;;;;;;;;;;;;DIMM5;;;;;;;;;;;;;DIMM6;;;;;;;;;;;;;DIMM7;;;;;;;;;;;;;DIMM8;;;;;;;;;;;;;DIMM9;;;;;;;;;;;;;DIMM10;;;;;;;;;;;;;DIMM11;;;;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);wdb_merge_percent (derived);sxp_read_ops (derived);sxp_write_ops (derived);read_64B_ops_received;write_64B_ops_received;ddrt_read_ops;ddrt_write_ops;block_read_ops;block_write_ops;
1536170781;2195024884;1988352;25648384;0.00;0.00;0.00;7767;100189;431824;400756;135;33;0;0;1874944;25638400;0.00;0.00;0.00;7324;100150;429896;400600;134;33;0;0;1829888;25688576;0.00;0.00;0.00;7148;100346;429976;401384;135;33;0;0;2048768;25888512;0.00;0.00;0.00;8003;101127;436520;404508;136;33;0;0;1857024;25736704;0.00;0.00;0.00;7254;100534;431152;402136;136;33;0;0;1815808;25596928;0.00;0.00;0.00;7093;99988;428324;399952;135;33;0;0;1849600;25437440;0.00;0.00;0.00;7225;99365;426360;397460;103;33;0;0;1900288;25403904;0.00;0.00;0.00;7423;99234;426628;396936;103;33;0;0;1801472;25310720;0.00;0.00;0.00;7037;98870;423628;395480;102;33;0;0;1817088;25258752;0.00;0.00;0.00;7098;98667;423060;394668;102;33;0;0;2010624;25425408;0.00;0.00;0.00;7854;99318;428688;397272;103;149;0;0;1789696;25242368;0.00;0.00;0.00;6991;98603;422376;394412;103;33;0;0;
1536170782;2195865124;1990144;26158848;0.00;0.00;0.00;7774;102183;439828;408732;134;33;0;0;3216896;44140288;0.00;0.00;0.00;12566;172423;739956;689692;135;33;0;0;3205632;45139712;0.00;0.00;0.00;12522;176327;755396;705308;136;33;0;0;3672832;46125824;0.00;0.00;0.00;14347;180179;778104;720716;134;33;0;0;3439360;46705664;0.00;0.00;0.00;13435;182444;783516;729776;134;33;0;0;3363840;47415808;0.00;0.00;0.00;13140;185218;793432;740872;134;33;0;0;3480832;48005376;0.00;0.00;0.00;13597;187521;804472;750084;102;33;0;0;4846848;64524544;0.00;0.00;0.00;18933;252049;1083928;1008196;102;33;0;0;4649728;65116160;0.00;0.00;0.00;18163;254360;1090092;1017440;102;33;0;0;4785664;66311168;0.00;0.00;0.00;18694;259028;1110888;1036112;102;33;0;0;2477373952;1557222656;0.48;0.33;0.35;9677242;6082901;63040572;24331604;18514375;9139681;0;0;4811520;68093952;0.00;0.00;0.00;18795;265992;1139148;1063968;102;33;0;0;
1536170784;4391282886;4667392;60632064;0.00;0.00;0.00;18232;236844;1020304;947376;134;33;0;0;3164672;43269376;0.00;0.00;0.00;12362;169021;725532;676084;134;33;0;0;3042560;42867200;0.00;0.00;0.00;11885;167450;717340;669800;134;33;0;0;3427072;43603968;0.00;0.00;0.00;13387;170328;734860;681312;135;33;0;0;5563648;76292352;0.00;0.00;0.00;21733;298017;1279000;1192068;134;33;0;0;7484928;105906688;0.00;0.00;0.00;29238;413698;1771744;1654792;134;33;0;0;10789376;149103104;0.00;0.00;0.00;42146;582434;2498320;2329736;101;33;0;0;13037824;175776000;0.00;0.00;0.00;50929;686625;2950216;2746500;101;33;0;0;15864576;223486976;0.00;0.00;0.00;61971;872996;3739868;3491984;102;33;0;0;19680000;271184384;0.00;0.00;0.00;76875;1059314;4544756;4237256;101;33;0;0;12280335104;8295487488;0.48;0.29;0.29;47970059;32404248;321497228;129616992;92938257;45446670;0;0;25905664;366230784;0.00;0.00;0.00;101194;1430589;6127132;5722356;102;33;0;0;
1536170800;35118115318;33453568;435786752;0.00;0.00;0.00;130678;1702292;7331880;6809168;142;33;0;0;35402240;480369664;0.00;0.00;0.00;138290;1876444;8058936;7505776;134;33;0;0;37318912;526618112;0.00;0.00;0.00;145777;2057102;8811516;8228408;134;33;0;0;45545216;579240448;0.00;0.00;0.00;177911;2262658;9762276;9050632;134;33;0;0;42951936;590969856;0.00;0.00;0.00;167781;2308476;9905028;9233904;134;33;0;0;42727424;602267136;0.00;0.00;0.00;166904;2352606;10078040;9410424;134;33;0;0;43850752;604875264;0.00;0.00;0.00;171292;2362794;10136344;9451176;101;33;0;0;45375488;608212224;0.00;0.00;0.00;177248;2375829;10212308;9503316;101;33;0;0;42398208;598481664;0.00;0.00;0.00;165618;2337819;10013748;9351276;101;33;0;0;43057408;594088704;0.00;0.00;0.00;168193;2320659;9955408;9282636;101;33;0;0;22164212736;15281464576;0.49;0.28;0.30;86578956;59693221;585088708;238772884;169985795;83116509;0;0;55125248;778853888;0.00;0.00;0.00;215333;3042398;13030924;12169592;101;33;0;0;
1536170832;70235395354;76517888;992514816;0.00;0.00;0.00;298898;3877011;16703636;15508044;679;165;0;0;86735104;1182601984;0.00;0.00;0.00;338809;4619539;19833392;18478156;670;165;0;0;97204224;1370084608;0.00;0.00;0.00;379704;5351893;22926388;21407572;670;165;0;0;123079680;1578989312;0.00;0.00;0.00;480780;6167927;26594828;24671708;670;165;0;0;128504576;1768440832;0.00;0.00;0.00;501971;6907972;29639772;27631888;670;165;0;0;139825664;1971555840;0.00;0.00;0.00;546194;7701390;32990336;30805560;670;165;0;0;158193920;2183928320;0.00;0.00;0.00;617945;8530970;36595660;34123880;505;165;0;0;177072128;2380188160;0.00;0.00;0.00;691688;9297610;39957192;37190440;505;165;0;0;183561472;2586054912;0.00;0.00;0.00;717037;10101777;43275256;40407108;505;165;0;0;202377216;2792762368;0.00;0.00;0.00;790536;10909228;46799056;43636912;505;165;0;0;109022078976;76050196736;0.50;0.28;0.29;425867496;297071081;2891754308;1188284324;845540478;412049148;0;0;195373312;2757102848;0.00;0.00;0.00;763177;10769933;46132440;43079732;505;165;0;0;
1536170960;280940245626;239331328;3125433344;0.00;0.00;0.00;934888;12208724;52574448;48834896;678;165;0;0;214172160;2916594688;0.00;0.00;0.00;836610;11392948;48918232;45571792;670;165;0;0;193528576;2728507392;0.00;0.00;0.00;755971;10658232;45656812;42632928;670;165;0;0;198022912;2541848832;0.00;0.00;0.00;773527;9929097;42810496;39716388;670;165;0;0;169516800;2336160512;0.00;0.00;0.00;662175;9125627;39151208;36502508;670;165;0;0;151390208;2134317312;0.00;0.00;0.00;591368;8337177;35714180;33348708;670;165;0;0;139816704;1920665344;0.00;0.00;0.00;546159;7502599;32195032;30010396;505;165;0;0;129054464;1737412096;0.00;0.00;0.00;504119;6786766;29163540;27147064;505;165;0;0;108984320;1534836224;0.00;0.00;0.00;425720;5995454;25684696;23981816;506;165;0;0;96519168;1330784256;0.00;0.00;0.00;377028;5198376;22301616;20793504;505;165;0;0;52209333760;28827499008;0.57;0.29;0.37;203942710;112607418;1266200512;450429672;474583453;158924462;0;0;84252672;1188453120;0.00;0.00;0.00;329112;4642395;19886028;18569580;506;165;0;0;
1536171088;280940674716;253060352;3484858880;0.00;0.00;0.00;988517;13612730;58404988;54450920;688;165;0;0;269545728;3688869376;0.00;0.00;0.00;1052913;14409646;61850236;57638584;670;165;0;0;275071232;3881416448;0.00;0.00;0.00;1074497;15161783;64945120;60647132;670;165;0;0;317895424;4074825472;0.00;0.00;0.00;1241779;15917287;68636264;63669148;669;165;0;0;303408640;4207722752;0.00;0.00;0.00;1185190;16436417;70486428;65745668;670;165;0;0;295301632;4166349312;0.00;0.00;0.00;1153522;16274802;69713296;65099208;670;165;0;0;298828032;4120779776;0.00;0.00;0.00;1167297;16096796;69056372;64387184;505;165;0;0;304593152;4079317760;0.00;0.00;0.00;1189817;15934835;68498608;63739340;505;165;0;0;285283072;4022232832;0.00;0.00;0.00;1114387;15711847;67304936;62847388;506;165;0;0;287695360;3972298240;0.00;0.00;0.00;1123810;15516790;66562400;62067160;505;165;0;0;147776328192;96861025536;0.49;0.28;0.31;577251282;378363381;3822458652;1513453524;1141629881;528436494;0;0;274664704;3871820288;0.00;0.00;0.00;1072909;15124298;64788828;60497192;505;165;0;0;
1536171216;280940195516;223645184;3060310016;0.00;0.00;0.00;873614;11954336;51311800;47817344;696;165;0;0;205045760;2811743744;0.00;0.00;0.00;800960;10983374;47137336;43933496;670;165;0;0;182170368;2567283712;0.00;0.00;0.00;711603;10028452;42960220;40113808;671;165;0;0;184326144;2361956864;0.00;0.00;0.00;720024;9226394;39785672;36905576;672;165;0;0;153959680;2140816640;0.00;0.00;0.00;601405;8362565;35855880;33450260;672;165;0;0;151550464;2134945024;0.00;0.00;0.00;591994;8339629;35726492;33358516;670;165;0;0;154510848;2133340928;0.00;0.00;0.00;603558;8333363;35747684;33333452;506;165;0;0;159410688;2137513728;0.00;0.00;0.00;622698;8349663;35889444;33398652;507;165;0;0;151308800;2133598208;0.00;0.00;0.00;591050;8334368;35701672;33337472;505;165;0;0;154489088;2133117696;0.00;0.00;0.00;603473;8332491;35743856;33329964;505;165;0;0;225552621824;60641559808;0.11;0.17;0.21;881064929;236881093;4471784088;947524372;986311615;284389268;0;0;151124480;2133657088;0.00;0.00;0.00;590330;8334598;35699712;33338392;505;165;0;0;
1536171344;280940303128;238397440;3285695744;0.00;0.00;0.00;931240;12834749;55063956;51338996;702;165;0;0;239836160;3286041856;0.00;0.00;0.00;936860;12836101;55091844;51344404;670;165;0;0;233050368;3284411136;0.00;0.00;0.00;910353;12829731;54960336;51318924;671;165;0;0;254632448;3300460032;0.00;0.00;0.00;994658;12892422;55548320;51569688;670;165;0;0;235538176;3283913216;0.00;0.00;0.00;920071;12827786;54991428;51311144;670;165;0;0;232769792;3284218624;0.00;0.00;0.00;909257;12828979;54952944;51315916;671;165;0;0;237719808;3283289344;0.00;0.00;0.00;928593;12825349;55015768;51301396;508;165;0;0;245303040;3290137088;0.00;0.00;0.00;958215;12852098;55241252;51408392;507;165;0;0;233093632;3284477952;0.00;0.00;0.00;910522;12829992;54962056;51319968;507;165;0;0;238756608;3284208384;0.00;0.00;0.00;932643;12828939;55046328;51315756;506;165;0;0;380407432704;103551771648;0.00;0.03;0.06;1485966534;404499108;7561862568;1617996432;1477717492;417648748;0;0;232894976;3284339456;0.00;0.00;0.00;909746;12829451;54956788;51317804;506;165;0;0;
1536171472;280940330520;237981440;3285553664;0.00;0.00;0.00;929615;12834194;55055236;51336776;690;165;0;0;239349504;3285516032;0.00;0.00;0.00;934959;12834047;55076024;51336188;670;165;0;0;232888832;3284267264;0.00;0.00;0.00;909722;12829169;54955564;51316676;671;165;0;0;258131968;3303737856;0.00;0.00;0.00;1008328;12905226;55654216;51620904;671;165;0;0;235373568;3283577600;0.00;0.00;0.00;919428;12826475;54983612;51305900;671;165;0;0;232799232;3284132096;0.00;0.00;0.00;909372;12828641;54952052;51314564;670;165;0;0;237636608;3283201280;0.00;0.00;0.00;928268;12825005;55013092;51300020;507;165;0;0;247162624;3291200512;0.00;0.00;0.00;965479;12856252;55286924;51425008;505;165;0;0;232923136;3284152064;0.00;0.00;0.00;909856;12828719;54954300;51314876;506;165;0;0;237879808;3283172352;0.00;0.00;0.00;929218;12824892;55016440;51299568;505;165;0;0;378827832320;103110707456;0.00;0.03;0.06;1479796220;402776201;7530289684;1611104804;1470081778;414444623;0;0;233010944;3284218624;0.00;0.00;0.00;910199;12828979;54956712;51315916;505;165;0;0;
